date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,3.01,0.9993748,0.05632443,0.052842487,0.04448485,0.015107964
2016-07-15,3.01,0.9992094,0.099001504,0.029483186,0.028619615,0.016942933
2016-07-18,3.0,0.9990422,0.93918836,0.0065566134,0.022590227,0.01042603
2016-07-19,2.93,0.99960786,0.9940805,0.08266447,0.07100869,0.030468432
2016-07-20,2.93,0.9994605,0.9953157,0.050756138,0.051730458,0.02281044
2016-07-21,2.9,0.99939287,0.9984884,0.047740698,0.07024989,0.030860825
2016-07-22,2.87,0.9994017,0.9992231,0.026663043,0.054520432,0.06405935
2016-07-25,2.87,0.99945897,0.9989004,0.048455995,0.03508189,0.035973936
2016-07-26,2.84,0.99932575,0.9990779,0.13535623,0.15659624,0.05171223
2016-07-27,2.84,0.9994203,0.9989919,0.11235459,0.06845089,0.037810504
2016-07-28,2.84,0.99941504,0.9988558,0.04418454,0.1050887,0.07070743
2016-07-29,2.87,0.9994419,0.99821174,0.1850601,0.093027286,0.039758552
2016-08-01,2.82,0.9993892,0.996194,0.06656633,0.11442354,0.046937127
2016-08-02,2.78,0.9993338,0.9983871,0.7936779,0.92537475,0.8654902
2016-08-03,2.74,0.9994789,0.99685365,0.86822027,0.89184326,0.8952
2016-08-04,2.78,0.99901485,0.99678206,0.8848285,0.73045725,0.93996954
2016-08-05,2.79,0.9992416,0.99525344,0.77991384,0.2254716,0.92560273
2016-08-08,2.79,0.99847716,0.99710804,0.3847002,0.16148625,0.9196248
2016-08-09,2.79,0.9985953,0.99485046,0.73911005,0.12679605,0.8923088
2016-08-10,2.81,0.99658656,0.9915583,0.07866106,0.15525082,0.862464
2016-08-11,2.81,0.9966877,0.9936213,0.03616123,0.74279815,0.12651597
2016-08-12,2.81,0.99614173,0.99334717,0.05784259,0.84314674,0.057374317
2016-08-15,2.78,0.9960375,0.99616677,0.16005269,0.9340654,0.067727946
2016-08-16,2.82,0.99646217,0.9902839,0.10333128,0.21407634,0.03383024
