date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2018-12-19,20.95,0.9998241,0.9981748,0.9977552,0.0011642156,0.003925135
2018-12-20,21.04,0.99993575,0.99920267,0.99758744,0.00044796575,0.0006842206
2018-12-21,21.4,0.99991596,0.9969777,0.9931417,0.00069361535,0.0026788244
2018-12-24,21.22,0.9998264,0.9981571,0.99233925,0.00021624571,0.00036819102
2018-12-25,21.04,0.99992526,0.9988206,0.0045038923,0.00064656924,0.0013885326
2018-12-26,21.58,0.99976593,0.99916697,0.007842907,0.0032025261,0.00057697785
2018-12-27,22.3,0.9992976,0.9948155,0.006457714,0.0017629359,0.0008637078
2018-12-28,21.76,0.99968934,0.99964106,0.008027061,0.000924084,0.0018255963
2019-01-02,21.58,0.9992957,0.999092,0.001198246,0.0037229396,0.010283442
2019-01-03,19.78,0.9996445,0.9997645,0.9929262,0.9963714,0.9974274
2019-01-04,20.41,0.99955875,0.99959594,0.0063207257,0.0140827745,0.9962198
2019-01-07,20.32,0.9995895,0.99941826,0.0028021606,0.010002014,0.9885385
2019-01-08,20.41,0.99946636,0.9992895,0.00051260006,0.9828529,0.99624217
2019-01-09,20.86,0.9997955,0.9953099,0.0034619374,0.007283911,0.99544877
2019-01-10,20.59,0.9988495,0.99954224,0.0020281216,0.0029588705,0.026295139
2019-01-11,20.41,0.9964055,0.9997416,0.0011707776,0.009059545,0.99572915
2019-01-14,20.14,0.99841595,0.9996364,0.015803084,0.99478287,0.997957
2019-01-15,19.96,0.99922514,0.9986426,0.997303,0.9960276,0.99941945
2019-01-16,20.14,0.9991185,0.9994324,0.9860459,0.996564,0.99775594
2019-01-17,20.05,0.99966455,0.99848455,0.99515945,0.015657907,0.9967636
2019-01-18,20.14,0.9997602,0.9995838,0.010880074,0.9953501,0.9985892
2019-01-21,19.78,0.9989598,0.99921095,0.998965,0.99621457,0.9996326
2019-01-22,20.5,0.9996271,0.99720854,0.005782853,0.9938625,0.99352384
2019-01-23,20.23,0.9989273,0.99907124,0.9950959,0.99542147,0.99954647
2019-01-24,20.41,0.9981567,0.98660374,0.0048302123,0.012865025,0.99851125
2019-01-25,19.87,0.9993537,0.995839,0.9978466,0.9994861,0.9980642
2019-01-28,20.5,0.9999019,0.015083023,0.9946301,0.9954495,0.9995222
2019-01-29,20.23,0.9997073,0.008660096,0.99886346,0.9981688,0.9991211
2019-01-31,20.68,0.9998385,0.0022164225,0.9969934,0.99973243,0.9993187
2019-02-01,20.05,0.99968696,0.005752223,0.9993699,0.999681,0.99858487
2019-02-11,21.04,0.99988794,0.0026363665,0.010554049,0.99624133,0.9977544
2019-02-12,20.68,0.99794286,0.0013676358,0.99859756,0.9971354,0.9959066
2019-02-13,21.22,0.99936765,0.0012748805,0.99633837,0.99962926,0.9985305
2019-02-14,20.95,0.9997546,0.0059640817,0.9995871,0.9989273,0.9963869
2019-02-15,20.23,0.99870086,0.9664226,0.9953811,0.995523,0.99769384
2019-02-18,20.59,0.99914384,0.014967445,0.999828,0.99976736,0.98922205
2019-02-19,21.13,0.9998036,0.001731735,0.99983776,0.99987686,0.021601794
2019-02-20,21.31,0.9996995,0.003727629,0.99902976,0.99973327,0.99546766
2019-02-21,21.22,0.99917895,0.0020186738,0.99702317,0.99704033,0.9895717
2019-02-22,21.58,0.99920326,0.001330294,0.99729735,0.9987172,0.9912117
2019-02-25,21.31,0.9995746,0.0017806327,0.9987072,0.9977481,0.010025902
2019-02-26,22.48,0.9994661,0.0018306351,0.99027795,0.9932613,0.005010831
2019-02-27,22.92,0.99950385,0.0024379408,0.0041178805,0.00975827,0.004226156
2019-02-28,22.92,0.9990896,0.0021721367,0.0008251246,0.0020589414,0.005982122
2019-03-01,23.28,0.9991411,0.0018467754,0.00063244934,0.0011540519,0.9816855
2019-03-04,23.2,0.99961084,0.00056773657,0.001988707,0.00075859635,0.018617202
2019-03-05,22.92,0.99930274,0.0023224961,0.0036502075,0.001341788,0.99175817
2019-03-06,22.3,0.99826825,0.0013792148,0.0032592353,0.0068728817,0.9939913
