date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-14,7.98,0.9992446,0.034253977,0.9896353,0.9857157,0.98965985
2016-09-15,7.98,0.9992673,0.04055827,0.99380493,0.9871974,0.9936719
2016-09-16,7.96,0.9992994,0.04441524,0.99213785,0.9859309,0.99306244
2016-09-19,7.93,0.99909866,0.054715805,0.9886464,0.98447675,0.9889853
2016-09-20,8.03,0.9993017,0.021673454,0.984518,0.9544129,0.9934541
2016-09-21,8.08,0.9991935,0.010956259,0.9727108,0.94352096,0.9907334
2016-09-22,8.06,0.9990982,0.014848624,0.981232,0.9829443,0.9880795
2016-09-23,8.06,0.99914753,0.018137997,0.9780976,0.95898235,0.9893622
2016-09-26,8.01,0.9990658,0.016486552,0.9872404,0.9609906,0.9889894
2016-09-27,8.43,0.99883574,0.022579633,0.8416274,0.09413359,0.8609807
2016-09-28,8.71,0.9990538,0.020392198,0.09313237,0.08716421,0.12522987
2016-09-29,8.53,0.9990484,0.020132678,0.7212999,0.14856137,0.1627378
2016-09-30,8.53,0.9987257,0.016825048,0.11058132,0.116548575,0.6353145
2016-10-03,8.53,0.998716,0.010093964,0.0871977,0.71448547,0.11577993
2016-10-04,8.58,0.9985341,0.016466979,0.066494085,0.20698608,0.056624934
2016-10-05,8.68,0.99888057,0.019607563,0.048302628,0.82428,0.035653
2016-10-06,8.68,0.99857545,0.021020055,0.041744247,0.91529447,0.048766993
2016-10-07,8.53,0.9991021,0.0117069045,0.2219927,0.92245364,0.55990684
2016-10-10,8.41,0.9989108,0.032947633,0.8557483,0.9457917,0.060624857
2016-10-11,8.43,0.9971933,0.03862149,0.82374054,0.9240459,0.022725353
2016-10-12,8.43,0.99851316,0.045193445,0.9191043,0.84461355,0.017544832
2016-10-13,8.43,0.9981159,0.07332131,0.93590933,0.30082512,0.019970182
2016-10-14,8.53,0.9982749,0.7762144,0.8413001,0.6135695,0.013127991
2016-10-17,8.58,0.99870384,0.10508262,0.8981679,0.06306389,0.016023636
2016-10-18,8.53,0.99873096,0.805204,0.9204298,0.10336716,0.0122483345
2016-10-19,8.88,0.9978801,0.067045756,0.060051538,0.03970129,0.019494122
2016-10-20,8.83,0.9980102,0.064639896,0.06744711,0.033715274,0.012984788
2016-10-21,8.83,0.99809545,0.04764085,0.051320348,0.036095686,0.01944303
2016-10-24,8.86,0.9974044,0.7611566,0.06639812,0.0259089,0.013722074
2016-10-25,8.76,0.9978968,0.12146159,0.1000112,0.02556257,0.02426909
2016-10-26,8.66,0.9969849,0.95546347,0.09951045,0.0426316,0.057690218
2016-10-27,8.38,0.99637884,0.98876196,0.7325675,0.03113018,0.728867
2016-10-28,8.58,0.9969964,0.96383125,0.05019659,0.03767457,0.04618376
2016-10-31,8.38,0.99645895,0.9891037,0.08305375,0.06154154,0.041036464
2016-11-01,8.53,0.99682426,0.98223305,0.048254386,0.031741694,0.023623617
2016-11-02,8.46,0.99809915,0.9776168,0.040849574,0.04549125,0.01419214
2016-11-03,8.51,0.99839705,0.9827844,0.06291006,0.034336627,0.023658155
2016-11-04,8.56,0.99942327,0.93567175,0.043882314,0.06943941,0.029198423
2016-11-07,8.35,0.99920887,0.99040645,0.04217389,0.13224308,0.03104871
2016-11-08,8.33,0.99898237,0.9944976,0.06806886,0.7882256,0.010077967
2016-11-09,8.35,0.99957174,0.99010146,0.04610509,0.9466738,0.023401525
2016-11-10,8.35,0.99955577,0.9950541,0.066260055,0.90479153,0.03236848
2016-11-11,8.3,0.9991893,0.9953786,0.10770192,0.87745064,0.023842556
2016-11-14,8.11,0.9995264,0.99631786,0.959941,0.9301984,0.050148223
2016-11-15,8.11,0.9995608,0.993127,0.90349627,0.21573637,0.027408551
2016-11-16,8.17,0.9994993,0.9839393,0.93513405,0.15328048,0.022404438
2016-11-17,8.09,0.99964833,0.9874183,0.94815415,0.5838281,0.027628073
2016-11-18,8.09,0.9996828,0.9890532,0.9465182,0.2073466,0.017273728
2016-11-21,8.19,0.99971026,0.99040234,0.91236794,0.06481666,0.025374329
2016-11-22,8.51,0.99959415,0.91528517,0.038453046,0.018778736,0.017923523
2016-11-23,8.51,0.9992551,0.9152433,0.051129457,0.028902547,0.014972994
2016-11-24,8.46,0.99932265,0.96993536,0.054438908,0.057808105,0.01195681
2016-11-25,8.4,0.99948704,0.99703646,0.12440101,0.07294492,0.08207788
2016-11-28,8.3,0.99950814,0.9981925,0.10494866,0.08311175,0.06520094
2016-11-29,8.03,0.9996449,0.9984187,0.12853007,0.07781822,0.06075246
2016-11-30,8.09,0.9995604,0.9976163,0.11711293,0.07623285,0.0390719
2016-12-01,8.14,0.9996138,0.99717426,0.06608798,0.06776619,0.06402414
2016-12-02,8.09,0.9995171,0.997271,0.053914778,0.041183017,0.07122954
2016-12-05,8.03,0.9995209,0.99810517,0.09785414,0.038235825,0.12926684
2016-12-06,7.8,0.9995096,0.99851793,0.22842698,0.22972046,0.98006904
2016-12-07,7.8,0.9997111,0.99859875,0.75104934,0.6532844,0.95948625
2016-12-08,7.82,0.9995881,0.9982849,0.76566595,0.11070082,0.9565137
2016-12-09,7.8,0.9996973,0.99793565,0.28134498,0.09158047,0.95835096
2016-12-12,7.72,0.999632,0.99815303,0.8739217,0.113805786,0.9855312
2016-12-13,7.56,0.9995433,0.99822706,0.86939716,0.8121772,0.99101186
2016-12-14,8.03,0.99971884,0.99451655,0.05068642,0.07704266,0.95391595
2016-12-15,7.93,0.9996964,0.99509573,0.06370134,0.115081444,0.97700197
2016-12-16,7.74,0.99954623,0.9977489,0.10366567,0.13252887,0.98965466
2016-12-19,7.8,0.9997079,0.99547017,0.18608345,0.86567116,0.98877454
2016-12-20,7.8,0.99975985,0.99492186,0.0794942,0.9572944,0.98756117
2016-12-21,7.88,0.999624,0.9963026,0.09668753,0.93259406,0.97380644
2016-12-22,7.72,0.99969494,0.9970789,0.112916544,0.9840311,0.99056315
2016-12-23,7.72,0.9997073,0.99655294,0.26125857,0.9846177,0.9911608
2016-12-26,7.72,0.99980515,0.99549484,0.7884076,0.98810625,0.9840239
2016-12-27,7.66,0.99969804,0.996318,0.77433884,0.95629954,0.979917
2016-12-28,7.64,0.99974674,0.99729306,0.92971766,0.9764965,0.98850995
2016-12-29,7.56,0.9996069,0.9971697,0.9514831,0.97884834,0.9958776
2016-12-30,7.51,0.99969125,0.9969447,0.97301155,0.98180574,0.995799
2017-01-03,8.01,0.999188,0.9902441,0.9254868,0.957601,0.9879197
2017-01-04,8.17,0.9991147,0.984355,0.8969348,0.94048935,0.978512
2017-01-05,8.14,0.9990551,0.9821125,0.95045537,0.97233844,0.9759138
2017-01-06,8.33,0.99846005,0.97797763,0.7858084,0.9219403,0.96641326
2017-01-09,8.56,0.99821496,0.9794367,0.1326398,0.9681406,0.96544045
2017-01-10,8.51,0.9989379,0.98689055,0.85830414,0.9719873,0.95965827
2017-01-11,8.77,0.9985417,0.96389747,0.15972742,0.96082926,0.97734773
2017-01-12,8.72,0.99862456,0.98594695,0.11600873,0.9720863,0.93238175
2017-01-13,8.59,0.9987483,0.98609215,0.8691858,0.9703311,0.9518708
2017-01-16,8.35,0.99866056,0.98072046,0.94958776,0.97900724,0.9720558
2017-01-17,8.88,0.99761754,0.10119117,0.9208616,0.9566945,0.13648696
2017-01-18,8.7,0.9989906,0.93442917,0.93995196,0.9696732,0.85499173
2017-01-19,8.7,0.9987601,0.9280887,0.96030784,0.96775883,0.9064806
2017-01-20,8.8,0.9994925,0.05428689,0.93356043,0.7691572,0.05029558
2017-01-23,8.91,0.99935585,0.011786337,0.9471391,0.20371754,0.02159338
2017-01-24,8.99,0.9993026,0.012523149,0.78311104,0.11542303,0.0146470945
2017-01-25,8.93,0.9994862,0.016247382,0.8940369,0.702591,0.024240736
2017-02-02,9.09,0.9990595,0.014698323,0.17775205,0.036219466,0.014488409
2017-02-03,9.09,0.99882203,0.018496748,0.08119003,0.042948984,0.0136707425
2017-02-06,9.09,0.99879265,0.023768153,0.095790625,0.017835585,0.008582969
2017-02-07,9.04,0.99915254,0.014723031,0.12665924,0.012057443,0.021310378
2017-02-08,8.99,0.9988813,0.011126177,0.6338955,0.009366308,0.011533536
2017-02-09,8.91,0.99867225,0.049750034,0.6945508,0.024459997,0.018190438
2017-02-10,9.04,0.99867296,0.022064334,0.14566334,0.013223121,0.018573351
2017-02-13,8.91,0.99748033,0.7225783,0.08562455,0.018139917,0.039214764
2017-02-14,8.99,0.9973138,0.09733569,0.06262262,0.010259379,0.051351804
2017-02-15,9.17,0.99813473,0.033062443,0.020220352,0.015991759,0.020777367
2017-02-16,8.99,0.9979767,0.053699497,0.025055515,0.013836054,0.050561864
2017-02-17,8.93,0.9973839,0.11635103,0.040684428,0.025458802,0.081075184
2017-02-20,8.77,0.9985026,0.97446793,0.76073146,0.037190165,0.94800293
2017-02-21,8.83,0.99787724,0.980808,0.07781307,0.058738936,0.96908116
2017-02-22,8.77,0.99822,0.9974201,0.10064544,0.16468161,0.99000096
2017-02-23,8.8,0.99818546,0.995095,0.08422506,0.74889886,0.9845167
2017-02-24,8.8,0.99813735,0.99578756,0.07496031,0.07121616,0.9795369
2017-02-27,8.83,0.9984647,0.99454194,0.15768522,0.14889911,0.9780571
2017-02-28,8.7,0.9981604,0.9986135,0.92895967,0.16109434,0.9681907
2017-03-01,8.62,0.9979972,0.9988883,0.9361753,0.93436694,0.98075795
2017-03-02,8.48,0.99884254,0.9991722,0.94891435,0.9638511,0.9907482
2017-03-03,8.67,0.99895847,0.99797064,0.7327848,0.9448345,0.9829754
2017-03-06,8.77,0.99873394,0.996997,0.15824558,0.9315784,0.97269183
2017-03-07,8.72,0.9987128,0.99779665,0.1142617,0.95660883,0.9742818
2017-03-08,8.77,0.9983772,0.9977488,0.20545481,0.94760835,0.97327673
2017-03-09,8.88,0.9969892,0.9967211,0.14092214,0.9153672,0.8173904
2017-03-10,8.75,0.9988582,0.99712867,0.8730346,0.94480306,0.9780271
2017-03-13,8.72,0.9988556,0.998703,0.9128859,0.93631446,0.9323792
2017-03-14,8.67,0.9984775,0.99886715,0.920081,0.9239323,0.921496
2017-03-15,8.7,0.99888366,0.99827456,0.9457314,0.9435168,0.9132789
2017-03-16,8.64,0.99905807,0.9991223,0.950324,0.9483561,0.9117898
2017-03-17,8.83,0.9949752,0.99901843,0.85496014,0.8537699,0.13375215
2017-03-20,8.85,0.9967367,0.9991159,0.9036686,0.90019774,0.072384425
2017-03-21,9.2,0.9970289,0.9872643,0.10634361,0.13780613,0.05073988
2017-03-22,9.2,0.9962167,0.99420124,0.07796681,0.09074088,0.022657635
2017-03-23,9.22,0.9975241,0.99466693,0.59037703,0.051377594,0.017548203
2017-03-24,9.46,0.9969193,0.9907047,0.09580143,0.027225165,0.043274354
2017-03-27,9.38,0.9978388,0.99665415,0.044176977,0.025788633,0.027057834
2017-03-28,9.2,0.9964037,0.9950896,0.07107356,0.01780033,0.03096041
2017-03-29,9.2,0.99614245,0.99195886,0.11894783,0.034971584,0.020909796
2017-03-30,9.38,0.9985782,0.9744427,0.059681684,0.031053435,0.027824206
2017-03-31,9.28,0.99838054,0.99068296,0.104672916,0.031171223,0.04721026
2017-04-03,9.07,0.99188834,0.9935893,0.044702116,0.026130477,0.079114944
2017-04-04,9.09,0.9907492,0.997336,0.04662584,0.03424218,0.0503825
2017-04-05,9.07,0.98979574,0.9971054,0.020720711,0.0167213,0.054666888
2017-04-07,9.04,0.99580836,0.9983909,0.043537598,0.03073847,0.06762432
2017-04-10,8.99,0.9970626,0.99895847,0.06491984,0.03566898,0.63899267
2017-04-11,8.99,0.9989355,0.99782795,0.07552869,0.03270764,0.07580904
2017-04-12,8.99,0.99911124,0.99793506,0.06631553,0.03872282,0.05796728
2017-04-13,8.93,0.9992084,0.9976931,0.08272234,0.11233702,0.0804041
2017-04-14,9.01,0.9992136,0.9969579,0.08436463,0.04919272,0.114694074
2017-04-17,8.67,0.99896765,0.99877876,0.11458885,0.92982966,0.96515775
2017-04-18,8.72,0.99857795,0.99813855,0.09759195,0.9393697,0.96974105
2017-04-19,8.62,0.99934226,0.9982938,0.8548307,0.95079786,0.9783271
2017-04-20,8.77,0.99908507,0.9925845,0.2551936,0.32526106,0.97439146
2017-04-21,8.75,0.9992674,0.9985978,0.816601,0.9063164,0.9689316
2017-04-24,8.64,0.99890184,0.9971233,0.9380133,0.9536874,0.98078823
2017-04-25,8.64,0.9988959,0.9983365,0.9491101,0.9696242,0.9767677
2017-04-26,8.72,0.9991047,0.9971219,0.8965735,0.9515104,0.98069674
2017-04-27,8.77,0.9988136,0.99673694,0.25345412,0.94582385,0.98130786
2017-04-28,8.77,0.9988618,0.99811196,0.2387289,0.95331496,0.9767709
2017-05-03,8.77,0.9994165,0.99768925,0.9373283,0.96743697,0.9877929
2017-05-04,8.88,0.9991449,0.9985511,0.9057109,0.41202718,0.976313
2017-05-05,8.75,0.9994241,0.9986386,0.9231524,0.9617604,0.9860568
2017-05-08,8.72,0.9990243,0.99851114,0.9757494,0.973751,0.99392337
2017-05-09,8.77,0.99852103,0.99774843,0.9757475,0.9834675,0.9934135
2017-05-10,9.04,0.997724,0.9961643,0.23847109,0.94699943,0.9818957
2017-05-11,8.99,0.99925774,0.99637127,0.18031308,0.9687654,0.98223835
2017-05-12,8.96,0.9992667,0.99590117,0.88771915,0.9467143,0.98073155
2017-05-15,8.93,0.99936575,0.99382824,0.94190335,0.97769904,0.98184574
2017-05-16,8.93,0.9992964,0.99799514,0.94769096,0.96909696,0.98436385
2017-05-17,8.83,0.9991128,0.99906164,0.96628046,0.9768271,0.98905396
2017-05-18,8.88,0.99914014,0.9979627,0.95207024,0.9751178,0.9812344
2017-05-19,9.09,0.9962525,0.9965503,0.8538205,0.9708538,0.97642875
2017-05-22,9.73,0.9983968,0.9871759,0.7824337,0.9326887,0.9667253
2017-05-23,9.81,0.99828464,0.9848016,0.13977537,0.9440899,0.9698219
2017-05-24,10.18,0.99778986,0.96895224,0.054527488,0.7482492,0.9753724
2017-05-25,10.1,0.9983552,0.98439217,0.10303336,0.19884689,0.9787441
2017-05-26,10.31,0.9974841,0.9648332,0.1333089,0.1957843,0.94534355
2017-05-29,10.04,0.9990226,0.9875437,0.13272038,0.2490215,0.9695014
2017-05-30,9.7,0.9992048,0.99263155,0.92231584,0.9539156,0.9836584
2017-05-31,9.75,0.99892765,0.9899435,0.96394813,0.96304464,0.9826896
2017-06-01,9.67,0.99897814,0.99638665,0.96248263,0.9682493,0.9913238
2017-06-02,9.65,0.99909556,0.9952897,0.9468859,0.95842016,0.9909175
2017-06-05,9.88,0.9993593,0.9869883,0.95576316,0.96406645,0.9819343
2017-06-06,10.25,0.99893206,0.9688083,0.9391464,0.88890916,0.97489685
2017-06-07,10.25,0.99893457,0.9860308,0.9545919,0.9229414,0.90474963
2017-06-08,10.1,0.9991535,0.9897758,0.94724804,0.94613254,0.9501517
2017-06-09,9.96,0.9992544,0.9881215,0.9519407,0.94346017,0.96899486
2017-06-12,10.02,0.9989555,0.9914123,0.909232,0.9591522,0.9167634
2017-06-13,10.31,0.99762625,0.97849494,0.8923674,0.9005163,0.79413694
2017-06-14,10.57,0.996172,0.9600906,0.9039119,0.2879488,0.08103678
2017-06-15,10.47,0.9970216,0.9842531,0.9094944,0.7942943,0.114580914
2017-06-16,10.44,0.99763036,0.98776996,0.93148184,0.92069,0.062271215
2017-06-19,10.57,0.9978108,0.9845575,0.855307,0.79956347,0.057759333
2017-06-20,10.86,0.9962993,0.9780115,0.16998146,0.24150783,0.034624793
2017-06-21,10.73,0.9978225,0.98695916,0.23674847,0.81380486,0.02678085
2017-06-22,10.49,0.9983919,0.97913843,0.91943777,0.8243227,0.061588075
2017-06-23,10.52,0.99832517,0.98641586,0.88078827,0.78794163,0.07518539
2017-06-26,10.68,0.9982895,0.96774834,0.859469,0.14204495,0.072001554
2017-06-27,10.52,0.99846256,0.98344606,0.8592012,0.07863611,0.9516486
2017-06-28,10.55,0.99825627,0.98585784,0.81962824,0.054814033,0.9602565
2017-06-29,10.73,0.9970024,0.9726246,0.18921557,0.03551573,0.91637623
2017-06-30,10.78,0.9970963,0.9379659,0.14466977,0.039836943,0.94652456
2017-07-03,10.94,0.9957321,0.9335067,0.13423839,0.03938687,0.9298879
2017-07-04,10.73,0.99752015,0.9040685,0.09744402,0.030901019,0.96316993
2017-07-05,10.78,0.99709773,0.1478882,0.08099829,0.037411083,0.9672791
2017-07-06,10.73,0.9964491,0.16641498,0.04480707,0.026250388,0.9622753
2017-07-07,10.68,0.99673945,0.90406114,0.04320085,0.041748427,0.9551915
2017-07-10,10.41,0.99732876,0.9899567,0.10471567,0.08659459,0.99156815
2017-07-11,10.41,0.99782515,0.99361986,0.06338553,0.8388368,0.9881875
2017-07-12,10.2,0.9965473,0.99530846,0.24731636,0.92643696,0.9898673
2017-07-13,10.33,0.9978998,0.9929778,0.55370986,0.8912544,0.98245025
2017-07-14,10.2,0.99650806,0.9964875,0.13200645,0.95196164,0.9918608
2017-07-17,9.99,0.99773943,0.99756145,0.91136974,0.95566386,0.98814744
2017-07-18,10.02,0.9981042,0.9967499,0.9027005,0.9860385,0.98846614
2017-07-19,10.07,0.9976781,0.9975216,0.9028192,0.9825509,0.97825783
