date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-14,44.69,0.9776389,0.95068157,0.94037586,0.94119126,0.9472982
2016-09-15,45.34,0.9668997,0.98285127,0.9342246,0.96886504,0.9671866
2016-09-16,45.24,0.9565952,0.97828543,0.94539106,0.944727,0.9776133
2016-09-19,44.2,0.97306156,0.9420236,0.87986237,0.9562448,0.97408754
2016-09-20,44.46,0.98349935,0.96209234,0.8684984,0.9652155,0.9725443
2016-09-21,45.08,0.98259026,0.9625202,0.9278475,0.9628338,0.9766382
2016-09-22,45.37,0.9806779,0.9687061,0.9072809,0.9746386,0.97410256
2016-09-23,45.5,0.98221064,0.9646005,0.90508884,0.9595575,0.98159367
2016-09-26,46.41,0.96802884,0.9783505,0.93211997,0.9718622,0.9561342
2016-09-27,47.18,0.94352627,0.95960677,0.9084488,0.9754828,0.9713486
2016-09-28,47.96,0.035674762,0.9694383,0.8993179,0.9254072,0.95554715
2016-09-29,50.24,0.014923738,0.8285585,0.86301494,0.95652723,0.97334754
2016-09-30,50.24,0.03340701,0.10408871,0.8193739,0.97230566,0.9525314
2016-10-03,50.81,0.027079282,0.045966372,0.20845848,0.947619,0.9561209
2016-10-04,50.29,0.020371446,0.02735764,0.27945444,0.9663752,0.9119245
2016-10-05,50.29,0.018389735,0.02930264,0.85392725,0.9581137,0.9262764
2016-10-06,51.07,0.022074707,0.047043864,0.35308924,0.9761555,0.28808552
2016-10-07,50.81,0.006354788,0.033681624,0.85670364,0.95749086,0.9224327
2016-10-10,49.78,0.0049685026,0.0968649,0.9344577,0.9547514,0.9541975
2016-10-11,49.83,0.009675191,0.660767,0.8983039,0.9397713,0.95545477
2016-10-12,50.76,0.01654485,0.025884103,0.8726513,0.9497039,0.8483401
2016-10-13,51.07,0.010698688,0.019308483,0.8935576,0.935713,0.7858949
2016-10-14,51.85,0.010920484,0.016809588,0.8106646,0.872075,0.06922379
2016-10-17,52.63,0.0046663713,0.011744943,0.113670334,0.0840541,0.028102197
2016-10-18,52.63,0.004037915,0.009648978,0.07705449,0.081984505,0.031040026
2016-10-19,53.33,0.0042287875,0.018743567,0.04926433,0.07526271,0.027621465
2016-10-20,52.76,0.008891271,0.010224514,0.12347856,0.09880131,0.02942768
2016-10-21,52.71,0.005623662,0.008738388,0.15561576,0.2513449,0.03599439
2016-10-24,51.85,0.009379422,0.025062598,0.8688081,0.8551239,0.06955045
2016-10-25,51.59,0.0048315898,0.012676159,0.8810148,0.8751568,0.053812243
2016-10-26,51.72,0.0050764713,0.006076658,0.87213105,0.84719276,0.020700075
2016-10-27,52.06,0.010901459,0.0060548214,0.2843449,0.72155595,0.014419152
2016-10-28,52.06,0.006880831,0.005029361,0.21115834,0.14675537,0.009969403
2016-10-31,52.32,0.009365641,0.008638945,0.8284791,0.040018883,0.008053187
2016-11-01,52.29,0.013453446,0.007877147,0.7461937,0.02543206,0.0061238143
2016-11-02,52.01,0.008987611,0.007824568,0.10828678,0.020658651,0.0054187346
2016-11-03,50.81,0.0036851873,0.031567544,0.8510798,0.03716212,0.018741524
2016-11-04,51.33,0.004290275,0.0069939927,0.68410265,0.010913239,0.015058923
2016-11-07,52.37,0.0069070854,0.00788645,0.0820331,0.027408013,0.012756497
2016-11-08,52.37,0.006824007,0.008790369,0.08852405,0.030763092,0.008044211
2016-11-09,51.85,0.0065882206,0.008774778,0.060349878,0.020987263,0.016358586
2016-11-10,52.11,0.00603517,0.02016827,0.036075875,0.019580595,0.012701643
2016-11-11,51.85,0.0059237024,0.041948266,0.04236425,0.028385444,0.039164025
2016-11-14,51.15,0.0034309097,0.07567522,0.09212202,0.027140424,0.05691123
2016-11-15,50.81,0.0041026697,0.6970889,0.26921153,0.032786086,0.0752431
2016-11-16,50.94,0.0041470844,0.014607673,0.09670686,0.026644845,0.07490197
2016-11-17,50.55,0.0055520465,0.05608596,0.66864717,0.063297324,0.109050244
2016-11-18,50.53,0.0034954785,0.03877549,0.72410774,0.03607819,0.7298181
2016-11-21,50.42,0.0021798583,0.017333137,0.19185965,0.02185031,0.7634588
2016-11-22,50.4,0.0032082761,0.011708294,0.69660497,0.030706568,0.09413211
2016-11-23,50.55,0.0064588157,0.01300327,0.1205962,0.018106548,0.039323658
2016-11-24,50.63,0.003895431,0.007263527,0.047811035,0.020722682,0.028352086
2016-11-25,50.55,0.0017482309,0.008347289,0.061791964,0.038195156,0.011552066
2016-11-28,50.42,0.0018142245,0.008140467,0.12213658,0.10329539,0.031819712
2016-11-29,50.42,0.0020607647,0.010032913,0.048634812,0.5473161,0.013137495
2016-11-30,50.55,0.0017714847,0.010544523,0.06767739,0.10340263,0.025660213
2016-12-01,50.42,0.0007409309,0.012631132,0.062427085,0.19893526,0.020948192
2016-12-02,50.42,0.0027014422,0.016182916,0.02219936,0.77547705,0.028227342
2016-12-05,50.29,0.0025659988,0.019704727,0.048434697,0.884541,0.042786688
2016-12-06,49.26,0.001905897,0.05637357,0.9503662,0.95976937,0.86234444
2016-12-07,49.0,0.0018578433,0.16097282,0.9534161,0.95200765,0.8489468
2016-12-08,48.61,0.002087115,0.760784,0.96008945,0.9698267,0.2129666
2016-12-09,49.44,0.0024619796,0.064285226,0.8847952,0.9360873,0.074839726
2016-12-12,49.23,0.0026174556,0.7739123,0.89555806,0.94649583,0.12533544
2016-12-13,50.55,0.0027021759,0.038548138,0.14596197,0.04746986,0.013974207
2016-12-14,50.03,0.0024944772,0.064252965,0.81231934,0.044380706,0.05096239
2016-12-15,50.03,0.0021530197,0.067568935,0.710559,0.02880873,0.026807472
2016-12-16,50.55,0.003102778,0.13324648,0.13876896,0.032302886,0.054491755
2016-12-19,50.55,0.0036299648,0.82286954,0.096024625,0.049593374,0.016506705
2016-12-20,50.16,0.0021719052,0.9380161,0.06128401,0.016461851,0.021770861
2016-12-21,50.53,0.0016272222,0.9227212,0.06734157,0.024642812,0.02278884
2016-12-22,50.27,0.00233754,0.9766951,0.03005382,0.022821752,0.11372637
2016-12-23,50.24,0.002496203,0.9868476,0.07370968,0.03851767,0.881758
2016-12-26,50.27,0.0029501587,0.9801909,0.119295806,0.050038554,0.929303
2016-12-27,50.03,0.0022819964,0.97689295,0.106593266,0.039735448,0.9652245
2016-12-28,50.01,0.002871441,0.9667123,0.05242607,0.021076698,0.9461799
2016-12-29,50.01,0.0015102114,0.9773906,0.09547515,0.036376115,0.98904383
2016-12-30,50.01,0.00089971774,0.9802776,0.076377,0.0395879,0.97967404
2017-01-03,49.75,0.0017464784,0.9850252,0.076301016,0.056573376,0.9868051
2017-01-04,49.9,0.0013078575,0.9757474,0.08500424,0.032976624,0.9825133
2017-01-05,49.88,0.0011405738,0.97690135,0.063160256,0.065540805,0.9660905
