date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2018-05-11,15.28,0.9990049,0.001469438,0.9950165,0.00024334164,0.000994864
2018-05-14,15.0,0.9984231,0.0014986842,0.006205799,0.00068515143,0.0007944397
2018-05-15,15.21,0.99514055,0.0006839803,0.0033067807,0.0005621794,0.0002778905
2018-05-16,15.5,0.999151,0.00019321466,0.0012032213,0.0003732679,0.0008676978
2018-05-17,15.46,0.99914634,0.0004581753,0.0005726514,0.0010437613,0.00068660907
2018-05-18,15.39,0.9985084,0.0014513272,0.0015206981,0.0019780432,0.0012556853
2018-05-21,14.79,0.9934888,0.0020230368,0.0036653432,0.00088305597,0.00048572104
2018-05-22,14.72,0.9949013,0.002544385,0.0033839263,0.00094309344,0.0007036682
2018-05-23,13.73,0.9997845,0.009247261,0.99443465,0.0011354549,0.0017680251
2018-05-24,13.52,0.9998957,0.014658833,0.9892419,0.0020628131,0.0041262563
2018-05-25,13.95,0.99978083,0.005081175,0.0021103465,0.00023496058,8.702062e-05
2018-05-28,14.02,0.9997187,0.00077162776,5.1715295e-05,3.6722693e-06,4.5560202e-05
2018-05-29,14.09,0.9996482,0.0013840984,0.0001613903,4.992608e-06,7.731152e-05
2018-05-30,13.84,0.99986374,0.002031541,0.00010772724,5.5541816e-05,0.00022613964
2018-05-31,13.59,0.99990153,0.0073312377,0.0011608978,0.00032198217,0.0027301009
2018-06-01,13.88,0.99995065,0.001634489,0.00010739954,4.4568005e-05,0.00045515728
2018-06-04,13.91,0.9999291,0.0012651683,6.8289883e-06,1.1208066e-05,0.0002456607
2018-06-05,13.45,0.9998661,0.0025043075,0.00014978927,0.00011340651,0.001370315
2018-06-06,13.03,0.999821,0.009152491,0.0017934376,4.8787246e-05,0.0008258192
2018-06-07,13.24,0.9998617,0.0035920644,0.00016595458,9.464032e-05,0.00027628272
2018-06-08,13.0,0.999788,0.005462222,8.315556e-05,0.0009882338,0.00031943616
2018-06-11,13.03,0.9996612,0.0054895976,0.000760104,3.7079233e-05,0.00053668546
2018-06-12,12.54,0.9996698,0.9875738,0.00093441,4.2155294e-05,0.0006347122
2018-06-13,12.64,0.99989295,0.96485907,0.001166729,0.0001121019,0.00068591774
2018-06-14,12.54,0.9999536,0.97427875,0.0060244957,0.0005533986,0.0049117412
2018-06-15,11.97,0.99991274,0.99337304,0.9935138,0.00028949408,0.0055203675
2018-06-18,11.97,0.9999249,0.993946,0.9949928,0.0017258796,0.010386491
2018-06-19,11.62,0.99986994,0.9979729,0.014578434,0.004661612,0.98136836
2018-06-20,11.2,0.9998116,0.9996873,0.99730444,0.9941871,0.99494237
2018-06-21,11.27,0.99986947,0.99975616,0.99797004,0.9968754,0.99886984
2018-06-22,12.04,0.9998118,0.99761665,0.0012537488,0.004826991,0.99831104
2018-06-25,12.04,0.9998884,0.99433845,0.0049835085,0.0015261343,0.9989147
2018-06-26,11.48,0.9998652,0.9971589,0.0014937425,0.0037340203,0.9994135
2018-06-27,11.41,0.9998789,0.99925333,0.9970457,0.0022135696,0.9990194
2018-06-28,11.62,0.9999052,0.99772865,0.00260428,0.007401203,0.99790394
2018-06-29,11.62,0.9995135,0.99795026,0.0003489918,0.005023449,0.9987079
2018-07-02,11.52,0.9991492,0.9986777,0.0014214402,0.9938176,0.99866116
2018-07-03,11.48,0.9997422,0.9992962,0.0027968038,0.99225426,0.9998011
2018-07-04,11.52,0.9993831,0.9975435,0.0024893107,0.99825186,0.99952924
2018-07-05,11.52,0.9983039,0.9994437,0.005328006,0.99843615,0.99753904
2018-07-06,11.13,0.9994505,0.99680066,0.99633396,0.99262035,0.99877375
2018-07-09,11.38,0.99762076,0.99894136,0.9956801,0.99748224,0.99658006
2018-07-10,11.38,0.9991596,0.9966594,0.9987165,0.9992163,0.99903333
2018-07-11,11.27,0.9986737,0.99908054,0.9947726,0.996956,0.99958795
