date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-14,20.55,0.9976127,0.009355594,0.0007177616,0.011998581,0.9967691
2016-09-15,20.52,0.9988716,0.9899282,0.003763749,0.9925982,0.9976211
2016-09-16,20.8,0.9962931,0.013884446,0.0012148537,0.9956858,0.9966317
2016-09-19,20.83,0.998796,0.012545801,0.0010468464,0.9942819,0.9987741
2016-09-20,20.48,0.99986804,0.99437654,0.010826672,0.99955267,0.99776685
2016-09-21,20.27,0.9996692,0.9987392,0.9981365,0.9995771,0.9996989
2016-09-22,20.27,0.9995859,0.9986051,0.9992035,0.9990958,0.9988657
2016-09-23,20.3,0.9997466,0.99336773,0.99751484,0.99765426,0.99848384
2016-09-26,20.16,0.99971455,0.9927021,0.9997613,0.9975751,0.99840975
2016-09-27,20.37,0.9998994,0.010189659,0.99724233,0.99711573,0.9962704
2016-09-28,20.52,0.9998555,0.0041831634,0.9994142,0.9978872,0.99333835
2016-09-29,20.66,0.99987614,0.0011801219,0.9973677,0.9942662,0.008357264
2016-09-30,20.83,0.9998584,0.00070400833,0.9974865,0.99021053,0.0006311911
2016-10-03,20.97,0.9997377,0.0029348219,0.9956475,0.014616515,0.0002616447
2016-10-04,20.62,0.9999598,0.009046779,0.99154717,0.99046963,0.0014802149
2016-10-05,20.87,0.9999236,0.0047030193,0.99692756,0.012607539,0.0024683247
2016-10-06,21.19,0.9995566,0.0046717743,0.9981375,0.98899555,0.0025897806
2016-10-07,21.33,0.99955267,0.016233882,0.9958039,0.99248296,0.001006976
2016-10-10,21.04,0.9998872,0.99449867,0.003241736,0.008967011,0.00089740695
2016-10-11,21.04,0.99961495,0.9941678,0.003021781,0.0013034708,0.0005559569
2016-10-12,21.4,0.9994149,0.99628013,0.0044247177,0.0007560026,0.00027193647
2016-10-13,21.47,0.9997149,0.993803,0.9871055,0.002516549,0.0006784293
2016-10-14,21.61,0.99832207,0.99782,0.013150448,0.005883051,0.00091627793
2016-10-17,20.87,0.9997962,0.99982774,0.0120734535,0.004173014,0.011654032
2016-10-18,20.8,0.9997223,0.9996693,0.99051297,0.0036184574,0.99119323
2016-10-19,20.55,0.99886477,0.99978787,0.99737775,0.00458815,0.99713814
2016-10-20,21.54,0.99912375,0.9994338,0.00048676206,0.0031532627,0.0035761932
2016-10-21,21.4,0.9995577,0.9997527,0.0015176545,0.003088852,0.007285852
2016-10-24,20.87,0.99986625,0.99997056,0.0014630856,0.0010024944,0.003930414
2016-10-25,20.83,0.99978715,0.9998872,0.0022056731,0.0012717799,0.0063532977
2016-10-26,20.69,0.99915075,0.9997577,0.0055456394,0.0073044826,0.99637645
2016-10-27,20.34,0.9981384,0.9997718,0.0016282877,0.9905449,0.9978756
2016-10-28,20.48,0.9992256,0.9988342,0.0011553267,0.014515845,0.99540675
2016-10-31,20.13,0.9991984,0.9976572,0.004020658,0.996702,0.99591416
2016-11-01,20.27,0.9994849,0.99950886,0.0012571405,0.9940586,0.9962658
2016-11-02,20.27,0.9997278,0.99983716,0.0072107883,0.9958912,0.9956506
2016-11-03,19.99,0.99984646,0.99981743,0.99538165,0.99887234,0.99908996
2016-11-04,19.77,0.99992466,0.9986218,0.99961877,0.9999223,0.999793
2016-11-07,20.13,0.9998536,0.999607,0.9968521,0.9984138,0.99729234
2016-11-08,20.06,0.9996296,0.99841285,0.9951615,0.996687,0.03030757
2016-11-09,20.13,0.9997769,0.9988451,0.99761105,0.9991798,0.9956572
2016-11-10,20.48,0.9999387,0.9994881,0.9951526,0.99891233,0.9945503
2016-11-11,20.34,0.9998294,0.99977845,0.9943123,0.9957445,0.99503917
2016-11-14,20.83,0.9999044,0.99978477,0.010179046,0.9948965,0.0019111125
2016-11-15,20.83,0.99982196,0.99912566,0.012266473,0.01807823,0.0028212334
2016-11-16,20.69,0.9998685,0.9993142,0.99086714,0.99033946,0.0042583845
2016-11-17,20.55,0.9999368,0.9992071,0.99921155,0.9949273,0.0016651112
2016-11-18,20.8,0.9999813,0.99884063,0.99851793,0.008625202,0.0015917562
2016-11-21,20.73,0.9998709,0.999276,0.9941478,0.0020269223,0.0004827294
2016-11-22,20.8,0.99990976,0.99953306,0.99141896,0.0017499502,0.00040449903
2016-11-23,20.9,0.99988663,0.99949956,0.011932476,0.0006895051,0.00016356964
2016-11-24,20.97,0.9998696,0.9997328,0.003959945,0.0019487388,0.00013705059
2016-11-25,21.04,0.999376,0.99990845,0.0030613525,0.005077948,0.0011070963
