date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-11-08,5.19,0.9982205,0.0133569455,0.06541593,0.038912803,0.021203112
2016-11-09,5.19,0.9982267,0.019495536,0.03148967,0.013003906,0.01704686
2016-11-11,5.15,0.99390405,0.011499328,0.051999085,0.03968091,0.02668268
2016-11-14,5.09,0.9979881,0.01844575,0.15962873,0.07536281,0.027931318
2016-11-15,5.09,0.9985391,0.043700226,0.10806078,0.038833704,0.036156256
2016-11-16,5.09,0.9926951,0.017380672,0.66041046,0.039453704,0.022620175
2016-11-17,5.06,0.9980673,0.018154036,0.10550081,0.06239568,0.026458547
2016-11-18,5.02,0.9978257,0.025101308,0.18060666,0.16512193,0.062387608
2016-11-21,5.02,0.99894136,0.016868044,0.15393172,0.80386555,0.04557518
2016-11-22,4.89,0.99862564,0.0383113,0.7738435,0.8869592,0.7740599
2016-11-23,5.15,0.9965256,0.0105836475,0.014599527,0.030387193,0.03694613
2016-11-24,4.91,0.9994252,0.014136016,0.8909644,0.8486521,0.79218614
2016-11-25,5.02,0.99903727,0.009945852,0.084045865,0.04833004,0.017637506
2016-11-28,4.92,0.9988738,0.014536345,0.8386237,0.14885476,0.14757828
2016-11-29,5.02,0.9987502,0.022044407,0.13181962,0.077380285,0.029242637
2016-11-30,5.02,0.99916625,0.005521292,0.057706587,0.10453718,0.082164414
2016-12-01,5.02,0.99566156,0.007438459,0.5407512,0.65463144,0.04050767
2016-12-02,4.89,0.9990177,0.015665928,0.31529087,0.923716,0.781115
2016-12-05,5.06,0.99823964,0.012759885,0.059016254,0.047070455,0.02636198
2016-12-06,4.92,0.9985435,0.02241046,0.07785623,0.7596166,0.061086133
2016-12-07,4.92,0.9961676,0.013506558,0.096047655,0.102383606,0.034261778
2016-12-08,5.06,0.9975331,0.018319748,0.038336404,0.06563371,0.035977896
2016-12-09,4.76,0.99918395,0.8127059,0.90930414,0.94038093,0.90457666
2016-12-12,4.86,0.9955087,0.74559385,0.8523727,0.83807135,0.09802336
2016-12-13,4.69,0.9993767,0.97346413,0.9322969,0.96070564,0.94354534
2016-12-14,4.89,0.9978775,0.78940076,0.7987801,0.8348201,0.04785964
2016-12-15,5.06,0.9984102,0.05148033,0.051106144,0.049650647,0.06579835
2016-12-16,4.92,0.998585,0.016685791,0.08403745,0.12195312,0.06955574
2016-12-19,4.92,0.9987833,0.02220919,0.08887234,0.052434515,0.1636159
2016-12-21,4.96,0.99754804,0.023813482,0.043479368,0.044402443,0.76178366
2016-12-23,4.91,0.9959577,0.026521068,0.7213134,0.07416992,0.86239415
2016-12-26,5.02,0.996988,0.023899117,0.09675783,0.040387478,0.90075046
2016-12-27,4.92,0.99879175,0.016170425,0.05487774,0.059070885,0.8568188
2016-12-28,4.89,0.9969415,0.023652285,0.07888835,0.05784311,0.8178778
2016-12-29,4.86,0.9982413,0.050732523,0.10964755,0.13611889,0.7959699
2016-12-30,4.92,0.998381,0.026398543,0.08398533,0.06967411,0.102306284
2017-01-04,4.92,0.9991061,0.02368861,0.05156138,0.05573566,0.18161322
2017-01-05,4.91,0.99846834,0.01961044,0.05089677,0.072205395,0.7747956
2017-01-06,4.76,0.99900925,0.857727,0.8023808,0.9459599,0.9640359
2017-01-10,4.86,0.99806255,0.60815525,0.09769159,0.9234232,0.16521212
2017-01-11,4.89,0.99904543,0.03210213,0.07914194,0.8196695,0.106070235
2017-01-13,4.78,0.99699354,0.041732833,0.35775197,0.96960807,0.8786904
2017-01-16,4.78,0.995634,0.02739385,0.7859014,0.9557671,0.9055552
2017-01-17,4.78,0.9982917,0.03022376,0.8967208,0.950021,0.87509215
2017-01-18,4.73,0.9983773,0.123397395,0.9700816,0.9738971,0.97075695
2017-01-19,4.69,0.9985322,0.7695024,0.9670525,0.96637017,0.9683772
2017-01-20,4.66,0.99815863,0.81435895,0.97662216,0.9400747,0.98680323
2017-01-23,4.79,0.99569345,0.045742925,0.91903573,0.88318783,0.08832797
2017-01-24,4.92,0.99834585,0.03732083,0.8395844,0.09936858,0.026975345
2017-01-25,5.04,0.99904495,0.013992432,0.7833028,0.034954093,0.015351143
2017-02-02,5.12,0.99940777,0.015999077,0.08830538,0.03086238,0.027230993
2017-02-03,5.19,0.9973193,0.02053065,0.068208046,0.04488726,0.03338331
2017-02-06,5.06,0.9992236,0.051589582,0.09384491,0.027400946,0.020248244
2017-02-07,5.09,0.99843735,0.015987799,0.026553668,0.018214457,0.02505438
2017-02-08,5.06,0.9993055,0.04053246,0.035059743,0.02611034,0.048720136
2017-02-09,4.92,0.9989008,0.019613314,0.07797083,0.05254358,0.08723548
2017-02-10,4.79,0.9980045,0.026838664,0.88307196,0.11459256,0.8301701
2017-02-13,4.92,0.99798125,0.013008222,0.031977456,0.035878006,0.07064813
2017-02-14,4.89,0.99861336,0.016671488,0.068356544,0.08888661,0.099710435
2017-02-15,4.82,0.9973985,0.026647324,0.8230881,0.81448615,0.116177276
2017-02-16,4.88,0.99711585,0.025066605,0.08252587,0.79473215,0.09852366
2017-02-17,4.89,0.9986401,0.02229041,0.05777461,0.07842713,0.8499886
2017-02-20,4.89,0.99889225,0.04992758,0.07298832,0.057700038,0.8684066
2017-02-21,4.86,0.9985227,0.041245487,0.09232537,0.07752741,0.9259068
2017-02-22,4.86,0.9971308,0.081939764,0.06855555,0.05532042,0.94984967
2017-02-23,4.82,0.9984628,0.8071562,0.7613115,0.20356423,0.9719497
2017-02-24,4.73,0.9987006,0.9913794,0.9258755,0.9361224,0.98861516
2017-02-27,4.76,0.9988286,0.98911196,0.42596745,0.95135826,0.9648846
2017-02-28,4.76,0.9992355,0.98641205,0.8712774,0.9483039,0.97621846
2017-03-01,4.86,0.99792117,0.99112904,0.08460146,0.11509082,0.8566176
2017-03-02,4.89,0.99841845,0.9891237,0.045079686,0.15330409,0.17838731
2017-03-03,4.82,0.99873966,0.99283737,0.18626657,0.88733107,0.8395101
2017-03-06,4.76,0.99839777,0.995355,0.9113971,0.9549359,0.97855455
2017-03-07,4.86,0.9980525,0.9926756,0.0808594,0.88153857,0.08368267
2017-03-08,4.84,0.99888045,0.9928525,0.112486444,0.9172081,0.118424125
2017-03-10,4.79,0.99768794,0.99513173,0.94522053,0.9664738,0.8861053
2017-03-13,4.82,0.99473923,0.9939659,0.94475937,0.97171086,0.21435791
2017-03-14,4.82,0.9985424,0.996434,0.9545302,0.93761784,0.83235955
2017-03-15,4.82,0.9984053,0.9951148,0.95075774,0.9285968,0.85842586
2017-03-16,4.82,0.99820447,0.99590105,0.9415541,0.8735872,0.7503252
2017-03-17,4.82,0.9982457,0.995539,0.9509989,0.21724916,0.25652203
2017-03-20,4.91,0.99894816,0.9950589,0.84866834,0.052314755,0.05373839
2017-03-21,4.92,0.99890363,0.99170834,0.10714588,0.030913422,0.020620642
2017-03-22,5.02,0.9985286,0.99063617,0.032899268,0.03874218,0.028758245
2017-03-23,4.99,0.999079,0.9934262,0.018775957,0.011304973,0.016975496
2017-03-24,4.99,0.9988255,0.99480283,0.02764443,0.02103338,0.008441184
2017-03-27,5.02,0.99852175,0.9945157,0.02822573,0.029878428,0.019426769
2017-03-28,4.92,0.99874145,0.99299085,0.09644,0.01710098,0.03044342
2017-03-29,4.92,0.9964322,0.99341524,0.057717323,0.0075823674,0.03644553
2017-03-30,4.92,0.9973647,0.98661345,0.035190683,0.013488513,0.017056594
2017-03-31,4.69,0.99850863,0.99662775,0.9715353,0.14100046,0.8182104
2017-04-03,4.89,0.9952154,0.992773,0.037889775,0.036944058,0.025279837
2017-04-04,4.92,0.99868625,0.9957698,0.061185867,0.051907644,0.043266613
2017-04-05,4.79,0.9982888,0.995915,0.8691734,0.12860428,0.030502694
2017-04-07,4.76,0.9975573,0.9949809,0.9137061,0.085848324,0.058126763
2017-04-10,4.82,0.9973489,0.99394375,0.07457853,0.11290169,0.017644744
2017-04-11,4.79,0.99758196,0.995539,0.15770495,0.6424541,0.030669529
2017-04-12,4.86,0.99898833,0.99504745,0.07986208,0.069594756,0.017936435
2017-04-13,4.89,0.99832696,0.99297065,0.031028429,0.061996013,0.037495006
2017-04-14,4.88,0.99883205,0.99477416,0.05402713,0.073396176,0.060111307
