date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2018-08-20,8.67,0.9998834,0.0002695213,0.0017791755,0.00033613932,0.99886024
2018-08-21,8.64,0.9998053,8.139636e-05,0.99899095,0.0015380599,0.9988984
2018-08-22,8.71,0.9988192,0.00030819376,0.004725034,0.0024461872,0.9964055
2018-08-23,8.67,0.99927026,0.00023960484,0.99519324,0.0017871301,0.9981012
2018-08-24,8.53,0.9993267,0.00059512677,0.9961293,0.0012918438,0.9995838
2018-08-27,8.6,0.9996966,0.00019196229,0.9971608,0.0011667184,0.99966633
2018-08-28,8.74,0.99985814,8.216107e-05,0.0037508581,0.0014339548,0.999972
2018-08-29,8.64,0.9997763,0.00075306284,0.0023113415,0.0010987619,0.9992638
2018-08-30,9.19,0.99638593,0.0020791534,8.879943e-05,0.000777059,0.99620986
2018-08-31,8.57,0.9993374,0.0027129154,0.0041984944,0.0036615997,0.9995883
2018-09-04,8.64,0.9989932,0.00052721775,0.0024451518,0.9955415,0.9991641
2018-09-05,8.43,0.9994332,0.00071819365,0.9913345,0.99656796,0.99779046
2018-09-06,8.57,0.9998971,8.726651e-05,0.0014391546,0.9949787,0.99771214
2018-09-07,8.53,0.99993765,0.0016226108,0.0051304055,0.99417996,0.9916618
2018-09-10,8.36,0.9998807,0.0017870943,0.0073538832,0.9988373,0.99900097
2018-09-11,8.5,0.9997831,0.0062468844,0.9945703,0.9981963,0.99996626
2018-09-12,8.53,0.99990106,0.012536736,0.9965191,0.99843997,0.9987935
2018-09-14,8.36,0.99988055,0.98630214,0.99952924,0.9998318,0.99985015
2018-09-17,8.5,0.99994147,0.98314774,0.99802893,0.9995059,0.9994031
2018-09-18,8.32,0.999995,0.9902624,0.9986141,0.9994056,0.9966743
2018-09-19,8.88,0.9998253,0.0025208404,0.9973464,0.99838865,0.002160699
2018-09-20,8.78,0.9999764,0.00059333025,0.99613357,0.99735224,0.0004895318
2018-09-21,8.88,0.9998454,0.000371065,0.9997434,0.99810576,0.00064325816
2018-09-24,8.95,0.999969,0.000108582615,0.99701786,0.98892725,0.0026818363
2018-09-25,8.88,0.9999268,0.00010654818,0.9910495,0.99310863,0.00020606005
2018-09-26,9.4,0.9998604,0.00048718145,0.000923086,0.0037869774,0.0009174017
2018-09-27,9.54,0.9996382,0.00062629144,0.00012097543,0.0015260486,0.0007559425
2018-09-28,9.54,0.999882,0.00016681859,0.00014255264,0.0027158558,0.0004020824
2018-10-01,9.36,0.9998901,0.0006482917,0.0016647973,0.0009281854,0.00044042044
2018-10-02,9.33,0.9995858,0.0017507618,0.00022413967,1.4130862e-05,0.000101055804
2018-10-03,9.12,0.9996816,0.0006363064,0.9958948,0.0006106939,0.00045852724
2018-10-04,9.12,0.9998259,0.0009456101,0.0021247205,0.0006100958,0.0007419102
2018-10-05,9.3,0.9995999,0.0008366904,0.000113894734,7.4231066e-06,0.00044169545
2018-10-08,9.19,0.9998325,0.0016629456,0.0012685704,2.4254747e-05,0.00014985612
2018-10-09,9.12,0.99977857,0.0006841635,0.0009606228,5.4874254e-05,0.0007303255
2018-10-10,9.16,0.9999068,0.0006721539,5.008919e-05,2.543597e-05,0.00048101335
2018-10-11,8.78,0.99982196,0.0035724877,0.0014157593,4.9526017e-05,0.0002951228
2018-10-12,8.81,0.9997478,0.0035253358,0.0013991412,0.0011227733,0.000107902735
2018-10-15,8.81,0.9998499,0.0013590999,0.0018176689,0.00052531663,0.00018882393
2018-10-16,8.5,0.99951935,0.0037421554,0.9947002,0.0012537893,0.0012721083
2018-10-17,8.84,0.9996755,0.00052024174,0.0003812136,0.0023034282,0.0017394024
2018-10-18,8.67,0.9995203,0.00022469363,0.0012475229,0.0024173558,0.0011405069
2018-10-19,8.53,0.99960905,0.000829873,0.0024514731,0.0014234397,0.0021762373
2018-10-22,8.64,0.9999068,9.790232e-05,0.0002762938,0.00045530766,0.0013124101
2018-10-23,8.6,0.9998903,0.00024384285,3.6417357e-06,0.00063079334,0.0011449504
2018-10-24,7.98,0.9999335,0.97386485,0.0042047086,0.0009362257,0.0039446778
2018-10-25,8.19,0.9998698,0.003860337,0.99000436,0.0018899505,0.0007436395
2018-10-26,8.15,0.999964,0.0035055536,0.005363993,0.004215862,0.0016978969
2018-10-29,7.8,0.9999207,0.9745714,0.9988702,0.9957202,0.96841633
2018-10-30,7.98,0.9999325,0.013882931,0.0061626015,0.9902649,0.012854856
2018-10-31,7.28,0.9998958,0.9835671,0.9941461,0.9957761,0.9880332
2018-11-01,8.32,0.9993692,0.003597667,0.0021688722,0.0030686317,0.0047618593
2018-11-02,8.08,0.9999037,0.9845218,0.0031014981,0.0019607178,0.0127283875
2018-11-05,7.98,0.999948,0.98644525,0.0072454875,0.9890981,0.9874271
2018-11-06,7.94,0.99996686,0.98858726,0.99478006,0.009715007,0.99420834
2018-11-07,7.6,0.9999895,0.9960859,0.9941795,0.99683183,0.99848014
2018-11-08,7.77,0.9999696,0.9786739,0.0063018673,0.9973015,0.9994874
2018-11-09,7.87,0.99997234,0.010206212,0.99716693,0.99576855,0.99952745
2018-11-12,7.98,0.99979883,0.0019677822,0.98842096,0.0030895509,0.99756193
2018-11-13,8.01,0.99990284,0.0038484766,0.0026200274,0.00247925,0.99818474
2018-11-14,7.91,0.99990654,0.0024839218,0.0025100913,0.0029393379,0.99899906
2018-11-15,7.77,0.99991655,0.007923872,0.99463624,0.9880349,0.99916685
2018-11-16,7.99,0.9994221,0.00080616504,0.9960543,0.005714882,0.9988116
2018-11-19,7.99,0.9996766,0.0010102595,0.0030332492,0.99600863,0.99840254
2018-11-20,7.75,0.99997056,0.004617615,0.99884415,0.9961331,0.9999232
2018-11-21,7.75,0.9998258,0.0060775285,0.9928203,0.9999218,0.9999641
2018-11-22,7.83,0.9996184,0.0032139248,0.006427987,0.9986223,0.9997925
2018-11-23,8.03,0.99761224,0.0038588978,0.0070030564,0.9997962,0.99924386
2018-11-26,7.83,0.99992454,0.0061466997,0.99146384,0.99984825,0.9999052
2018-11-27,7.91,0.9995491,0.0076519796,0.9965269,0.999408,0.99997294
2018-11-28,7.79,0.99979514,0.96577704,0.9931536,0.9990464,0.99825424
2018-11-29,7.79,0.99597436,0.9779357,0.9998011,0.9995202,0.9961416
2018-11-30,7.79,0.9984841,0.99797803,0.99990535,0.9980471,0.99622774
2018-12-03,8.15,0.9862769,0.97893685,0.9999608,0.99912626,0.9884316
2018-12-04,8.31,0.9869285,0.9879187,0.9983266,0.99646795,0.0057653855
2018-12-05,8.23,0.9934342,0.99625397,0.998877,0.9983841,0.005628994
2018-12-06,8.23,0.99688417,0.9990466,0.99884844,0.9956054,0.004342308
2018-12-07,8.47,0.9953701,0.9983998,0.99654466,0.0072802156,0.0005742914
2018-12-10,8.79,0.99818593,0.99783117,0.0030338564,0.003026055,0.0023994641
2018-12-11,8.87,0.9992238,0.9972583,0.0008890238,0.0031162126,0.004204535
2018-12-12,8.83,0.9992487,0.9996464,0.0019976185,0.0010290772,0.00088077696
2018-12-13,8.63,0.9976273,0.99924785,0.0005076506,0.0010890202,0.00033913943
2018-12-14,8.71,0.9988263,0.9979329,0.00034913805,0.0011760461,0.0023935908
2018-12-17,8.75,0.9983431,0.9990339,0.0006958767,0.0002558505,0.0008322309
2018-12-18,8.67,0.9985537,0.99929726,7.031117e-05,0.00021696814,0.0014030854
2018-12-19,8.63,0.9990694,0.9973738,0.00031552685,0.00026980927,0.0021466448
2018-12-20,8.59,0.996402,0.99597013,0.0006959166,0.00011623802,0.0031851334
2018-12-21,8.39,0.99979764,0.99491596,0.0021776678,0.001530966,0.00042264
2018-12-24,8.39,0.9993224,0.99834776,0.00087430264,0.0005201106,0.0005652488
2018-12-25,8.27,0.9998797,0.9981996,0.0023323349,0.00062760245,0.00030425165
2018-12-26,8.27,0.99989104,0.99890935,0.00011243624,0.0007559079,0.00010481999
2018-12-27,8.23,0.9997725,0.99956447,0.00024628427,0.0010828689,0.0002546223
2018-12-28,8.19,0.9998516,0.99974877,0.001975166,0.009344393,0.00045500137
2019-01-02,8.23,0.99982435,0.99971837,0.0013166405,0.9914575,0.00042473333
2019-01-03,8.19,0.99951935,0.9998615,0.0018464001,0.9924468,0.00043951077
2019-01-04,8.07,0.99952745,0.9994892,0.99379057,0.98633146,0.0011418789
2019-01-07,8.19,0.9991478,0.9939003,0.9983292,0.0029703064,0.0043332484
2019-01-08,8.15,0.99954647,0.9984847,0.9986524,0.0005271467,0.00081860763
2019-01-09,8.11,0.9995993,0.99694914,0.99574524,0.0029136145,0.0012994491
2019-01-10,7.99,0.9999434,0.9981679,0.9981572,0.0015584418,0.00068575307
2019-01-11,8.15,0.99992,0.9959,0.9961808,0.00096243725,0.0017672048
2019-01-14,8.23,0.99987245,0.9992804,0.0016836325,0.00094542635,0.00071670825
