date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,2.55,0.99722373,0.013973412,0.019593159,0.0060912515,0.02922503
2016-07-15,2.55,0.9966725,0.0154537335,0.02093701,0.014892185,0.0075920075
2016-07-18,2.55,0.99698335,0.039797027,0.032671995,0.011879101,0.021494342
2016-07-19,2.59,0.9978397,0.014988945,0.01987084,0.007953288,0.012405878
2016-07-20,2.59,0.99710625,0.036979422,0.022128204,0.012670252,0.012772835
2016-07-21,2.47,0.99824595,0.7753412,0.06865963,0.015569952,0.040020835
2016-07-22,2.43,0.9986594,0.124706395,0.07224011,0.011354887,0.022326607
2016-07-25,2.4,0.9985025,0.14316677,0.6820356,0.015338621,0.027670365
2016-07-26,2.4,0.9982672,0.8623836,0.10423454,0.026237927,0.035606287
2016-07-27,2.43,0.99743515,0.7162208,0.065605536,0.031163568,0.045839425
2016-07-28,2.43,0.9978551,0.06145594,0.05804925,0.022214435,0.021165138
2016-07-29,2.43,0.99740297,0.03507102,0.04583807,0.046422113,0.01915293
2016-08-01,2.43,0.9969291,0.05519568,0.034924906,0.028852448,0.02800384
2016-08-02,2.4,0.99766386,0.08917856,0.057875875,0.06701488,0.025563201
2016-08-03,2.36,0.9963921,0.8665015,0.08330458,0.0851074,0.0368457
2016-08-04,2.32,0.99758804,0.9410377,0.7885459,0.80970806,0.024842769
2016-08-05,2.28,0.9982014,0.98891795,0.15199545,0.90597886,0.04780728
2016-08-08,2.32,0.99560994,0.96034676,0.08878092,0.13166381,0.055704217
2016-08-09,2.36,0.99809545,0.06503695,0.029355818,0.050250728,0.019015502
2016-08-10,2.36,0.9990062,0.04183337,0.10241167,0.05252381,0.035816155
2016-08-11,2.4,0.9986889,0.06348014,0.041060492,0.06097664,0.053600293
2016-08-12,2.28,0.9991843,0.96432,0.83312225,0.8552622,0.9596105
2016-08-15,2.32,0.99864656,0.95554435,0.11474833,0.8234968,0.8410671
2016-08-16,2.32,0.9992642,0.9860265,0.80625427,0.75872684,0.8646311
2016-08-17,2.32,0.99923384,0.98062634,0.8534549,0.1841161,0.14288536
2016-08-18,2.36,0.9988423,0.9905584,0.09684624,0.034859672,0.070597276
2016-08-19,2.36,0.9984829,0.986251,0.032831006,0.03153411,0.053500704
2016-08-22,2.32,0.99824667,0.9955913,0.8227092,0.1539543,0.84720534
2016-08-23,2.36,0.9978975,0.991903,0.05592694,0.057945035,0.11363868
2016-08-24,2.36,0.9982564,0.99229854,0.04258448,0.026570512,0.80994475
2016-08-25,2.36,0.9981248,0.9858064,0.041929834,0.050605398,0.124876216
2016-08-26,2.32,0.99816966,0.9969253,0.2289858,0.65597737,0.8950462
2016-08-29,2.36,0.99807525,0.99141955,0.052997194,0.06490476,0.32570893
2016-08-30,2.36,0.9981389,0.9914962,0.08549467,0.14363189,0.8584453
2016-08-31,2.28,0.9978618,0.9941425,0.8926143,0.22676767,0.9954755
2016-09-01,2.32,0.99853075,0.9967632,0.19597077,0.24388559,0.9663381
2016-09-05,2.28,0.9977227,0.9935115,0.9137991,0.12002087,0.98315454
2016-09-06,2.32,0.99751866,0.9945904,0.65074974,0.7718347,0.9795735
2016-09-07,2.28,0.99706215,0.99326855,0.9404809,0.12424378,0.9926801
2016-09-08,2.32,0.997494,0.9925828,0.07933697,0.8202527,0.9574957
2016-09-09,2.32,0.9977925,0.988715,0.1300243,0.92433673,0.9803387
2016-09-12,2.36,0.9972952,0.9820993,0.027909402,0.7255425,0.8819022
2016-09-13,2.36,0.99773455,0.9921984,0.038835224,0.2238938,0.40061697
2016-09-14,2.36,0.99757344,0.98281693,0.0608178,0.81696326,0.809
2016-09-15,2.28,0.9979448,0.9978077,0.9623741,0.9041836,0.9803335
2016-09-16,2.28,0.9985233,0.9970885,0.95895034,0.9419119,0.97624743
2016-09-19,2.28,0.99773574,0.9931049,0.9031453,0.94148797,0.9769896
2016-09-20,2.36,0.99826485,0.9782376,0.059742656,0.06630197,0.8948343
2016-09-21,2.28,0.9980124,0.9884134,0.90502775,0.9597359,0.9808507
2016-09-22,2.4,0.9984006,0.89693004,0.03480996,0.046349343,0.8335833
2016-09-23,2.36,0.9977761,0.92844003,0.09893273,0.80314595,0.91486365
2016-09-26,2.43,0.9975904,0.09251757,0.01726464,0.03673175,0.13201854
2016-09-27,2.36,0.9993855,0.9708161,0.12964211,0.23345569,0.90230685
2016-09-28,2.43,0.9995617,0.07685684,0.04795613,0.08623739,0.052465253
2016-09-29,2.4,0.9993893,0.09766115,0.0947103,0.142976,0.1028439
2016-09-30,2.36,0.99918324,0.95256937,0.8812585,0.9265084,0.093836635
2016-10-03,2.36,0.9992962,0.9686193,0.7368189,0.9567976,0.66233754
2016-10-04,2.36,0.9992735,0.95771956,0.39743796,0.9726652,0.21056567
2016-10-05,2.4,0.9994848,0.054625276,0.112196125,0.9337342,0.050596178
2016-10-06,2.4,0.99926966,0.06804473,0.18109967,0.7483019,0.04330837
2016-10-07,2.4,0.9991603,0.85114,0.720276,0.92729765,0.06103361
2016-10-10,2.4,0.9990006,0.8324032,0.8360535,0.14143685,0.02039991
2016-10-11,2.36,0.9991623,0.95182025,0.86841035,0.6716567,0.86493516
2016-10-12,2.4,0.9990061,0.22377928,0.79176414,0.1304664,0.049726777
2016-10-13,2.36,0.99852884,0.9566134,0.93911874,0.9269727,0.89172786
2016-10-14,2.51,0.99934965,0.025733078,0.08661022,0.04062685,0.08550318
2016-10-17,2.43,0.99937636,0.04837962,0.057748787,0.055740476,0.074774794
2016-10-18,2.4,0.99925274,0.8448282,0.124025494,0.054271676,0.03602681
2016-10-19,2.47,0.99928313,0.02544355,0.044175107,0.034523446,0.046216846
2016-10-20,2.47,0.99838984,0.02130983,0.0522623,0.043634962,0.036550764
2016-10-21,2.43,0.998755,0.064632006,0.059651,0.030907616,0.11572934
2016-10-24,2.4,0.9992254,0.1213628,0.055574913,0.082159,0.8969252
2016-10-25,2.4,0.99913436,0.9023779,0.038505647,0.065823264,0.91505164
2016-10-26,2.36,0.99887806,0.94826543,0.1470222,0.8579145,0.97681785
2016-10-27,2.4,0.99826765,0.9588453,0.055515688,0.2659579,0.9085012
2016-10-28,2.36,0.99923575,0.98996407,0.17016993,0.9545428,0.98783535
2016-10-31,2.4,0.99908423,0.994733,0.062175434,0.8333446,0.9436412
2016-11-01,2.36,0.99860245,0.99773383,0.87957704,0.96713626,0.9833662
2016-11-02,2.36,0.9987288,0.9911259,0.88763446,0.95768523,0.9789363
2016-11-03,2.36,0.9984446,0.9840651,0.92728686,0.97228414,0.97409785
2016-11-04,2.36,0.99868566,0.9943452,0.9474643,0.97336847,0.9769527
2016-11-07,2.36,0.9986224,0.99539906,0.9285824,0.9793108,0.9577391
2016-11-08,2.4,0.99862444,0.99462974,0.19645306,0.8542313,0.31229106
2016-11-09,2.4,0.99886835,0.9956873,0.84236276,0.26087466,0.9473887
2016-11-10,2.4,0.99836534,0.99717915,0.8179458,0.9315663,0.8314439
2016-11-11,2.4,0.9985543,0.9971615,0.29796538,0.8954393,0.9406317
2016-11-14,2.43,0.9988242,0.99233925,0.06898915,0.11702883,0.896871
2016-11-15,2.4,0.99839133,0.99631715,0.80228746,0.8612493,0.95416754
2016-11-16,2.43,0.9985116,0.9928207,0.03161977,0.028798081,0.88529694
2016-11-17,2.43,0.998604,0.99195623,0.0681651,0.020447694,0.8728465
2016-11-18,2.4,0.99843305,0.99579924,0.7414302,0.26210132,0.9358097
2016-11-21,2.43,0.9987558,0.98336905,0.024652882,0.018521085,0.16848889
2016-11-22,2.43,0.9985065,0.9911055,0.02919879,0.033038974,0.035794787
2016-11-23,2.4,0.9986743,0.9971239,0.10377734,0.8192909,0.79604715
2016-11-24,2.43,0.99856585,0.9896992,0.046779286,0.079869,0.06916218
2016-11-25,2.43,0.9987245,0.98936594,0.02752675,0.06952647,0.025564678
