date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,7.75,0.0002442915,0.99938107,0.0006698029,0.00023923344,0.00095317117
2016-07-15,7.6,0.00080957194,0.99875057,0.00038451454,0.00019688501,0.0019892987
2016-07-18,7.26,0.0050484217,0.99995685,0.004816893,0.0005727928,0.0033159065
2016-07-19,7.36,0.007780595,0.9997384,0.0013261151,0.0001341895,0.0035596578
2016-07-20,7.03,0.9801307,0.99993753,0.99867404,0.0003317486,0.99868876
2016-07-21,7.01,0.98831624,0.9994437,0.9983997,0.0013311951,0.99959105
2016-07-22,6.91,0.99475056,0.9998659,0.9986539,0.002091957,0.99924856
2016-07-25,7.11,0.0026635448,0.99947983,0.0010352707,0.0003324543,0.99975294
2016-07-26,7.14,0.0019157787,0.99996686,0.0008372064,0.0014385422,0.9987602
2016-07-27,7.18,0.0003918008,0.9999361,0.0006233684,0.00027716605,0.9999058
2016-07-28,7.22,0.0004289561,0.99989057,0.0027171464,0.0012116572,0.9999521
2016-07-29,7.22,0.00018499153,0.9996636,0.0017331756,0.0004298005,0.99998176
2016-08-01,6.99,0.0006082739,0.9999373,0.0026631155,0.0028065662,0.9999993
2016-08-02,6.71,0.0014447964,0.99990857,0.9990012,0.9994074,0.9999999
2016-08-03,6.71,0.00096591597,0.99996936,0.9996588,0.9979488,0.9999995
2016-08-04,6.63,0.00058529916,0.99965835,0.9999695,0.99931824,0.99999833
2016-08-05,6.73,0.0014050918,0.9999547,0.9999746,0.9997198,0.99998677
2016-08-08,6.67,0.0025631532,0.99998367,0.999897,0.9997886,0.9999869
2016-08-09,6.73,0.0010736105,0.99997985,0.9998603,0.99981934,0.9999883
2016-08-10,6.75,0.0012332916,0.9999392,0.99998844,0.9999902,0.9999939
2016-08-11,7.01,0.000160021,0.9957332,0.9998753,0.9995778,0.9999548
2016-08-12,6.93,0.00041287974,0.9950777,0.9999341,0.9994635,0.99990904
2016-08-15,6.85,0.00037732054,0.9993468,0.99995065,0.99954104,0.99999726
2016-08-16,6.93,0.0002633337,0.9912937,0.999508,0.9992754,0.9998952
2016-08-17,7.28,0.00024217305,0.9987525,0.99923086,0.99889827,0.9999144
