date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-20,2.95,0.8563633,0.055102378,0.039400034,0.039601225,0.03184216
2016-07-21,2.89,0.906057,0.043859243,0.02763008,0.026540266,0.033757336
2016-07-22,2.85,0.15064023,0.08133446,0.04876935,0.024020828,0.035934385
2016-07-25,2.66,0.9291325,0.96227276,0.09317957,0.026726102,0.022575777
2016-07-26,2.7,0.06686909,0.9821054,0.086679585,0.032813188,0.0135130845
2016-07-27,2.69,0.12164051,0.9822432,0.46963316,0.027697133,0.013131092
2016-07-28,2.65,0.9087779,0.9748941,0.10369725,0.040149167,0.017374394
2016-07-29,2.66,0.9584137,0.97609293,0.09145311,0.059821818,0.02092332
2016-08-01,2.52,0.97309947,0.9929575,0.09046232,0.040849227,0.037305493
2016-08-02,2.59,0.94957155,0.99687576,0.055750515,0.04999965,0.02311083
2016-08-03,2.7,0.05186932,0.99162066,0.016725935,0.040731903,0.022485664
2016-08-04,2.65,0.07772427,0.98643965,0.030486997,0.046409544,0.03131778
2016-08-05,2.56,0.95607066,0.9932435,0.06328272,0.06241503,0.039211918
2016-08-08,2.45,0.9689724,0.99588746,0.049366515,0.024364227,0.035998642
2016-08-09,2.33,0.9646296,0.99655163,0.03888936,0.031894,0.052918773
2016-08-10,2.38,0.9485175,0.99680686,0.07413622,0.033728343,0.031587172
2016-08-11,2.34,0.97773755,0.99458826,0.058664776,0.019665375,0.0420197
2016-08-12,2.33,0.96851796,0.9961671,0.071552195,0.03515282,0.07452144
2016-08-15,2.37,0.9891128,0.99396634,0.045184426,0.035312697,0.054561924
2016-08-16,2.33,0.99431205,0.9959402,0.037206046,0.03568833,0.8859969
2016-08-17,2.36,0.9895599,0.9957808,0.030535454,0.03567162,0.9296145
2016-08-18,2.3,0.9928814,0.99564457,0.0566727,0.044883866,0.9612374
2016-08-19,2.25,0.9948966,0.9965179,0.084131464,0.14479016,0.98109794
2016-08-22,2.15,0.9953093,0.99446243,0.7688035,0.8398681,0.96713346
2016-08-23,2.09,0.9939394,0.9960445,0.90161073,0.9309248,0.9769752
2016-08-24,2.04,0.99335676,0.99639183,0.9309257,0.9743368,0.99169594
2016-08-25,2.08,0.9946813,0.9973712,0.9018173,0.97937554,0.97898966
2016-08-26,2.11,0.99154973,0.9976968,0.8473065,0.9665936,0.9886524
2016-08-29,2.2,0.9775823,0.994611,0.15035509,0.9847611,0.9742027
2016-08-30,2.29,0.97675097,0.9902434,0.08360652,0.9880464,0.9839483
2016-08-31,2.22,0.99014705,0.99540544,0.06451229,0.9810173,0.9900564
2016-09-01,2.15,0.9939797,0.99762636,0.2366986,0.9837384,0.99229866
2016-09-05,2.14,0.9945791,0.9965855,0.8339499,0.9784152,0.9891783
2016-09-06,2.16,0.9884465,0.99556375,0.9298709,0.9880876,0.9866311
2016-09-07,2.14,0.9922633,0.9930046,0.9222432,0.9858473,0.9930686
2016-09-08,2.15,0.9872185,0.9894065,0.93114954,0.9803004,0.99148655
2016-09-09,2.15,0.990348,0.98764056,0.9489418,0.97806144,0.98274267
2016-09-12,2.2,0.9652537,0.98700213,0.8139296,0.97664577,0.98621505
2016-09-13,2.36,0.96173805,0.9778097,0.0865585,0.97407794,0.9578227
2016-09-14,2.48,0.9778578,0.97645855,0.08385001,0.95308864,0.9316806
2016-09-15,2.47,0.9850959,0.97804844,0.08037419,0.9717154,0.96830755
2016-09-16,2.47,0.9865385,0.968099,0.15742613,0.9727783,0.9738143
2016-09-19,2.36,0.97388524,0.9821815,0.87520474,0.9643663,0.97710264
2016-09-20,2.33,0.98199743,0.9899318,0.964177,0.96509147,0.98421407
2016-09-21,2.44,0.977687,0.9756988,0.96265316,0.96423244,0.974893
2016-09-22,2.47,0.96701926,0.98752314,0.9266596,0.95855194,0.9787184
2016-09-23,2.44,0.97453964,0.9867313,0.94497645,0.9778821,0.9876373
2016-09-26,2.45,0.97543913,0.9804448,0.9287371,0.9692876,0.9856097
2016-09-27,2.45,0.9872323,0.9843635,0.93472016,0.9688102,0.97953975
2016-09-28,2.57,0.9741503,0.9329877,0.912012,0.9536559,0.9409227
2016-09-29,2.65,0.97374773,0.8468998,0.8763121,0.9496771,0.9389589
2016-09-30,2.78,0.9685836,0.1682232,0.8566904,0.8819862,0.9379725
2016-10-03,2.72,0.9380586,0.041636888,0.9188157,0.94744235,0.9715982
2016-10-04,2.85,0.87314475,0.017968843,0.071825214,0.23593234,0.8927608
2016-10-05,2.8,0.88294035,0.10060956,0.82767355,0.92542636,0.9380263
2016-10-06,2.96,0.055386208,0.04458536,0.061015185,0.8331647,0.19397864
2016-10-07,2.89,0.056278422,0.84856343,0.1175199,0.9532507,0.9564003
2016-10-10,2.87,0.045366902,0.83539474,0.09907341,0.93022996,0.96912116
2016-10-11,2.82,0.054362744,0.9181295,0.95827913,0.9501024,0.9709435
2016-10-12,2.82,0.046749644,0.8243915,0.95087826,0.96383494,0.98512775
2016-10-13,2.85,0.04332462,0.15932576,0.8432282,0.93714386,0.9754782
2016-10-14,2.82,0.661129,0.8706567,0.9449508,0.95675623,0.9854968
2016-10-17,2.76,0.770493,0.9132287,0.9537712,0.9523743,0.98996735
2016-10-18,2.85,0.040593557,0.09487509,0.8470045,0.93961096,0.9264958
2016-10-19,3.04,0.010533369,0.030176256,0.044429105,0.09535282,0.07259125
2016-10-20,3.24,0.0108260345,0.0330495,0.02968004,0.03577387,0.027634444
2016-10-21,3.36,0.011932949,0.012205608,0.037314963,0.06435388,0.02919574
2016-10-24,3.13,0.020524774,0.063377775,0.07701512,0.14193267,0.06875338
2016-10-25,2.94,0.027844686,0.7415976,0.7927022,0.72139055,0.91702896
2016-10-26,2.96,0.019040374,0.046040826,0.23261777,0.29737264,0.93614227
2016-10-27,3.0,0.016261693,0.043704312,0.12865967,0.9080523,0.76042205
2016-10-28,3.1,0.0075381,0.0071995254,0.05422301,0.8191765,0.054766446
2016-10-31,3.1,0.010016233,0.010710216,0.0331208,0.87603694,0.066594295
2016-11-01,3.0,0.02652584,0.008798172,0.14829504,0.9116324,0.07300103
2016-11-02,2.85,0.8731008,0.015100083,0.943939,0.8953662,0.8533744
2016-11-03,2.84,0.7995759,0.016810715,0.974772,0.95782137,0.9172491
2016-11-04,2.95,0.027766889,0.0067662345,0.94236267,0.34233505,0.8086408
2016-11-07,2.91,0.072218955,0.009964891,0.95908487,0.9139272,0.16569208
2016-11-08,3.0,0.0051567187,0.0071754274,0.8405639,0.85954577,0.036250997
2016-11-09,2.96,0.029293763,0.00895113,0.8890445,0.8370496,0.07654731
2016-11-10,3.17,0.009629067,0.007608238,0.119489945,0.046906505,0.039878666
2016-11-11,3.22,0.007964319,0.010062054,0.030162346,0.038510803,0.016512953
2016-11-14,3.21,0.008150815,0.010974437,0.0666627,0.07939615,0.013850864
2016-11-15,3.11,0.03605594,0.022877663,0.73002946,0.059569813,0.016875667
2016-11-16,3.04,0.90272015,0.014078306,0.83190525,0.122156896,0.016974533
2016-11-17,2.98,0.9372818,0.011625946,0.82528514,0.77064943,0.013146865
2016-11-18,2.95,0.9391252,0.018996915,0.7972555,0.8548126,0.0147643
2016-11-21,3.13,0.05656648,0.008926512,0.06535472,0.03413093,0.0046845055
2016-11-22,3.24,0.071107805,0.0081548365,0.041117784,0.018406183,0.005502981
2016-11-23,3.15,0.77794147,0.010458564,0.07207128,0.049619146,0.012786136
2016-11-24,3.07,0.9874845,0.01367909,0.10788078,0.046059057,0.050614793
2016-11-25,3.02,0.9924843,0.015056419,0.108144134,0.077604055,0.04012012
2016-11-28,2.95,0.997259,0.010415296,0.16474894,0.100697696,0.032215174
2016-11-29,2.96,0.996548,0.007281856,0.10464429,0.033858515,0.027755845
2016-11-30,3.04,0.9788086,0.00796418,0.055869848,0.016348561,0.009574952
2016-12-01,3.0,0.9924271,0.0067957644,0.021558912,0.044160187,0.011139233
2016-12-02,3.0,0.99470574,0.0077444045,0.05487135,0.033797152,0.018713819
2016-12-05,2.91,0.99744105,0.011396667,0.096750125,0.053319775,0.017301343
2016-12-06,2.9,0.9984107,0.02357721,0.15210362,0.07804167,0.03615973
2016-12-07,2.8,0.99918216,0.074016415,0.83472854,0.7598914,0.78819823
2016-12-08,2.93,0.9901523,0.014302275,0.040872242,0.06979025,0.033173468
2016-12-09,2.89,0.99821424,0.062390074,0.045748644,0.10103333,0.04637039
2016-12-12,2.88,0.9974618,0.8696814,0.039215215,0.06430139,0.050401617
2016-12-13,2.87,0.99786097,0.8862553,0.039969623,0.040197033,0.04946384
2016-12-14,2.87,0.9983907,0.913009,0.0665064,0.08321517,0.10580176
2016-12-15,2.87,0.99834144,0.9585925,0.034337424,0.1624563,0.0955512
2016-12-16,2.88,0.9975883,0.9542561,0.052006688,0.65017813,0.6333602
2016-12-19,2.87,0.9970937,0.972584,0.038534794,0.68538445,0.77318853
2016-12-20,2.8,0.9990619,0.9785588,0.0788302,0.9442271,0.91720515
2016-12-21,2.82,0.9988859,0.96307296,0.088898726,0.95217496,0.927607
2016-12-22,2.78,0.99801093,0.9768869,0.8131764,0.96647346,0.9494189
2016-12-23,2.7,0.99896,0.97689307,0.8972554,0.9679156,0.9610572
2016-12-26,2.69,0.998963,0.9536555,0.93051475,0.95998234,0.97237974
2016-12-27,2.65,0.9989625,0.9792932,0.9389196,0.9536098,0.9700631
2016-12-28,2.69,0.99877125,0.9773949,0.80549824,0.95168,0.9395695
2016-12-29,2.87,0.9900524,0.92729044,0.02609093,0.19882403,0.026008107
2016-12-30,2.9,0.9949431,0.87672406,0.02276107,0.7942536,0.012919628
2017-01-03,2.9,0.99752265,0.1804279,0.02556806,0.8588744,0.010877782
2017-01-04,2.85,0.99881893,0.9145265,0.06397367,0.908509,0.009355387
2017-01-05,2.86,0.9984763,0.9022919,0.06522794,0.8687759,0.009574169
2017-01-06,2.84,0.9989243,0.95787156,0.16305855,0.92075455,0.03305196
2017-01-09,2.87,0.9957734,0.88681334,0.7281071,0.18376265,0.024350675
2017-01-10,2.81,0.99865085,0.91241497,0.90515304,0.19106889,0.030832352
2017-01-11,2.81,0.99883324,0.0729122,0.90533876,0.55298394,0.026167413
2017-01-12,2.82,0.99867696,0.036049668,0.9131598,0.14239605,0.057114895
2017-01-13,2.81,0.9986842,0.028286884,0.89608264,0.14292799,0.04652341
2017-01-16,2.92,0.99522996,0.014912814,0.11290812,0.042772695,0.009285192
2017-01-17,3.0,0.9943036,0.009959285,0.048119064,0.074800216,0.0036158676
2017-01-18,3.02,0.9961068,0.00705872,0.07071559,0.072904736,0.0027975074
2017-01-19,2.92,0.99824405,0.011361045,0.07460325,0.04827802,0.007370862
2017-01-20,2.96,0.99752384,0.008301658,0.063425876,0.03602805,0.008285048
2017-01-23,2.79,0.9989697,0.015333112,0.10723934,0.05230369,0.008344798
2017-01-24,2.81,0.9988029,0.015442587,0.061278693,0.053222053,0.009958565
2017-01-25,2.85,0.99949515,0.019379681,0.09613138,0.032969434,0.013019454
2017-02-02,2.81,0.99963117,0.028100256,0.053507652,0.04866094,0.011200738
2017-02-03,2.78,0.99962664,0.03158807,0.14217173,0.11781173,0.024676299
2017-02-06,2.75,0.99951196,0.05168571,0.16542207,0.18643653,0.074207686
2017-02-07,2.76,0.9992285,0.063077345,0.1885434,0.8387072,0.06915998
2017-02-08,2.76,0.99936026,0.088969715,0.1619125,0.8863957,0.15410937
2017-02-09,2.7,0.99923265,0.8703553,0.75359714,0.93710405,0.9212476
2017-02-10,2.69,0.9994783,0.92787313,0.8527434,0.8835908,0.9866753
2017-02-13,2.74,0.99874675,0.06987923,0.2957914,0.75621223,0.9525651
2017-02-14,2.7,0.9985227,0.88421494,0.86942184,0.18947372,0.9715828
2017-02-15,2.74,0.9985758,0.055518277,0.78467035,0.074093364,0.98347396
2017-02-16,2.75,0.9984951,0.03046116,0.81756425,0.06823157,0.9851146
2017-02-17,2.72,0.99901855,0.05286276,0.8328397,0.08959097,0.98892844
2017-02-20,2.74,0.9986173,0.039692547,0.8259678,0.09061677,0.98947716
2017-02-21,2.82,0.99583274,0.01585937,0.05257217,0.034156203,0.9707882
2017-02-22,2.83,0.9976901,0.01406692,0.10413485,0.0451665,0.9761144
2017-02-23,2.8,0.9990073,0.030304298,0.09936755,0.08691534,0.98523027
2017-02-24,2.86,0.9964025,0.021169892,0.059034117,0.11489396,0.9684322
2017-02-27,2.76,0.99807334,0.01807848,0.44781736,0.957556,0.9856684
2017-02-28,2.65,0.99912375,0.105105765,0.9416211,0.9698769,0.97602534
2017-03-01,2.72,0.9986089,0.7482341,0.94650716,0.96759564,0.953795
2017-03-02,2.7,0.9993162,0.10312961,0.9680741,0.97164917,0.9788592
2017-03-03,2.67,0.9994873,0.7432324,0.9684056,0.956358,0.98739445
2017-03-06,2.7,0.9990068,0.089393504,0.9751016,0.9434085,0.98640686
2017-03-07,2.75,0.99776053,0.015093702,0.91615707,0.9346092,0.98389906
2017-03-08,2.75,0.9986865,0.014340003,0.8761461,0.9329982,0.98367554
