date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-14,3.28,0.9994325,0.99117905,0.08111799,0.11033903,0.9949372
2016-09-15,3.24,0.9991247,0.99408555,0.11315231,0.1749465,0.99247676
2016-09-16,3.27,0.99929893,0.96941346,0.06802709,0.11153918,0.9905804
2016-09-19,3.14,0.9991806,0.98546576,0.8254369,0.92124295,0.9964218
2016-09-20,3.19,0.99853814,0.93650335,0.13234948,0.77119875,0.9898408
2016-09-21,3.23,0.9992835,0.2174198,0.08739079,0.17276609,0.9935086
2016-09-22,3.23,0.99905676,0.9791586,0.057955563,0.14524838,0.9897483
2016-09-23,3.22,0.9993467,0.99316216,0.068902366,0.17726155,0.9892691
2016-09-26,3.16,0.9993228,0.99553573,0.85862184,0.9079767,0.99542254
2016-09-27,3.14,0.99872476,0.99674463,0.8946066,0.96140033,0.9938075
2016-09-28,3.16,0.9987367,0.9836256,0.815168,0.95501626,0.9930749
2016-09-29,3.16,0.998331,0.99707556,0.31035164,0.9797641,0.9932278
2016-09-30,3.2,0.9980994,0.96796745,0.15996006,0.9744932,0.9857793
2016-10-03,3.2,0.99819154,0.98769057,0.08535841,0.96071756,0.9744476
2016-10-04,3.2,0.9984106,0.99622285,0.24398698,0.97765094,0.9833261
2016-10-05,3.21,0.9980216,0.99478865,0.68801117,0.957135,0.98694485
2016-10-06,3.16,0.9992538,0.9980038,0.90867996,0.97835827,0.9899955
2016-10-07,3.18,0.9978573,0.99633884,0.92553616,0.966217,0.9865883
2016-10-10,3.19,0.99763536,0.9912582,0.9261785,0.9625329,0.98360217
2016-10-11,3.18,0.99840456,0.99811435,0.87322456,0.9396121,0.9824028
2016-10-12,3.37,0.998398,0.9784048,0.03783407,0.06646896,0.070875354
2016-10-13,3.36,0.99835217,0.95735645,0.031570338,0.06537479,0.081360236
2016-10-14,3.36,0.9987413,0.9880702,0.022645272,0.06952105,0.1174474
2016-10-17,3.32,0.99919313,0.9977329,0.07883979,0.7574453,0.93117857
2016-10-18,3.33,0.9985127,0.98975337,0.033374462,0.8197213,0.8848494
2016-10-19,3.31,0.9992473,0.99832577,0.16593589,0.82166606,0.97999483
2016-10-20,3.31,0.999273,0.9981053,0.12511954,0.83953804,0.9824143
2016-10-21,3.32,0.9991517,0.9953696,0.1157185,0.11322311,0.98543835
2016-10-24,3.3,0.9995166,0.99575424,0.809174,0.16058716,0.9878079
2016-10-25,3.32,0.9993529,0.979681,0.75236034,0.08815343,0.9808126
2016-10-26,3.3,0.99949014,0.9942226,0.880837,0.20433141,0.9824868
2016-10-27,3.3,0.99952567,0.99644095,0.866716,0.8310652,0.98717296
2016-10-28,3.32,0.9994823,0.99243426,0.28949463,0.84908557,0.9837636
2016-10-31,3.4,0.99930096,0.10667984,0.037610948,0.074966125,0.8537781
2016-11-01,3.38,0.9994361,0.98212415,0.037534915,0.22432792,0.89306444
2016-11-02,3.36,0.99972445,0.9932035,0.1009512,0.7773557,0.94057244
2016-11-03,3.35,0.9996959,0.9961867,0.28165427,0.94666344,0.97132057
2016-11-04,3.32,0.99955386,0.996077,0.8586304,0.97971123,0.9841286
2016-11-07,3.23,0.9995516,0.99337715,0.9598824,0.9814387,0.9907822
2016-11-08,3.32,0.99937963,0.9643733,0.9185776,0.96566707,0.9813215
