date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,7.76,0.002434082,0.015290782,0.17569825,0.040714115,0.004903253
2016-07-15,7.66,0.00230803,0.019794649,0.7887262,0.037855953,0.008258915
2016-07-18,7.66,0.0023536605,0.017184446,0.8134001,0.040036894,0.013733314
2016-07-19,7.53,0.0024794424,0.00860809,0.8428141,0.05974449,0.014701664
2016-07-20,7.58,0.0024359736,0.0029802364,0.7346061,0.026858455,0.009809169
2016-07-21,7.6,0.0014907271,0.0064290804,0.19648263,0.026728615,0.006396207
2016-07-22,7.68,0.0031031275,0.003696485,0.20652887,0.026951987,0.0057077794
2016-07-25,7.68,0.0026236,0.004579791,0.17789236,0.034483552,0.008215935
2016-07-26,7.66,0.0025327622,0.0048444397,0.18082604,0.0346181,0.007996766
2016-07-27,7.6,0.0068445266,0.0057799234,0.15993063,0.044502515,0.011398436
2016-07-28,7.6,0.0047367243,0.0051014638,0.212209,0.042094927,0.018989395
2016-07-29,7.58,0.0050091883,0.0034563688,0.15489611,0.034368064,0.024353767
2016-08-01,7.6,0.0015446498,0.00290977,0.17879729,0.061194353,0.09153691
2016-08-02,7.45,0.0046280595,0.005059619,0.30919904,0.21870224,0.15870667
2016-08-03,7.5,0.0030500179,0.0032615687,0.18116468,0.16908047,0.87031925
2016-08-04,7.47,0.0041087624,0.003552882,0.75720114,0.59732395,0.94737226
2016-08-05,7.42,0.0023942864,0.0034116276,0.76873046,0.31086594,0.9489465
2016-08-08,7.42,0.0026172115,0.0036367502,0.2726891,0.62662214,0.9535248
2016-08-09,7.42,0.00326551,0.0019542174,0.20223294,0.16385162,0.95040566
2016-08-10,7.45,0.0023719922,0.0022412029,0.76082784,0.21625523,0.89665574
2016-08-11,7.5,0.004516327,0.0026326955,0.1083382,0.103378765,0.07653764
2016-08-12,7.5,0.0036264395,0.001784851,0.081252865,0.11109946,0.011799747
2016-08-15,7.4,0.0024005498,0.0040244465,0.64456576,0.77862847,0.06369625
2016-08-16,7.42,0.0022444907,0.0023806954,0.20259407,0.38799986,0.028672284
2016-08-17,7.47,0.0021635734,0.0032683038,0.12886347,0.7681894,0.0058782143
2016-08-18,7.5,0.0021962444,0.0022244821,0.06054485,0.684571,0.002150632
2016-08-19,7.42,0.001705388,0.0021490841,0.78036875,0.8449679,0.014512995
2016-08-22,7.45,0.0021872781,0.0023845874,0.24714169,0.87612355,0.013575802
2016-08-23,7.42,0.003170173,0.002024361,0.2527323,0.89617026,0.008401699
2016-08-24,7.42,0.0011667174,0.0026824242,0.8404675,0.8378727,0.008902158
2016-08-25,7.42,0.0015460898,0.0016864111,0.90221334,0.1351741,0.020927029
2016-08-26,7.45,0.0011051665,0.0018213331,0.77365434,0.06002434,0.011997664
2016-08-29,7.42,0.0021811936,0.0023804721,0.86663014,0.06642368,0.009406834
2016-08-30,7.4,0.0017055138,0.0019189717,0.8353613,0.07529754,0.017937418
2016-08-31,7.53,0.0018306707,0.005018366,0.06480293,0.028887952,0.012809928
2016-09-01,7.53,0.0024555495,0.0049209576,0.034258015,0.012710166,0.016565477
2016-09-05,7.53,0.0014243115,0.0052920287,0.02673889,0.01945623,0.011532585
2016-09-06,7.47,0.0027288236,0.0029918684,0.12569661,0.025636906,0.012556273
2016-09-07,7.47,0.0023679335,0.003876654,0.12405468,0.031914696,0.019501265
2016-09-08,7.47,0.0019533527,0.0058971765,0.07087862,0.018400114,0.018106498
2016-09-09,7.42,0.0031592578,0.0052354634,0.10037846,0.056375206,0.05383501
2016-09-12,7.29,0.0012888083,0.011375793,0.9164251,0.86324805,0.9563072
2016-09-13,7.32,0.0023300094,0.01648172,0.78573316,0.8653926,0.92614084
2016-09-14,7.31,0.0022902437,0.0027230913,0.39949077,0.91626585,0.889357
2016-09-15,7.24,0.0014820667,0.0075533655,0.85411537,0.9147591,0.94330406
2016-09-16,7.09,0.0035479611,0.024270559,0.9076027,0.8722042,0.94712055
2016-09-19,7.33,0.0025033595,0.01697848,0.8481307,0.86757743,0.96450347
2016-09-20,7.34,0.002869312,0.021318574,0.8511891,0.911714,0.9110116
2016-09-21,7.29,0.0019771229,0.02165596,0.8653336,0.9053975,0.9434505
2016-09-22,7.4,0.0042414605,0.015703421,0.2418852,0.18890963,0.8360893
2016-09-23,7.38,0.0023237672,0.021507518,0.73576903,0.7311548,0.15707831
2016-09-26,7.42,0.0019331725,0.018865352,0.10437792,0.09536598,0.066446476
2016-09-27,7.41,0.0024038078,0.019595796,0.07995862,0.0759149,0.034677956
2016-09-28,7.36,0.0033337905,0.015144179,0.13798444,0.2990113,0.017675657
2016-09-29,7.36,0.0043641035,0.007758935,0.13896058,0.78647923,0.007819987
2016-09-30,7.4,0.0046876366,0.008128152,0.10819611,0.17112896,0.0095854215
2016-10-03,7.34,0.004742773,0.006969958,0.3165477,0.93392533,0.01225347
2016-10-04,7.38,0.0062844623,0.006198495,0.72369957,0.6413227,0.006741556
2016-10-05,7.33,0.0044149607,0.008854495,0.78591305,0.89146876,0.008382784
2016-10-06,7.31,0.005667172,0.005968306,0.90028846,0.86468405,0.017690584
2016-10-07,7.4,0.004985661,0.007377497,0.35201365,0.14860451,0.0040275515
2016-10-10,7.34,0.004794013,0.006407193,0.8784562,0.07794008,0.007668178
2016-10-11,7.4,0.0045362497,0.008192775,0.7854517,0.05102519,0.0028010975
2016-10-12,7.34,0.0046957196,0.0067733526,0.90149117,0.07320436,0.0035248317
2016-10-13,7.37,0.0064034387,0.0041465587,0.88575095,0.06369852,0.004851877
2016-10-14,7.32,0.001446469,0.0041575804,0.9234788,0.03919171,0.005722449
2016-10-17,7.46,0.0021274802,0.00935772,0.03852417,0.015544144,0.0021525454
2016-10-18,7.59,0.001881387,0.007201212,0.026121039,0.026600778,0.008504542
2016-10-19,7.64,0.0012828197,0.010884643,0.029382875,0.03157741,0.0074105123
2016-10-20,7.55,0.0012376374,0.012332766,0.06360821,0.065104194,0.042031955
2016-10-21,7.34,0.006942177,0.021690128,0.1391709,0.15394312,0.1304118
2016-10-24,7.23,0.008457479,0.021810332,0.069619596,0.6444065,0.93080246
2016-10-25,7.24,0.0046797697,0.008098965,0.06644599,0.27105066,0.8966151
2016-10-26,7.2,0.0033001835,0.00868388,0.1126319,0.24821933,0.38532165
2016-10-27,7.2,0.005941013,0.0051100138,0.10480598,0.656613,0.8532074
2016-10-28,7.2,0.0021991408,0.006367932,0.25598666,0.30449414,0.85289156
2016-10-31,7.21,0.0016590726,0.0071510347,0.6432635,0.27984384,0.08934628
2016-11-01,7.21,0.0031466314,0.006484499,0.17194697,0.88252115,0.029903919
2016-11-02,7.19,0.0028941694,0.015855024,0.32471207,0.91421944,0.015204064
2016-11-03,7.16,0.0020776887,0.0156211825,0.8792454,0.8599027,0.010791804
2016-11-04,7.15,0.0024049468,0.02043218,0.83975345,0.86212224,0.010920638
2016-11-07,7.24,0.002055569,0.008332236,0.2570177,0.89312017,0.004569535
2016-11-08,7.21,0.002583595,0.015387144,0.8468807,0.90808296,0.0042573106
2016-11-09,7.19,0.0026047868,0.5278268,0.8665032,0.9157999,0.0025823864
2016-11-10,7.21,0.0028561957,0.019655675,0.8663198,0.9285611,0.0038661628
2016-11-11,7.19,0.0028502226,0.04605708,0.89968276,0.8837973,0.004792296
2016-11-14,7.14,0.0017121392,0.06156296,0.90134376,0.87627125,0.0044825464
2016-11-15,7.28,0.002078001,0.0070292503,0.60709536,0.07146445,0.0022547385
2016-11-16,7.36,0.0038335396,0.01030739,0.054017916,0.041907504,0.0040275054
2016-11-17,7.32,0.0029071358,0.0064226203,0.062850915,0.03586211,0.0034141222
2016-11-18,7.27,0.00188663,0.0043484764,0.057732664,0.009574816,0.0021632821
2016-11-21,7.28,0.0021662763,0.0039475025,0.03921666,0.0076433746,0.0029600537
2016-11-22,7.29,0.0018030042,0.0037591406,0.030282754,0.0071650716,0.0013690711
2016-11-23,7.2,0.0018237316,0.021730572,0.08232438,0.025575344,0.002737775
2016-11-24,7.27,0.0013836226,0.0034497788,0.05621882,0.017933933,0.00094678963
2016-11-25,7.21,0.0020084593,0.013912109,0.06493136,0.031116016,0.0012419494
2016-11-28,7.21,0.0021295778,0.012501362,0.08769739,0.020460013,0.0011059591
2016-11-29,7.06,0.0026971048,0.049773134,0.068888776,0.07322019,0.017561477
2016-11-30,7.07,0.0021788618,0.02597915,0.088629484,0.07126237,0.011611007
2016-12-01,6.8,0.027290449,0.94651306,0.035801016,0.040620595,0.0154281305
2016-12-02,6.63,0.9452562,0.9816502,0.097186014,0.059545297,0.040953457
2016-12-05,6.63,0.97606647,0.9782179,0.08067359,0.11451814,0.024075683
2016-12-06,6.6,0.96512836,0.98300666,0.17568131,0.15880267,0.081608355
2016-12-07,6.53,0.987146,0.9864618,0.21078455,0.26250145,0.042344492
2016-12-08,6.38,0.9955035,0.98442036,0.8805455,0.85466355,0.06789716
2016-12-09,6.29,0.9936538,0.9908015,0.9430851,0.8910547,0.16184491
2016-12-12,6.32,0.9942367,0.99416465,0.94010705,0.8822458,0.92364526
2016-12-13,6.22,0.99249893,0.99470717,0.95403874,0.9492782,0.92494744
2016-12-14,6.29,0.9938929,0.9954204,0.93572205,0.9326172,0.93039644
2016-12-15,6.4,0.9925132,0.98967206,0.7778162,0.13723496,0.9790821
2016-12-16,6.42,0.98687834,0.9919905,0.18432218,0.08459199,0.9872112
2016-12-19,6.47,0.9784564,0.98607093,0.08030347,0.06590445,0.994241
2016-12-20,6.43,0.9803238,0.99078697,0.079535365,0.09907386,0.99234575
2016-12-21,6.4,0.9888653,0.9818656,0.06293079,0.069237985,0.99111617
2016-12-22,6.42,0.98739725,0.98359525,0.07261774,0.103703946,0.9892068
2016-12-23,6.36,0.98887175,0.99289894,0.12884103,0.23595282,0.99011445
2016-12-26,6.38,0.9885988,0.97995824,0.08537825,0.78346086,0.9913714
2016-12-27,6.35,0.99145,0.9883548,0.11299186,0.92508125,0.9929745
2016-12-28,6.31,0.9939375,0.99499464,0.1234969,0.9204568,0.98204994
2016-12-29,6.32,0.9928854,0.9878941,0.23730591,0.96146876,0.9884941
2016-12-30,6.25,0.9915597,0.9887615,0.8842229,0.9505799,0.995771
2017-01-03,6.22,0.989661,0.9889998,0.9076511,0.97222555,0.99256223
2017-01-04,6.29,0.9892035,0.9801602,0.8621126,0.9708664,0.992849
2017-01-05,6.25,0.98678744,0.98372054,0.972275,0.97795004,0.9933426
2017-01-06,6.17,0.98405254,0.9867821,0.9597245,0.9694082,0.99345785
2017-01-09,6.29,0.98409617,0.97345054,0.921376,0.92709905,0.9868063
2017-01-10,6.45,0.95483387,0.8823468,0.83365273,0.8746714,0.9843515
2017-01-11,6.4,0.9819386,0.23460358,0.9035588,0.9685434,0.9867583
2017-01-12,6.81,0.026014406,0.067291014,0.045440365,0.09079398,0.8589474
2017-01-13,6.96,0.007739848,0.030883912,0.07790155,0.11264642,0.20118132
2017-01-16,6.82,0.0021325985,0.031650227,0.08866293,0.85025,0.92304885
2017-01-17,6.67,0.03704501,0.8633069,0.847078,0.94019115,0.97138524
2017-01-18,6.68,0.02983563,0.81017417,0.8841467,0.94110286,0.9891039
2017-01-19,6.6,0.7537292,0.13256177,0.9123834,0.94351107,0.9773865
2017-01-20,6.6,0.102255605,0.064535245,0.9042321,0.943092,0.980677
2017-01-23,6.6,0.059455596,0.04512454,0.94603246,0.9476842,0.9860476
2017-01-24,6.68,0.028701672,0.05323775,0.9303123,0.91540205,0.9725079
2017-01-25,6.75,0.010429489,0.010615347,0.9061392,0.91212726,0.95893884
2017-02-02,6.74,0.016195903,0.019266091,0.9259857,0.8427154,0.9773678
2017-02-03,6.74,0.011153802,0.029647937,0.9431949,0.75900537,0.9765928
2017-02-06,6.88,0.003803157,0.0036852541,0.907825,0.20136979,0.94428086
2017-02-07,6.8,0.0121901585,0.01771902,0.8886416,0.1593756,0.93140525
2017-02-08,6.99,0.0021831694,0.0073396815,0.8175579,0.1058569,0.14964035
2017-02-09,7.2,0.0031806128,0.0032185277,0.09755179,0.12154954,0.06221245
2017-02-10,7.17,0.0021004165,0.003616654,0.11024767,0.107718885,0.083949775
2017-02-13,7.19,0.002729653,0.0044996142,0.13113269,0.09949284,0.04183479
2017-02-14,7.14,0.0028599058,0.0044078296,0.21677461,0.063739195,0.05356991
2017-02-15,7.09,0.0022084014,0.0032861705,0.23256664,0.07201044,0.042813163
2017-02-16,6.98,0.001689857,0.005451097,0.28317788,0.1905961,0.040040724
2017-02-17,6.82,0.005033663,0.0059293685,0.37353635,0.9021849,0.07206073
2017-02-20,6.84,0.002531003,0.0035831125,0.8516151,0.9329254,0.08872266
2017-02-21,6.8,0.00540789,0.003386323,0.913226,0.9028783,0.6777927
2017-02-22,6.74,0.013735962,0.009700086,0.96204555,0.9042926,0.84914446
2017-02-23,6.87,0.0030593828,0.0033788853,0.84565514,0.6667582,0.058887735
2017-02-24,6.81,0.005591168,0.0038712863,0.88191795,0.74207443,0.091380276
2017-02-27,6.89,0.0066367607,0.0061140535,0.8121347,0.056325685,0.024796348
2017-02-28,6.82,0.008586147,0.009792329,0.6739426,0.08664784,0.03594117
2017-03-01,6.99,0.009636009,0.0032361571,0.19703202,0.05260422,0.022431843
2017-03-02,6.89,0.016461689,0.006761465,0.6400992,0.05668504,0.00818628
2017-03-03,7.02,0.006311589,0.0037627532,0.07757754,0.032955587,0.003728699
2017-03-06,7.02,0.0080216,0.012943146,0.078750625,0.028720096,0.005452258
2017-03-07,6.94,0.007671757,0.012212308,0.077769555,0.03268569,0.0019177875
2017-03-08,6.94,0.008201579,0.009461828,0.08937172,0.028708315,0.0018409955
2017-03-09,6.95,0.0077141672,0.014633061,0.09327396,0.05379293,0.005074762
2017-03-10,6.82,0.0034088173,0.008576609,0.11489031,0.060191408,0.013209291
2017-03-13,6.8,0.004990669,0.0070268945,0.8020382,0.17619151,0.18121019
2017-03-14,6.82,0.0037028051,0.0034865523,0.14096735,0.046107605,0.075438656
2017-03-15,6.77,0.0056807115,0.007180165,0.17116308,0.06845381,0.08961302
2017-03-16,6.82,0.00532551,0.0059434236,0.045436855,0.03264147,0.017587524
2017-03-17,6.75,0.0094604865,0.01634321,0.110269375,0.6799686,0.07206937
2017-03-20,6.81,0.0057662083,0.006798922,0.08847478,0.09129918,0.08564258
2017-03-21,6.82,0.007730145,0.0056921863,0.12846094,0.043200795,0.6102072
2017-03-22,6.75,0.005755633,0.0129855415,0.18049489,0.06835198,0.08116668
2017-03-23,6.75,0.006828914,0.008611273,0.101986915,0.05849737,0.06684338
2017-03-24,6.74,0.009300408,0.0093175275,0.68461144,0.06871346,0.039492775
2017-03-27,6.78,0.0029258956,0.0030357577,0.073823616,0.087163486,0.02095827
2017-03-28,6.77,0.005066924,0.003968391,0.12751006,0.10207634,0.07546981
2017-03-29,6.75,0.0023379405,0.028918907,0.18164192,0.091240145,0.015747342
2017-03-30,6.66,0.007569783,0.85052437,0.2447862,0.16474888,0.19472906
2017-03-31,6.78,0.002985943,0.07212529,0.082572326,0.13440049,0.014285297
2017-04-03,6.7,0.006443794,0.9278868,0.14836565,0.25630653,0.06888621
2017-04-04,6.7,0.005524463,0.9356135,0.14393143,0.66400665,0.07549655
2017-04-05,6.57,0.016963787,0.983004,0.14426175,0.6678118,0.8724348
2017-04-07,6.64,0.015342799,0.9706288,0.09445605,0.13917099,0.2004531
2017-04-10,6.6,0.027622541,0.98803884,0.06827746,0.16111895,0.8648372
2017-04-11,6.56,0.01122926,0.9847511,0.1747148,0.28787622,0.9389275
2017-04-12,6.49,0.024687245,0.9864036,0.7993459,0.9072736,0.9660335
2017-04-13,6.39,0.081446454,0.9909026,0.86984557,0.9601118,0.98084736
2017-04-14,6.33,0.13222656,0.9862882,0.8808341,0.9345468,0.9344533
2017-04-17,6.38,0.91374177,0.98261833,0.1141433,0.8912005,0.9545767
2017-04-18,6.46,0.9360162,0.9914656,0.14538738,0.90444696,0.9668646
2017-04-19,6.91,0.040891256,0.8506677,0.031688508,0.054641947,0.06288495
2017-04-20,6.71,0.9387082,0.9614372,0.031785373,0.12917398,0.12020819
2017-04-21,6.57,0.9460905,0.9895717,0.2680052,0.9042717,0.9025395
2017-04-24,6.38,0.98442787,0.9951709,0.8689893,0.93751514,0.97399694
2017-04-25,6.43,0.9536151,0.9838515,0.8891602,0.87133133,0.8638536
2017-04-26,6.66,0.9597944,0.9646843,0.34663734,0.80774075,0.05582035
2017-04-27,6.6,0.9888576,0.98712105,0.82546,0.91566926,0.07934099
2017-04-28,6.57,0.99065745,0.9962018,0.8696405,0.8925836,0.064029045
2017-05-03,6.59,0.9920736,0.98787826,0.92410666,0.9008025,0.86786294
2017-05-04,6.52,0.99231803,0.9964245,0.917773,0.9105543,0.8820511
2017-05-05,6.5,0.97952706,0.99348116,0.8960194,0.928642,0.9153982
2017-05-08,6.63,0.98842865,0.986323,0.81934804,0.4196952,0.16806978
2017-05-09,6.59,0.99428093,0.98873365,0.92278636,0.87987494,0.12023253
2017-05-10,6.64,0.9918908,0.9820802,0.7885263,0.17062363,0.056430023
2017-05-11,6.74,0.9842875,0.9494183,0.25486538,0.065292925,0.04053545
2017-05-12,6.71,0.9810892,0.97030926,0.5993285,0.11319069,0.099937014
2017-05-15,6.66,0.9911067,0.9808172,0.26348066,0.22765172,0.16922963
2017-05-16,6.66,0.9822864,0.9710524,0.1368891,0.160847,0.77257454
2017-05-17,6.67,0.9683897,0.9688599,0.19225994,0.6664962,0.8607966
2017-05-18,6.63,0.99153286,0.9718255,0.21583202,0.7207066,0.87562716
