date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2025-04-17,19.28,0.9893401,0.9992244,0.98558086,0.9585103,0.9983931
2025-04-18,19.5,0.99020547,0.9997327,0.03519082,0.06768374,0.99964523
2025-04-21,19.14,0.99164987,0.9998915,0.9967566,0.9935469,0.9997352
2025-04-22,19.01,0.9901224,0.999762,0.99965835,0.99933773,0.9997987
2025-04-23,19.01,0.99491644,0.99956423,0.9993912,0.9995493,0.9998834
2025-04-24,19.32,0.9942312,0.999708,0.99448806,0.9973347,0.9996636
2025-04-25,19.46,0.9943032,0.9998435,0.9992478,0.99611074,0.9965239
2025-04-28,19.32,0.9946907,0.9996939,0.9976641,0.998776,0.99930215
2025-04-29,19.19,0.9953383,0.9993787,0.9998147,0.9992142,0.99581134
2025-05-05,19.37,0.9950616,0.9996275,0.9976089,0.99547726,0.9990086
2025-05-06,19.37,0.9949733,0.9998259,0.9999074,0.9983809,0.994743
2025-05-07,19.5,0.99479383,0.9998535,0.99984634,0.996956,0.9791748
2025-05-08,20.76,0.9917109,0.9997341,0.93964887,0.96610284,0.88669544
2025-05-09,20.67,0.99364,0.99976367,0.9771212,0.93745834,0.0072748377
2025-05-12,21.52,0.9937059,0.9990447,0.017738251,0.017026624,0.0026564442
2025-05-13,21.52,0.9927447,0.9994868,0.0082198875,0.03161309,0.008682357
2025-05-14,21.38,0.9945327,0.99927634,0.008902153,0.005143794,0.00151987
2025-05-15,21.38,0.99615663,0.99943584,0.007828078,0.011324346,0.0048584477
2025-05-16,21.3,0.9968935,0.99954945,0.0052664597,0.02050969,0.008066008
2025-05-19,21.03,0.9961325,0.9997009,0.010770018,0.99174964,0.018471228
2025-05-20,21.07,0.9960372,0.9996419,0.013150917,0.9584963,0.007617655
2025-05-21,21.07,0.996682,0.99965775,0.009947204,0.014964402,0.029590923
2025-05-22,20.85,0.9959447,0.99953866,0.97143453,0.0065371557,0.026917374
2025-05-23,20.8,0.995337,0.99966943,0.99061817,0.0077640293,0.05618338
2025-05-26,20.94,0.99463224,0.9995926,0.9955859,0.0013140491,0.030399615
2025-05-27,20.94,0.9954792,0.9997148,0.9780451,0.0006878279,0.9311118
2025-05-28,20.98,0.9948478,0.99850285,0.9787127,0.0025919864,0.9266303
2025-05-29,20.98,0.9954074,0.9989009,0.01980689,0.0021074011,0.9900681
2025-05-30,21.07,0.99498665,0.9981962,0.0067643668,0.0041071433,0.94807476
2025-06-02,21.25,0.9946498,0.9991974,0.012302206,0.0021971005,0.050187636
2025-06-03,21.38,0.994517,0.9977437,0.0017814923,0.0013776007,0.026521714
2025-06-04,21.07,0.99531543,0.9967108,0.006104794,0.015718922,0.99772507
2025-06-05,20.85,0.9952264,0.9976387,0.03031456,0.045291346,0.9998857
2025-06-06,20.44,0.9950203,0.9988242,0.04849188,0.98484135,0.99988854
2025-06-09,20.26,0.9947803,0.9990528,0.98122805,0.9972939,0.9998467
2025-06-10,20.26,0.9952264,0.99884534,0.9796112,0.9964043,0.99987924
2025-06-11,20.26,0.9953067,0.99809355,0.99880147,0.9965257,0.9986104
2025-06-12,20.44,0.9942326,0.9985246,0.99160916,0.9734737,0.99905473
2025-06-13,20.31,0.9951132,0.99966085,0.9866432,0.9991578,0.99972075
2025-06-16,20.67,0.99495417,0.9989504,0.024148721,0.9880751,0.9987601
2025-06-17,20.67,0.99495417,0.9995784,0.9678825,0.99160635,0.9990671
2025-06-18,20.67,0.99450797,0.99912137,0.9986449,0.9899629,0.99669856
2025-06-19,20.71,0.9953067,0.9992343,0.9827943,0.99718106,0.99986553
2025-06-20,20.8,0.9946555,0.99691015,0.9774456,0.9921077,0.99619675
2025-06-23,20.62,0.9920562,0.99968576,0.9993755,0.99916244,0.9997156
2025-06-24,21.52,0.99248296,0.99927646,0.0417986,0.023787392,0.99145925
2025-06-25,21.3,0.99420965,0.999471,0.97461534,0.99685574,0.9981762
