date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2022-05-10,15.07,0.008153854,0.040293794,0.09847146,0.0701853,0.062817566
2022-05-11,15.29,0.0017343748,0.018506013,0.07288837,0.040516645,0.02254935
2022-05-12,14.23,0.0024484,0.02519757,0.8814891,0.08561656,0.92720693
2022-05-13,13.26,0.0024179146,0.05759175,0.9431392,0.8648725,0.92087966
2022-05-16,12.36,0.0024658989,0.87121993,0.94853723,0.9123138,0.9294304
2022-05-17,13.2,0.001489855,0.025594719,0.91383594,0.8787624,0.02858119
2022-05-18,14.1,0.0009871969,0.010146979,0.07739653,0.08224045,0.0110814
2022-05-19,14.26,0.0007557156,0.024738532,0.054696396,0.059687663,0.0067799543
2022-05-20,14.2,0.0010280513,0.02083608,0.031038512,0.93159366,0.018859979
2022-05-23,13.36,0.0008507817,0.94208306,0.9606963,0.9651961,0.011131604
2022-05-24,13.42,0.00070929003,0.92898875,0.95781523,0.9856236,0.011486152
2022-05-25,13.79,0.0005405487,0.08915932,0.96509945,0.9825897,0.012377179
2022-05-26,13.79,0.0005654214,0.038578473,0.9436138,0.95834285,0.006448744
2022-05-27,13.97,0.0005706341,0.01716188,0.93388736,0.9285942,0.005909738
2022-05-30,14.47,0.00046354558,0.018669143,0.08998735,0.0201399,0.005576196
2022-05-31,14.4,0.00041898715,0.030806858,0.038165774,0.015707107,0.0069581727
2022-06-01,13.97,0.00038700565,0.022870854,0.934593,0.016793612,0.0054326784
2022-06-02,14.08,0.00038826445,0.02283904,0.94012946,0.015683658,0.008007781
2022-06-03,14.4,0.00039801517,0.012309532,0.02111836,0.005969859,0.008452038
2022-06-06,14.33,0.00033435124,0.006545234,0.01898218,0.008804744,0.007456009
2022-06-07,14.08,0.00040214544,0.07776785,0.034949634,0.018233847,0.011091626
2022-06-08,14.33,0.00041404326,0.9251875,0.018261662,0.009194589,0.0078034746
2022-06-09,14.51,0.00033670617,0.9585701,0.0052328636,0.015615324,0.0069545484
2022-06-10,14.33,0.00042117178,0.90541184,0.010570594,0.008978693,0.010596293
2022-06-13,13.33,0.0009771172,0.95518094,0.053158738,0.07479239,0.04493207
2022-06-14,12.9,0.0009753812,0.9729556,0.02603222,0.9638554,0.05501142
2022-06-15,12.0,0.0020811004,0.97845227,0.05419208,0.9793819,0.9871179
2022-06-16,11.18,0.005223284,0.99245644,0.07396159,0.9883984,0.9967457
2022-06-17,10.6,0.008573707,0.9894985,0.95230985,0.9871984,0.9953537
2022-06-20,9.89,0.0063098725,0.99014205,0.9731513,0.9933108,0.9944496
2022-06-21,10.0,0.006523278,0.98995286,0.97680354,0.9830647,0.9914819
2022-06-22,10.25,0.0035819036,0.9849154,0.9784097,0.98724675,0.9815553
2022-06-23,10.96,0.003148533,0.97583145,0.94216317,0.98045427,0.9580575
2022-06-24,11.71,0.0016723776,0.9746493,0.928333,0.96090716,0.9483417
2022-06-27,12.5,0.0004478274,0.97530603,0.02217013,0.04898866,0.048043236
2022-06-28,13.04,0.00031185852,0.97393596,0.03500156,0.010935528,0.023179568
2022-06-29,12.4,0.000928491,0.9660998,0.01647203,0.0186019,0.027325813
2022-06-30,13.18,0.00039814133,0.9597352,0.01788012,0.013534676,0.029345976
2022-07-01,12.47,0.0005003957,0.9465565,0.032523137,0.012403676,0.04148762
2022-07-04,12.32,0.0003357076,0.030887976,0.048529677,0.01116451,0.039867003
2022-07-05,11.82,0.00042095003,0.028662018,0.9392013,0.09245111,0.95265496
2022-07-06,11.82,0.00026974315,0.010472174,0.9734967,0.8804634,0.97688466
