date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2019-02-13,24.68,0.002140743,0.013064997,0.064923845,0.021974474,0.013149537
2019-02-14,24.57,0.0018761221,0.009655031,0.056080565,0.021194212,0.005835096
2019-02-15,24.01,0.0018351331,0.011454674,0.097523056,0.0321909,0.0055500222
2019-02-18,24.01,0.0018723212,0.008554698,0.07725889,0.019035093,0.0073146964
2019-02-19,23.56,0.001772891,0.011402713,0.1590342,0.025656095,0.009008399
2019-02-20,23.45,0.0017083854,0.009291801,0.72235656,0.018316804,0.004204599
2019-02-21,22.55,0.0028257377,0.014169422,0.841863,0.0714232,0.051020734
2019-02-22,22.55,0.0021582495,0.013083511,0.7728652,0.06525443,0.018727677
2019-02-25,22.66,0.0016058482,0.010056165,0.1299198,0.03780941,0.0345228
2019-02-26,23.03,0.0017942506,0.007594961,0.04886261,0.021264063,0.015485652
2019-02-27,23.56,0.0018049326,0.011038769,0.03450514,0.011948121,0.007113527
2019-02-28,23.07,0.0016761858,0.015033872,0.022642462,0.015218363,0.015539737
2019-03-01,23.07,0.0015292802,0.006671648,0.028212031,0.013422697,0.00849026
2019-03-04,22.55,0.001613363,0.010102,0.029465284,0.020608412,0.0076475926
2019-03-05,22.43,0.0016879363,0.0064470824,0.047647327,0.023596585,0.0062211393
2019-03-06,22.43,0.0014471427,0.008536974,0.016962936,0.012806829,0.0037057262
2019-03-07,22.13,0.0018325548,0.0068495977,0.016826168,0.012918333,0.008050491
2019-03-08,21.76,0.0026390625,0.0143043045,0.030443622,0.009247771,0.0062378678
2019-03-11,21.57,0.0026180085,0.010192127,0.028617866,0.01240315,0.006894687
2019-03-12,21.72,0.0020330255,0.016010912,0.0152853895,0.008802514,0.0090798875
2019-03-13,21.76,0.0016857946,0.012375385,0.019507758,0.003510452,0.0045597875
2019-03-14,21.38,0.0020392975,0.013784905,0.02398666,0.010584062,0.0080338875
2019-03-15,20.82,0.001840765,0.023688633,0.03199849,0.019432846,0.013114344
2019-03-18,20.63,0.0017283617,0.021075591,0.032170888,0.015660856,0.009462905
2019-03-19,20.44,0.0024012031,0.025382563,0.031203488,0.031587377,0.008632724
2019-03-20,19.88,0.0025242898,0.8200179,0.04303356,0.7966084,0.05524833
2019-03-21,19.21,0.002110512,0.94394183,0.0600834,0.9152144,0.75225705
2019-03-22,19.13,0.0017742772,0.94882894,0.0752573,0.9401548,0.13640624
2019-03-25,18.01,0.003030051,0.9445197,0.92933035,0.9824242,0.97292453
2019-03-26,18.34,0.002561553,0.94895095,0.94687253,0.9770089,0.95067245
2019-03-27,17.97,0.0018918054,0.95675373,0.93770766,0.96000344,0.9656541
2019-03-28,18.01,0.005016785,0.93119925,0.92845833,0.97133046,0.93099606
2019-03-29,18.64,0.0019192082,0.935211,0.9061546,0.9586742,0.91391754
2019-04-01,18.46,0.0026934582,0.9563992,0.9087747,0.94936866,0.91758066
2019-04-02,19.73,0.0021012982,0.98156285,0.90682775,0.10844604,0.050564576
2019-04-03,21.01,0.0057705343,0.97093755,0.097897634,0.020777144,0.016258582
2019-04-04,20.26,0.0026603837,0.9852278,0.09330586,0.031876437,0.013783251
2019-04-05,20.52,0.0031321696,0.98057896,0.6453967,0.026271574,0.0045177224
2019-04-08,20.18,0.0030450732,0.9854972,0.12575148,0.043137234,0.008498806
2019-04-09,20.18,0.0029198271,0.98272055,0.09098413,0.02128987,0.004959065
2019-04-10,19.51,0.0031388423,0.98697376,0.20113084,0.670871,0.01807724
2019-04-11,19.96,0.0027681526,0.98736537,0.042913336,0.039124344,0.0087743215
2019-04-12,20.59,0.0035997184,0.9694853,0.06242826,0.007781251,0.009050969
2019-04-16,20.03,0.0034229837,0.987591,0.0756002,0.02289959,0.01866609
2019-04-17,19.73,0.003983581,0.98522055,0.0940904,0.0055168346,0.0159911
2019-04-18,19.51,0.003118766,0.9922218,0.7127049,0.009855215,0.039496727
2019-04-19,19.84,0.0030483624,0.98795044,0.05852574,0.0034510545,0.021696137
2019-04-22,19.13,0.0041975933,0.98950243,0.85918224,0.023735581,0.90015817
2019-04-23,19.32,0.0029074869,0.98487943,0.848337,0.022709781,0.030404676
2019-04-24,19.13,0.0024747304,0.9870008,0.8734785,0.012618514,0.82881457
2019-04-25,19.77,0.0030130222,0.98312956,0.09781321,0.009432618,0.018199049
2019-04-26,19.21,0.003175151,0.991189,0.8598927,0.018513853,0.037694067
2019-05-02,19.51,0.0017042398,0.9927993,0.042730495,0.010918624,0.041404605
2019-05-03,19.54,0.0020993424,0.9921858,0.058276705,0.015908347,0.06290314
2019-05-06,19.51,0.0026106602,0.9905562,0.04665998,0.020761564,0.03640713
2019-05-07,19.43,0.0021141928,0.988493,0.045563012,0.08103271,0.024119942
2019-05-08,19.32,0.0016103804,0.9922442,0.05365356,0.041886803,0.036639933
2019-05-09,19.13,0.0014234383,0.98495054,0.08540637,0.81014246,0.11040122
2019-05-10,18.23,0.002796276,0.98463905,0.75167793,0.9014978,0.91422516
2019-05-13,18.57,0.001532258,0.98168576,0.15686026,0.91773355,0.9274864
2019-05-14,18.91,0.001576119,0.9891257,0.1896734,0.10990881,0.9514435
2019-05-15,18.79,0.002355697,0.98917514,0.7998047,0.15261926,0.97314405
2019-05-16,18.79,0.0015570023,0.9899456,0.91431004,0.90409625,0.9733374
2019-05-17,18.49,0.0019230375,0.9916967,0.8930473,0.87443244,0.984783
2019-05-20,18.57,0.0013604416,0.9906783,0.83880335,0.8073159,0.98629874
2019-05-21,18.76,0.0009465353,0.9876039,0.85169256,0.15646476,0.9914163
2019-05-22,18.98,0.0013881313,0.9930502,0.09467758,0.053511493,0.9827947
2019-05-23,19.66,0.0011040263,0.9737762,0.13451557,0.09229688,0.991
2019-05-24,19.13,0.0016152929,0.98955184,0.049162176,0.1508549,0.98450005
2019-05-27,19.43,0.0012962612,0.9820597,0.056510687,0.87625533,0.9904613
2019-05-28,18.87,0.0012294169,0.9920283,0.093617715,0.96132284,0.99082184
2019-05-29,18.76,0.0009950432,0.9918379,0.07408504,0.9780673,0.99375665
2019-05-30,18.94,0.001557746,0.992226,0.12521164,0.9831889,0.99046624
2019-05-31,19.02,0.001567673,0.99064386,0.14359121,0.97119945,0.98019683
2019-06-03,18.76,0.0014433461,0.99121046,0.8037383,0.94501,0.9549791
2019-06-04,18.61,0.001133818,0.9902096,0.90532005,0.96659017,0.97823626
2019-06-05,18.76,0.0008977512,0.99225146,0.93557084,0.98417974,0.9922317
2019-06-06,18.76,0.0009813653,0.9890359,0.91323096,0.92574126,0.9865269
2019-06-07,18.79,0.0009358971,0.93941146,0.8711069,0.944717,0.9740578
2019-06-10,19.69,0.0014136301,0.02249515,0.93689716,0.95871264,0.9661832
2019-06-11,19.62,0.0030491988,0.025590926,0.9115588,0.94313705,0.9800963
2019-06-12,20.26,0.0036320107,0.0072832447,0.908239,0.94646335,0.96164036
