date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2022-12-20,18.25,0.26251534,0.073183805,0.9591358,0.025341762,0.020689815
2022-12-21,17.03,0.9325112,0.9266785,0.98082757,0.9681648,0.98453957
2022-12-22,17.03,0.8679936,0.9718687,0.9750813,0.9670419,0.9233798
2022-12-23,18.39,0.41937009,0.6617675,0.89499325,0.023008788,0.024645912
2022-12-26,17.03,0.8886805,0.9693796,0.9786203,0.96287274,0.9706388
2022-12-27,18.46,0.37707254,0.06833139,0.08244426,0.024990931,0.010981731
2022-12-28,17.71,0.80388695,0.936129,0.9783765,0.9616366,0.9377817
2022-12-29,18.12,0.787032,0.91274375,0.033389054,0.93245494,0.031767398
2022-12-30,21.11,0.18734825,0.03472047,0.010018947,0.01747445,0.0072899675
2023-01-03,18.39,0.8214041,0.60255784,0.02306881,0.036090728,0.05469148
2023-01-04,17.84,0.93214864,0.04685356,0.05755712,0.056596436,0.8419821
2023-01-05,18.39,0.8790408,0.022984495,0.025234712,0.029116979,0.012434824
2023-01-06,17.71,0.9533546,0.016218659,0.93969876,0.94755703,0.026207056
2023-01-09,18.39,0.88872117,0.02196056,0.023693085,0.04108513,0.0030161708
2023-01-10,17.91,0.83581936,0.008022229,0.8800867,0.904865,0.006155941
2023-01-11,17.71,0.93250906,0.0348174,0.07153957,0.93483216,0.011772483
2023-01-12,18.25,0.8801355,0.01755428,0.037101667,0.019475712,0.0033606358
2023-01-13,18.25,0.9358512,0.031058155,0.032450214,0.01729126,0.0033167722
2023-01-17,18.25,0.92088324,0.04062124,0.021318907,0.03383528,0.0011739201
2023-01-18,17.98,0.9213725,0.43642604,0.9189213,0.04903194,0.0043029413
2023-01-19,17.71,0.9393882,0.053933658,0.89794743,0.87453735,0.0032965434
2023-01-27,18.25,0.9396456,0.6071319,0.01899477,0.023696244,0.0013202104
2023-01-30,18.12,0.9365606,0.02335402,0.011786476,0.023015274,0.006497328
2023-01-31,18.18,0.9228364,0.065844946,0.021705138,0.030550584,0.0073014195
2023-02-01,18.25,0.9490691,0.051093128,0.010094112,0.019940205,0.0069382107
2023-02-02,18.25,0.9459224,0.059989184,0.007142667,0.015276973,0.011096575
2023-02-03,18.25,0.9453522,0.60204333,0.008775628,0.010066301,0.004070629
2023-02-06,17.91,0.94549197,0.7996444,0.041651305,0.011281046,0.011836438
2023-02-07,18.05,0.95181346,0.06456783,0.0069465484,0.01406175,0.005990969
2023-02-08,17.57,0.94874716,0.9369462,0.036536276,0.015427101,0.00986794
2023-02-09,17.91,0.9489484,0.06253457,0.014665976,0.016780674,0.015154316
2023-02-10,17.77,0.9583721,0.9414918,0.013161231,0.01164925,0.007978814
2023-02-16,17.16,0.9583721,0.9717682,0.09591445,0.06614444,0.077938445
2023-02-17,17.3,0.9583721,0.996765,0.86654073,0.038280766,0.034888722
2023-02-20,17.5,0.9583721,0.995535,0.046625905,0.0503911,0.042786695
2023-02-21,16.89,0.9583721,0.99195766,0.9528544,0.92933375,0.960606
2023-02-22,17.57,0.9474156,0.9951633,0.0732574,0.87403697,0.9022815
2023-02-23,16.69,0.96395284,0.9883759,0.9392196,0.95944524,0.9882599
2023-02-24,17.71,0.88487893,0.98920584,0.04035623,0.042267807,0.08357522
2023-02-27,17.5,0.9567577,0.9935167,0.1042105,0.057372715,0.9816789
2023-02-28,17.03,0.9663403,0.9965988,0.92100173,0.87817615,0.9773999
2023-03-01,17.37,0.96926737,0.99334127,0.86141974,0.06222232,0.98730147
2023-03-02,17.03,0.97723335,0.9933734,0.103445835,0.051854208,0.9846209
2023-03-06,17.03,0.9718392,0.99234504,0.06875816,0.059906676,0.9835382
2023-03-07,17.03,0.96622044,0.9967349,0.12186008,0.10952732,0.98292106
2023-03-08,17.23,0.9609141,0.94856036,0.896496,0.86645496,0.9840471
2023-03-09,17.71,0.94605356,0.9738166,0.07375021,0.056977887,0.92269444
2023-03-10,16.82,0.95330185,0.99569356,0.9770757,0.96642315,0.9874701
2023-03-14,16.48,0.9476019,0.99381906,0.98389614,0.9853786,0.9898353
2023-03-15,16.34,0.95719486,0.9924401,0.98617643,0.97914904,0.98602796
2023-03-16,17.64,0.8715359,0.9752729,0.9521088,0.9365757,0.029988078
2023-03-17,17.03,0.95828855,0.9859513,0.93104297,0.9787441,0.9762211
2023-03-20,17.03,0.9524172,0.98218024,0.98914856,0.9806284,0.98028004
2023-03-21,17.03,0.94429374,0.9876458,0.9960515,0.9892295,0.9794053
2023-03-22,16.82,0.95926726,0.9926362,0.9938645,0.99154705,0.9877484
2023-03-23,17.71,0.8574981,0.98797774,0.99007624,0.9805077,0.0320392
2023-03-24,17.71,0.94724107,0.98654515,0.9779148,0.9707389,0.050715454
2023-03-27,17.71,0.9486671,0.95527107,0.96452713,0.9330324,0.035864204
2023-03-29,17.5,0.95591074,0.97970325,0.98567027,0.078734025,0.0726813
2023-03-30,17.78,0.94141805,0.959864,0.97250944,0.92550707,0.8086634
2023-03-31,17.78,0.9613204,0.95095295,0.9749943,0.046100676,0.08156229
2023-04-03,18.2,0.91289294,0.68156344,0.9603358,0.010737654,0.81666315
2023-04-04,18.2,0.9315348,0.043690555,0.9406877,0.0044667297,0.028672025
2023-04-05,18.41,0.95034707,0.029451992,0.06131338,0.020594906,0.067551665
2023-04-06,18.2,0.9626868,0.015315816,0.9154279,0.005113341,0.039187763
2023-04-07,18.06,0.95973283,0.08115893,0.08197324,0.010870883,0.93919456
2023-04-11,18.41,0.9666086,0.010319607,0.018055221,0.0061062607,0.08619406
2023-04-12,18.55,0.9539332,0.010014852,0.021932961,0.0050946386,0.8602558
2023-04-13,17.43,0.9719116,0.95449567,0.95781094,0.03968759,0.9973687
2023-04-14,18.41,0.95078415,0.06916482,0.00988559,0.05394585,0.9491349
2023-04-17,17.43,0.9765127,0.98168737,0.11677618,0.07818254,0.9977315
2023-04-18,17.85,0.9765127,0.9870783,0.016302561,0.9361785,0.9829686
2023-04-19,17.71,0.9697702,0.98813164,0.0773242,0.11233409,0.9960477
2023-04-20,17.71,0.97190046,0.96403384,0.028937232,0.96836275,0.9857501
2023-04-21,17.36,0.97257113,0.9876323,0.9177216,0.97096616,0.9945709
2023-04-25,17.43,0.9724777,0.96425605,0.08045815,0.98529667,0.9955706
2023-04-26,17.57,0.97976685,0.97802436,0.9130279,0.98179835,0.9960226
2023-04-27,17.57,0.97847706,0.9886143,0.9141991,0.9827884,0.9957253
2023-04-28,17.3,0.9839361,0.9942076,0.9800975,0.9817842,0.995908
2023-05-04,17.99,0.9784022,0.97980714,0.087503105,0.9845823,0.99227893
2023-05-05,17.43,0.9854091,0.99069864,0.96032655,0.98234886,0.9986902
2023-05-08,18.27,0.98669827,0.95451313,0.90000033,0.12902476,0.9731512
2023-05-09,17.71,0.98365134,0.98465616,0.9683328,0.9786982,0.9977646
2023-05-10,17.85,0.98214865,0.97332925,0.10337726,0.9914972,0.9973137
2023-05-11,17.92,0.97918624,0.9905489,0.8773239,0.9751467,0.9981065
2023-05-12,18.2,0.98694766,0.9551984,0.05332181,0.9407495,0.98805994
2023-05-15,18.41,0.9853491,0.8595472,0.018811163,0.9514247,0.97159576
2023-05-16,18.68,0.97655463,0.052635573,0.042928293,0.970426,0.9359148
2023-05-17,17.71,0.97669095,0.968328,0.9887368,0.99615955,0.9946373
2023-05-18,19.38,0.87717474,0.028149758,0.05254586,0.9248288,0.023479074
2023-05-19,17.85,0.9618268,0.9868707,0.9925492,0.99391806,0.9871802
2023-05-22,18.06,0.96265817,0.96744394,0.98017555,0.99470997,0.96516365
2023-05-23,18.06,0.9775227,0.94449365,0.98930794,0.9934549,0.98850006
2023-05-24,18.27,0.9772599,0.8573208,0.98107946,0.99193734,0.96166074
2023-05-25,18.06,0.9810877,0.9449344,0.9925478,0.9846846,0.9538445
2023-05-26,18.75,0.96052283,0.038126092,0.9256638,0.9110488,0.022741944
2023-05-29,19.03,0.9437147,0.018391903,0.90011394,0.0642163,0.006689907
2023-05-30,19.45,0.9056495,0.013519093,0.9034278,0.007856379,0.016056132
2023-05-31,18.61,0.96755546,0.017450986,0.982787,0.93295026,0.89777035
2023-06-01,20.14,0.591144,0.008009539,0.07795687,0.007446208,0.004597707
2023-06-02,19.31,0.94919795,0.016485779,0.92985874,0.0253065,0.013457883
2023-06-05,19.31,0.9699342,0.0031928457,0.025139734,0.010444347,0.0069208457
2023-06-06,19.73,0.96030205,0.00656558,0.020718072,0.009000664,0.009987526
2023-06-07,18.75,0.9787734,0.021322021,0.9410871,0.9031561,0.030537304
2023-06-08,19.17,0.98449314,0.025462443,0.037099045,0.04612426,0.018119566
2023-06-09,19.52,0.981927,0.0062168543,0.034221362,0.01237409,0.011235716
2023-06-12,18.89,0.98625946,0.0063085123,0.031269584,0.014396233,0.019971741
2023-06-13,18.82,0.98161525,0.008313251,0.8790835,0.012776991,0.017029809
2023-06-14,19.38,0.9849064,0.0037653246,0.032581806,0.006933941,0.008101394
2023-06-15,18.89,0.98744154,0.00855505,0.071179636,0.025531104,0.010045581
2023-06-16,18.48,0.98613167,0.015357055,0.1158239,0.04389387,0.046336815
2023-06-19,18.41,0.98496544,0.01609598,0.88742954,0.8545591,0.06246996
2023-06-20,19.1,0.97164434,0.0051298654,0.0054589044,0.015684182,0.008275346
2023-06-22,18.82,0.98277885,0.00478872,0.034648716,0.0113160955,0.025895111
2023-06-23,18.27,0.98744154,0.011163073,0.9035241,0.04864044,0.95691776
2023-06-26,18.48,0.9839505,0.025710238,0.079151,0.045316838,0.94321215
2023-06-27,18.75,0.9819811,0.0054104524,0.025704414,0.016089953,0.9194339
2023-06-29,18.75,0.9801656,0.007464101,0.0097334655,0.013640486,0.10769811
2023-06-30,18.75,0.97601205,0.0110951625,0.0074490216,0.019009516,0.88029563
2023-07-03,18.75,0.98178375,0.012857023,0.00407632,0.020532807,0.90511155
2023-07-04,18.06,0.98175895,0.06141971,0.048363693,0.0690531,0.9909837
2023-07-05,18.61,0.98786896,0.037073333,0.009791603,0.021897122,0.10436165
2023-07-06,18.06,0.9801896,0.8822736,0.035369035,0.96799046,0.97620404
2023-07-07,18.06,0.97604114,0.93371505,0.08091694,0.97302645,0.9878422
2023-07-10,17.85,0.9815341,0.9981633,0.98593444,0.9915399,0.9941362
2023-07-11,17.78,0.9764163,0.997948,0.98590916,0.99487203,0.993772
2023-07-12,17.99,0.9825646,0.9982261,0.9773276,0.9953798,0.99133426
2023-07-13,18.06,0.98121315,0.9975847,0.977098,0.9905591,0.98246807
2023-07-14,17.85,0.9784742,0.9976515,0.98260653,0.9957646,0.995933
2023-07-17,18.13,0.9776844,0.98591447,0.9745389,0.9888181,0.98282015
2023-07-18,18.06,0.9750683,0.9931312,0.9773262,0.9838612,0.98993546
