date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-15,2.65,0.99976164,0.9990428,0.98526984,0.9916055,0.996491
2016-09-16,2.6,0.9995596,0.99912006,0.99448794,0.993246,0.9981343
2016-09-19,2.65,0.99962664,0.9992287,0.9893426,0.9913511,0.9940149
2016-09-20,2.65,0.99970156,0.9994036,0.9946607,0.9940055,0.9978447
2016-09-21,2.66,0.99965084,0.9994387,0.988453,0.99310714,0.9976361
2016-09-22,2.73,0.9995253,0.9988587,0.9735581,0.98347497,0.9914072
2016-09-23,2.78,0.9994549,0.9994609,0.92086136,0.9825279,0.9887505
2016-09-26,2.74,0.999785,0.99932563,0.9749103,0.99486476,0.99374723
2016-09-27,2.96,0.999642,0.99911183,0.96001554,0.9907295,0.99081755
2016-09-28,2.95,0.99961853,0.9990018,0.9689389,0.99102765,0.99508274
2016-09-29,2.98,0.9995834,0.99784636,0.9765513,0.9966479,0.9984041
2016-09-30,3.0,0.9996258,0.99833304,0.9642249,0.9957931,0.997509
2016-10-03,3.0,0.99970263,0.99851555,0.97310084,0.9974082,0.9974474
2016-10-04,3.17,0.9989422,0.99856937,0.34762734,0.9959694,0.9937291
2016-10-05,3.17,0.99950075,0.9983639,0.9601087,0.99318576,0.99437666
2016-10-06,3.17,0.99951303,0.9984602,0.9725003,0.9962387,0.9949242
2016-10-07,3.17,0.99953675,0.9985801,0.9725084,0.9940264,0.9956245
2016-10-10,3.17,0.9995085,0.99834895,0.9760023,0.99467295,0.9937789
2016-10-11,3.17,0.99932194,0.9986349,0.96494937,0.99056166,0.9962453
2016-10-12,3.61,0.997621,0.99854517,0.9666705,0.98511916,0.9578476
2016-10-13,3.69,0.99783736,0.99806315,0.95984364,0.9778456,0.9777353
2016-10-14,3.7,0.9982065,0.99848586,0.97553307,0.9845873,0.9804293
2016-10-17,3.72,0.999244,0.99870384,0.9800156,0.98758334,0.97286373
2016-10-18,3.74,0.99897826,0.99836236,0.9837626,0.9860744,0.98065406
2016-10-19,3.74,0.99945027,0.9979888,0.97958565,0.98493236,0.9830436
2016-10-20,3.74,0.99897206,0.9983956,0.96492,0.98079234,0.98939216
2016-10-21,3.72,0.9992706,0.9984118,0.96068627,0.98472244,0.98100615
2016-10-24,3.9,0.99687093,0.9983719,0.92667484,0.97255725,0.9413483
2016-10-25,3.88,0.99907136,0.998696,0.93972677,0.9838774,0.97132504
2016-10-26,4.06,0.9982843,0.99864167,0.7842035,0.98566216,0.96839875
2016-10-27,4.32,0.9955746,0.99876237,0.14302608,0.9752353,0.96297365
2016-10-28,4.28,0.99848866,0.9988164,0.12697633,0.9781424,0.98779863
2016-10-31,4.36,0.99825746,0.9989491,0.1604837,0.98062986,0.97699296
2016-11-01,4.34,0.99789774,0.99881124,0.74538285,0.9781447,0.98908603
2016-11-02,4.28,0.99890125,0.9990607,0.25863913,0.9827414,0.99164456
2016-11-03,4.22,0.9988691,0.998459,0.89919394,0.98664933,0.9946955
2016-11-04,3.91,0.9994635,0.9990375,0.93011224,0.9899485,0.99770266
2016-11-07,4.27,0.99859864,0.99857414,0.9641444,0.95798445,0.98329264
2016-11-08,4.38,0.9968156,0.998602,0.9424894,0.96310025,0.9602831
2016-11-09,4.23,0.99937516,0.9991147,0.98022777,0.97746986,0.9907656
2016-11-10,4.38,0.9990852,0.9988776,0.9461697,0.9685878,0.97884905
2016-11-11,4.4,0.9991315,0.9991366,0.9297802,0.96255255,0.90497786
2016-11-14,4.56,0.99845266,0.99883646,0.14134695,0.97104454,0.1295404
2016-11-15,4.52,0.99917346,0.9989104,0.23995511,0.9570301,0.16504851
2016-11-16,4.45,0.99936754,0.9984314,0.8165863,0.9298913,0.84176546
2016-11-17,4.54,0.99898833,0.9987281,0.8917857,0.31691122,0.112300955
2016-11-18,4.54,0.99914074,0.9983563,0.94042045,0.8644905,0.11538628
2016-11-21,4.51,0.9986425,0.99906224,0.8861345,0.8458521,0.9006228
2016-11-22,4.51,0.9992176,0.99909556,0.8184716,0.8028074,0.9515223
2016-11-23,4.49,0.9991322,0.9991215,0.24060321,0.20308602,0.93688303
2016-11-24,4.74,0.99821174,0.99868196,0.09535314,0.17549324,0.079722926
2016-11-25,4.56,0.9995913,0.99880636,0.7597631,0.12219693,0.94799215
2016-11-28,4.6,0.99961096,0.9983779,0.053762138,0.03340464,0.18872668
2016-11-29,4.6,0.9996313,0.99835,0.053706884,0.05145396,0.9162513
2016-11-30,4.49,0.99974376,0.9987985,0.09412115,0.89172274,0.975223
2016-12-01,4.49,0.9996736,0.9990194,0.11605321,0.9096547,0.9928034
2016-12-02,4.59,0.9993585,0.99883956,0.027113216,0.033486076,0.9790341
2016-12-05,4.59,0.99965453,0.99896014,0.04439809,0.17273223,0.9881231
2016-12-06,4.52,0.99956864,0.99913824,0.08955451,0.9642041,0.9936207
2016-12-07,4.43,0.9994479,0.99864835,0.92160034,0.9912491,0.9921382
2016-12-08,4.47,0.9991755,0.9993175,0.9754783,0.9901726,0.99670106
2016-12-09,4.5,0.99922097,0.99902356,0.8882896,0.974178,0.99724543
2016-12-12,4.47,0.999428,0.99894375,0.91723245,0.99100155,0.9969524
2016-12-13,4.45,0.99949706,0.9991505,0.97793055,0.99332327,0.994663
2016-12-14,4.53,0.9992151,0.999432,0.91895396,0.98611647,0.9971777
2016-12-15,4.53,0.99929035,0.9990115,0.92515653,0.9857115,0.99479926
2016-12-16,4.53,0.99930394,0.99894553,0.89454734,0.985718,0.9970084
2016-12-19,4.55,0.99924517,0.9988846,0.41562316,0.99019545,0.9958396
2016-12-20,4.6,0.9991278,0.9982975,0.90063405,0.9858452,0.9970933
2016-12-21,4.65,0.9993742,0.9986077,0.95910186,0.98122096,0.9975809
2016-12-22,4.6,0.9993074,0.999041,0.97838235,0.9840508,0.99780816
2016-12-23,4.6,0.9988067,0.9985857,0.97754115,0.9858807,0.9961273
2016-12-26,4.55,0.99884856,0.9989285,0.9792971,0.99476105,0.99736613
2016-12-27,4.79,0.99912256,0.99876106,0.9917052,0.99626887,0.9963111
2016-12-28,4.82,0.9991117,0.99886656,0.92307335,0.9934614,0.9977568
2016-12-29,4.94,0.99887127,0.9967681,0.94695646,0.99345773,0.99575645
2016-12-30,5.04,0.99917233,0.99793786,0.96424896,0.99164635,0.99225897
2017-01-03,5.04,0.9995523,0.998914,0.94683117,0.9940753,0.9960014
2017-01-04,5.09,0.9993075,0.99861634,0.41152734,0.99439394,0.99627626
2017-01-05,5.09,0.9995067,0.9988681,0.39068317,0.99438006,0.9965873
2017-01-06,5.04,0.99960095,0.9988763,0.93024945,0.9919103,0.9938385
2017-01-09,5.11,0.99926955,0.99861085,0.91986394,0.98789227,0.9901481
2017-01-10,5.09,0.9994821,0.9990151,0.9571639,0.9876758,0.99384034
2017-01-11,5.09,0.9995696,0.99934834,0.9378902,0.9840391,0.99248075
2017-01-12,5.09,0.99955994,0.9991122,0.95512784,0.9878671,0.9935103
2017-01-13,5.32,0.9988984,0.9983198,0.8312682,0.95878714,0.9717613
2017-01-16,5.19,0.99920684,0.9989472,0.8811155,0.9640004,0.98680407
