date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,14.04,0.9990569,0.97049224,0.061197624,0.054671377,0.9840082
2016-07-15,13.94,0.9991905,0.98106706,0.097282976,0.049541503,0.9820994
2016-07-18,14.04,0.9988494,0.9231027,0.07880326,0.035021335,0.99036247
2016-07-19,13.94,0.99915946,0.9851531,0.09913886,0.04360589,0.9890243
2016-07-20,13.79,0.99917006,0.9805134,0.08016044,0.04792055,0.98303
2016-07-21,13.69,0.99906117,0.9905883,0.052273814,0.08655613,0.9876623
2016-07-22,13.58,0.99929917,0.992819,0.03062136,0.1718778,0.9762897
2016-07-25,13.48,0.9988104,0.9947602,0.04224683,0.87413055,0.9747167
2016-07-26,13.28,0.99844426,0.991844,0.103284396,0.9508296,0.9817899
2016-07-27,13.48,0.9987954,0.9887476,0.1088838,0.9611258,0.98590326
2016-07-28,13.33,0.9989114,0.9886878,0.114151746,0.9578325,0.9808513
2016-07-29,13.48,0.998376,0.981327,0.092906274,0.92931134,0.9771937
2016-08-01,13.38,0.9985116,0.99015486,0.8517642,0.97020185,0.9801789
2016-08-02,13.17,0.9976064,0.9864873,0.9213381,0.97712505,0.9856995
2016-08-03,12.92,0.99877626,0.9916745,0.937493,0.9734157,0.9845605
2016-08-04,12.81,0.99836534,0.9910322,0.9725424,0.97994417,0.97747016
2016-08-05,13.38,0.99834836,0.95560604,0.94989496,0.97083616,0.96631104
2016-08-08,13.79,0.99554163,0.8364942,0.95754385,0.9582217,0.92114586
2016-08-09,13.53,0.99717206,0.8218994,0.98004043,0.94404393,0.9631742
2016-08-10,13.74,0.9939767,0.090955734,0.98193467,0.97088593,0.96271175
2016-08-11,14.2,0.99138016,0.02012885,0.97119033,0.94811803,0.9089439
2016-08-12,14.1,0.9960829,0.027499026,0.9787765,0.9503351,0.9427548
2016-08-15,14.1,0.99772793,0.019321859,0.9375017,0.88283813,0.9242327
2016-08-16,14.71,0.991067,0.01915239,0.7553226,0.09386882,0.05695163
2016-08-17,15.38,0.9860436,0.025988469,0.088196754,0.061523963,0.05003077
2016-08-18,15.38,0.991109,0.027920485,0.092595816,0.06843226,0.04906257
2016-08-19,14.97,0.99874014,0.013690541,0.043111477,0.030928468,0.040715426
2016-08-22,14.76,0.99870276,0.013508356,0.04172127,0.03263027,0.043331947
2016-08-23,14.97,0.99890184,0.01463194,0.06572812,0.015874976,0.056143664
2016-08-24,14.92,0.9990356,0.021289006,0.06747202,0.01730534,0.091317385
2016-08-25,14.51,0.99900776,0.015042418,0.10575988,0.068851694,0.79928803
2016-08-26,14.61,0.99892575,0.010199957,0.060779348,0.030726176,0.8670324
2016-08-29,14.15,0.99926573,0.015286324,0.9232701,0.5933975,0.9793493
2016-08-30,14.2,0.9991704,0.016333882,0.9233414,0.088884585,0.9780855
2016-08-31,14.45,0.99918145,0.011209619,0.86973137,0.04598311,0.9664824
2016-09-01,14.3,0.9993299,0.03088276,0.8220796,0.057609964,0.9595916
2016-09-05,14.04,0.99950314,0.7068773,0.89915025,0.09871397,0.95837146
2016-09-06,14.2,0.99885285,0.019465456,0.15256272,0.0608894,0.91956604
2016-09-07,14.3,0.9988977,0.019563088,0.15810315,0.066078685,0.8687341
2016-09-08,14.61,0.9971716,0.00776939,0.08136654,0.09330955,0.15844002
2016-09-09,14.45,0.9984302,0.010277572,0.075751565,0.866954,0.10410801
2016-09-12,14.2,0.99904126,0.024734603,0.12824063,0.9363784,0.21946314
2016-09-13,14.2,0.9986664,0.01782301,0.13812435,0.9056405,0.8130131
2016-09-14,13.94,0.99912983,0.04169599,0.8347452,0.9443451,0.9130624
2016-09-15,13.76,0.99890614,0.7677904,0.86648905,0.98149806,0.927772
2016-09-16,14.02,0.99867296,0.034543086,0.9500143,0.93475455,0.9074403
2016-09-19,13.84,0.99894994,0.04320386,0.93143344,0.9578418,0.9269761
2016-09-20,13.89,0.99855,0.03608177,0.93195117,0.95131016,0.951783
2016-09-21,14.07,0.99803597,0.018852863,0.9079527,0.9027632,0.8914247
2016-09-22,14.17,0.9975249,0.016834455,0.9283901,0.8702457,0.17586899
2016-09-23,14.56,0.9961384,0.019724801,0.77960837,0.04862098,0.036218833
2016-09-26,14.86,0.99503565,0.0059517263,0.74337614,0.030965572,0.015597648
2016-09-27,14.86,0.99853754,0.01873348,0.12322617,0.026612086,0.016712341
2016-09-28,14.66,0.9994649,0.018285887,0.04868315,0.018445482,0.017748158
2016-09-29,15.17,0.9987356,0.01719151,0.046427023,0.025597477,0.0056385924
2016-09-30,15.02,0.99929094,0.015309854,0.045985136,0.034731142,0.011362036
2016-10-03,14.92,0.99916196,0.015042509,0.077350184,0.021879388,0.012520802
2016-10-04,14.56,0.99947697,0.01779382,0.0881189,0.043121,0.01124682
2016-10-05,14.45,0.99967587,0.01772547,0.0674455,0.05787576,0.02542879
2016-10-06,14.51,0.99951196,0.014505052,0.07124709,0.023136329,0.024377692
2016-10-07,14.33,0.9996352,0.024240978,0.08535982,0.050321642,0.021288017
2016-10-10,13.99,0.99936384,0.05122168,0.5558953,0.53815645,0.02622917
2016-10-11,14.35,0.9992531,0.015085134,0.019989057,0.031994518,0.013297322
2016-10-12,14.25,0.99957806,0.012623416,0.028187593,0.041494586,0.015306312
2016-10-13,14.33,0.9991308,0.029841194,0.041384965,0.018377198,0.012550534
2016-10-14,14.25,0.99953616,0.04742433,0.03493291,0.030230016,0.010247741
2016-10-17,14.25,0.99953043,0.0494083,0.04899053,0.01906794,0.01307188
2016-10-18,14.15,0.99955314,0.9134113,0.03420719,0.016178407,0.020935813
2016-10-19,14.12,0.9994542,0.92519593,0.017005058,0.015206013,0.019533169
2016-10-20,13.99,0.9995127,0.99782467,0.037281994,0.038097437,0.01982708
2016-10-21,14.04,0.9993799,0.9971891,0.018398896,0.040675644,0.031938355
2016-10-24,14.04,0.99895525,0.9987752,0.017148808,0.01972572,0.037949026
2016-10-25,13.92,0.99932635,0.99942786,0.031589776,0.04579099,0.032250866
2016-10-26,14.04,0.9993437,0.99852604,0.10834581,0.09881545,0.069422
2016-10-27,13.94,0.9992243,0.99737906,0.08688794,0.067055814,0.1210543
2016-10-28,14.04,0.9991799,0.9962345,0.092720166,0.051735304,0.7575765
2016-10-31,13.94,0.9991831,0.99786866,0.076605275,0.044040043,0.9320769
2016-11-01,13.84,0.9990338,0.99763036,0.10877105,0.105907984,0.96804214
2016-11-02,13.58,0.9990727,0.9979652,0.22273831,0.8622997,0.9763545
2016-11-03,13.43,0.9989355,0.99817944,0.7922042,0.92181677,0.96873367
2016-11-04,13.45,0.99889404,0.997844,0.76569873,0.91161376,0.95133233
2016-11-07,13.81,0.99856913,0.996545,0.14103927,0.1288237,0.93553424
2016-11-08,13.66,0.99901867,0.9971916,0.26333043,0.17824161,0.94889504
2016-11-09,13.4,0.99941695,0.9936605,0.8990623,0.9609304,0.94898653
2016-11-10,13.63,0.9988457,0.9924677,0.9082941,0.9519314,0.94710743
2016-11-11,13.48,0.99936825,0.9971546,0.92830914,0.9759478,0.97884
2016-11-14,13.43,0.99955577,0.9974082,0.9583492,0.9759497,0.90601194
2016-11-15,13.58,0.9988176,0.9947472,0.9456575,0.97821313,0.17104508
2016-11-16,13.74,0.9989542,0.99155945,0.93560696,0.93955886,0.084033616
2016-11-17,13.71,0.9988876,0.989689,0.936715,0.9345177,0.15288724
2016-11-18,13.53,0.9994305,0.9926339,0.9493214,0.9705484,0.89309305
2016-11-21,13.69,0.9992163,0.98952335,0.94452757,0.9178624,0.8725565
2016-11-22,13.63,0.999438,0.9952939,0.918882,0.9062863,0.8994552
2016-11-23,13.94,0.9989869,0.9839572,0.18328875,0.14952093,0.06735638
2016-11-24,13.94,0.9992888,0.9871969,0.70768327,0.07205709,0.05280535
2016-11-25,14.1,0.99825126,0.9884596,0.09956512,0.035351526,0.021352272
2016-11-28,14.2,0.99869436,0.9854682,0.07495115,0.00872891,0.02387575
2016-11-29,13.99,0.99929917,0.99309784,0.06458609,0.017604778,0.035939947
2016-11-30,13.94,0.9992716,0.998108,0.102942966,0.024768466,0.0727123
2016-12-01,13.97,0.9992478,0.99751747,0.07594781,0.022680549,0.05737853
2016-12-02,13.74,0.9994548,0.99845266,0.66796714,0.044034135,0.8157254
2016-12-05,13.94,0.99929166,0.99849606,0.07036086,0.029276786,0.05800106
