date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,6.7,0.9995912,0.00035239678,0.0015355555,0.0033386233,0.0023143014
2016-07-15,6.7,0.99991643,0.00021227318,0.00085132173,0.0055605564,0.0051099313
2016-07-18,6.9,0.9979232,0.00044051238,0.0010693601,0.00028805665,0.0007469702
2016-07-19,6.8,0.99984396,0.0011815189,0.0018697636,0.00059829204,0.0006793665
2016-07-20,6.7,0.9996418,0.00030211214,0.00032021402,0.0024519558,0.00096525415
2016-07-21,6.6,0.9998485,0.00045653933,0.0009834962,0.005808945,0.003862646
2016-07-22,6.4,0.99996245,0.00019417187,0.00145746,0.0085246125,0.010438375
2016-07-25,6.8,0.99813783,0.0005601371,0.00034557903,0.0020630234,0.0006846426
2016-07-26,6.7,0.99790573,0.0006170827,0.0017450317,0.0011730565,0.00020132757
2016-07-27,6.6,0.99961483,0.00024131905,0.0007142526,0.00027542745,0.0011950157
2016-07-28,6.4,0.9997719,0.00054691336,0.0008950424,0.008533468,0.0014133562
2016-07-29,6.4,0.99984956,0.0017825281,0.00060748187,0.9903216,0.005929655
2016-08-01,6.3,0.9988944,0.00040875986,0.0027822847,0.9897371,0.013313254
2016-08-02,6.1,0.99990976,0.0006173395,0.0021606588,0.99565554,0.9923881
2016-08-03,5.8,0.9998784,0.0055129747,0.9945068,0.9962437,0.9918064
2016-08-04,5.4,0.99969745,0.021146072,0.9992817,0.99896944,0.9977423
2016-08-05,5.1,0.99978524,0.9675688,0.9994578,0.99975735,0.9980646
2016-08-08,5.3,0.99960643,0.02283055,0.9997454,0.99508554,0.996307
2016-08-09,5.6,0.99916255,0.0044517955,0.99433655,0.9992211,0.99169755
2016-08-10,5.9,0.99741673,0.0019264669,0.99441975,0.99078476,0.001364399
2016-08-11,6.3,0.9978452,0.0048953,0.0035081995,0.0053451164,0.0009943898
2016-08-12,6.5,0.9985367,0.00064108334,0.00051206164,0.0028807358,0.00029155568
2016-08-15,6.9,0.9982522,0.0009363849,0.00063204626,0.0016860563,0.0016593925
2016-08-16,6.8,0.99217075,0.00019563682,0.0012692121,0.0003311239,0.00013670212
2016-08-17,6.4,0.9979353,0.0006976184,0.0026613849,0.00088799273,0.00030269162
2016-08-18,6.0,0.9998049,0.000882984,0.003225704,0.00052872475,0.0004315992
2016-08-19,6.4,0.99951494,5.6969595e-05,0.0041091274,0.0006773724,5.7862824e-05
2016-08-22,6.3,0.9995571,0.00019378788,0.0032910204,0.00035323497,0.00017519278
2016-08-23,6.3,0.99929976,0.00063834,0.0015025,0.00012719819,0.00010092994
2016-08-24,6.2,0.99977726,0.00047488595,0.9853255,5.9741735e-05,0.0001131859
2016-08-25,6.0,0.99950314,0.003895796,0.0023303928,0.0006440114,0.00017209732
2016-08-26,6.4,0.9989832,0.0009434736,0.0012076424,0.00012991829,6.831321e-05
2016-08-29,6.3,0.99856806,0.0021327892,0.0009424256,0.000102566126,3.8764105e-05
2016-08-30,6.3,0.99930286,0.015386327,0.0009827268,2.2330738e-05,8.423636e-05
2016-08-31,6.3,0.99918216,0.98413265,0.0012602846,5.9734716e-06,8.933213e-05
2016-09-01,6.0,0.9994073,0.99417603,0.0005080916,0.00048356922,0.0001624736
2016-09-05,5.6,0.9991905,0.99783,0.0012567623,0.0027649375,0.0003345799
2016-09-06,5.8,0.99852484,0.99651504,5.734842e-05,0.0045874836,0.00012552757
2016-09-07,5.7,0.99729484,0.9954255,9.2897026e-05,0.00030552072,0.00020845633
2016-09-08,5.7,0.9992181,0.9947096,2.8274197e-05,0.0008694159,0.0022021846
2016-09-09,5.6,0.99948514,0.9960305,0.00064985274,0.0014141263,0.003140075
2016-09-12,5.4,0.99907887,0.9977843,0.0020100323,0.006387764,0.0008687173
2016-09-13,5.2,0.99955827,0.99863726,0.008121716,0.9919538,0.0060138567
2016-09-14,5.2,0.9998858,0.99905115,0.0037294924,0.98834664,0.00449983
2016-09-15,5.3,0.9994548,0.9975171,0.0026390585,0.003128295,0.0029847766
2016-09-16,4.93,0.9998678,0.9992993,0.9948697,0.99590427,0.9935221
2016-09-19,5.01,0.9991943,0.9995402,0.9958412,0.9957539,0.9986658
2016-09-20,5.07,0.99960524,0.99883085,0.9976451,0.99388254,0.996503
2016-09-21,5.13,0.999642,0.999775,0.9950427,0.01097878,0.9972932
2016-09-22,5.14,0.99958843,0.997769,0.99854076,0.0035810291,0.99973816
2016-09-23,5.13,0.9995459,0.9991541,0.99728286,0.0021837666,0.9987619
2016-09-26,5.15,0.9990883,0.9965229,0.9972384,0.0039223335,0.998192
2016-09-27,5.28,0.999902,0.99960214,0.0073341914,0.0030533674,0.99269557
2016-09-28,5.31,0.9998846,0.9988992,0.002273585,0.007374962,0.0042309347
2016-09-29,5.25,0.99948055,0.9986871,0.0049396656,0.9892511,0.0050441623
