date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-11-23,3.89,0.9997969,0.9996749,0.00472926,0.0048331195,0.99927574
2016-11-24,3.85,0.99962556,0.9997861,0.0010057229,0.0037146818,0.99846977
2016-11-25,3.87,0.99964666,0.999876,0.00069888175,0.0019761005,0.9996668
2016-11-28,3.82,0.9998803,0.9997924,0.008101815,0.011330188,0.9996543
2016-11-29,3.82,0.9998715,0.9998118,0.0071180714,0.014956187,0.9999026
2016-11-30,3.86,0.9993825,0.9999403,0.012769794,0.004192034,0.99956745
2016-12-01,3.85,0.99960536,0.9997671,0.004307524,0.010786587,0.9995714
2016-12-02,3.87,0.9997309,0.99975294,0.0016361426,0.0077303904,0.99885154
2016-12-05,3.82,0.9997414,0.99993455,0.003945506,0.9880371,0.9995129
2016-12-06,3.75,0.99965584,0.99999046,0.019112041,0.99368894,0.9997012
2016-12-07,3.74,0.99971026,0.9999416,0.9748667,0.9938699,0.99981123
2016-12-08,3.69,0.9986363,0.99993014,0.9960454,0.9916678,0.9997756
2016-12-09,3.69,0.99964905,0.9998956,0.99442935,0.999037,0.99996054
2016-12-12,3.68,0.99942505,0.99997354,0.99850214,0.9979473,0.9998696
2016-12-13,3.69,0.9994097,0.99994016,0.99499524,0.99824166,0.999884
2016-12-14,3.81,0.9977176,0.99986506,0.9949923,0.9940948,0.99868506
2016-12-15,3.81,0.99978894,0.9994802,0.98938316,0.99359244,0.99943787
2016-12-16,3.87,0.99961865,0.99989104,0.99245864,0.99841154,0.99990606
2016-12-19,4.08,0.9996815,0.9998647,0.009868406,0.99295104,0.99930775
2016-12-20,4.01,0.99990654,0.99992764,0.0069306223,0.99817634,0.9996612
2016-12-21,4.02,0.9998534,0.9999356,0.007116585,0.99625117,0.9993187
2016-12-22,3.95,0.9996619,0.99951434,0.9913298,0.9982192,0.9983917
2016-12-23,3.91,0.99973065,0.9998938,0.9926151,0.99751616,0.9996216
2016-12-26,3.94,0.9998512,0.999527,0.9984869,0.9987514,0.99978894
2016-12-27,3.99,0.99980134,0.99940455,0.99357456,0.9985671,0.9998091
2016-12-28,4.0,0.99989855,0.9990976,0.9986104,0.997846,0.9991047
2016-12-29,4.02,0.99979216,0.9989472,0.9950795,0.9962022,0.99939036
2016-12-30,3.99,0.9998467,0.9993481,0.996786,0.99776566,0.9995264
2017-01-03,4.15,0.9994337,0.9998411,0.004093031,0.0066866945,0.9992409
2017-01-04,4.12,0.9996376,0.9997793,0.003451635,0.0063565676,0.9998882
2017-01-05,4.14,0.9996146,0.9996718,0.005481052,0.0015670432,0.99964166
2017-01-06,4.18,0.9996438,0.99967825,0.004143742,0.0039785253,0.9997627
2017-01-09,4.16,0.9998785,0.9997923,0.009781215,0.013485545,0.9997187
2017-01-10,4.11,0.99965084,0.99959236,0.9900367,0.0073980056,0.99993277
2017-01-11,4.08,0.9998342,0.9997961,0.98120844,0.9857017,0.9999418
2017-01-12,4.13,0.9998087,0.99966276,0.009005208,0.0073964046,0.99956614
2017-01-13,4.17,0.9998696,0.99935526,0.003276458,0.0011983122,0.9956994
2017-01-16,4.11,0.99990857,0.9996216,0.008956948,0.98881537,0.99790776
2017-01-17,4.12,0.9998235,0.9999161,0.0054330467,0.9962813,0.99982905
2017-01-18,4.12,0.9997851,0.9999051,0.012174087,0.99533,0.9997589
2017-01-19,4.1,0.99966395,0.9997335,0.9892825,0.9967872,0.99802065
2017-01-20,4.08,0.9994276,0.99968064,0.9892727,0.99858934,0.99979955
2017-01-23,4.0,0.9996309,0.9998134,0.9967572,0.98945403,0.99953604
2017-01-24,4.09,0.9991628,0.9992756,0.9889079,0.9958876,0.99735945
2017-01-25,4.11,0.99977106,0.9981974,0.99849665,0.9984378,0.9996166
2017-02-02,4.11,0.99962544,0.9997137,0.9998734,0.9978765,0.9999076
2017-02-03,4.13,0.99976677,0.998431,0.99945253,0.9992205,0.9999659
2017-02-06,4.2,0.99965596,0.9996086,0.99744844,0.9873236,0.9987531
2017-02-07,4.33,0.9991897,0.9998355,0.9837315,0.9962748,0.99734324
2017-02-08,4.34,0.9992489,0.99973685,0.99714786,0.9994099,0.99953544
2017-02-09,4.29,0.99971646,0.99951506,0.9949221,0.99516886,0.9994968
2017-02-10,4.3,0.99947864,0.9998822,0.99325013,0.99820125,0.9988714
2017-02-13,4.49,0.9990947,0.9998989,0.99174213,0.9931306,0.9903593
2017-02-14,4.49,0.9986224,0.99988973,0.9941332,0.9911097,0.9982597
2017-02-15,4.47,0.99854326,0.9999145,0.99797136,0.9965424,0.9982368
2017-02-16,4.38,0.99874073,0.9999201,0.99017453,0.9883237,0.9992113
2017-02-17,4.41,0.9993144,0.9998324,0.99421304,0.99832124,0.99970645
2017-02-20,4.65,0.99870014,0.99947387,0.0070927837,0.015636478,0.99768806
2017-02-21,4.57,0.9993728,0.99974984,0.0033604377,0.0087840315,0.9965029
2017-02-22,4.62,0.9992673,0.9995521,0.007421938,0.012768309,0.9980572
2017-02-23,4.65,0.9994155,0.99850476,0.0024713087,0.0074813245,0.9923304
2017-02-24,4.56,0.99981076,0.9995943,0.0036351527,0.99042284,0.99948883
2017-02-27,4.6,0.99985266,0.99924976,0.009434815,0.99445313,0.9973188
2017-02-28,4.57,0.99989796,0.9996118,0.006820033,0.99224246,0.9982603
2017-03-01,4.49,0.99982905,0.9996892,0.99540675,0.9971144,0.99985623
2017-03-02,4.46,0.99985147,0.99777067,0.99909174,0.9978492,0.99936944
2017-03-03,4.49,0.99970835,0.9977896,0.99788374,0.9962758,0.9983852
2017-03-06,4.51,0.9998049,0.9997558,0.9964982,0.9993499,0.9989938
2017-03-07,4.51,0.9998362,0.9997044,0.9985275,0.99932766,0.9990471
2017-03-08,4.53,0.9996861,0.99971527,0.99386275,0.99203277,0.9992099
2017-03-09,4.63,0.99963355,0.9997532,0.9939765,0.9939957,0.9951593
2017-03-10,4.62,0.9999012,0.9981901,0.9932075,0.99502325,0.9851193
2017-03-13,4.61,0.9998331,0.999913,0.996748,0.99921584,0.9893628
2017-03-14,4.61,0.999876,0.99985373,0.9979317,0.99927765,0.99766386
2017-03-15,4.6,0.9998995,0.9997528,0.99442554,0.99986744,0.9935149
2017-03-16,4.76,0.9994956,0.9998061,0.0066095823,0.01092932,0.0097697815
2017-03-17,4.74,0.99972206,0.9994404,0.011352687,0.98230517,0.012792783
2017-03-20,4.78,0.9989197,0.999876,0.97916645,0.98876613,0.011912288
2017-03-21,4.8,0.9993469,0.99973255,0.0059812344,0.99224746,0.0062147304
2017-03-22,4.69,0.99975544,0.99997187,0.005736795,0.9993488,0.014651583
2017-03-23,4.74,0.9998068,0.9998802,0.0144314105,0.99372166,0.0068363175
2017-03-24,4.7,0.9997738,0.99939835,0.99360025,0.99552476,0.0053105727
2017-03-27,4.79,0.99977773,0.9998524,0.98950505,0.9915422,0.0022853273
2017-03-28,4.74,0.999933,0.9995085,0.99367213,0.9968131,0.0020607137
2017-03-29,4.68,0.99984396,0.99973637,0.9944982,0.99192315,0.020804694
2017-03-30,4.68,0.9995683,0.99986243,0.9996062,0.0122975195,0.98040223
2017-03-31,4.75,0.9998455,0.9985794,0.99093443,0.008535118,0.97821814
2017-04-03,4.88,0.99979204,0.9998592,0.98744977,0.0016347482,0.008736997
2017-04-04,4.82,0.9999238,0.9998267,0.0067467624,0.0012022147,0.0055434546
2017-04-05,4.93,0.99988747,0.99990857,0.012889337,0.0060776663,0.98978615
2017-04-07,4.93,0.99981195,0.9998566,0.005867788,0.0065269563,0.9903142
2017-04-10,4.99,0.99889416,0.9998411,0.0033994413,0.0033532875,0.98239005
2017-04-11,4.89,0.9995828,0.99994016,0.0022152332,0.011534606,0.98940945
2017-04-12,4.76,0.99987626,0.9998615,0.0037152166,0.009707243,0.998178
2017-04-13,4.69,0.9998814,0.99877363,0.009731977,0.015871229,0.99760973
2017-04-14,4.59,0.99958426,0.99930334,0.014653517,0.99879944,0.99965596
2017-04-17,4.44,0.99947816,0.9998016,0.9945614,0.9997074,0.9997003
