date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-12-27,4.49,0.99937767,0.9999881,0.99360114,0.99981254,0.99970394
2016-12-28,4.5,0.99887115,0.9998696,0.013533479,0.99978465,0.9998796
2016-12-30,4.65,0.99942636,0.99994814,0.0036740345,0.99525946,0.99991715
2017-01-03,4.64,0.99956876,0.9998543,0.005191956,0.9937808,0.99991953
2017-01-04,4.64,0.9993475,0.9999901,0.009489473,0.011000495,0.99975616
2017-01-05,4.62,0.9993691,0.9999341,0.9933482,0.014105866,0.9997849
2017-01-06,4.49,0.9994579,0.9999331,0.9967192,0.9968867,0.9999268
2017-01-09,4.58,0.9995839,0.9999703,0.9905297,0.9986451,0.99983656
2017-01-10,4.6,0.99914825,0.999941,0.9913195,0.9954125,0.9997348
2017-01-11,4.6,0.999859,0.9999933,0.008398888,0.9952748,0.99976605
2017-01-12,4.76,0.99969447,0.99995124,0.00819529,0.013315464,0.99948883
2017-01-13,4.93,0.9995888,0.996582,0.008167934,0.0097341,0.9985228
2017-01-16,4.66,0.9999062,0.99998474,0.9968641,0.9954295,0.99989355
2017-01-17,4.76,0.99844956,0.9999709,0.99177915,0.98712444,0.9983625
2017-01-18,4.6,0.9999249,0.99992967,0.9986154,0.9996344,0.9998865
2017-01-19,4.62,0.99990106,0.99980015,0.9977864,0.9979925,0.9991228
2017-01-20,4.68,0.9999006,0.9999105,0.9961511,0.99883443,0.9997992
2017-01-23,4.68,0.99990785,0.99986863,0.99069864,0.9979182,0.99958485
2017-01-24,4.84,0.9999292,0.99981016,0.007384631,0.99761176,0.99980253
2017-01-25,4.68,0.999882,0.9999689,0.9984818,0.9994894,0.999892
2017-02-02,4.74,0.99994445,0.9999547,0.016428825,0.9987921,0.9999274
2017-02-03,4.77,0.9997807,0.9998447,0.9978333,0.999635,0.999959
2017-02-06,4.77,0.999841,0.9999678,0.99210054,0.9991572,0.9998611
2017-02-07,4.79,0.99994683,0.9999913,0.9986235,0.99724317,0.99980325
2017-02-08,4.91,0.99954945,0.9999372,0.9889148,0.99145657,0.99912316
2017-02-09,4.72,0.9999145,0.9999763,0.99829847,0.9996997,0.9996345
2017-02-10,5.04,0.9996407,0.9996315,0.9872491,0.9837467,0.99885035
2017-02-13,5.36,0.99930143,0.98556584,0.008704375,0.00043297576,0.9903951
2017-02-14,5.36,0.99887353,0.9943455,0.9779703,0.0010611877,0.99456245
2017-02-15,5.3,0.99794155,0.9997881,0.011956433,0.0018026275,0.99358624
2017-02-16,5.28,0.99889624,0.99973804,0.98794335,0.007832483,0.998106
2017-02-17,5.22,0.9990102,0.99995065,0.004654909,0.9961618,0.99919146
2017-02-20,5.34,0.9999037,0.99938476,0.0026027902,0.00881392,0.99742776
2017-02-21,5.38,0.999926,0.99134153,0.0016987644,0.97832423,0.9934888
2017-02-22,5.26,0.99984694,0.99988484,0.9923712,0.9986212,0.9998683
2017-02-23,5.3,0.99974555,0.9998105,0.010726305,0.9997712,0.99986506
2017-02-24,5.22,0.9996593,0.9993445,0.99883276,0.9999434,0.99936014
2017-02-27,5.22,0.9995881,0.9992569,0.9986829,0.9997111,0.99962735
2017-02-28,5.32,0.9999558,0.99884975,0.9951331,0.9996426,0.99957424
2017-03-01,5.3,0.99976796,0.9991536,0.99574727,0.9995771,0.99982613
2017-03-02,5.26,0.9994062,0.99979466,0.998543,0.999181,0.9991673
2017-03-03,5.34,0.9996526,0.9980488,0.99470854,0.9957417,0.9993273
2017-03-06,5.32,0.9998134,0.9991567,0.99918264,0.9991578,0.9992969
2017-03-07,5.44,0.99932075,0.9999242,0.9878492,0.98746604,0.9986506
2017-03-08,5.75,0.9998683,0.9920231,0.0047663925,0.0055860826,0.97930074
2017-03-09,5.61,0.9997199,0.9997042,0.9898267,0.012963679,0.9967715
2017-03-10,5.87,0.9985459,0.9859745,0.0010278176,0.0049782507,0.026271265
2017-03-13,5.85,0.99986386,0.026846144,0.0018150416,0.9854865,0.9909849
2017-03-14,5.75,0.99973303,0.9979773,0.0055291257,0.99536234,0.9896937
2017-03-15,5.75,0.99942636,0.99638605,0.0046467064,0.9916682,0.99502736
2017-03-16,5.67,0.9998472,0.999283,0.011389256,0.018069925,0.9987808
2017-03-17,5.58,0.99937576,0.9989837,0.9910585,0.987953,0.99906987
2017-03-20,5.56,0.99790406,0.9995054,0.99800664,0.9983164,0.9976043
2017-03-21,5.71,0.9995622,0.99684286,0.9952383,0.9930056,0.9957557
2017-03-22,5.75,0.99993145,0.99895346,0.9914342,0.9978023,0.9872224
2017-03-23,5.46,0.9995017,0.9999095,0.9988953,0.9982114,0.9981141
2017-03-24,5.8,0.9993518,0.99809617,0.007449938,0.997897,0.9847933
2017-03-27,5.86,0.99950624,0.99594396,0.0021396198,0.99467695,0.008005187
2017-03-28,5.86,0.99977213,0.9996214,0.004627192,0.99798334,0.0019564088
2017-03-29,5.76,0.99989426,0.9998964,0.9967913,0.9950807,0.01285727
2017-03-30,5.66,0.9979851,0.9996313,0.9982009,0.99823344,0.99233127
2017-03-31,5.75,0.99938285,0.99952745,0.9955188,0.99529296,0.99063325
2017-04-03,5.74,0.999603,0.9998373,0.99910176,0.98572725,0.97947913
2017-04-04,5.76,0.9989047,0.9999571,0.998412,0.022996528,0.017015263
2017-04-05,5.8,0.99963605,0.9999441,0.9966343,0.98724174,0.9896786
2017-04-07,5.77,0.9989712,0.9999753,0.9967199,0.98995334,0.9907754
2017-04-10,5.86,0.9990283,0.9996582,0.0053706216,0.007623097,0.99233294
2017-04-11,6.13,0.9985946,0.9948443,0.004465498,0.0027505897,0.0025457675
2017-04-12,6.02,0.99967587,0.9998234,0.0031744312,0.002515209,0.0020609049
2017-04-13,6.02,0.9993685,0.9999329,0.0045989556,0.007849265,0.0087961005
2017-04-14,5.86,0.9993199,0.9997557,0.9898565,0.008641122,0.9879319
2017-04-17,5.76,0.9992925,0.9999571,0.99074745,0.9864336,0.99770594
2017-04-18,5.76,0.99978346,0.9999819,0.008975083,0.016406957,0.9938816
2017-04-19,5.74,0.99987173,0.99995077,0.008845428,0.99395716,0.9925579
2017-04-20,5.92,0.99969745,0.9998565,0.0010973326,0.0053980476,0.00711018
2017-04-21,5.88,0.9997651,0.9982266,0.0022841024,0.9934564,0.0062941355
2017-04-24,5.86,0.99977154,0.9997025,0.0019420804,0.9884851,0.009509191
2017-04-25,5.76,0.9996234,0.9998872,0.008550631,0.9982646,0.9964104
2017-04-26,5.72,0.99931145,0.9996985,0.9951344,0.99960333,0.9972402
2017-04-27,5.75,0.99976426,0.99976915,0.99045837,0.9969869,0.992242
2017-04-28,5.7,0.99955946,0.999706,0.99904627,0.996467,0.99736685
2017-05-03,5.77,0.999936,0.9995734,0.9984169,0.99097073,0.013467896
2017-05-04,5.76,0.9998386,0.9995048,0.9979102,0.9979007,0.9935819
2017-05-05,5.76,0.9996923,0.99816185,0.99748343,0.9841777,0.9919051
2017-05-08,5.82,0.99903417,0.9994635,0.9880503,0.00912153,0.01027825
2017-05-09,6.04,0.9999037,0.9991516,0.0013856706,0.0043172594,0.0054703588
2017-05-10,5.96,0.9998802,0.9996803,0.004708149,0.0037204993,0.0020306383
2017-05-11,5.92,0.99920875,0.999288,0.0026511461,0.0011996593,0.0038238915
2017-05-12,5.86,0.9990701,0.999899,0.013003368,0.0032623503,0.013695918
2017-05-15,5.94,0.99971884,0.99916375,0.0030386627,0.004399338,0.007267145
2017-05-16,5.88,0.99985886,0.9998441,0.005284807,0.0039297366,0.016351944
2017-05-17,5.84,0.9994287,0.9994236,0.006950934,0.0043288893,0.9747907
2017-05-18,5.82,0.99924845,0.9990515,0.99028033,0.008605819,0.99438393
2017-05-19,5.78,0.99935764,0.99933004,0.99892175,0.023686538,0.9948718
2017-05-22,5.82,0.9995752,0.99967957,0.9930467,0.0066864346,0.01975653
2017-05-23,5.75,0.99949384,0.99956864,0.016878929,0.99260074,0.99992526
2017-05-24,5.72,0.99926764,0.9986952,0.994456,0.9892702,0.99992585
2017-05-25,5.86,0.99912935,0.99922097,0.0068176496,0.0051142895,0.9975955
2017-05-26,5.84,0.999313,0.9986456,0.0015977474,0.004619222,0.99843186
2017-05-29,5.84,0.9994041,0.99921954,0.005548717,0.0063680257,0.98659617
2017-05-30,5.75,0.9996809,0.9995987,0.9966877,0.9923024,0.99962807
2017-05-31,5.74,0.99950576,0.99940753,0.99625164,0.9975897,0.9995808
2017-06-01,5.78,0.9996716,0.99964833,0.9979475,0.99509394,0.9974974
2017-06-02,5.78,0.9995178,0.99975353,0.9993432,0.99894875,0.99950933
2017-06-05,5.78,0.9999336,0.998701,0.99994767,0.99957484,0.9994174
