date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,4.03,0.99574846,0.991267,0.8339787,0.9773119,0.99102753
2016-07-15,4.07,0.9981913,0.98345554,0.26377743,0.9856154,0.99171466
2016-07-18,4.24,0.9936959,0.9825081,0.2996245,0.9843754,0.9879298
2016-07-19,4.21,0.996986,0.9713289,0.83225733,0.9835368,0.99285734
2016-07-20,4.12,0.9974975,0.9915605,0.88927144,0.9835348,0.9942405
2016-07-21,4.13,0.9988825,0.9834276,0.8681064,0.9886546,0.9938857
2016-07-22,4.03,0.99733776,0.9912463,0.8998388,0.9846118,0.98815453
2016-07-25,4.1,0.99750715,0.9834284,0.86715233,0.98866206,0.9923779
2016-07-26,4.24,0.9940393,0.99002105,0.8325175,0.98880637,0.9891644
2016-07-27,4.33,0.9926991,0.96080136,0.13160303,0.98918366,0.98428196
2016-07-28,4.47,0.9806981,0.9763555,0.12085908,0.98369676,0.97334284
2016-07-29,4.46,0.99234664,0.9719002,0.123376906,0.98864883,0.96926326
2016-08-01,4.42,0.9975108,0.9907464,0.28525174,0.98929393,0.98466635
2016-08-02,4.28,0.9986076,0.9943727,0.9170347,0.9812734,0.9935453
2016-08-03,4.33,0.9991819,0.99215615,0.9530279,0.9892703,0.9940456
2016-08-04,4.27,0.9990314,0.9911179,0.9777184,0.98998487,0.9894791
2016-08-05,4.32,0.99831045,0.9819527,0.95098895,0.98909086,0.9893394
2016-08-08,4.29,0.9989243,0.9834373,0.973657,0.99014837,0.994124
2016-08-09,4.34,0.998268,0.9754489,0.98228097,0.99034905,0.995216
2016-08-10,4.54,0.98431754,0.986463,0.86969215,0.9854622,0.99044305
2016-08-11,4.61,0.99191535,0.96310025,0.9354045,0.9890597,0.99386626
2016-08-12,4.59,0.9936114,0.97444147,0.9412033,0.9848011,0.9908325
2016-08-15,4.64,0.99591464,0.9800325,0.9508706,0.9878485,0.99129736
2016-08-16,4.71,0.9939166,0.9553146,0.9283833,0.98711073,0.97962373
2016-08-17,4.87,0.9737447,0.92257214,0.9329745,0.9900221,0.9749829
2016-08-18,4.89,0.9895997,0.21057849,0.9584929,0.9915935,0.9670106
2016-08-19,4.83,0.99519026,0.96819556,0.968702,0.9918737,0.97563326
2016-08-22,4.86,0.99643564,0.9654061,0.96840537,0.9939686,0.97664815
2016-08-23,4.94,0.9944723,0.888832,0.9003376,0.9904413,0.9753876
2016-08-24,4.91,0.97902197,0.9216199,0.80116063,0.98201746,0.96744496
2016-08-25,5.11,0.26903558,0.06668227,0.1621025,0.98438996,0.94768083
2016-08-26,5.06,0.9861384,0.058322266,0.21070588,0.9883018,0.91966003
2016-08-29,4.93,0.9802177,0.7257906,0.9456271,0.9798855,0.98168844
2016-08-30,4.98,0.99391407,0.030797118,0.93671954,0.9839917,0.97551084
2016-08-31,5.09,0.9932861,0.017414395,0.89907753,0.977818,0.9355498
2016-09-01,5.04,0.9937856,0.006492694,0.9255605,0.9857173,0.9559826
2016-09-05,4.99,0.9897614,0.040842418,0.9659886,0.9863262,0.9159145
2016-09-06,5.03,0.98793703,0.012603598,0.9573604,0.9849488,0.89731497
2016-09-07,5.23,0.17360397,0.011364119,0.23859607,0.97655904,0.118076764
2016-09-08,5.33,0.9013999,0.010073878,0.23384546,0.9447437,0.051644593
2016-09-09,5.26,0.9879572,0.014452579,0.93548113,0.92563355,0.042001005
2016-09-12,5.11,0.9925288,0.030679163,0.96171653,0.96372515,0.052452132
2016-09-13,5.19,0.9958022,0.01885151,0.94079196,0.95704514,0.023966763
2016-09-14,5.18,0.989931,0.012852532,0.9481905,0.96498156,0.026210712
2016-09-15,5.25,0.9920798,0.010853929,0.92278373,0.9342643,0.022974603
2016-09-16,5.29,0.9892966,0.008334647,0.91516125,0.8239165,0.017376022
2016-09-19,5.42,0.96454716,0.009926371,0.8805376,0.13525125,0.016766999
2016-09-20,5.4,0.9952708,0.008968002,0.92168444,0.09096105,0.009698552
2016-09-21,5.42,0.98446125,0.008829865,0.8849734,0.08073225,0.011492428
2016-09-22,5.49,0.9800336,0.0066778227,0.80461913,0.066115566,0.012625859
2016-09-23,5.45,0.99237275,0.014519209,0.22379273,0.095424555,0.0073682
2016-09-26,5.46,0.98487824,0.012561418,0.16789307,0.089323275,0.008764855
2016-09-27,5.5,0.99813277,0.026610672,0.024983706,0.016939178,0.004130828
2016-09-28,5.55,0.9983246,0.020246545,0.027259547,0.017979776,0.0046478095
2016-09-29,5.51,0.9988864,0.02130702,0.035691693,0.021084074,0.0040511894
2016-09-30,5.43,0.99912804,0.009161495,0.08094002,0.022941586,0.012549736
2016-10-03,5.29,0.9991406,0.020708987,0.021628149,0.026237259,0.026204482
2016-10-04,5.22,0.99950576,0.032930095,0.026993502,0.053907827,0.03283186
2016-10-05,5.18,0.99961084,0.094867185,0.056872837,0.03847945,0.037446093
2016-10-06,5.1,0.9995091,0.8985812,0.093734354,0.07057184,0.04302438
2016-10-07,4.88,0.99960405,0.9619635,0.18615378,0.13994695,0.07360771
2016-10-10,4.66,0.99957675,0.9948968,0.8828291,0.83615035,0.9046911
2016-10-11,4.98,0.99885356,0.96762276,0.038806424,0.09231598,0.19173393
2016-10-12,4.85,0.9993357,0.9883469,0.82114565,0.14762945,0.90174335
2016-10-13,4.91,0.99938524,0.9776864,0.143376,0.0834299,0.9359199
2016-10-14,4.8,0.9993649,0.9962154,0.8737948,0.8528912,0.970432
2016-10-17,4.73,0.9994265,0.99868995,0.87170506,0.8769559,0.9795212
2016-10-18,4.84,0.99921906,0.9983223,0.14811538,0.15303065,0.9793498
2016-10-19,4.9,0.99913114,0.99725026,0.09218235,0.074612945,0.9695599
2016-10-20,4.89,0.99888664,0.997216,0.10456317,0.07102831,0.96278244
2016-10-21,4.87,0.99876523,0.99804807,0.1188087,0.13530439,0.96109176
2016-10-24,4.78,0.99878746,0.9989027,0.82857525,0.92828697,0.95952916
2016-10-25,4.71,0.9983255,0.99954224,0.7782007,0.9750231,0.9645005
2016-10-26,4.7,0.99843067,0.9993937,0.21929474,0.9729192,0.9598292
2016-10-27,4.7,0.9983759,0.99889,0.25632158,0.97510195,0.9623777
2016-10-28,4.85,0.9981059,0.99307925,0.15431297,0.95123017,0.84923
2016-10-31,4.84,0.9977984,0.9901264,0.8583062,0.9531782,0.20371237
2016-11-01,4.8,0.9984787,0.99411017,0.9377049,0.98358226,0.20215544
2016-11-02,4.69,0.99841976,0.99902,0.9557395,0.9919115,0.9588128
2016-11-03,4.67,0.9987435,0.997718,0.9316928,0.9875594,0.9652245
2016-11-04,4.71,0.99827254,0.9980102,0.97302103,0.9863382,0.94748116
2016-11-07,4.88,0.997207,0.9781058,0.95841795,0.9582808,0.7983935
2016-11-08,4.93,0.99815243,0.9732267,0.95074356,0.9720634,0.06583999
2016-11-09,4.87,0.9988274,0.9854864,0.96072227,0.9627237,0.050342806
2016-11-10,4.93,0.9985373,0.968529,0.9281754,0.93602633,0.053030003
2016-11-11,4.87,0.9989926,0.9893194,0.9670716,0.9414706,0.079848096
2016-11-14,4.9,0.99883,0.9852181,0.9116785,0.20319633,0.08046861
2016-11-15,4.99,0.9980117,0.979114,0.09784153,0.07384786,0.035614215
2016-11-16,5.0,0.99840885,0.94619274,0.08406178,0.13037428,0.038762484
2016-11-17,4.97,0.9990866,0.95220315,0.17543456,0.096082084,0.07886587
2016-11-18,4.91,0.99956805,0.9687598,0.8449087,0.781092,0.75852865
2016-11-21,4.99,0.9992424,0.8753005,0.12068923,0.5455212,0.10005766
2016-11-22,4.98,0.9993563,0.094006404,0.14923689,0.046477534,0.19165877
2016-11-23,4.95,0.99946696,0.057574354,0.88765484,0.03803648,0.9333067
2016-11-24,4.95,0.99937373,0.030733705,0.9012899,0.07696121,0.95604116
2016-11-25,4.96,0.99946946,0.033903312,0.91927975,0.056782912,0.93737715
2016-11-28,4.84,0.99943167,0.09205155,0.9729715,0.27703428,0.9656275
2016-11-29,4.79,0.99955076,0.9510972,0.97147524,0.9061752,0.974183
2016-11-30,5.0,0.99793434,0.041254226,0.075547315,0.04844908,0.93754387
