date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,12.36,0.9995061,0.0033720199,7.914755e-05,0.00090588105,0.000594131
2016-07-15,12.19,0.99997973,0.003074908,0.0018489637,7.8880745e-05,0.0006204338
2016-07-18,13.0,0.9995505,0.0026260868,7.5622906e-06,1.0718209e-05,0.00023352719
2016-07-19,12.74,0.99965537,0.0009043894,5.636243e-05,0.0001023059,0.0021678745
2016-07-20,12.07,0.999933,0.0024267929,0.0029621103,0.0023824186,0.9962883
2016-07-21,11.23,0.9998621,0.0021849994,0.9963755,0.0012947127,0.9985159
2016-07-22,11.08,0.99995625,0.007366334,0.9943441,0.99539185,0.99869823
2016-07-25,10.79,0.99998856,0.9919544,0.9988205,0.9997321,0.99992704
2016-07-26,10.97,0.9999833,0.9946195,0.00476811,0.99917966,0.9999386
2016-07-27,11.49,0.99988604,0.00090600486,0.00046070514,0.9976497,0.9997154
2016-07-28,11.64,0.9997577,0.00070657727,0.00067401514,0.9976725,0.9998586
2016-07-29,11.46,0.9999784,0.0062757432,0.0010987306,0.9989937,0.9998734
2016-08-01,11.0,0.9999813,0.99866486,0.99926883,0.9998964,0.99998975
2016-08-02,10.79,0.9999819,0.9968548,0.9981585,0.99978524,0.99999344
2016-08-03,11.32,0.9996351,0.010013112,0.9987675,0.9980337,0.9999776
2016-08-04,11.0,0.99994063,0.9928847,0.9990258,0.9991573,0.9999871
2016-08-05,11.26,0.9996387,0.9964405,0.99967194,0.9991708,0.99994326
2016-08-08,11.4,0.9994142,0.9967146,0.99900514,0.0028361576,0.9988148
2016-08-09,11.46,0.99945325,0.9961874,0.99987507,0.9980064,0.9996358
2016-08-10,11.84,0.9992047,0.0059258114,0.99576735,0.99854434,0.9989458
2016-08-11,12.13,0.99675,0.010425223,0.00046832024,0.9973767,0.99709046
2016-08-12,11.9,0.9993476,0.98544943,0.0022212625,0.99951375,0.99912137
2016-08-15,12.01,0.99988353,0.998409,0.0024282306,0.9988562,0.99639964
2016-08-16,12.07,0.99946314,0.9987802,0.0023103775,0.9998392,0.99868006
2016-08-17,12.1,0.99944395,0.9981178,0.99840003,0.99984944,0.9987436
2016-08-18,12.13,0.99996924,0.9995363,0.99963427,0.99940217,0.9963276
2016-08-19,11.87,0.9999846,0.9991773,0.9991954,0.9999515,0.9944385
2016-08-22,11.4,0.9998698,0.9992384,0.9996208,0.99894243,0.997809
2016-08-23,11.69,0.9999474,0.9984675,0.99888176,0.9993037,0.9962153
2016-08-24,12.19,0.99995613,0.9998566,0.99934775,0.99943775,0.006543668
2016-08-25,12.36,0.99971884,0.999681,0.99959284,0.99846894,0.002581733
2016-08-26,12.31,0.99993706,0.9997627,0.99712974,0.0047767204,0.0004846273
2016-08-29,12.07,0.999866,0.9997445,0.9971998,0.994747,0.000866099
2016-08-30,12.6,0.9998394,0.9989592,0.9980135,0.002481521,0.00035991328
2016-08-31,12.63,0.9992072,0.9998566,0.99725705,0.0009312583,0.0005394398
2016-09-01,12.8,0.99963474,0.99616843,0.0014203732,9.0575384e-05,0.00031305276
2016-09-05,13.09,0.99905616,0.99856097,0.001154721,0.0001963653,6.2832434e-05
2016-09-06,12.83,0.9991346,0.9999206,0.00053133845,0.0007569091,0.0008415177
2016-09-07,12.71,0.99995136,0.99916637,0.0004979173,0.0009806416,8.134049e-05
2016-09-08,12.8,0.99968433,0.99791867,3.4629928e-05,0.0003182076,0.00026509757
2016-09-09,12.74,0.9997402,0.99925953,0.00017560218,0.0010267529,0.00016842005
2016-09-12,12.28,0.9989178,0.9996866,0.001019992,0.0004286389,0.0015025281
2016-09-13,12.65,0.99869883,0.9964964,0.00046688167,0.00010114084,0.00016217642
2016-09-14,12.6,0.9987915,0.99793553,0.0002310425,0.00044498208,7.399195e-05
2016-09-15,12.47,0.9996314,0.99873334,0.0012839388,0.00075330655,0.00013722817
2016-09-16,12.22,0.9994549,0.9997199,0.0019186356,0.0006200913,0.00043903216
2016-09-19,11.96,0.9998073,0.99975497,0.0010499236,0.00047139722,0.0010271799
2016-09-20,12.22,0.9986732,0.9975405,0.00017006202,5.7014975e-05,9.7514996e-05
2016-09-21,12.25,0.9988318,0.9987275,0.0013927871,0.00014164508,7.26158e-05
2016-09-22,12.07,0.9993411,0.9992489,0.9970311,0.0005946576,0.0010585135
2016-09-23,12.07,0.9987042,0.9983084,0.9947354,0.00012384476,0.00077514834
2016-09-26,11.96,0.9995877,0.99885833,0.0026011742,0.0007936316,0.00079420995
2016-09-27,12.0,0.99984443,0.9993832,0.0008119936,0.00088635867,0.001948037
2016-09-28,12.07,0.9996327,0.9997863,0.00055206043,0.00012893137,0.0014479065
2016-09-29,12.22,0.99957985,0.9995944,0.00014569522,0.0016312988,0.00045526144
2016-09-30,12.22,0.99967635,0.9997769,0.00077712233,0.0015751139,0.0030070466
2016-10-03,11.93,0.9999646,0.9997688,0.0023534421,0.0035528196,0.0043914835
2016-10-04,11.52,0.9999846,0.99997425,0.0016072004,0.003298278,0.99757856
2016-10-05,11.43,0.9999682,0.9999981,0.0032484098,0.99597186,0.99983776
2016-10-06,11.23,0.9999374,0.9999987,0.0021778792,0.99954164,0.99978095
2016-10-07,11.26,0.99994576,0.9999989,0.0017047119,0.999464,0.999074
2016-10-10,10.76,0.99967265,0.9999982,0.9959359,0.99536186,0.999223
2016-10-11,11.29,0.9996835,0.9999933,0.003138156,0.0041673663,0.99982363
2016-10-12,11.1,0.999323,0.99999917,0.9971433,0.9987942,0.99975425
2016-10-13,11.05,0.99929833,0.99999833,0.99701667,0.9989724,0.9992866
2016-10-14,11.05,0.9995084,0.9999976,0.99976045,0.9997917,0.999826
2016-10-17,11.05,0.99997854,0.9999993,0.9979761,0.9999604,0.999728
2016-10-18,11.16,0.99981934,0.9999945,0.002963712,0.99973494,0.99963343
2016-10-19,11.45,0.9999014,0.9999994,0.0035645373,0.9997271,0.9997677
2016-10-20,11.35,0.99984694,0.9999987,0.003813494,0.9985567,0.9992761
2016-10-21,11.46,0.9998579,0.9999989,0.99634475,0.99905854,0.9997675
2016-10-24,11.4,0.99996865,0.9999999,0.99957055,0.9994128,0.99990296
2016-10-25,11.1,0.9999651,0.9999989,0.9993987,0.9999982,0.9999851
2016-10-26,11.14,0.99968493,0.99999785,0.99850816,0.9997948,0.99999607
2016-10-27,11.26,0.9999274,0.99999964,0.9999579,0.9999454,0.99999523
2016-10-28,11.58,0.9996606,0.9999839,0.99982005,0.99997234,0.99999285
2016-10-31,11.65,0.9996145,0.99999726,0.9998678,0.9995797,0.99998236
2016-11-01,11.84,0.99979633,0.9999963,0.99993837,0.9996666,0.9992092
2016-11-02,11.49,0.9989718,0.99999607,0.99997175,0.9998764,0.9999813
2016-11-03,11.48,0.9995915,0.99999666,0.9999422,0.999426,0.9998109
2016-11-04,11.65,0.99982387,0.9999974,0.99912065,0.99997544,0.9997546
2016-11-07,12.25,0.9980432,0.99998343,0.9988661,0.9995578,0.998743
2016-11-08,12.22,0.9998468,0.9999943,0.9998815,0.999209,0.9997607
2016-11-09,12.22,0.99990964,0.9999714,0.9998472,0.99833775,0.9999411
2016-11-10,12.48,0.99981636,0.9999989,0.99972504,0.9998324,0.9994423
2016-11-11,12.51,0.9986957,0.9999994,0.9999033,0.99974996,0.99874806
2016-11-14,12.86,0.99964833,0.999987,0.9981944,0.9977514,0.999198
2016-11-15,12.86,0.9997845,0.9999852,0.9990152,0.9996779,0.9996991
2016-11-16,12.8,0.9997851,0.9999974,0.9988279,0.9984794,0.9999622
2016-11-17,12.63,0.9998659,0.99999845,0.99825126,0.99832433,0.99996674
2016-11-18,12.93,0.9999689,0.9999968,0.9986093,0.99796367,0.9999919
2016-11-21,13.51,0.9995029,0.999728,0.006664381,0.9925639,0.9994899
2016-11-22,13.47,0.9996462,0.9993832,0.99620384,0.0045534545,0.9999449
2016-11-23,13.51,0.999424,0.99909496,0.99703985,0.00088829524,0.99996793
2016-11-24,13.8,0.9991014,0.99942976,0.9994537,0.0018725717,0.99911577
2016-11-25,13.79,0.99890506,0.9984316,0.9977837,0.00020285211,0.99949884
2016-11-28,13.45,0.99993753,0.9989992,0.9995345,0.001797231,0.9999939
2016-11-29,13.64,0.99990165,0.9994778,0.0023489986,0.000389256,0.9999658
2016-11-30,14.14,0.9993137,0.97618777,0.00020164897,0.0004413465,0.99914396
2016-12-01,14.2,0.9997658,0.0048557883,0.0016708307,0.0014232885,0.99972993
2016-12-02,14.43,0.9994417,0.00063883635,0.00052463583,0.0044639744,0.99919015
2016-12-05,14.17,0.9997701,0.00615998,0.0026714366,0.99601537,0.99985874
2016-12-06,13.21,0.99995315,0.9972313,0.99899596,0.99977356,0.999961
2016-12-07,13.38,0.99978954,0.9999825,0.9994923,0.9998406,0.9999827
2016-12-08,13.53,0.99911207,0.9993862,0.99818367,0.99973136,0.9997137
2016-12-09,13.45,0.9994861,0.99921024,0.99982375,0.9996159,0.99967194
2016-12-12,13.43,0.99951935,0.9975623,0.9998405,0.998648,0.99969876
2016-12-13,13.44,0.9995697,0.9990889,0.9996018,0.9998148,0.998993
2016-12-14,13.96,0.997068,0.0018993304,0.99985087,0.99993336,0.9997503
2016-12-15,14.08,0.9976325,0.0027213152,0.99978966,0.9999521,0.9994843
2016-12-16,14.25,0.99800056,0.0012548269,0.9999877,0.9998,0.9994758
2016-12-19,14.25,0.9988714,0.0015110077,0.99993896,0.9997875,0.99736553
2016-12-20,14.21,0.99454194,0.0019030311,0.9998235,0.9990237,0.0024100053
2016-12-21,14.98,0.011341122,8.132731e-05,0.9987815,0.9952383,0.0015009143
2016-12-22,15.01,0.012072197,0.0008163234,0.9962327,0.0024637207,0.0026269497
2016-12-23,14.92,0.9912983,0.0002495659,0.004635873,0.000761373,0.00049790164
2016-12-26,15.07,0.9849213,0.0010657466,0.002703159,0.0020782868,0.0003720194
2016-12-27,14.63,0.9985026,0.0029001294,0.9968527,0.9973907,0.0016479525
2016-12-28,15.01,0.9977247,0.0022535117,0.9928277,0.0007208497,6.8818765e-05
2016-12-29,15.04,0.99614525,0.002159628,0.0035504184,9.785583e-05,0.00013816869
2016-12-30,14.81,0.9968354,0.0047110077,0.0033606836,0.0012046496,0.00031803714
2017-01-03,14.92,0.017248549,0.9893828,0.0033085598,0.00018822102,0.00022041523
2017-01-04,14.98,0.9759404,0.9958978,0.9919653,0.0002818005,0.00014864857
2017-01-05,15.51,0.006321229,0.0011964275,0.00071005296,0.000102572085,0.00014371726
2017-01-06,14.81,0.017305082,0.9897975,0.0004194425,0.00015312375,0.0030448155
2017-01-09,14.75,0.98459506,0.99523634,0.00046631478,0.00085833564,0.9971169
2017-01-10,14.84,0.008778877,0.004997763,0.0011047628,0.00017089641,0.99738747
2017-01-11,15.07,0.0060236934,0.0008426339,0.0015771413,0.0016149154,0.0005046331
2017-01-12,14.89,0.0037628638,0.0017087839,0.0014985728,0.00023583026,0.000745373
2017-01-13,14.69,0.01193742,0.0025574127,0.001193799,0.00035386998,0.0013867167
2017-01-16,14.46,0.9934331,0.009865462,0.0020613158,0.0011449455,0.0009533768
2017-01-17,14.4,0.99734455,0.98488206,0.0012900273,0.0021770617,0.0035989902
2017-01-18,13.91,0.99699557,0.99526006,0.99601585,0.9964322,0.9945437
2017-01-19,13.73,0.9986902,0.9970451,0.99976534,0.99771786,0.9974833
2017-01-20,14.17,0.9990879,0.0032932204,0.99721575,0.9997981,0.0011032142
2017-01-23,14.17,0.999212,0.0040245745,0.99773705,0.99883336,0.0016936499
2017-01-24,14.34,0.98946697,0.0018420246,0.0011733483,0.9989103,0.0003545325
2017-01-25,14.46,0.0036307406,0.005746251,0.0037253364,0.99968135,0.00014779238
2017-02-02,14.3,0.005780463,0.98561907,0.9984029,0.99901736,0.0011642122
2017-02-03,14.28,0.002673586,0.010267512,0.99968743,0.9992938,0.000105968094
2017-02-06,14.31,0.0011763911,0.993497,0.9990095,0.00228883,7.817102e-05
2017-02-07,14.33,0.001560075,0.99776626,0.99651885,0.99415296,0.0002536555
2017-02-08,14.34,0.0011081421,0.9968586,0.99878913,0.0012271268,0.0004930165
2017-02-09,14.72,0.00022192765,0.0020144726,0.00051726925,0.0013397136,4.6544785e-05
2017-02-10,14.6,9.888373e-05,0.99207217,0.00010576054,0.00010079048,0.0015881404
2017-02-13,14.89,0.00055776763,0.0010015067,0.00048549657,6.531405e-05,0.00020608619
2017-02-14,14.95,0.00011580632,0.0022518183,0.0013727164,1.3744337e-05,2.95985e-05
2017-02-15,14.84,0.00011024736,0.0023481047,0.000120795725,0.00023454492,0.00038467877
2017-02-16,14.47,6.4917505e-05,0.0022729468,0.0011506984,0.000790902,0.0035799693
2017-02-17,14.46,6.426528e-05,0.004642119,0.0009057464,7.550748e-05,0.0009246177
2017-02-20,14.25,0.00030912602,0.9996693,0.0023752847,0.0046368935,0.00062643597
2017-02-21,14.37,3.0607156e-05,0.99944264,0.0029596542,0.00076374266,0.00081253774
2017-02-22,14.02,0.0008444705,0.9999722,0.99537635,0.9980564,0.0029573431
2017-02-23,13.92,0.0014364134,0.99998415,0.996327,0.99532074,0.99570125
2017-02-24,14.07,0.00078263,0.9999292,0.005943303,0.0029478916,0.9993272
2017-02-27,14.11,0.00066398614,0.9996288,0.0006908222,0.0001273289,0.9987614
2017-02-28,14.02,0.00081704214,0.9999535,0.9959693,0.00053017616,0.9990827
2017-03-01,14.21,0.00020851316,0.99930763,0.0016897476,0.0017735747,0.9994267
2017-03-02,14.21,6.563942e-05,0.99934095,0.0012475692,0.0007181673,0.99873704
2017-03-03,14.04,0.0009821646,0.999959,0.00087595667,0.0014450998,0.99996066
2017-03-06,13.92,0.000817648,0.99996626,0.0019810759,0.99492973,0.9998275
2017-03-07,14.05,0.0004438186,0.99997675,0.00019228873,0.9976042,0.9996817
2017-03-08,14.05,0.00047100036,0.9999944,0.00041694677,0.003180855,0.998348
2017-03-09,14.04,0.000683592,0.9999515,0.001114881,0.0033610205,0.9997973
2017-03-10,14.02,0.0002623949,0.9999962,0.0024234925,0.99786854,0.99975747
2017-03-13,13.74,0.001299919,0.99999523,0.99929976,0.9998877,0.99991894
2017-03-14,13.56,0.00041925962,0.99999225,0.99987304,0.9998565,0.9999893
2017-03-15,13.55,0.0001667615,0.99996114,0.9996506,0.99878496,0.99972504
2017-03-16,13.59,9.636395e-05,0.99998975,0.99942064,0.9995577,0.99835074
2017-03-17,13.61,0.00028934123,0.9998115,0.9998565,0.9996061,0.99800247
2017-03-20,14.04,0.00021619827,0.99970883,0.9989492,0.99875116,0.998175
2017-03-21,14.14,0.00016004831,0.99956375,0.99836475,0.997743,0.99714905
2017-03-22,13.99,0.0001371374,0.999908,0.99929214,0.9996283,0.9974317
2017-03-23,13.98,6.895948e-05,0.9997675,0.99830484,0.99984825,0.9964342
2017-03-24,14.17,0.00023631104,0.9996656,0.9978241,0.9997594,0.00578353
2017-03-27,14.29,0.00068920583,0.99998736,0.99977285,0.9998727,0.0020381769
2017-03-28,14.48,0.0016025023,0.9999783,0.9997167,0.9990151,0.0013700932
2017-03-29,14.54,0.0004787014,0.99998844,0.999859,0.9964761,0.0017436101
2017-03-30,14.67,0.00015673139,0.9997665,0.9996977,0.0036434175,0.0017529331
2017-03-31,14.69,0.0010808052,0.9999558,0.99914587,0.0011295924,0.0020866494
2017-04-03,14.7,0.0021599703,0.99997187,0.99839514,0.0015204564,0.0010089115
