date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-18,11.25,0.99992657,0.9956012,0.0005137694,0.0046135318,0.99944955
2016-07-19,10.93,0.99998355,0.9976974,0.003274039,0.002755107,0.9991829
2016-07-20,11.14,0.99993503,0.9948349,0.0016108787,0.0062392484,0.99980086
2016-07-21,11.04,0.9999758,0.9953689,0.0040187603,0.004569934,0.9981816
2016-07-22,10.71,0.9999926,0.9985776,0.9908501,0.008005349,0.9999039
2016-07-25,10.93,0.9999521,0.9929843,0.0014334735,0.0018592718,0.9998337
2016-07-26,10.93,0.99999094,0.99666613,0.0016968749,0.014608215,0.99979895
2016-07-27,10.93,0.9999759,0.99488825,0.0027970034,0.99149585,0.999605
2016-07-28,10.82,0.9999975,0.9960723,0.005387781,0.9955907,0.99996436
2016-07-29,10.93,0.9999926,0.997271,0.0013202287,0.99734443,0.99949443
2016-08-01,10.93,0.9999932,0.99780566,0.0035514578,0.99870086,0.99745435
2016-08-02,10.71,0.9999957,0.99895006,0.010707918,0.99709,0.998912
2016-08-03,10.67,0.9999945,0.99805886,0.994749,0.99933213,0.9986224
2016-08-04,10.6,0.9999987,0.9995326,0.9987973,0.9988619,0.99858993
2016-08-05,10.6,0.99999964,0.9993129,0.9961694,0.99930894,0.9986486
2016-08-08,10.65,0.9999944,0.99515754,0.99381894,0.99754286,0.9976427
2016-08-09,10.65,0.9999887,0.9970817,0.99620193,0.9978078,0.99740523
2016-08-10,11.36,0.999297,0.9911678,0.99901164,0.9987237,0.99945587
2016-08-11,11.47,0.99959403,0.9962502,0.9987562,0.99862397,0.9962276
2016-08-12,11.36,0.9998393,0.99648404,0.9994973,0.99989724,0.99974483
2016-08-15,11.79,0.9991652,0.9965772,0.99842274,0.99607134,0.99833375
2016-08-16,12.55,0.9997974,0.9969522,0.9818233,0.99531496,0.99846506
2016-08-17,12.88,0.999798,0.9947035,0.013839555,0.99014413,0.99720407
2016-08-18,12.66,0.99992836,0.9854182,0.99044925,0.99860317,0.99686205
2016-08-19,12.23,0.9999764,0.9722641,0.9966271,0.9992434,0.9992193
2016-08-22,12.98,0.9998411,0.019530402,0.010347301,0.99871683,0.999226
2016-08-23,13.31,0.99982387,0.0041859373,0.009243142,0.9931114,0.99587715
2016-08-24,12.88,0.9999875,0.004620055,0.99189985,0.9967637,0.9990884
