date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,5.99,0.99959105,0.9999821,0.0036427353,0.0050898506,0.9988656
2016-07-15,5.96,0.99914134,0.99997365,0.99784434,0.9985662,0.9995567
2016-07-18,6.02,0.99880135,0.99995244,0.003370866,0.9981115,0.9994611
2016-07-19,5.99,0.99914634,0.99996877,0.0011082592,0.99770445,0.9996854
2016-07-20,5.99,0.99956805,0.99995875,0.0019426331,0.9974936,0.9999453
2016-07-21,5.99,0.99946946,0.9999671,0.003475143,0.99681157,0.99931407
2016-07-22,5.99,0.99946874,0.999736,0.99712175,0.99915683,0.9978777
2016-07-25,6.02,0.99967694,0.9999635,0.9954259,0.99987304,0.9985306
2016-07-26,5.96,0.99945813,0.99991953,0.9997552,0.99997544,0.99939716
2016-07-27,5.99,0.99887604,0.9999149,0.9967692,0.9999517,0.99988914
2016-07-28,5.96,0.9988663,0.9996922,0.9985013,0.9999858,0.99960893
2016-07-29,6.07,0.9992311,0.99991083,0.0043012337,0.9999629,0.9988902
2016-08-01,6.09,0.9993315,0.99979776,0.0035475043,0.9999697,0.9998215
2016-08-02,6.04,0.9995358,0.9999721,0.99918467,0.9997969,0.99964404
2016-08-03,6.02,0.99929416,0.99995923,0.99930656,0.9998012,0.99911207
2016-08-04,6.04,0.99915195,0.999908,0.99865353,0.99955183,0.9996779
2016-08-05,6.04,0.9982449,0.999936,0.99989605,0.99972516,0.9993161
2016-08-08,6.04,0.99905366,0.9999807,0.9995727,0.9999176,0.9980782
2016-08-09,6.17,0.9996258,0.9980287,0.9961325,0.9999739,0.9994056
2016-08-10,6.49,0.9992506,0.9962065,0.9976547,0.9985077,0.9992613
2016-08-11,6.51,0.99858606,0.9989548,0.9998543,0.99871993,0.9989196
2016-08-12,6.83,0.9985208,0.9988668,0.99874,0.9945919,0.9986008
2016-08-15,6.98,0.995805,0.9922873,0.99728525,0.0021319482,0.008586553
2016-08-16,6.96,0.9919606,0.99793917,0.9971317,0.005358775,0.009716021
2016-08-17,6.96,0.994909,0.9984445,0.0044070473,0.0023019416,0.99235207
2016-08-18,6.96,0.99240863,0.9992873,0.0023764183,0.002441673,0.010391153
2016-08-19,7.04,0.99158,0.9986785,0.00036032972,0.0011765879,0.9915507
2016-08-22,7.04,0.9944935,0.9976126,8.30276e-05,0.0009151563,0.9984345
2016-08-23,7.04,0.9957819,0.9987697,7.656624e-05,0.0057335375,0.9973762
2016-08-24,6.8,0.9998919,0.9999378,0.9983966,0.9997898,0.99994123
2016-08-25,6.85,0.99855214,0.99937755,0.0043508243,0.9999695,0.9999728
2016-08-26,6.85,0.9991905,0.9998623,0.9991277,0.99996245,0.99998677
2016-08-29,6.85,0.9995778,0.9995747,0.9991866,0.9999207,0.99997807
2016-08-30,6.88,0.9991259,0.99965155,0.9992812,0.9997594,0.9999689
