date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2018-09-27,13.27,0.9990382,0.99493295,0.9445868,0.9851723,0.9930982
2018-09-28,13.49,0.99840385,0.9964624,0.12864682,0.9802137,0.9970632
2018-10-01,13.78,0.9945996,0.99802893,0.067475535,0.15738668,0.9750338
2018-10-02,14.07,0.98366445,0.99421257,0.042114075,0.11704139,0.97188085
2018-10-03,13.86,0.9955449,0.99197656,0.11297024,0.946695,0.98269963
2018-10-04,13.34,0.99880433,0.9974322,0.96606475,0.9908138,0.9962437
2018-10-05,13.13,0.9988576,0.9988279,0.9799675,0.99310726,0.9970125
2018-10-08,13.49,0.99922216,0.99868184,0.21949236,0.98380786,0.9969008
2018-10-09,13.64,0.99815804,0.9964079,0.9386772,0.97333276,0.99635136
2018-10-10,13.64,0.99858,0.997182,0.93673664,0.9871186,0.99601907
2018-10-11,13.42,0.9988827,0.9978282,0.98224175,0.9804613,0.99237365
2018-10-12,13.78,0.9980379,0.9929367,0.88413936,0.9854694,0.99448293
2018-10-15,13.34,0.9988931,0.9958763,0.97141886,0.9847919,0.9945452
2018-10-16,13.78,0.9984261,0.9956156,0.90286994,0.97140694,0.9888896
2018-10-17,14.15,0.9976332,0.9968893,0.8902871,0.9496473,0.9497182
2018-10-18,13.93,0.99756396,0.9925027,0.96513236,0.97607523,0.9830892
2018-10-19,16.33,0.95748013,0.8878091,0.7805715,0.7791946,0.85347366
2018-10-22,18.45,0.6447615,0.041807506,0.046236914,0.04912453,0.03576885
2018-10-23,20.71,0.1107605,0.011933354,0.03215913,0.014196269,0.019782709
2018-10-24,19.76,0.14813389,0.013001159,0.03513623,0.0101373475,0.021844272
2018-10-25,18.16,0.7094695,0.022273166,0.08867073,0.13940062,0.1129233
2018-10-26,17.43,0.9804464,0.78955245,0.85992616,0.8806915,0.892319
2018-10-29,17.06,0.9880449,0.8698014,0.93610215,0.9687676,0.96674824
2018-10-30,17.57,0.9930354,0.122612104,0.10070083,0.96711475,0.94962364
2018-10-31,17.79,0.94706625,0.047939535,0.09388545,0.9482193,0.92013556
2018-11-01,17.5,0.99180704,0.8168742,0.74225146,0.92085856,0.9360395
2018-11-02,17.5,0.99091536,0.07630723,0.15467104,0.23585488,0.97272134
2018-11-05,17.57,0.9925881,0.062266465,0.11542397,0.87957215,0.9541957
2018-11-06,17.36,0.9964001,0.8155763,0.8931427,0.9752644,0.9530019
2018-11-07,17.21,0.99469405,0.93890244,0.89371353,0.98842233,0.976491
2018-11-08,17.57,0.99434304,0.8315433,0.1657473,0.97729415,0.94357646
2018-11-09,17.5,0.9957008,0.8168491,0.22489296,0.98258317,0.92206997
2018-11-12,17.5,0.9973807,0.06508684,0.7233685,0.9783577,0.90881395
2018-11-13,17.79,0.98432285,0.017437853,0.075822085,0.98251235,0.0608288
2018-11-14,17.87,0.9745243,0.014905158,0.075627096,0.96343505,0.029526442
2018-11-15,17.57,0.99590117,0.030897213,0.87418395,0.9752499,0.049769208
2018-11-16,17.5,0.9970987,0.026656842,0.9408498,0.98307645,0.07022032
2018-11-19,17.65,0.9961612,0.013199951,0.8596793,0.96021223,0.037786026
2018-11-20,17.5,0.99180084,0.018239846,0.92297524,0.9381529,0.03329949
2018-11-21,17.5,0.9848897,0.0092634745,0.9422096,0.9140296,0.04360412
2018-11-22,17.72,0.9755131,0.00602742,0.82980055,0.04321065,0.012153168
2018-11-23,17.72,0.9761347,0.0066408925,0.27295163,0.027702272,0.015025846
2018-11-26,17.72,0.98805654,0.005207824,0.8344679,0.018126775,0.019246893
2018-11-27,17.87,0.9744074,0.002856067,0.7119214,0.01953375,0.007929294
2018-11-28,17.94,0.9771377,0.0018056141,0.067541495,0.00692911,0.0065534245
2018-11-29,17.94,0.9788264,0.0038420456,0.058756158,0.004242856,0.02559761
2018-11-30,17.65,0.9932748,0.011383405,0.59665126,0.024228044,0.65000486
2018-12-03,17.79,0.99225885,0.0032732221,0.05414631,0.01566112,0.029765746
2018-12-04,17.94,0.99151236,0.0031834233,0.024189752,0.021747427,0.019680895
2018-12-05,17.79,0.9977975,0.0076790825,0.08679078,0.021850137,0.047269057
2018-12-06,17.65,0.9976736,0.006784824,0.08870064,0.04966395,0.09705535
2018-12-07,17.72,0.9950841,0.0023808777,0.052328195,0.016302226,0.017123844
2018-12-10,17.65,0.9968219,0.00816922,0.05624191,0.022326982,0.042648766
2018-12-11,17.57,0.9977703,0.006378924,0.057733167,0.08461153,0.8240143
2018-12-12,17.65,0.99770844,0.0055136858,0.065461226,0.048713084,0.111958385
2018-12-13,17.57,0.99752194,0.007131432,0.1240921,0.9395147,0.946235
2018-12-14,17.5,0.9983498,0.00782066,0.1488776,0.9430343,0.94965357
2018-12-17,17.06,0.99894816,0.0067269164,0.92477936,0.9397115,0.93921655
2018-12-18,16.92,0.99948573,0.0071207406,0.9504712,0.9756624,0.9603868
2018-12-19,16.92,0.9995565,0.006914796,0.94655114,0.9872158,0.9765108
2018-12-20,16.99,0.99951434,0.004597559,0.9215786,0.97104084,0.97495997
2018-12-21,17.28,0.99941075,0.0034504083,0.7958815,0.94793063,0.9722435
2018-12-24,17.43,0.99910104,0.0034601616,0.72436285,0.9400789,0.91569865
2018-12-25,17.36,0.99855894,0.006463456,0.28467682,0.93591887,0.93207437
2018-12-26,17.57,0.99729544,0.0033266053,0.07366741,0.8602262,0.04729375
2018-12-27,17.65,0.99806494,0.009082376,0.11393694,0.89845777,0.04318678
2018-12-28,17.72,0.99842274,0.013569742,0.094594434,0.8028572,0.040407453
2019-01-02,17.57,0.99904495,0.004680092,0.8687,0.13654593,0.08385487
2019-01-03,17.28,0.99940455,0.013479901,0.916186,0.20248835,0.9085949
2019-01-04,17.5,0.99943584,0.0035063315,0.90832675,0.74698734,0.9219896
2019-01-07,17.57,0.9996371,0.0037281287,0.8997083,0.06472894,0.9245413
2019-01-08,17.5,0.9995913,0.003257295,0.8846861,0.06566032,0.90817684
2019-01-09,17.65,0.9992719,0.0054620663,0.0461317,0.027343618,0.015750151
2019-01-10,17.65,0.99941444,0.005664819,0.057768773,0.03349076,0.035744168
2019-01-11,17.65,0.999258,0.0036342475,0.063499756,0.035961024,0.019964617
2019-01-14,17.72,0.99922144,0.003763683,0.051724076,0.021996599,0.0073020346
2019-01-15,17.79,0.9992323,0.0071035344,0.0531552,0.046815615,0.01685436
2019-01-16,17.5,0.9996879,0.0089250645,0.8923322,0.08540877,0.11431457
2019-01-17,17.21,0.9997148,0.015367361,0.77481556,0.84989315,0.038435508
2019-01-18,17.65,0.99956244,0.00913698,0.07717245,0.13613558,0.012157503
2019-01-21,17.57,0.9995259,0.012560116,0.13500477,0.7576019,0.020505974
2019-01-22,17.5,0.99965525,0.004989054,0.16536953,0.73092943,0.016314143
2019-01-23,17.57,0.99965763,0.0054314854,0.096055046,0.056629993,0.009487519
2019-01-24,17.5,0.99958175,0.0043931915,0.7173017,0.04281851,0.014319959
2019-01-25,17.36,0.99963486,0.0073153856,0.78839725,0.059425782,0.02829006
2019-01-28,17.57,0.99958116,0.0054990705,0.81732017,0.042634305,0.011689054
2019-01-29,17.5,0.9996674,0.004463631,0.8823614,0.031099917,0.01651063
