date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,2.93,0.99824023,0.008610276,0.027337244,0.017783921,0.013171013
2016-07-15,2.93,0.99229926,0.01059198,0.028060557,0.004763055,0.009123374
2016-07-18,2.93,0.9929811,0.0056937197,0.018780705,0.0070910375,0.009279308
2016-07-19,2.88,0.99847263,0.019550301,0.049281787,0.022091929,0.010622656
2016-07-20,2.86,0.99874556,0.013697367,0.37168396,0.023396034,0.007479834
2016-07-21,2.88,0.99891675,0.009872535,0.10565862,0.020856868,0.012838504
2016-07-22,2.88,0.998895,0.020974804,0.06802535,0.035705928,0.0152998455
2016-07-25,2.84,0.99880433,0.03435884,0.0876471,0.014842549,0.01756991
2016-07-26,2.86,0.9990169,0.010843415,0.0787962,0.0106595745,0.016911495
2016-07-27,2.88,0.99903935,0.007615636,0.028563913,0.0060979784,0.012086048
2016-07-28,2.86,0.99905187,0.010334783,0.076842666,0.03545991,0.02252249
2016-07-29,2.84,0.9989736,0.7402984,0.09546799,0.03284659,0.013782343
2016-08-01,2.84,0.998865,0.10267187,0.087599315,0.086733565,0.023494614
2016-08-02,2.82,0.998572,0.9420738,0.09194179,0.062895626,0.0140588945
2016-08-03,2.82,0.9987783,0.93550974,0.15602759,0.047357835,0.017355535
2016-08-04,2.8,0.9986141,0.98176056,0.7446375,0.71561885,0.022020224
2016-08-05,2.8,0.9988764,0.98150116,0.7932671,0.09515117,0.012327424
2016-08-08,2.8,0.99872905,0.95730805,0.74111944,0.03212431,0.007696835
2016-08-09,2.8,0.9989759,0.96427906,0.23110703,0.03854523,0.008742516
2016-08-10,2.82,0.9989347,0.105530515,0.09283608,0.021613084,0.013905668
2016-08-11,2.84,0.9990609,0.03672688,0.08292645,0.06487121,0.032920744
2016-08-12,2.82,0.99888414,0.038524542,0.083479434,0.014916113,0.02150513
2016-08-15,2.82,0.99882585,0.008609742,0.017867314,0.00780425,0.010764243
2016-08-16,2.8,0.99888915,0.02614642,0.03453551,0.032498308,0.013044386
2016-08-17,2.82,0.99895406,0.00585509,0.0140604675,0.014944039,0.011533732
2016-08-18,2.82,0.99879336,0.0050372365,0.019627187,0.07739281,0.025347132
2016-08-19,2.8,0.99898595,0.009163785,0.35510418,0.020005886,0.014739093
2016-08-22,2.8,0.99882215,0.0060000313,0.12409389,0.060823694,0.014669636
2016-08-23,2.8,0.99893266,0.0040617343,0.12203361,0.0689092,0.014763634
2016-08-24,2.8,0.9989279,0.004196772,0.1619756,0.6851897,0.024048723
2016-08-25,2.82,0.99887735,0.003790532,0.0585272,0.028301556,0.02068008
2016-08-26,2.82,0.9988537,0.0031164733,0.04444413,0.04422168,0.02777178
2016-08-29,2.8,0.9988526,0.0029497603,0.1324491,0.6719512,0.039182432
2016-08-30,2.8,0.99873465,0.0031818182,0.18560925,0.2958422,0.040517226
2016-08-31,2.8,0.9987452,0.0049128737,0.5755002,0.6076121,0.051855028
2016-09-01,2.8,0.99852175,0.009151834,0.7725403,0.16896912,0.7138473
2016-09-05,2.78,0.9988458,0.03226658,0.76829773,0.80210894,0.9285513
2016-09-06,2.78,0.99874437,0.027776917,0.71686,0.7994529,0.82904214
2016-09-07,2.8,0.9989716,0.0028077594,0.10493066,0.028901525,0.08725071
2016-09-08,2.82,0.9988526,0.0043109306,0.06201455,0.045792293,0.14882301
2016-09-09,2.82,0.9988035,0.005142296,0.07084498,0.052489225,0.63782924
2016-09-12,2.82,0.99868125,0.004346109,0.031884573,0.043884095,0.07165811
2016-09-13,2.81,0.99882644,0.003204612,0.025144883,0.050293066,0.043089814
2016-09-14,2.8,0.99844944,0.0041690446,0.048375458,0.11506021,0.054562137
2016-09-15,2.81,0.99888605,0.0062324316,0.07360082,0.111877844,0.07600178
2016-09-16,2.79,0.99885976,0.006528537,0.037126165,0.8054389,0.8387474
2016-09-19,2.79,0.99860674,0.009988662,0.11011371,0.92054486,0.9237733
2016-09-20,2.79,0.9988776,0.005680418,0.14836466,0.17722556,0.96407396
2016-09-21,2.78,0.9976406,0.009408394,0.37192395,0.9447017,0.97824436
2016-09-22,2.79,0.99878234,0.0070395023,0.82420105,0.9278245,0.98017794
2016-09-23,2.79,0.99863833,0.008410026,0.9018876,0.93451685,0.98145205
2016-09-26,2.79,0.99863476,0.007808755,0.88682264,0.9241098,0.97746366
2016-09-27,2.78,0.9969662,0.023646498,0.9377455,0.9780358,0.97865796
2016-09-28,2.78,0.9973878,0.021952907,0.93817025,0.9759459,0.9792469
2016-09-29,2.8,0.9985759,0.007825606,0.8772033,0.18665537,0.93342155
