date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2021-07-28,6.59,0.9323278,0.98388284,0.9706232,0.97780985,0.97535294
2021-07-29,6.8,0.92429066,0.94217914,0.9677238,0.97766715,0.9796386
2021-07-30,6.95,0.84334373,0.11186803,0.9388885,0.96983385,0.9087286
2021-08-02,7.37,0.055352174,0.038051344,0.12186597,0.95254546,0.02104515
2021-08-03,7.37,0.018179353,0.03940192,0.9218823,0.93696076,0.0075079766
2021-08-04,7.27,0.010925836,0.94858015,0.9718472,0.94826615,0.020533623
2021-08-05,7.34,0.008474538,0.942661,0.96859044,0.8957234,0.0071994504
2021-08-06,7.27,0.005371995,0.9769717,0.9719702,0.07233963,0.01983232
2021-08-09,7.37,0.0053943316,0.99098927,0.9621337,0.023935981,0.00797297
2021-08-10,7.55,0.0033671916,0.96761614,0.947229,0.023214132,0.00484026
2021-08-11,7.51,0.0037759265,0.9641708,0.96866053,0.024220517,0.007200381
2021-08-12,7.48,0.0037746746,0.9953955,0.915807,0.017123757,0.0076686824
2021-08-13,7.41,0.0037469654,0.9961092,0.11688869,0.023416264,0.012137401
2021-08-16,7.73,0.0018760372,0.9142761,0.034448076,0.0044120545,0.0034115661
2021-08-17,7.66,0.0022675616,0.11031583,0.032015547,0.0053828056,0.005550957
2021-08-18,7.55,0.0013710702,0.9827792,0.036011867,0.016335852,0.012230308
2021-08-19,7.51,0.0013856845,0.9876909,0.059006024,0.020720538,0.025134113
2021-08-20,7.19,0.0025585575,0.997552,0.034601137,0.05877025,0.90625286
2021-08-23,7.05,0.003000633,0.99819034,0.8738924,0.922177,0.97307205
2021-08-24,7.02,0.0039070235,0.9973636,0.9252219,0.90018696,0.97878814
2021-08-25,7.12,0.0036010616,0.99758756,0.09415769,0.040139113,0.9461687
2021-08-26,7.05,0.0043971892,0.9967236,0.13894904,0.05776607,0.96127594
2021-08-27,7.02,0.0064261206,0.9965121,0.9517288,0.052273054,0.9522761
2021-08-30,7.09,0.0055082627,0.9961887,0.95305586,0.027980598,0.06211394
2021-08-31,7.09,0.006420898,0.99567944,0.9367214,0.08092992,0.023151405
2021-09-01,6.98,0.005566944,0.9978224,0.9211529,0.9712967,0.07415036
2021-09-06,7.05,0.006569559,0.99801683,0.22324492,0.9810923,0.031706218
2021-09-07,7.19,0.0028482622,0.9974069,0.042963542,0.9376323,0.028866537
2021-09-08,7.12,0.0029283825,0.99738127,0.045820564,0.981215,0.02056434
2021-09-09,7.12,0.0048285485,0.9977847,0.11295464,0.9648807,0.04928831
2021-09-10,7.05,0.006325121,0.9962774,0.9447803,0.98432136,0.09164131
2021-09-13,7.02,0.0046103117,0.99678075,0.9477094,0.9780025,0.8183815
2021-09-14,6.98,0.005680914,0.99659157,0.9367895,0.986672,0.9070041
2021-09-15,6.98,0.0037109584,0.9972031,0.95671356,0.931799,0.101700194
2021-09-16,6.95,0.004285088,0.99763894,0.9637606,0.98206204,0.8531244
2021-09-17,7.12,0.003011145,0.9972892,0.9003342,0.04192673,0.03131609
2021-09-20,7.37,0.0010869706,0.9777874,0.029394671,0.026621845,0.0125282025
2021-09-21,7.3,0.00088629156,0.993447,0.036837284,0.031853214,0.006344237
2021-09-22,7.23,0.000879367,0.9980896,0.028055573,0.037013087,0.017835602
2021-09-23,7.3,0.0010577675,0.9964708,0.021827012,0.024435943,0.014977988
2021-09-24,7.48,0.001189476,0.99249434,0.050112557,0.020470563,0.010019226
2021-09-27,7.23,0.0010002505,0.99573475,0.023809168,0.03391969,0.0174854
2021-09-28,7.23,0.0009253778,0.9978917,0.047555562,0.02884774,0.04882731
2021-09-29,7.05,0.0009223506,0.9983741,0.030955063,0.06742429,0.1101239
2021-09-30,6.98,0.001166238,0.99757403,0.03031579,0.93937707,0.94537777
2021-10-01,6.91,0.0018584225,0.998184,0.07507192,0.9864087,0.9846541
2021-10-04,6.77,0.0019694048,0.99810034,0.94905555,0.97639877,0.96520776
2021-10-05,6.88,0.0019278766,0.9972235,0.9400432,0.9713287,0.9833566
2021-10-06,6.8,0.0020125627,0.99575245,0.950163,0.96980244,0.9712578
2021-10-07,6.88,0.0017058295,0.9973062,0.95674115,0.9652951,0.95374936
2021-10-08,6.91,0.0022979546,0.9939015,0.9236509,0.9674596,0.9544131
2021-10-11,7.09,0.0011942721,0.9960044,0.0832146,0.08256312,0.9228262
2021-10-12,7.05,0.0011785412,0.99350786,0.057128735,0.08955725,0.99581194
2021-10-13,6.98,0.0024810527,0.9959687,0.034359757,0.11229881,0.9980513
2021-10-14,7.02,0.002942583,0.9962993,0.037969027,0.9432254,0.9974897
2021-10-15,6.98,0.013595253,0.9970204,0.04687539,0.96654004,0.9973928
2021-10-18,6.95,0.009861643,0.9978678,0.1133469,0.9918783,0.99641067
2021-10-19,6.95,0.008732286,0.9951658,0.047526497,0.99194443,0.9973959
2021-10-20,6.95,0.0088351155,0.9944036,0.09956203,0.99223787,0.9980386
2021-10-21,6.91,0.0064015035,0.99395645,0.907609,0.9942825,0.9978194
2021-10-22,6.95,0.0024205327,0.9944073,0.9720834,0.985185,0.9974285
2021-10-25,6.91,0.002819136,0.993349,0.9704147,0.97614765,0.9957867
2021-10-26,6.88,0.0037216963,0.9916604,0.9759352,0.97577673,0.991915
2021-10-27,6.91,0.008418564,0.99226564,0.93093294,0.97377443,0.99526864
2021-10-28,7.09,0.0011548322,0.99151623,0.92122585,0.91860086,0.9759688
2021-10-29,7.37,0.0022557236,0.9595581,0.9339834,0.95604235,0.96049744
2021-11-01,7.41,0.0018924411,0.9644415,0.94706964,0.97510296,0.95861685
2021-11-02,7.34,0.00260121,0.96838725,0.8608624,0.95694834,0.97963387
2021-11-03,7.94,0.0022463303,0.07235833,0.023313435,0.09539223,0.93744045
