date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,6.0,0.99634874,0.931967,0.92899877,0.8220233,0.97297657
2016-07-15,5.81,0.9976793,0.9600605,0.946777,0.90947694,0.9892334
2016-07-18,6.22,0.9967303,0.9682996,0.8895709,0.18484244,0.99033827
2016-07-19,6.17,0.99634486,0.97358817,0.9176919,0.108450346,0.9913577
2016-07-20,6.27,0.99635714,0.9809722,0.92803156,0.08453236,0.9934204
2016-07-21,6.62,0.9954378,0.9677058,0.1409551,0.060530506,0.98466927
2016-07-22,6.53,0.9968352,0.96622866,0.09001024,0.055858817,0.98336697
2016-07-25,6.62,0.9972681,0.9892113,0.10519781,0.075294025,0.98818785
2016-07-26,6.31,0.998475,0.98237556,0.1733257,0.93759865,0.98750055
2016-07-27,6.36,0.99816245,0.99055815,0.2160241,0.95159686,0.98750824
2016-07-28,6.36,0.9984395,0.9916898,0.30665746,0.95125186,0.9671162
2016-07-29,6.27,0.9984816,0.9907135,0.81743014,0.94008493,0.9854511
2016-08-01,6.12,0.9980552,0.98942727,0.8987403,0.96638006,0.974512
2016-08-02,5.81,0.9976655,0.9947271,0.94406295,0.9880349,0.9888747
2016-08-03,5.96,0.9976502,0.9886381,0.96130157,0.99075633,0.9867503
2016-08-04,6.0,0.9972332,0.9832714,0.91351926,0.9821938,0.9752006
2016-08-05,6.36,0.9975897,0.9872028,0.9149806,0.96461695,0.96195936
2016-08-08,6.43,0.99586225,0.981505,0.9615225,0.9582027,0.9323065
2016-08-09,6.43,0.9953075,0.9581292,0.9053926,0.95403606,0.9054348
2016-08-10,6.5,0.99466044,0.9733576,0.9083887,0.9319055,0.91524994
2016-08-11,6.95,0.99535596,0.98755324,0.96248287,0.9248275,0.97030133
2016-08-12,7.17,0.99606675,0.9841436,0.9561972,0.8823788,0.97232705
2016-08-15,7.43,0.9962624,0.98733217,0.9584666,0.94401896,0.9725999
2016-08-16,7.59,0.995693,0.9903432,0.9725231,0.9568882,0.9742246
2016-08-17,7.74,0.9959454,0.98193616,0.91370404,0.942206,0.9728064
2016-08-18,7.83,0.99602,0.9848156,0.90514857,0.9447834,0.9743979
2016-08-19,7.52,0.9948591,0.987512,0.9242498,0.9532849,0.983216
2016-08-22,7.57,0.9957847,0.9860845,0.9024917,0.96164984,0.98635834
2016-08-23,7.9,0.9936399,0.98244333,0.9061363,0.94825983,0.9819526
2016-08-24,8.45,0.9967063,0.9825037,0.9165064,0.9410654,0.9773775
2016-08-25,8.95,0.9969494,0.97009337,0.8466664,0.922026,0.96086675
2016-08-26,8.83,0.9965932,0.95662826,0.8938846,0.91174644,0.961448
2016-08-29,8.76,0.9970572,0.9247236,0.8616318,0.8669712,0.9355615
2016-08-30,9.35,0.99639904,0.042728245,0.7609016,0.07288733,0.91100204
2016-08-31,9.75,0.99586123,0.050281093,0.14460927,0.047607556,0.8416412
2016-09-01,9.85,0.9961345,0.02180624,0.06796287,0.03277679,0.14123599
2016-09-05,9.99,0.99652463,0.05685012,0.046345707,0.042318795,0.119732
2016-09-06,9.3,0.9968882,0.018656721,0.08535545,0.10185339,0.054957222
2016-09-07,9.49,0.9982179,0.0136860525,0.1258259,0.09899202,0.040702086
2016-09-08,9.66,0.99765646,0.017819088,0.14089906,0.09980283,0.06548102
2016-09-09,9.54,0.997566,0.010637782,0.16057332,0.07865974,0.03936839
2016-09-12,9.02,0.9984169,0.009078566,0.9171849,0.8631693,0.13866495
2016-09-13,9.02,0.9987973,0.008317997,0.8858257,0.86728024,0.70281833
2016-09-14,8.85,0.99864846,0.009308021,0.9559568,0.9407624,0.8830017
2016-09-15,8.47,0.99849916,0.023251723,0.9591948,0.9535542,0.9292956
2016-09-16,8.64,0.9987696,0.016103782,0.93715733,0.9721649,0.9088481
2016-09-19,9.14,0.9990115,0.015486161,0.9334771,0.7631136,0.07744923
2016-09-20,9.24,0.9991441,0.011301471,0.8817687,0.11528672,0.061897084
2016-09-21,9.33,0.9991979,0.012237102,0.8739825,0.07849239,0.02619518
2016-09-22,9.4,0.99923503,0.01537268,0.8967858,0.08081486,0.03751888
2016-09-23,9.33,0.99901724,0.008743913,0.7973799,0.0397872,0.0125151025
2016-09-26,9.37,0.99911684,0.013620842,0.837734,0.06484527,0.0135947345
2016-09-27,10.03,0.9992275,0.02192637,0.080424026,0.061753564,0.027516147
