date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-14,9.74,0.99986124,0.9983315,0.99997747,0.9997408,0.9984262
2016-09-15,9.81,0.999741,0.9956014,0.9993579,0.9999008,0.99933535
2016-09-16,9.77,0.9998153,0.98285186,0.99921036,0.99943334,0.99634403
2016-09-19,9.81,0.9998554,0.9933756,0.9993067,0.9998035,0.9978922
2016-09-20,9.95,0.99991536,0.004508725,0.9967675,0.9925398,0.9954861
2016-09-21,9.99,0.99990416,0.0065656737,0.0012828247,0.0031659806,0.99189705
2016-09-22,10.08,0.99986696,0.0020785865,0.0016526585,0.0014943968,0.0019043492
2016-09-23,9.99,0.9997825,0.0028521516,0.0007248299,0.0008190185,0.004008934
2016-09-26,9.99,0.9999106,0.0037826195,0.00072818506,0.0019158461,0.0013994244
2016-09-27,10.03,0.9999095,0.0013187703,0.00039264341,0.00010848006,0.0029781004
2016-09-28,9.95,0.9998958,0.0031209295,0.99609417,0.0008110989,0.0013506577
2016-09-29,9.95,0.9998733,0.0038954366,0.9963432,0.0042506335,0.0019565187
2016-09-30,9.95,0.99973327,0.0027437783,0.99672925,0.0009274641,0.0021260413
2016-10-03,9.97,0.9997818,0.0017295947,0.0042509665,0.0029891403,0.0010339671
2016-10-04,9.99,0.99980813,0.007937025,0.0016336653,0.9936986,0.0021030407
2016-10-05,9.99,0.9999558,0.9805265,0.0017299849,0.99283135,0.0020860229
2016-10-06,10.08,0.99994373,0.0038252177,0.0007862018,0.0029335874,0.0017600172
2016-10-07,9.99,0.9999379,0.0058170194,0.0043167905,0.0032211887,0.9927307
2016-10-10,9.81,0.99992585,0.99202174,0.9970086,0.0041116294,0.99757904
2016-10-11,9.74,0.9999554,0.9994381,0.9998235,0.9927181,0.9999777
2016-10-12,9.9,0.9995993,0.99749446,0.9956476,0.005771708,0.999899
2016-10-13,9.9,0.99964535,0.9974009,0.996307,0.0023800354,0.99962115
2016-10-14,9.9,0.99954695,0.99898785,0.0035435506,0.0012380955,0.9948703
2016-10-17,9.95,0.9998617,0.99816126,0.00063646777,0.0010763581,0.99639493
2016-10-18,10.08,0.99993694,0.99150217,0.000663896,0.00026076805,0.0033531536
2016-10-19,10.1,0.99995124,0.9807068,0.00018875443,3.653706e-05,0.0014666358
2016-10-20,9.99,0.99995935,0.010432284,0.00033895602,0.0012300718,0.0026908503
2016-10-21,9.88,0.999931,0.9981116,0.0028868276,0.99628484,0.99799937
2016-10-24,9.81,0.9999262,0.998106,0.003754124,0.99921787,0.9996123
2016-10-25,9.81,0.9997273,0.9994956,0.0030447838,0.9997812,0.9996885
2016-10-26,9.81,0.99955744,0.99922144,0.0040443167,0.99877614,0.99864906
2016-10-27,9.72,0.9997433,0.9986701,0.99474686,0.9995505,0.99928385
2016-10-28,9.74,0.9997782,0.9981395,0.9988174,0.9994887,0.9998932
2016-10-31,9.7,0.9996704,0.9992717,0.99908924,0.99995804,0.9999343
2016-11-01,9.59,0.999542,0.9965353,0.9987155,0.99988854,0.99966574
2016-11-02,9.79,0.9992797,0.99776745,0.99856704,0.9991222,0.9943844
2016-11-03,9.92,0.9993431,0.99356645,0.99926394,0.9983803,0.99947375
2016-11-04,10.03,0.9993787,0.0060451436,0.0035597,0.9971904,0.9871863
2016-11-07,10.01,0.9997409,0.011039711,0.0012318974,0.9992818,0.0115665635
2016-11-08,10.03,0.99958926,0.98523325,0.0009798394,0.99759597,0.9921894
2016-11-09,10.03,0.9995939,0.9912169,0.0020151217,0.9983026,0.0051941634
2016-11-10,9.97,0.9997298,0.99659973,0.9969182,0.99863285,0.999218
2016-11-11,9.97,0.9991536,0.9975713,0.9975172,0.99921477,0.9978909
2016-11-14,9.97,0.9995437,0.99797314,0.99859434,0.9991278,0.9936434
2016-11-15,9.77,0.9998566,0.9995413,0.9997851,0.9998503,0.9961488
2016-11-16,9.9,0.9986052,0.99831855,0.9997298,0.99601007,0.996808
2016-11-17,9.99,0.9982911,0.9928778,0.9994387,0.99657464,0.00281003
