date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-14,24.37,0.007872174,0.0011895733,0.34488928,0.9106836,0.9602063
2016-09-15,24.27,0.00560002,0.002452656,0.85557723,0.9151446,0.9612644
2016-09-16,24.22,0.00493487,0.0019644417,0.90429825,0.92539567,0.9743746
2016-09-19,24.37,0.0045820083,0.0030232898,0.9083186,0.89928097,0.96506095
2016-09-20,24.37,0.0038419433,0.0031104498,0.91787887,0.91874975,0.95284814
2016-09-21,24.27,0.008127422,0.0054040006,0.9106238,0.9144707,0.96040416
2016-09-22,24.8,0.008298839,0.0028486794,0.87704617,0.8819189,0.9547003
2016-09-23,24.27,0.01682179,0.0077816965,0.9063834,0.9318053,0.9371754
2016-09-26,25.11,0.01091726,0.0060522677,0.89090914,0.18657051,0.062469132
2016-09-27,25.17,0.011930166,0.0042462097,0.7438045,0.052666157,0.025758393
2016-09-28,25.48,0.0065722545,0.006050435,0.2240525,0.04200848,0.016299939
2016-09-29,25.59,0.004670528,0.0066883126,0.09003828,0.032755263,0.01962799
2016-09-30,25.72,0.0050501414,0.00453138,0.042777058,0.02137201,0.020758012
2016-10-03,25.75,0.006290889,0.0033228083,0.047479015,0.02414085,0.018866774
2016-10-04,25.69,0.0032705816,0.004693409,0.04272144,0.040082823,0.014264859
2016-10-05,25.43,0.0025209603,0.0010701861,0.085524276,0.08408408,0.025644071
2016-10-06,25.32,0.0033484271,0.0017910014,0.13365193,0.0878868,0.015925378
2016-10-07,24.8,0.0050534923,0.007563918,0.76305455,0.8790653,0.009876562
2016-10-10,25.06,0.0040389425,0.0023519548,0.17719802,0.12747812,0.008547321
2016-10-11,24.95,0.004677831,0.0024791262,0.87923443,0.8736609,0.008995285
2016-10-12,25.01,0.003157593,0.0016191247,0.8088296,0.7301818,0.0064592133
2016-10-13,25.01,0.0014676095,0.0012949347,0.7888498,0.10342222,0.010853976
2016-10-14,25.06,0.0014486621,0.0023687629,0.1609088,0.03883498,0.010224103
2016-10-17,25.01,0.001535516,0.0016724834,0.76158124,0.020887954,0.014668609
2016-10-18,25.06,0.0011643898,0.002528333,0.2034618,0.03672937,0.011031327
2016-10-19,25.06,0.0009916986,0.00086383824,0.09581431,0.015076537,0.016736265
2016-10-20,25.27,0.0009001769,0.0013899608,0.029275235,0.006167308,0.0065568555
2016-10-21,25.06,0.001679973,0.0011962862,0.09822421,0.013402481,0.009398551
2016-10-24,25.06,0.00086960226,0.0027861106,0.039688896,0.021646889,0.007040409
2016-10-25,25.01,0.0010904901,0.0022607408,0.029186236,0.028839165,0.00727196
2016-10-26,25.06,0.0009665074,0.0018319068,0.036306903,0.016125357,0.004256098
2016-10-27,25.01,0.00093681604,0.0014776404,0.02130541,0.015234673,0.006334115
2016-10-28,24.8,0.0022635164,0.0013887825,0.0058353418,0.006031044,0.005153811
2016-10-31,24.8,0.0017166066,0.0015537818,0.010448877,0.006686618,0.00566172
2016-11-01,24.06,0.00955665,0.0061324895,0.010403473,0.0115493545,0.013603991
2016-11-02,24.06,0.00469114,0.0047100442,0.014242549,0.011798906,0.0040766876
2016-11-03,24.06,0.0029620149,0.020978922,0.020207517,0.011732464,0.0029571464
2016-11-04,24.06,0.0024213733,0.003896327,0.066582344,0.0063272337,0.0034459778
2016-11-07,24.06,0.0018159678,0.014697231,0.037083145,0.0036018246,0.007067438
2016-11-08,23.21,0.0066447346,0.014187564,0.8974554,0.036615662,0.024131393
2016-11-09,23.21,0.0060722623,0.010986476,0.8179065,0.03704893,0.022873102
2016-11-10,23.48,0.003359229,0.01587996,0.09055586,0.023328682,0.04392617
2016-11-11,23.69,0.003985259,0.030901896,0.055880986,0.03043774,0.03255617
2016-11-14,23.64,0.002020698,0.028181193,0.06926208,0.022973271,0.06190935
2016-11-15,23.32,0.003109069,0.013315027,0.06494469,0.05131343,0.07587145
2016-11-16,23.48,0.0018684461,0.013767807,0.026892748,0.011489299,0.052235473
2016-11-17,22.74,0.007552275,0.059247606,0.7665986,0.033257417,0.14425984
2016-11-18,23.21,0.0062585818,0.09633271,0.073076494,0.04689215,0.8072247
2016-11-21,22.74,0.008571737,0.08662204,0.19706355,0.08425088,0.8617256
2016-11-22,23.05,0.0046275677,0.9138042,0.058198687,0.0385059,0.8690204
2016-11-23,23.16,0.0037679223,0.91141635,0.08041856,0.031133633,0.10886219
2016-11-24,23.16,0.002812911,0.08254455,0.040919337,0.033315036,0.048782095
2016-11-25,22.37,0.011363932,0.97118574,0.8443212,0.7667046,0.94486547
2016-11-28,22.69,0.0126178665,0.9561075,0.059449654,0.06452893,0.13011727
2016-11-29,22.69,0.009052513,0.17163421,0.04772471,0.05393585,0.054471493
2016-11-30,22.69,0.0043669553,0.9539161,0.03115263,0.11554993,0.095107906
2016-12-01,22.66,0.004565193,0.9579887,0.022457529,0.091643676,0.060275696
2016-12-02,22.42,0.01254084,0.97603047,0.04933776,0.8879351,0.8246073
2016-12-05,22.42,0.016714497,0.9790999,0.03689337,0.86130387,0.16310614
2016-12-06,22.5,0.04771474,0.9850679,0.058147535,0.83908075,0.85664696
2016-12-07,21.1,0.9831104,0.9852653,0.9413769,0.9640807,0.9763855
2016-12-08,22.42,0.9890121,0.9684096,0.24064463,0.28044733,0.8427975
2016-12-09,22.42,0.9841241,0.9670778,0.7184051,0.8505465,0.06806198
2016-12-12,22.42,0.9820571,0.96968824,0.777672,0.92763674,0.07990675
2016-12-13,21.1,0.9953258,0.990355,0.94253355,0.9883741,0.9507068
2016-12-14,22.42,0.9796,0.9693405,0.8445586,0.9160224,0.051993597
2016-12-15,22.42,0.9814855,0.99212205,0.32242393,0.9041472,0.06274776
2016-12-16,23.9,0.03258504,0.027438639,0.073404185,0.04738229,0.012151703
2016-12-19,23.48,0.019750228,0.08038411,0.09452753,0.059110045,0.026145611
2016-12-20,23.21,0.015670178,0.043451432,0.09433406,0.043374494,0.014652842
2016-12-21,23.11,0.024463654,0.08910905,0.074625455,0.054231264,0.024162984
2016-12-22,22.21,0.9672415,0.9475394,0.88343954,0.85481316,0.082804024
2016-12-23,22.63,0.9603297,0.9518911,0.17373614,0.08711097,0.037714854
2016-12-26,22.58,0.97614986,0.96224076,0.11611263,0.065383986,0.027292434
2016-12-27,22.42,0.9713777,0.95854324,0.52238506,0.067327015,0.01973011
2016-12-28,22.69,0.9396995,0.15854643,0.110886455,0.037631113,0.020399412
2016-12-29,22.63,0.088736914,0.8870356,0.065860964,0.028593287,0.01727861
2016-12-30,22.58,0.06833934,0.8786437,0.037798464,0.01943952,0.023508161
2017-01-03,22.42,0.9623951,0.19841978,0.099240996,0.032845784,0.04374646
2017-01-04,22.63,0.053239163,0.071111076,0.05421402,0.034972902,0.0385555
2017-01-05,22.58,0.9626448,0.04318903,0.19277786,0.04941472,0.045121856
