date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-10-27,21.09,0.9982704,0.9994506,0.978379,0.97313774,0.942394
2016-10-28,21.03,0.99822086,0.9992724,0.9798234,0.9720222,0.9595881
2016-10-31,20.78,0.9981957,0.999343,0.98778,0.9853596,0.9266232
2016-11-01,20.85,0.9984086,0.9986511,0.9817266,0.97520417,0.26882434
2016-11-02,20.78,0.9984296,0.99921477,0.9902525,0.96980333,0.90715665
2016-11-03,21.12,0.9976362,0.9984459,0.97600627,0.90602565,0.9231667
2016-11-04,21.09,0.997015,0.9985764,0.96436125,0.29187256,0.96365863
2016-11-07,20.94,0.9956358,0.9984946,0.969914,0.9605815,0.9602019
2016-11-08,20.91,0.99655837,0.99863476,0.965731,0.9027122,0.9200989
2016-11-09,22.31,0.9911144,0.9973838,0.16954683,0.0873287,0.11523917
2016-11-10,22.01,0.99596393,0.9988703,0.09116315,0.1349552,0.06758644
2016-11-11,21.55,0.99709475,0.99709105,0.07463983,0.78011876,0.016524937
2016-11-14,20.97,0.9967571,0.9985942,0.9493123,0.8865665,0.08160554
2016-11-15,20.97,0.99697304,0.9987534,0.971503,0.31904396,0.049623273
2016-11-16,21.09,0.9974515,0.99921286,0.9510642,0.89253616,0.07586235
2016-11-17,21.18,0.9977881,0.9991678,0.9267221,0.88613373,0.07487245
2016-11-18,21.09,0.9976452,0.9986873,0.96379596,0.92394507,0.6454101
2016-11-21,21.15,0.9975879,0.999073,0.7980134,0.9276477,0.06237842
2016-11-22,21.27,0.99769247,0.99868816,0.12924942,0.8239135,0.029249508
2016-11-23,21.43,0.9983706,0.9985587,0.049994737,0.07525427,0.014076116
2016-11-24,21.8,0.9973296,0.9991586,0.1027849,0.06647198,0.025425695
2016-11-25,21.71,0.99754095,0.9994029,0.05655615,0.058749493,0.039267626
2016-11-28,21.58,0.9979208,0.99927753,0.032787077,0.05631845,0.04332808
2016-11-29,20.75,0.99703443,0.9993599,0.87311614,0.04860528,0.82783043
2016-11-30,21.37,0.9964227,0.99897456,0.09878972,0.057552982,0.04676578
2016-12-01,21.4,0.9972422,0.9985448,0.07373635,0.03786715,0.050637893
2016-12-02,21.43,0.99761236,0.99929476,0.06224499,0.016119609,0.027519817
2016-12-05,21.43,0.9972761,0.99930596,0.033788215,0.041332975,0.027963653
2016-12-06,21.37,0.99747026,0.9979512,0.04193015,0.026964294,0.045958795
2016-12-07,21.37,0.9966792,0.9991768,0.117687255,0.04069892,0.07582542
2016-12-08,21.15,0.99658054,0.99816835,0.75833565,0.07385451,0.95756966
2016-12-09,21.37,0.99686676,0.99912006,0.18000999,0.035094447,0.9299149
2016-12-12,20.31,0.9964457,0.99883646,0.9487938,0.89060384,0.99371743
2016-12-13,20.47,0.99727315,0.9991968,0.9442796,0.91637325,0.9932834
2016-12-14,21.06,0.9973362,0.999332,0.73285574,0.078735664,0.9744052
2016-12-15,21.18,0.9977077,0.9992187,0.11409615,0.019782035,0.9730005
2016-12-16,21.18,0.99804485,0.9992685,0.07286905,0.02074823,0.97033465
2016-12-19,21.09,0.99696213,0.99910754,0.056599915,0.03428009,0.97887087
2016-12-20,21.09,0.9975176,0.9992818,0.05976678,0.053284474,0.9767928
2016-12-21,21.12,0.99817014,0.9992662,0.05742829,0.049789134,0.9868219
2016-12-22,20.96,0.9974159,0.999252,0.08128186,0.89679885,0.99402064
2016-12-23,20.93,0.9979347,0.9994974,0.07316626,0.9482328,0.9942545
2016-12-26,20.78,0.997633,0.99874425,0.14763057,0.9709008,0.9955531
2016-12-27,20.78,0.997136,0.9989256,0.16874894,0.96521306,0.99558747
2016-12-28,20.65,0.99697065,0.9992374,0.87605345,0.9770768,0.9961803
2016-12-29,20.62,0.99652356,0.99877876,0.91139805,0.9806991,0.996635
2016-12-30,20.62,0.99696845,0.99899846,0.9291971,0.9801209,0.9937458
2017-01-03,20.68,0.9970162,0.99872607,0.94106495,0.9490242,0.99131775
2017-01-04,20.75,0.9967037,0.9984988,0.8956097,0.9216553,0.9932352
2017-01-05,20.78,0.99735534,0.9980971,0.869922,0.90581495,0.99136555
2017-01-06,21.37,0.99621767,0.9989961,0.5880276,0.06061502,0.97143555
2017-01-09,21.68,0.99528944,0.9985525,0.14661455,0.033354618,0.979005
2017-01-10,21.65,0.9964301,0.99878687,0.15817906,0.095272295,0.98816735
2017-01-11,21.52,0.99792874,0.9993259,0.15798233,0.1614803,0.9932734
2017-01-12,21.52,0.9980767,0.9994141,0.06992616,0.91099244,0.9916646
2017-01-13,21.43,0.9980129,0.9993655,0.12541887,0.96189785,0.99249154
2017-01-16,21.34,0.99745303,0.9995433,0.7623267,0.98683864,0.9890142
2017-01-17,21.27,0.99766904,0.9993331,0.27725837,0.98445386,0.99266523
2017-01-18,21.37,0.9986064,0.9994686,0.90692514,0.9853198,0.99083483
2017-01-19,21.37,0.9981862,0.9994497,0.9698139,0.98948306,0.9917424
2017-01-20,21.37,0.99911326,0.9994454,0.94530284,0.98740816,0.99049497
2017-01-23,21.37,0.9988745,0.99972683,0.96443266,0.98970467,0.9904717
2017-01-24,21.27,0.99861836,0.99937844,0.9664384,0.98649096,0.9941871
2017-01-25,21.4,0.99886703,0.99965084,0.9642615,0.9870194,0.98894787
2017-02-02,21.86,0.99884427,0.999421,0.93667316,0.9879408,0.9934196
2017-02-03,21.74,0.9989317,0.9994716,0.9528853,0.9833292,0.992834
2017-02-06,22.08,0.9987128,0.99921405,0.94701993,0.9629836,0.99208987
2017-02-07,22.52,0.9985139,0.9992706,0.9526284,0.9702178,0.9903024
2017-02-08,22.64,0.9980574,0.99928576,0.97720236,0.9761662,0.9886563
2017-02-09,22.45,0.9991009,0.9992532,0.960444,0.9778556,0.9924494
2017-02-10,22.98,0.9987112,0.9994343,0.9683972,0.9814244,0.9870803
2017-02-13,23.41,0.9987476,0.9977239,0.8988152,0.9237558,0.96374875
2017-02-14,23.29,0.99875736,0.9989724,0.9674056,0.27177578,0.9694566
2017-02-15,23.23,0.99882513,0.9987255,0.9355932,0.8604461,0.95990664
2017-02-16,23.01,0.9989213,0.99913895,0.9495959,0.842818,0.92045724
2017-02-17,23.26,0.9988697,0.9991897,0.9035724,0.8818937,0.9268329
2017-02-20,24.31,0.99622935,0.996626,0.112994514,0.080318645,0.11779643
2017-02-21,24.1,0.99739456,0.9985783,0.15082131,0.14752217,0.030319987
2017-02-22,23.85,0.99904054,0.9993394,0.16641895,0.7524015,0.021638539
2017-02-23,23.51,0.99891675,0.998696,0.8181069,0.87980187,0.045225352
2017-02-24,23.63,0.99881506,0.9991916,0.8240298,0.7169759,0.019300237
2017-02-27,24.03,0.99876595,0.9991357,0.2575129,0.21420161,0.015586772
2017-02-28,23.26,0.9988212,0.99932134,0.9325115,0.905673,0.10360304
2017-03-01,23.41,0.99900347,0.9995301,0.92501634,0.8924374,0.6147114
2017-03-02,23.6,0.99943477,0.99890673,0.90108514,0.14827676,0.060210254
2017-03-03,23.82,0.99911517,0.99909794,0.85353965,0.09609209,0.019011872
2017-03-06,23.66,0.999131,0.9993206,0.8665808,0.8280465,0.046186082
2017-03-07,23.72,0.9991209,0.9993955,0.8739599,0.6881226,0.013539114
2017-03-08,24.13,0.9990189,0.99932754,0.071352124,0.10098275,0.022243658
2017-03-09,24.47,0.9989207,0.9983903,0.06097857,0.047850333,0.030716855
2017-03-10,24.38,0.9987581,0.99910754,0.07261991,0.040803332,0.0122208875
2017-03-13,24.03,0.9990972,0.99954224,0.08275925,0.116626784,0.019632304
2017-03-14,24.13,0.9990079,0.9988187,0.010728283,0.019371359,0.020958493
2017-03-15,23.79,0.99900913,0.99899083,0.075363226,0.027120316,0.7360556
2017-03-16,23.51,0.9992324,0.99715877,0.08723907,0.040842056,0.8728018
2017-03-17,23.63,0.9991479,0.99860674,0.081946224,0.044154566,0.20909944
2017-03-20,23.85,0.9990012,0.9986511,0.060317606,0.044930264,0.15294832
2017-03-21,23.85,0.9989833,0.99859947,0.066004805,0.04766562,0.75042063
2017-03-22,23.14,0.9989611,0.99880075,0.94204855,0.1548568,0.9679233
2017-03-23,23.1,0.99906725,0.99916553,0.9507861,0.20082372,0.96840054
2017-03-24,23.14,0.9991303,0.9993223,0.94079006,0.8328775,0.97685915
2017-03-27,22.86,0.99902904,0.9979996,0.9514106,0.95747304,0.99757725
2017-03-28,22.86,0.99871874,0.998064,0.9804844,0.9324569,0.99700505
2017-03-29,23.44,0.9989812,0.99701524,0.13902876,0.8733391,0.99016273
2017-03-30,23.26,0.99910116,0.998176,0.20747522,0.83131707,0.9900281
2017-03-31,23.51,0.99889743,0.9944442,0.6168235,0.32516488,0.97649014
2017-04-03,22.98,0.9987312,0.999228,0.96831894,0.8940682,0.99624723
2017-04-04,22.98,0.9991202,0.9984902,0.98097,0.9576167,0.99433017
2017-04-05,22.95,0.9990206,0.9989801,0.9694398,0.96766776,0.9947313
2017-04-07,23.07,0.99901557,0.99928975,0.9310562,0.98879683,0.9953886
2017-04-10,23.57,0.9990164,0.99867344,0.2603346,0.9792565,0.9903453
2017-04-11,23.85,0.9985493,0.9988009,0.30986848,0.9710669,0.9870545
2017-04-12,23.85,0.9985844,0.998401,0.846451,0.9794931,0.98776823
2017-04-13,24.03,0.99858725,0.99868757,0.9074453,0.96620244,0.9916642
2017-04-14,23.69,0.998841,0.99870765,0.8706217,0.9375272,0.9938167
2017-04-17,23.2,0.99905723,0.99908817,0.90470517,0.94174165,0.9926777
2017-04-18,23.38,0.9987764,0.9984819,0.8212261,0.9280509,0.99596524
2017-04-19,25.0,0.9969812,0.9969721,0.9358194,0.95057935,0.9729169
2017-04-20,25.62,0.99638283,0.99592906,0.8673984,0.93907726,0.97767
2017-04-21,26.05,0.9934002,0.99742484,0.8438059,0.97460157,0.98171705
2017-04-24,27.07,0.9924257,0.9949568,0.8739457,0.9480201,0.9725433
2017-04-25,26.67,0.99369085,0.9973666,0.94115156,0.9331679,0.97629625
2017-04-26,26.82,0.996421,0.99686843,0.92964685,0.90238917,0.9606463
2017-04-27,27.6,0.9937641,0.9949443,0.8941147,0.9231784,0.9721913
2017-04-28,27.26,0.99584633,0.9969488,0.93316734,0.94464636,0.98598
2017-05-03,28.22,0.9935122,0.99330306,0.8318112,0.9368318,0.9676096
2017-05-04,28.81,0.99406624,0.99186057,0.114761636,0.8599755,0.96878976
2017-05-05,29.4,0.9900795,0.9859503,0.04585732,0.14446725,0.9670638
2017-05-08,29.46,0.98359376,0.991954,0.06886785,0.07894201,0.95743775
2017-05-09,29.52,0.99092126,0.99429566,0.10632757,0.089548126,0.9621893
2017-05-10,28.53,0.9937828,0.9987955,0.96558595,0.9761045,0.98731196
2017-05-11,27.94,0.99569726,0.9976888,0.96285796,0.9565882,0.98744595
2017-05-12,28.47,0.99436706,0.9986112,0.9588497,0.9582511,0.98844844
2017-05-15,28.96,0.99449253,0.9963224,0.9210617,0.92997986,0.9888432
2017-05-16,28.07,0.9948495,0.99903333,0.9743861,0.97136676,0.98876256
2017-05-17,28.72,0.9966446,0.9982278,0.93998903,0.96776974,0.98697335
2017-05-18,28.84,0.9956928,0.99909663,0.96681243,0.9695534,0.9837977
2017-05-19,29.19,0.995398,0.99928504,0.9283006,0.9607086,0.98640126
2017-05-22,29.31,0.9973023,0.9985757,0.9175193,0.9447033,0.96630013
2017-05-23,29.31,0.9971738,0.9990246,0.85608506,0.92443335,0.964531
2017-05-24,30.53,0.98983556,0.9980246,0.21458025,0.13636012,0.30988422
2017-05-25,29.91,0.9972361,0.9992975,0.8322468,0.89891654,0.966806
2017-05-26,30.25,0.99747026,0.9985738,0.12876648,0.875162,0.9598164
2017-05-29,30.09,0.9970477,0.9992269,0.16427033,0.2062109,0.95674795
2017-05-30,29.62,0.9975345,0.99946874,0.95849335,0.9157133,0.97371453
2017-05-31,29.72,0.99785584,0.9995919,0.9190153,0.27834946,0.96117604
2017-06-01,30.0,0.99797124,0.99943894,0.8787039,0.7809914,0.9637997
2017-06-02,29.94,0.99812263,0.99929416,0.8805927,0.86656624,0.9650858
2017-06-05,29.72,0.99857676,0.999416,0.8522268,0.8752108,0.9588334
2017-06-06,30.44,0.9979723,0.9992016,0.07022322,0.13428326,0.9416439
2017-06-07,30.22,0.9983981,0.99924433,0.06014748,0.18798232,0.945664
2017-06-08,30.62,0.99784636,0.9991997,0.039119888,0.86839885,0.9520736
2017-06-09,30.53,0.9982957,0.998701,0.04536966,0.87447363,0.93905306
2017-06-12,30.09,0.9987772,0.9994573,0.1897873,0.9160621,0.17614868
2017-06-13,29.88,0.99851066,0.99954,0.8135391,0.95332545,0.20103967
2017-06-14,29.72,0.9987418,0.9995431,0.9465882,0.93861556,0.9241127
2017-06-15,30.09,0.9985203,0.9994023,0.93256307,0.9535812,0.7982574
2017-06-16,30.09,0.9990038,0.99923444,0.9092523,0.96500665,0.900327
2017-06-19,29.94,0.99892753,0.9995171,0.9564622,0.9471127,0.15068114
2017-06-20,30.09,0.9987802,0.99868184,0.9364953,0.9553873,0.14000629
2017-06-21,30.16,0.99850047,0.9990902,0.91784763,0.9641765,0.76916677
2017-06-22,30.65,0.99844813,0.9988782,0.89838135,0.9066316,0.108843416
2017-06-23,31.81,0.99394554,0.9987274,0.13199644,0.06022919,0.091157444
2017-06-26,32.43,0.9927435,0.9985613,0.10324229,0.061410323,0.080535516
2017-06-27,31.81,0.99724895,0.99949133,0.7057895,0.06409723,0.045869865
2017-06-28,31.78,0.9977101,0.99924684,0.08795205,0.048733685,0.06449792
2017-06-29,31.81,0.9978478,0.9995534,0.078291275,0.028001005,0.16374442
2017-06-30,31.75,0.9985176,0.99961936,0.11450898,0.047800127,0.8536971
2017-07-03,32.28,0.99666095,0.9991591,0.093702175,0.027859788,0.8808548
2017-07-04,32.12,0.9974111,0.9989993,0.08475373,0.028489027,0.9230565
2017-07-05,31.78,0.9985781,0.99929094,0.2097358,0.06778814,0.93267524
2017-07-06,30.87,0.9979526,0.9993736,0.23243178,0.14431123,0.98116285
2017-07-07,30.87,0.9981249,0.9992787,0.1362051,0.12956782,0.9849834
2017-07-10,29.84,0.99744934,0.99872005,0.9304063,0.9032232,0.98829997
2017-07-11,29.81,0.9973761,0.998052,0.90136516,0.9393593,0.9929609
2017-07-12,30.56,0.9987871,0.99886847,0.15905139,0.9530768,0.9887084
2017-07-13,30.34,0.99865615,0.998872,0.1201994,0.9516493,0.9930841
2017-07-14,30.34,0.998923,0.998811,0.19103113,0.9784066,0.99225324
2017-07-17,29.94,0.9988702,0.9986463,0.9293034,0.98675877,0.9900686
2017-07-18,29.91,0.9989943,0.9975533,0.9495926,0.9760059,0.9844423
2017-07-19,30.19,0.9992694,0.99782324,0.86768764,0.9632459,0.99270153
2017-07-20,30.34,0.99900466,0.99893206,0.93794525,0.9775734,0.9923448
2017-07-21,30.22,0.9990895,0.9991371,0.95641917,0.97253436,0.9928758
2017-07-24,30.31,0.99924433,0.99862826,0.92392325,0.9904571,0.9880448
2017-07-25,30.37,0.9989009,0.99795306,0.87729335,0.966055,0.98687637
2017-07-26,31.65,0.99740005,0.9947796,0.87547946,0.93344826,0.96899295
2017-07-27,31.5,0.99805033,0.9983866,0.90525913,0.95425415,0.9843376
2017-07-28,32.15,0.99814105,0.9981148,0.87100416,0.9278737,0.9882355
2017-07-31,32.4,0.99810743,0.9976144,0.89872575,0.8926387,0.9724496
2017-08-01,32.74,0.9975272,0.9969741,0.86871815,0.8835359,0.98620945
2017-08-02,32.43,0.99831414,0.9992188,0.18636806,0.8887174,0.9887734
2017-08-03,32.81,0.99725866,0.998276,0.09840857,0.1357235,0.9873626
2017-08-04,33.52,0.9946115,0.9957106,0.044597324,0.06781641,0.98202825
2017-08-07,33.52,0.99543285,0.9960323,0.07173467,0.059943866,0.9713344
2017-08-08,32.81,0.99801433,0.999212,0.79320234,0.17137322,0.9622583
2017-08-09,32.12,0.9975049,0.9989422,0.93714154,0.8331806,0.98655915
2017-08-10,32.46,0.9986891,0.99890566,0.8989544,0.73531365,0.9860167
2017-08-11,32.74,0.998877,0.99820447,0.7827291,0.19648363,0.98836863
2017-08-14,32.9,0.9987895,0.9994117,0.25706437,0.18312033,0.9876129
2017-08-15,33.18,0.9990025,0.9990351,0.23010843,0.1759425,0.9898555
2017-08-16,32.96,0.999185,0.99889094,0.17558551,0.8773429,0.9915165
2017-08-17,32.62,0.99933976,0.9994419,0.77822673,0.9553012,0.98695755
2017-08-18,32.8,0.99929214,0.9992567,0.47189376,0.96428937,0.9874091
2017-08-21,32.71,0.999426,0.9995591,0.9139303,0.97561985,0.9767669
2017-08-22,32.46,0.9993767,0.9991953,0.90879524,0.9721143,0.96727663
2017-08-23,32.46,0.99923587,0.9990007,0.9244399,0.9688389,0.9779258
2017-08-24,32.74,0.9992643,0.99863666,0.9265336,0.97566575,0.97000545
2017-08-25,32.55,0.9992899,0.99902225,0.95312893,0.97534174,0.97573304
2017-08-28,32.87,0.9992273,0.9996213,0.90023214,0.9771956,0.96754164
2017-08-29,33.09,0.99930763,0.9994734,0.9409027,0.9725221,0.98671794
2017-08-30,33.65,0.9986389,0.99944204,0.40439695,0.9608091,0.9860729
2017-08-31,33.65,0.9987489,0.9995185,0.9401573,0.98217714,0.9911021
2017-09-01,33.81,0.99875534,0.9992243,0.9684023,0.9892106,0.9898671
2017-09-05,33.68,0.9987657,0.9992582,0.96828896,0.9739199,0.9780335
2017-09-06,33.49,0.9990559,0.99920183,0.9501746,0.98443747,0.97301966
2017-09-07,33.65,0.99897337,0.99935657,0.9649079,0.986291,0.98044395
