date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-30,27.54,0.99858105,0.06507053,0.037212864,0.15696771,0.023204912
2016-10-03,27.25,0.9988042,0.9006782,0.07408136,0.74934375,0.03461377
2016-10-04,26.12,0.999532,0.9614553,0.9438526,0.90299875,0.90496
2016-10-05,26.44,0.99924374,0.97138345,0.96639955,0.90328914,0.89780205
2016-10-06,26.15,0.9994361,0.98099923,0.9813849,0.9300745,0.94277656
2016-10-07,26.8,0.99891555,0.98160374,0.92495006,0.27273476,0.11203198
2016-10-10,26.8,0.998973,0.9580761,0.92122465,0.08134568,0.11632145
2016-10-11,26.96,0.9992925,0.9534428,0.7855703,0.064719304,0.8101215
2016-10-12,27.36,0.99878937,0.04491982,0.045841645,0.018607093,0.086276025
2016-10-13,27.12,0.9988721,0.043052465,0.08644718,0.037321687,0.9113913
2016-10-14,27.12,0.9992872,0.033546995,0.068782024,0.033485375,0.93826175
2016-10-17,27.34,0.9991227,0.017084092,0.037072454,0.04560884,0.70623934
2016-10-18,27.03,0.9989452,0.038269274,0.07539418,0.5065657,0.966931
2016-10-19,27.05,0.9989981,0.025676664,0.09535747,0.054353308,0.9070099
2016-10-20,26.82,0.9987702,0.08763255,0.7200075,0.11208818,0.9145176
2016-10-21,26.04,0.99938464,0.9871323,0.91034085,0.9113745,0.95086825
2016-10-24,26.04,0.9994229,0.99235487,0.89131504,0.9617669,0.96485573
2016-10-25,26.15,0.99925715,0.99117154,0.8725052,0.9328908,0.8652037
2016-10-26,26.58,0.99914694,0.9850862,0.25241345,0.94406396,0.12292524
2016-10-27,26.96,0.9987469,0.82770175,0.11769433,0.9467772,0.01452447
2016-10-28,27.09,0.999074,0.1277163,0.19047447,0.95843494,0.020221533
2016-10-31,27.03,0.99902713,0.9172698,0.2289477,0.90013343,0.020922853
2016-11-01,27.25,0.99925643,0.11643751,0.7977919,0.9513416,0.016835006
2016-11-02,26.46,0.9994159,0.9836255,0.96109533,0.94524395,0.82849085
2016-11-03,26.69,0.99924636,0.98153114,0.94242406,0.9325805,0.08688079
2016-11-04,26.3,0.999328,0.99023086,0.9665836,0.89967483,0.89654976
2016-11-07,26.8,0.9987478,0.9729426,0.9404296,0.22641715,0.06632514
2016-11-08,27.48,0.99857986,0.92647964,0.8283829,0.062001504,0.011474734
2016-11-09,27.07,0.9992035,0.97902465,0.8227335,0.0892386,0.03350235
2016-11-10,27.93,0.9989511,0.94251925,0.11155386,0.02698403,0.011658009
2016-11-11,27.93,0.99928457,0.9829312,0.08511172,0.030786633,0.019137878
2016-11-14,27.93,0.99914134,0.9755685,0.0678338,0.016223438,0.015525506
2016-11-15,27.81,0.99914527,0.987649,0.07844174,0.031753257,0.013671667
2016-11-16,27.41,0.99911994,0.98943335,0.06952026,0.03083121,0.03824213
2016-11-17,27.25,0.99939406,0.99699545,0.06862965,0.059043437,0.09066049
2016-11-18,26.94,0.9994474,0.99557954,0.14189361,0.074994765,0.8828885
2016-11-21,26.37,0.99941933,0.99729747,0.9220047,0.6681887,0.9788098
2016-11-22,26.4,0.99942327,0.9983864,0.84786665,0.1459514,0.98369944
2016-11-23,26.46,0.9991279,0.9983822,0.8784159,0.07110856,0.98862493
2016-11-24,26.58,0.9992398,0.998514,0.76453435,0.044435035,0.9766888
2016-11-25,26.76,0.99892247,0.9985643,0.16695294,0.030678814,0.9442271
2016-11-28,26.69,0.998976,0.99791485,0.13276735,0.029954897,0.97232777
2016-11-29,26.58,0.99904794,0.99801385,0.17264086,0.046111967,0.9827753
2016-11-30,26.64,0.9989741,0.9961228,0.15681079,0.11654156,0.98011404
2016-12-01,26.69,0.99916935,0.99555796,0.115672916,0.24257772,0.9860166
2016-12-02,26.69,0.99900645,0.99602854,0.7367058,0.87729466,0.98236394
2016-12-05,26.64,0.9989951,0.9950718,0.33844566,0.91025186,0.9783861
