date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,5.61,0.9935098,0.9987521,0.9999809,0.9981529,0.99883324
2016-07-15,5.61,0.9820886,0.99505144,0.99971443,0.99905723,0.99910766
2016-07-18,5.73,0.96678156,0.9895048,0.9981554,0.9895293,0.99853265
2016-07-19,5.77,0.9693747,0.98999465,0.997603,0.010713141,0.9979873
2016-07-20,5.69,0.9936731,0.99671715,0.999458,0.9962398,0.99835736
2016-07-21,5.73,0.98209757,0.9982534,0.9995646,0.9975745,0.999453
2016-07-22,5.69,0.9953731,0.9947806,0.9985026,0.99976987,0.996874
2016-07-25,5.77,0.99017346,0.9902867,0.99197996,0.9981894,0.9991709
2016-07-26,6.01,0.02602243,0.9868303,0.004686807,0.014150684,0.99831533
2016-07-27,6.01,0.0031182738,0.98952615,0.008789738,0.99868673,0.99359643
2016-07-28,6.12,0.00046236135,0.958747,0.0109514855,0.99771094,0.9951513
2016-07-29,6.05,0.0022127018,0.9933356,0.00672937,0.99922776,0.9969222
2016-08-01,6.08,0.0031989038,0.98929733,0.0054780017,0.9980647,0.99687636
2016-08-02,5.73,0.98182195,0.99442744,0.99970394,0.99994373,0.99930596
2016-08-03,5.93,0.012820967,0.99412787,0.9984692,0.999286,0.9987606
2016-08-04,5.93,0.0045515182,0.99368423,0.9980178,0.99894696,0.9973762
2016-08-05,5.89,0.009842967,0.98357403,0.99925286,0.99551374,0.9927327
2016-08-08,5.93,0.005996975,0.008744281,0.9954413,0.9959781,0.9914391
2016-08-09,6.01,0.0038618995,0.004496245,0.99805105,0.9970335,0.9945627
2016-08-10,6.12,0.0018414625,0.0014526995,0.99061906,0.9948119,0.99348277
2016-08-11,6.2,0.0007754708,0.002385088,0.9978369,0.9936919,0.98999596
2016-08-12,6.28,0.00049659726,0.005194264,0.98133206,0.9985238,0.0113456575
2016-08-15,6.36,0.00029784997,0.0043366463,0.99386626,0.99730444,0.015862815
2016-08-16,6.52,0.00086937984,0.011953758,0.005570403,0.9963167,0.005041887
2016-08-17,6.64,0.00068685546,0.0025765207,0.007884051,0.9940876,0.010920453
2016-08-18,6.48,0.0010866185,0.0028119497,0.9851364,0.9888342,0.0057185357
2016-08-19,6.52,0.0004978694,0.0015033581,0.98717844,0.9961743,0.9764865
2016-08-22,6.44,0.0018333531,0.0028826485,0.99416167,0.9990677,0.99121046
2016-08-23,6.48,0.004208514,0.0022339923,0.99705255,0.9990742,0.9972759
2016-08-24,6.4,0.004588786,0.0027811234,0.9987639,0.9993248,0.9966156
2016-08-25,6.81,0.0003708178,0.00051799626,0.00034267054,0.00975213,0.0030345183
2016-08-26,6.77,0.0006507914,0.00013727725,5.897047e-05,0.0021816273,0.0003783029
2016-08-29,6.58,0.0028315021,0.0008944111,0.0034824575,0.005389407,0.009968123
2016-08-30,6.63,0.001233902,0.0021725926,0.0041159354,0.0017455292,0.009939149
2016-08-31,6.68,0.00039371292,0.0009243724,0.9874133,0.0032692885,0.98406965
2016-09-01,6.68,0.001757935,0.00030682553,0.010092745,0.005332175,0.008962347
2016-09-05,6.54,0.0049712216,0.00079225976,0.007350397,0.0065263044,0.001473635
2016-09-06,6.54,0.0012623353,0.002252173,0.002954694,0.991549,0.0046280725
2016-09-07,6.63,0.0009190632,0.0005507678,0.012046916,0.9944133,0.006671149
2016-09-08,6.77,0.0007569535,8.797933e-05,0.0013879508,0.007207045,0.0012668715
2016-09-09,6.63,0.009322344,0.0006845157,0.0028334495,0.0076722545,0.003433268
2016-09-12,6.17,0.9900898,0.0010079623,0.99753284,0.9977958,0.9961856
2016-09-13,6.17,0.97165304,0.0012255161,0.9985921,0.9994678,0.99721175
2016-09-14,6.22,0.9690935,0.0009791114,0.9960659,0.9962768,0.99476755
2016-09-15,6.08,0.9972421,0.0018204275,0.99849427,0.9969367,0.9971232
2016-09-16,6.13,0.99384826,0.0081825685,0.9964886,0.9939261,0.9929739
2016-09-19,6.54,0.008629284,0.0012731488,0.0051408866,0.003518921,0.0033151533
2016-09-20,6.7,0.0042442465,0.00063117006,0.0032274246,0.002070811,0.0010914188
2016-09-21,6.72,0.016895134,0.0027288743,0.005044079,0.0019913304,0.001181435
2016-09-22,6.61,0.97942525,0.0008474382,0.99175066,0.0040168427,0.0013921871
2016-09-23,6.58,0.9881223,0.0027606152,0.9979907,0.0050599547,0.0006721651
2016-09-26,6.4,0.9994784,0.0017503193,0.99336064,0.9849045,0.0029091297
2016-09-27,6.52,0.9998388,0.0022251732,0.002457377,0.0008363775,3.976876e-05
2016-09-28,6.56,0.9999398,0.0009813785,0.0014211505,0.0013382247,0.000106667634
2016-09-29,6.7,0.9998029,0.0007007595,0.0005629106,0.00084589084,2.8025212e-05
2016-09-30,6.61,0.99997234,0.0017111257,0.0015071924,0.0015980775,6.807371e-05
2016-10-03,6.54,0.99996114,0.0022051486,0.0040818,0.0032126845,2.8854807e-05
2016-10-04,6.4,0.9999995,0.005913199,0.007073849,0.0057004504,6.2299165e-05
2016-10-05,6.38,0.9999988,0.004337266,0.004985261,0.9777639,0.00021851815
2016-10-06,6.42,0.99999785,0.002972718,0.9846987,0.008738046,0.0009576346
2016-10-07,6.54,0.99999523,0.0013274192,0.004861005,0.0014030513,0.00015250723
2016-10-10,6.45,0.99999475,0.0042815167,0.0012929203,0.00045926825,6.108139e-05
2016-10-11,6.38,0.9999969,0.0011874416,0.0027682341,0.0005101531,5.3925345e-05
2016-10-12,6.36,0.99999726,0.0038848622,0.9848754,0.0026174134,0.00022166628
2016-10-13,6.47,0.99998295,0.0012184526,0.0010102508,0.00022811766,5.5831923e-05
2016-10-14,6.42,0.99999344,0.0021271098,0.0007931802,0.000474752,9.019297e-05
2016-10-17,6.31,0.9999765,0.0021840741,0.0008545711,0.0007740109,0.0035742603
2016-10-18,6.31,0.99990237,0.0028880716,0.0016695258,0.00036431194,0.0031841965
2016-10-19,6.45,0.999845,0.0016338052,0.0010961369,0.00031050423,0.0003089242
2016-10-20,6.4,0.9999467,0.0014681903,0.00038160704,0.0002484304,3.8012375e-05
2016-10-21,6.36,0.9999591,0.0029822956,0.0002378724,0.00043358188,0.00010045101
2016-10-24,6.31,0.99981505,0.0028616386,0.00024057129,0.00028684916,0.00038324448
2016-10-25,6.26,0.99951386,0.0021598018,0.0001854912,0.0002687151,0.00081538036
2016-10-26,6.17,0.99941146,0.0008711004,0.0020813954,0.0019260662,0.0016327174
2016-10-27,6.08,0.9998161,0.006359303,0.0019370753,0.0021032528,0.0031756535
2016-10-28,6.13,0.99980575,0.002151156,0.00049828336,0.00024359259,0.0011626082
2016-10-31,5.99,0.9997135,0.003920467,0.002029569,0.0023249183,0.00126398
2016-11-01,5.83,0.9999608,0.023828894,0.0057041245,0.009328908,0.006459728
2016-11-02,5.62,0.9999002,0.97932947,0.021434505,0.9933969,0.005183717
2016-11-03,5.58,0.99992645,0.9746541,0.9801052,0.9901398,0.97128505
2016-11-04,5.6,0.9999324,0.9805392,0.99723166,0.015280216,0.9853918
2016-11-07,5.71,0.9999509,0.01762241,0.0052598068,0.0064438945,0.012221912
2016-11-08,5.62,0.99999,0.9906148,0.99449337,0.98986477,0.0059680603
2016-11-09,5.62,0.99995553,0.99035597,0.99368155,0.98544574,0.0052342885
2016-11-10,5.71,0.9997391,0.9913328,0.004824073,0.0033172339,0.0019222412
2016-11-11,5.81,0.99962914,0.99221647,0.0006208707,0.0005368822,0.0008918245
2016-11-14,5.62,0.999987,0.99572194,0.006580049,0.009304649,0.0008033431
2016-11-15,5.67,0.9998872,0.99785346,0.990849,0.0069561163,0.0022815317
2016-11-16,5.69,0.99980766,0.9995041,0.0027712423,0.0111054415,0.0013252591
2016-11-17,5.65,0.99978274,0.99469274,0.007158425,0.9799269,0.00070758705
2016-11-18,5.55,0.9999701,0.9969913,0.99026746,0.9852989,0.0012655233
2016-11-21,5.62,0.9998727,0.99277085,0.0020091552,0.00088070065,0.0017211917
2016-11-22,5.81,0.9999484,0.99920696,0.0010850427,0.0030679272,0.0018236691
2016-11-23,5.69,0.99996984,0.9950537,0.0031001612,0.0014610974,0.006064526
2016-11-24,5.62,0.9999572,0.9921484,0.98046726,0.0015650966,0.0005653568
2016-11-25,5.62,0.9999926,0.9851686,0.002137076,0.0019130345,0.0018622156
2016-11-28,5.62,0.9999907,0.030214006,0.0069299787,0.0008755674,0.0020982707
2016-11-29,5.49,0.9999926,0.99656004,0.0033460096,0.00078234065,0.0027653212
2016-11-30,5.51,0.99997926,0.9992073,0.0039613745,0.00035707053,0.0017402578
2016-12-01,5.67,0.9999125,0.99697006,0.0016215646,0.0017009856,0.001653092
2016-12-02,5.62,0.99995816,0.9991492,0.00084832485,0.0017773599,0.00042391283
2016-12-05,5.53,0.99997914,0.99791104,0.0023704006,0.0007954108,0.0012008883
2016-12-06,5.49,0.9999547,0.9993999,0.0013779129,0.0015313844,0.001507969
2016-12-07,5.49,0.9999666,0.9996675,0.0012058032,0.0032932248,0.0019349001
2016-12-08,5.46,0.9999893,0.9996561,0.005067953,0.008587024,0.003825968
2016-12-09,5.44,0.99996567,0.9996221,0.0044953227,0.0062257485,0.0028138328
2016-12-12,5.37,0.99997306,0.9983728,0.99054295,0.9912292,0.009175365
2016-12-13,5.26,0.9999939,0.99866545,0.99874413,0.9974595,0.9811725
2016-12-14,5.26,0.9999895,0.99934906,0.99887747,0.9965598,0.9936035
2016-12-15,5.14,0.9999788,0.9996327,0.99851364,0.997322,0.99539465
2016-12-16,5.42,0.9999628,0.9997676,0.9893322,0.0059013846,0.99484247
2016-12-19,5.49,0.9999206,0.9998234,0.0027977563,0.9863667,0.9936127
2016-12-20,5.46,0.9999337,0.99991643,0.004858727,0.98913294,0.985416
2016-12-21,5.49,0.99975485,0.99987984,0.0009671021,0.007958674,0.021437317
2016-12-22,5.44,0.999926,0.9998696,0.005869953,0.003992356,0.011063074
2016-12-23,5.44,0.9999515,0.9996917,0.0064845514,0.0051215976,0.011498275
2016-12-26,5.42,0.9999807,0.99972147,0.99268395,0.005631352,0.9894531
2016-12-27,5.39,0.99998844,0.99969065,0.9982444,0.0067551048,0.99310136
2016-12-28,5.39,0.9999902,0.99982184,0.99969995,0.99061614,0.99853635
2016-12-29,5.39,0.9999052,0.99970454,0.99875605,0.99395025,0.9969688
2016-12-30,5.3,0.99999225,0.9997507,0.99923444,0.99655104,0.9986808
2017-01-03,5.53,0.99991,0.999764,0.007882638,0.011601555,0.99937683
2017-01-04,5.49,0.9999584,0.9996265,0.0056861634,0.9879254,0.9966428
2017-01-05,5.44,0.99997187,0.99968195,0.98897797,0.019031767,0.9957314
2017-01-06,5.42,0.9999863,0.99985504,0.9984407,0.98517287,0.999488
2017-01-09,5.44,0.9999722,0.9994585,0.9947891,0.016738612,0.9993395
2017-01-10,5.37,0.99999547,0.9998447,0.9975922,0.9955165,0.9998938
2017-01-11,5.39,0.9999925,0.9993643,0.99595624,0.99562484,0.9995641
2017-01-12,5.49,0.9999354,0.9992151,0.004268447,0.9979798,0.9993806
2017-01-13,5.49,0.9999739,0.9993375,0.004457285,0.998489,0.99930084
2017-01-16,5.51,0.99989235,0.9986879,0.0118920505,0.998021,0.9990994
2017-01-17,5.53,0.99994016,0.99893767,0.010643981,0.99788934,0.9993838
2017-01-18,5.51,0.9998975,0.99797827,0.9902266,0.99869674,0.99900776
2017-01-19,5.42,0.9999938,0.99971753,0.9998468,0.99951637,0.99958783
2017-01-20,5.44,0.99999154,0.99939966,0.99648917,0.996128,0.99960667
2017-01-23,5.42,0.9999914,0.99922967,0.9998017,0.9998605,0.99962544
2017-01-24,5.53,0.99953294,0.99814546,0.9976502,0.99912614,0.99898964
2017-01-25,5.53,0.999663,0.99886847,0.9976241,0.999803,0.99787235
2017-02-02,5.67,0.9998369,0.9968256,0.9985757,0.99399793,0.9923074
2017-02-03,5.71,0.99970335,0.98930466,0.99752814,0.99419785,0.99702257
2017-02-06,5.69,0.9999176,0.98455876,0.9989729,0.9973706,0.99350584
2017-02-07,5.71,0.99993896,0.99390817,0.9994005,0.99547833,0.997569
2017-02-08,5.76,0.9998704,0.018432241,0.9967734,0.9932848,0.9962728
2017-02-09,5.94,0.99993527,0.0033884032,0.98906285,0.98015755,0.0021961995
