date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,17.46,0.019480513,0.04244161,0.10253831,0.08297695,0.985306
2016-07-15,17.46,0.015764875,0.02946292,0.11032141,0.11641995,0.98872316
2016-07-18,17.46,0.012555858,0.13039926,0.14056069,0.08465585,0.9863696
2016-07-19,17.61,0.0051171146,0.8897845,0.1687303,0.074751735,0.9708769
2016-07-20,17.3,0.0053177187,0.9682718,0.14062303,0.16753647,0.98891884
2016-07-21,17.04,0.008074162,0.98284894,0.1308831,0.77987546,0.9863819
2016-07-22,17.35,0.028569682,0.960549,0.14879708,0.077747375,0.9744621
2016-07-25,17.14,0.014808757,0.96150476,0.32968274,0.31403843,0.98571485
2016-07-26,16.99,0.014076705,0.99266666,0.26168126,0.90203625,0.9908874
2016-07-27,16.68,0.017938828,0.991282,0.8649329,0.9091245,0.98668563
2016-07-28,16.73,0.020294897,0.98164386,0.83640575,0.91690177,0.97996163
2016-07-29,17.04,0.015820323,0.9738065,0.80302703,0.90450966,0.9893328
2016-08-01,17.09,0.0077891955,0.97703826,0.7974151,0.93128973,0.98806435
2016-08-02,16.94,0.022957033,0.98256344,0.8642926,0.94765824,0.97808194
2016-08-03,16.99,0.04245927,0.95859444,0.89791274,0.94049335,0.97718424
2016-08-04,17.09,0.03193802,0.9694778,0.9577119,0.961971,0.97972167
2016-08-05,17.09,0.081948176,0.94586885,0.95065176,0.95318395,0.96303016
2016-08-08,17.14,0.8921945,0.14904517,0.9098709,0.9587972,0.9620015
2016-08-09,17.92,0.93042195,0.031103555,0.8600677,0.8596914,0.933232
2016-08-10,18.44,0.9491901,0.009095444,0.80661225,0.16186115,0.03522994
2016-08-11,18.34,0.9307042,0.010259558,0.2167812,0.82767177,0.0360216
2016-08-12,17.97,0.05756695,0.008552507,0.80864865,0.924623,0.023547363
2016-08-15,17.92,0.024755605,0.008419393,0.89556485,0.862772,0.012249269
2016-08-16,18.18,0.025010925,0.006477539,0.74000126,0.17537396,0.008348457
2016-08-17,18.7,0.0402948,0.003207227,0.26873794,0.08839023,0.0076321485
2016-08-18,17.92,0.02481483,0.0061207185,0.83047664,0.71336216,0.011956152
2016-08-19,18.18,0.011229689,0.002924918,0.673714,0.04683348,0.008350234
2016-08-22,18.44,0.015222101,0.0022027076,0.20905167,0.038178712,0.008478077
2016-08-23,18.29,0.017766738,0.002178561,0.14944044,0.043232992,0.005754018
2016-08-24,18.39,0.019570021,0.0033502928,0.081547074,0.030490952,0.0035156219
2016-08-25,18.44,0.01936373,0.0026054818,0.08557691,0.022306934,0.0052418043
2016-08-26,18.49,0.030913273,0.0020078286,0.11332372,0.030597012,0.0055531575
2016-08-29,18.29,0.039912295,0.0027083675,0.19116335,0.04252692,0.0064479983
2016-08-30,18.03,0.9424483,0.0020850047,0.49457628,0.044246607,0.010038352
2016-08-31,18.23,0.96791303,0.0014493542,0.15435635,0.028401675,0.0046380735
2016-09-01,18.23,0.9815568,0.0018566508,0.1275919,0.021432964,0.006838901
2016-09-05,17.87,0.9947225,0.003807591,0.12813005,0.050914224,0.02298413
2016-09-06,17.92,0.99007505,0.0039620614,0.058775067,0.0655692,0.035511285
2016-09-07,18.13,0.9863236,0.0040935636,0.08892332,0.10695971,0.055818994
2016-09-08,17.97,0.9877763,0.004138684,0.11152781,0.08188431,0.063077554
2016-09-09,17.61,0.99553573,0.0043121995,0.06908879,0.027429355,0.053472273
2016-09-12,17.77,0.9881125,0.004825541,0.048846222,0.052276175,0.05718423
2016-09-13,17.09,0.9965335,0.021726944,0.04812037,0.049636215,0.12846749
2016-09-14,17.25,0.9971819,0.007001637,0.05803013,0.038612444,0.8846126
2016-09-15,17.71,0.9908659,0.0025270395,0.101622835,0.038027573,0.93258184
2016-09-16,16.49,0.9964594,0.010397043,0.13486488,0.09168176,0.9699901
2016-09-19,17.14,0.99482405,0.011161905,0.0695269,0.050059363,0.92799747
2016-09-20,16.94,0.996151,0.045999665,0.10180224,0.051382996,0.93082106
2016-09-21,15.95,0.9965545,0.956466,0.22561643,0.8878572,0.9798188
2016-09-22,15.58,0.99612194,0.9821853,0.8728658,0.9077683,0.9783885
2016-09-23,16.05,0.99800664,0.98077184,0.708033,0.12131199,0.9793082
2016-09-26,16.1,0.9982887,0.9825669,0.13832347,0.23800802,0.94424325
2016-09-27,16.05,0.9978403,0.9915731,0.19963399,0.9060279,0.9674239
2016-09-28,15.95,0.99895406,0.9920115,0.83899665,0.9596194,0.9715133
2016-09-29,16.0,0.9989851,0.99476767,0.837664,0.96188813,0.9664828
2016-09-30,16.1,0.99842393,0.991034,0.3403852,0.9702186,0.98401743
2016-10-03,15.95,0.99870276,0.9918876,0.37302995,0.9665417,0.9729672
2016-10-04,16.0,0.99857616,0.9936568,0.81636775,0.96230024,0.95784825
2016-10-05,16.1,0.9989225,0.98856646,0.89194536,0.96738285,0.97652936
2016-10-06,16.1,0.9982765,0.9879602,0.9077624,0.9664826,0.98061645
2016-10-07,15.92,0.9977968,0.9852486,0.9350069,0.98096406,0.957809
2016-10-10,15.95,0.997519,0.9871793,0.9376039,0.972416,0.9662498
2016-10-11,17.04,0.9900928,0.891879,0.8072502,0.84022987,0.033941355
2016-10-12,17.95,0.9796197,0.021390732,0.7203678,0.17789735,0.0091475155
2016-10-13,17.89,0.9912129,0.018338164,0.18523704,0.86738706,0.011284158
2016-10-14,17.82,0.99793386,0.007752235,0.08785547,0.7888204,0.004060251
2016-10-17,17.68,0.997638,0.0073707816,0.12540951,0.79041636,0.005512444
2016-10-18,17.82,0.9980254,0.0049828254,0.0654324,0.10153192,0.0048356703
2016-10-19,17.99,0.9970017,0.006823719,0.1563159,0.074484855,0.012104308
