date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2017-01-13,1.45,0.9996941,0.9992525,0.0054519475,0.9990533,0.9998337
2017-01-16,1.42,0.9995553,0.99964833,0.010078425,0.99972445,0.999931
2017-01-17,1.45,0.99963856,0.9995376,0.0090150805,0.9998246,0.99913424
2017-01-18,1.42,0.9997142,0.99958235,0.9916108,0.99979836,0.99926716
2017-01-19,1.39,0.9999243,0.99983144,0.9944307,0.99996257,0.999605
2017-01-20,1.42,0.9997451,0.99907684,0.99776363,0.9996648,0.99814606
2017-01-23,1.42,0.9998615,0.99922264,0.9943784,0.9995554,0.9989097
2017-01-24,1.42,0.99979395,0.9996637,0.9994355,0.9985233,0.99937916
2017-01-25,1.45,0.99977094,0.9995648,0.9982185,0.99948823,0.9976884
2017-02-02,1.42,0.9998354,0.9990644,0.99989367,0.9996985,0.99868983
2017-02-03,1.48,0.9998559,0.9977278,0.98800045,0.9947113,0.9958663
2017-02-06,1.54,0.99983275,0.9986468,0.0056842035,0.010685447,0.018687764
2017-02-07,1.51,0.9998511,0.99905413,0.0069754585,0.9856377,0.9966889
2017-02-08,1.51,0.99995565,0.99959713,0.006388636,0.9865392,0.99397534
2017-02-09,1.54,0.99982244,0.9998946,0.002865008,0.0055429894,0.009298822
2017-02-10,1.51,0.99988604,0.99969983,0.9914424,0.011266721,0.987271
2017-02-13,1.54,0.99966276,0.99983656,0.002111137,0.010357437,0.003164449
2017-02-14,1.51,0.99983513,0.99955624,0.9960807,0.992285,0.01334503
2017-02-15,1.51,0.9998299,0.9997502,0.99565953,0.99727565,0.0043315925
2017-02-16,1.54,0.9997603,0.99965644,0.008131183,0.9849015,0.003247624
2017-02-17,1.54,0.99983704,0.9994444,0.0036409565,0.0039558527,0.0011224737
2017-02-20,1.54,0.99983895,0.99953294,0.010122335,0.002093425,0.0056722043
2017-02-21,1.57,0.99985707,0.9989863,0.9817877,0.0025824266,0.0019888368
2017-02-22,1.54,0.99983704,0.9994616,0.9958711,0.005482669,0.012177918
2017-02-23,1.54,0.99983084,0.99958366,0.99083954,0.006664302,0.9861036
2017-02-24,1.51,0.99994385,0.99963915,0.99879456,0.9913053,0.99836093
2017-02-27,1.54,0.9998697,0.99944955,0.011600287,0.008566285,0.9953187
2017-02-28,1.6,0.9997631,0.9996512,0.0014641058,0.00036923095,0.99245065
2017-03-01,1.6,0.9999465,0.9998542,0.0007553066,0.00095744175,0.9957734
2017-03-02,1.57,0.9998254,0.9998503,0.0029054582,0.00019844723,0.9971181
2017-03-03,1.54,0.99990463,0.99995184,0.011108972,0.0018055058,0.9992624
2017-03-06,1.54,0.9999534,0.99993765,0.0010516038,0.0038163026,0.9994579
2017-03-07,1.54,0.9999254,0.9999467,0.0020259088,0.0100913625,0.9997929
2017-03-08,1.54,0.9999113,0.9999454,0.002402005,0.010976978,0.9996138
2017-03-09,1.54,0.9998777,0.99997485,0.006900478,0.9907526,0.9994023
2017-03-10,1.54,0.9999547,0.9999852,0.004707539,0.9918018,0.9988306
2017-03-13,1.51,0.9999645,0.999979,0.99635375,0.9975908,0.9995534
2017-03-14,1.51,0.9999285,0.99992704,0.9974892,0.9986455,0.9995881
2017-03-15,1.51,0.99990284,0.9999187,0.99396163,0.99684554,0.9984505
2017-03-16,1.51,0.99992776,0.99995875,0.99784017,0.9999318,0.99901485
2017-03-17,1.51,0.9999161,0.99998665,0.99961936,0.9991985,0.9995983
2017-03-20,1.54,0.9998337,0.99993074,0.99602354,0.9976325,0.99709725
2017-03-21,1.54,0.9998641,0.9999635,0.9979405,0.99926656,0.99892104
2017-03-22,1.54,0.99996996,0.9999771,0.993826,0.9991936,0.999203
2017-03-23,1.57,0.9998996,0.9999335,0.9960068,0.9960574,0.9984523
2017-03-24,1.72,0.99990046,0.99603623,0.006282759,0.9937896,0.9972025
2017-03-27,1.84,0.99912244,0.9983438,0.0029033648,0.996691,0.997115
2017-03-28,1.75,0.9999635,0.9995714,0.9885401,0.9995888,0.9984718
2017-03-29,1.75,0.9999044,0.99958056,0.02267853,0.9995864,0.9987903
2017-03-30,1.78,0.99989307,0.9988644,0.007144409,0.9998692,0.99887615
2017-03-31,1.72,0.99976,0.9996062,0.996741,0.9983423,0.9988349
2017-04-03,1.75,0.9998185,0.99930334,0.9916197,0.9994155,0.9963643
2017-04-04,1.81,0.99903154,0.9978806,0.99688417,0.9996716,0.9975986
2017-04-05,1.75,0.9998623,0.9988188,0.9972939,0.9991047,0.9979596
2017-04-07,1.75,0.999956,0.99734133,0.9995018,0.9985501,0.9992611
2017-04-10,1.9,0.99947256,0.9979381,0.99731404,0.9986261,0.9920664
2017-04-11,2.05,0.99891615,0.99921143,0.9964809,0.9989784,0.02221067
2017-04-12,2.08,0.9966948,0.9998091,0.9923786,0.997511,0.0042825476
2017-04-13,2.24,0.9990871,0.9994667,0.017901083,0.9837054,0.0034201758
2017-04-14,2.3,0.998998,0.9983619,0.0064775785,0.012866158,0.0026379807
2017-04-17,2.17,0.99842215,0.9996829,0.99399614,0.97930455,0.0038011633
2017-04-18,2.24,0.9959514,0.9995524,0.9867988,0.009407163,0.0010710199
2017-04-19,2.27,0.99750227,0.99938536,0.006800233,0.008040597,0.0009465714
2017-04-20,2.2,0.9992649,0.99987257,0.98772335,0.005559539,0.0008874666
2017-04-21,2.3,0.9985037,0.9996184,0.010356777,0.0013967002,0.0008823103
2017-04-24,2.27,0.99847263,0.999861,0.0018902951,0.0024727678,0.0016207341
2017-04-25,2.3,0.999076,0.99969625,0.0016096039,0.0029796653,0.0030331411
2017-04-26,2.24,0.99992347,0.99972254,0.0029810497,0.0013214168,0.0063458513
2017-04-27,2.27,0.9995179,0.9996376,0.00044227726,0.00020461126,0.0016192927
2017-04-28,2.27,0.99992085,0.99956065,0.00035687452,0.001759838,0.0011638846
2017-05-03,2.27,0.99959844,0.99977404,0.0002915935,0.00075195637,0.0017492464
