date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2020-03-27,16.37,0.9992501,0.9979874,0.98888296,0.9949838,0.99823666
2020-03-30,15.78,0.9988588,0.9987224,0.99262416,0.99620736,0.9985977
2020-03-31,15.78,0.9981882,0.9985116,0.98744386,0.99524754,0.9987155
2020-04-01,16.03,0.99887866,0.9984835,0.99389786,0.99548256,0.9944734
2020-04-03,16.28,0.9981913,0.99637836,0.9806598,0.9944021,0.9940864
2020-04-06,17.26,0.99731135,0.9954594,0.9582011,0.97594416,0.98449266
2020-04-07,16.77,0.99650687,0.99886847,0.98168683,0.9897591,0.9965377
2020-04-08,17.26,0.9943499,0.9977405,0.9524962,0.9875745,0.9791607
2020-04-09,19.09,0.99473345,0.99474144,0.08675366,0.09891201,0.13830823
2020-04-10,18.77,0.99685764,0.9978271,0.10530945,0.10700165,0.9069338
2020-04-13,18.22,0.99828136,0.99831057,0.9329443,0.9103706,0.9826147
2020-04-14,17.98,0.998877,0.9984295,0.9628048,0.9868123,0.9968028
2020-04-15,18.74,0.99638796,0.99540174,0.108692564,0.8820706,0.16679798
2020-04-16,18.49,0.9983285,0.99598444,0.15797067,0.18530276,0.9896806
2020-04-17,18.4,0.9974222,0.99503434,0.9500334,0.93893737,0.99643266
2020-04-20,19.73,0.9983708,0.9951683,0.90723234,0.048276786,0.9340707
2020-04-21,18.74,0.9984035,0.9947856,0.95546585,0.9475095,0.9956169
2020-04-22,18.64,0.9982451,0.99624854,0.8642244,0.9690883,0.9969228
2020-04-23,18.49,0.998254,0.9969464,0.31875443,0.98322266,0.99631613
2020-04-24,18.49,0.99769163,0.99503714,0.90615356,0.9852476,0.99865377
2020-04-27,20.69,0.99800617,0.95304286,0.12812458,0.0576979,0.9509268
2020-04-28,19.85,0.9984281,0.9860036,0.12088357,0.049317703,0.97221833
2020-04-29,19.48,0.99811244,0.9852621,0.86289424,0.11349356,0.9815802
2020-05-04,18.49,0.99882954,0.9974132,0.9177089,0.97219616,0.9950712
2020-05-05,18.99,0.9991697,0.99383307,0.9304242,0.98050976,0.98906904
2020-05-06,19.73,0.9982528,0.13701268,0.07238857,0.97702,0.97449976
2020-05-07,19.63,0.9988715,0.95734376,0.091576904,0.97498375,0.99160284
2020-05-08,19.6,0.9982249,0.96795523,0.14162363,0.97730005,0.981383
2020-05-11,18.99,0.9967235,0.9939452,0.97551006,0.9849784,0.9900457
2020-05-12,19.11,0.99522096,0.9650545,0.9711456,0.9838545,0.9863566
2020-05-13,19.26,0.998014,0.98817307,0.9660044,0.9861119,0.98861736
2020-05-14,19.11,0.99909866,0.9957224,0.95336735,0.9821087,0.9939739
2020-05-15,18.74,0.9984579,0.9863716,0.9790236,0.9917,0.9956228
2020-05-18,19.16,0.9974341,0.97646797,0.9745175,0.98686856,0.96375006
2020-05-19,19.93,0.99885976,0.9763574,0.93801266,0.9821071,0.94449234
2020-05-20,20.37,0.9986191,0.98987776,0.93327314,0.9847686,0.14223391
2020-05-21,20.42,0.9988745,0.9896799,0.96930254,0.98623693,0.9474818
2020-05-22,20.34,0.999111,0.99149734,0.95588696,0.9816658,0.94853294
