date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,7.29,0.99439245,0.9894209,0.2544772,0.08793204,0.017559115
2016-07-15,7.23,0.9975988,0.98745537,0.81907016,0.058856297,0.02021002
2016-07-18,7.44,0.9969302,0.9563282,0.17178756,0.06855728,0.014352422
2016-07-19,7.38,0.9963671,0.9812102,0.6559099,0.059389558,0.007110489
2016-07-20,7.17,0.99497765,0.99217176,0.80916065,0.05280368,0.02351559
2016-07-21,7.08,0.99363434,0.9810409,0.8769363,0.069880486,0.80583143
2016-07-22,7.35,0.99650383,0.98599595,0.2356277,0.027131895,0.08248843
2016-07-25,7.38,0.99753714,0.98940265,0.2690317,0.037883483,0.071007505
2016-07-26,7.41,0.99751353,0.98513365,0.09867827,0.050931036,0.067514144
2016-07-27,7.38,0.9960024,0.97997755,0.24548025,0.03819557,0.071080975
2016-07-28,7.17,0.9967803,0.97693676,0.15409073,0.06469462,0.14726414
2016-07-29,7.05,0.99482346,0.9852555,0.20560935,0.11727452,0.9371666
2016-08-01,7.2,0.991882,0.19788419,0.08538754,0.10211588,0.8973761
2016-08-02,6.96,0.9966354,0.98951626,0.1980652,0.80672807,0.9290305
2016-08-03,6.93,0.996662,0.95748323,0.10983398,0.95380366,0.9495423
2016-08-04,6.75,0.993826,0.97652084,0.89502704,0.93776476,0.97555417
2016-08-05,6.75,0.994609,0.98624945,0.9447619,0.98109484,0.9829071
2016-08-08,6.63,0.99344563,0.98987645,0.9713523,0.9764529,0.9862679
2016-08-09,6.66,0.998139,0.9788582,0.9772201,0.98186505,0.97369957
2016-08-10,6.87,0.99879575,0.9837939,0.9446691,0.95322186,0.98407596
2016-08-11,6.84,0.99891436,0.9697446,0.93781084,0.968362,0.98793983
2016-08-12,6.93,0.9993844,0.97119606,0.9312585,0.9554321,0.97899365
2016-08-15,6.96,0.9996747,0.95334375,0.900007,0.97644275,0.9830033
2016-08-16,7.14,0.99937326,0.08039197,0.12843442,0.9794995,0.9882604
2016-08-17,7.05,0.99965096,0.7950488,0.2110441,0.98511004,0.98908514
2016-08-18,7.23,0.9994641,0.05385908,0.23035055,0.9647486,0.9881692
2016-08-19,7.17,0.999537,0.06263393,0.8019897,0.96468884,0.9867231
2016-08-22,7.08,0.99957997,0.12105905,0.86684406,0.9717082,0.98990005
2016-08-23,7.08,0.99955064,0.91014725,0.89802974,0.9850855,0.9799216
2016-08-24,7.05,0.99974424,0.9599018,0.93626547,0.97327775,0.97442394
2016-08-25,7.14,0.99923575,0.951985,0.9192529,0.96435535,0.9819541
2016-08-26,7.35,0.9989705,0.08119917,0.8961305,0.90501887,0.9693127
2016-08-29,7.87,0.99566925,0.01669396,0.91146153,0.15851177,0.9841509
2016-08-30,7.93,0.9936572,0.011634029,0.6895929,0.052455217,0.98136455
2016-08-31,7.9,0.99456453,0.009371681,0.14549781,0.08219198,0.98601776
2016-09-01,8.08,0.9936045,0.007343254,0.106404014,0.048286274,0.9415031
2016-09-05,8.26,0.9905958,0.005399564,0.056563362,0.07762225,0.9455637
2016-09-06,8.2,0.9932586,0.008095499,0.08167713,0.18171476,0.94450426
2016-09-07,7.99,0.9912168,0.008110776,0.19107027,0.87821573,0.9339932
2016-09-08,7.9,0.9968714,0.011144629,0.24822682,0.9588221,0.88175017
2016-09-09,7.96,0.9956381,0.011186567,0.29348668,0.94621694,0.16504939
2016-09-12,7.63,0.99791175,0.00850662,0.89039856,0.95675504,0.2661151
2016-09-13,7.69,0.99792624,0.0076234792,0.89474374,0.9391363,0.8435114
2016-09-14,7.66,0.9966689,0.01860188,0.91615295,0.95158035,0.8609722
2016-09-15,7.69,0.99703515,0.00804842,0.89344996,0.9515379,0.8719169
2016-09-16,7.78,0.9962029,0.012324143,0.8815448,0.87858385,0.07716691
2016-09-19,7.94,0.99641585,0.0089561185,0.8256653,0.8159269,0.0155123975
2016-09-20,7.93,0.9966787,0.007973532,0.88691175,0.6828841,0.00761971
2016-09-21,8.14,0.9883901,0.0055698454,0.8500368,0.68644917,0.011249036
2016-09-22,8.23,0.9795024,0.00535058,0.85253185,0.07324129,0.07719018
2016-09-23,8.23,0.9788472,0.004871387,0.86307895,0.07557967,0.016521651
2016-09-26,8.14,0.9902292,0.005507871,0.8795466,0.0944756,0.0129144
2016-09-27,8.41,0.99445397,0.008660678,0.05474628,0.018121883,0.007690533
2016-09-28,8.44,0.9967051,0.008197255,0.018330647,0.0071908054,0.004123152
2016-09-29,8.62,0.99590117,0.008098942,0.06728545,0.0042941044,0.002663356
2016-09-30,8.59,0.9959991,0.013600171,0.03275227,0.012016971,0.0047978144
2016-10-03,8.42,0.9974947,0.014152148,0.025537165,0.029442336,0.007291155
2016-10-04,8.35,0.99894136,0.0194839,0.05847936,0.036222912,0.0060199797
2016-10-05,8.29,0.99891496,0.032425176,0.07117188,0.08461769,0.08082046
2016-10-06,8.08,0.99586797,0.028132308,0.16296732,0.119991764,0.062214036
2016-10-07,7.79,0.9971444,0.022138437,0.14854598,0.08614995,0.010520252
2016-10-10,7.54,0.9966196,0.035049755,0.13616042,0.048625227,0.0060142647
2016-10-11,7.78,0.9974667,0.010345547,0.055525854,0.05645181,0.008231426
2016-10-12,7.75,0.99735487,0.016108155,0.11175138,0.0774328,0.012155968
2016-10-13,7.84,0.9980964,0.007634407,0.03795755,0.034968447,0.02799991
2016-10-14,7.66,0.9976373,0.0072058467,0.051534258,0.023826094,0.0061533656
2016-10-17,7.54,0.99717194,0.011961453,0.068091825,0.021793589,0.030578917
2016-10-18,7.69,0.99805176,0.007900751,0.116363265,0.031087292,0.05714076
2016-10-19,7.54,0.99654514,0.00750027,0.096519366,0.056013346,0.037308507
2016-10-20,7.43,0.9965035,0.009505325,0.145287,0.0853063,0.047672935
2016-10-21,7.43,0.9965013,0.019650236,0.09989576,0.04655191,0.078298
2016-10-24,7.23,0.9962829,0.03992162,0.74918795,0.06456318,0.08122466
2016-10-25,7.08,0.9957776,0.057704955,0.7347031,0.7425324,0.906761
2016-10-26,7.14,0.99743587,0.039345693,0.08535297,0.1800658,0.9471182
2016-10-27,7.14,0.9981489,0.060776234,0.16485398,0.78496766,0.9425454
2016-10-28,7.35,0.99860317,0.03760923,0.07801912,0.062192935,0.94337654
2016-10-31,7.32,0.999012,0.04239679,0.14003944,0.06967763,0.8768684
2016-11-01,7.23,0.9991748,0.05040759,0.20674714,0.13451296,0.96232986
2016-11-02,7.05,0.9993443,0.7859763,0.18464461,0.87793386,0.98093355
2016-11-03,6.93,0.9982723,0.91005534,0.89428025,0.9395458,0.9694835
2016-11-04,6.9,0.9983398,0.88362527,0.95942086,0.9631097,0.96255344
2016-11-07,7.14,0.99935,0.035955526,0.75571036,0.92985874,0.96521986
2016-11-08,7.17,0.9990459,0.041139673,0.18024032,0.95849323,0.9094887
2016-11-09,7.02,0.99799687,0.06209483,0.88464415,0.97073865,0.93868446
2016-11-10,7.35,0.99834,0.028291564,0.0973333,0.9568145,0.8303446
2016-11-11,7.23,0.9986419,0.06354398,0.74322844,0.96966076,0.07821937
2016-11-14,7.17,0.99885225,0.06847186,0.3208577,0.96112835,0.07091465
2016-11-15,7.08,0.9981839,0.89474803,0.92830306,0.9502107,0.81452376
2016-11-16,7.2,0.9988506,0.86283135,0.7601977,0.92597073,0.051822502
2016-11-17,7.31,0.9991825,0.9171487,0.8197494,0.9098191,0.03791861
2016-11-18,7.26,0.9993612,0.9385282,0.8626217,0.9073078,0.018388331
2016-11-21,7.17,0.9990989,0.9899927,0.8634419,0.8866383,0.024605118
2016-11-22,7.38,0.9992894,0.992188,0.14991176,0.0941965,0.02844747
2016-11-23,7.6,0.9992072,0.9870297,0.066878445,0.03637877,0.029557502
2016-11-24,7.6,0.99870837,0.9857442,0.033026315,0.013310091,0.005706908
2016-11-25,7.54,0.9988733,0.980306,0.03791072,0.050483167,0.01550929
2016-11-28,7.49,0.9989631,0.9843078,0.04575961,0.043346882,0.015031733
2016-11-29,7.32,0.9989956,0.99702185,0.08422515,0.08057345,0.032045837
2016-11-30,7.51,0.9994394,0.99667144,0.065951675,0.053009782,0.01082676
2016-12-01,7.47,0.99848336,0.99646324,0.0668037,0.05737241,0.008966629
2016-12-02,7.43,0.9981958,0.9974669,0.072037645,0.046494387,0.01277947
2016-12-05,7.47,0.99908304,0.9983181,0.101535976,0.065269455,0.01398179
2016-12-06,7.31,0.9992505,0.99827397,0.08477354,0.06648913,0.04370745
2016-12-07,7.47,0.9979808,0.9967691,0.045372073,0.034814283,0.030954653
2016-12-08,7.41,0.99859256,0.9986929,0.0942235,0.053844944,0.014071108
2016-12-09,7.14,0.9989454,0.9850713,0.090513654,0.12539671,0.048383534
2016-12-12,7.08,0.99902654,0.9706643,0.47903726,0.092459396,0.046266783
2016-12-13,7.22,0.999005,0.96275747,0.07481322,0.032142594,0.0674237
2016-12-14,7.14,0.99821544,0.9771499,0.10456973,0.7373977,0.69727284
2016-12-15,7.14,0.9986909,0.98726183,0.053808127,0.66930634,0.69280577
2016-12-16,7.14,0.99893636,0.99121,0.04183057,0.27233666,0.10366464
2016-12-19,7.11,0.998162,0.9951965,0.1347691,0.7001353,0.048932165
2016-12-20,7.11,0.9981694,0.99550915,0.1681571,0.2574353,0.0469748
2016-12-21,7.08,0.99802256,0.99434197,0.77197176,0.79232055,0.02929756
2016-12-22,7.11,0.99866664,0.9960967,0.8067576,0.15537892,0.052566294
2016-12-23,7.05,0.998752,0.99571264,0.79670006,0.8413472,0.092042476
2016-12-26,7.04,0.9985551,0.9978561,0.886807,0.2183218,0.79685587
2016-12-27,7.05,0.99876153,0.99673057,0.40056238,0.8897991,0.05522426
2016-12-28,7.17,0.99873286,0.9937098,0.10413994,0.77647287,0.025500081
2016-12-29,7.23,0.99837166,0.99064505,0.072169386,0.17314386,0.02121883
2016-12-30,7.08,0.9985481,0.99034554,0.23448811,0.12706259,0.03734341
2017-01-03,7.14,0.99944144,0.9971438,0.1371689,0.051873393,0.02873005
2017-01-04,7.04,0.9994956,0.99886644,0.81258243,0.078223,0.08415206
2017-01-05,7.13,0.9990195,0.995321,0.86995816,0.05175821,0.31486472
2017-01-06,7.11,0.9990816,0.99238586,0.7885062,0.0662243,0.8400414
2017-01-09,7.08,0.9993513,0.99700195,0.16130869,0.07023474,0.8082498
2017-01-10,7.04,0.99958557,0.99782735,0.14910224,0.7379561,0.4252949
2017-01-11,7.14,0.9991066,0.99752635,0.0953023,0.055836704,0.89333224
2017-01-12,7.23,0.998669,0.9974898,0.091572724,0.06956271,0.924768
2017-01-13,7.23,0.997835,0.99684286,0.15650728,0.06739911,0.94696766
2017-01-16,7.05,0.99930704,0.99840623,0.12607728,0.09252981,0.9376778
2017-01-17,7.02,0.99902713,0.99781346,0.832201,0.09099772,0.94789886
2017-01-18,6.96,0.9986156,0.99795026,0.93912697,0.10775291,0.9939765
2017-01-19,6.62,0.9991998,0.99876815,0.9328081,0.90990865,0.9828888
2017-01-20,6.69,0.999191,0.9982634,0.9467585,0.93568784,0.98490703
2017-01-23,6.81,0.9993678,0.99779093,0.8693188,0.9352359,0.9732117
2017-01-24,7.12,0.99951077,0.99808323,0.24297182,0.39547095,0.98331624
2017-01-25,7.02,0.9995541,0.9977804,0.16919953,0.89288867,0.9810843
2017-02-02,7.16,0.99956423,0.99626404,0.11153389,0.9048496,0.9890364
2017-02-03,6.99,0.99951375,0.9968263,0.8506804,0.94920987,0.98843354
2017-02-06,6.95,0.9997019,0.9973546,0.80782497,0.9496188,0.9853194
2017-02-07,6.9,0.99979097,0.99851614,0.96469724,0.96095425,0.99116325
2017-02-08,6.85,0.99964964,0.99780315,0.9422459,0.95628756,0.98690563
2017-02-09,7.02,0.99968934,0.9983902,0.87742734,0.93658596,0.9865415
2017-02-10,7.15,0.9991799,0.99526995,0.88065124,0.96840525,0.98365813
2017-02-13,7.12,0.99936837,0.99680054,0.8655113,0.96608883,0.9876958
2017-02-14,6.98,0.99946433,0.99783796,0.92319006,0.9636218,0.98495317
2017-02-15,7.15,0.9989507,0.9962782,0.8695538,0.95862883,0.98343074
2017-02-16,7.24,0.99884677,0.9971739,0.89531296,0.89565635,0.9837271
2017-02-17,7.67,0.9987264,0.99326223,0.95074517,0.95849484,0.98200005
2017-02-20,7.64,0.9987166,0.9922253,0.9159626,0.96075684,0.9851885
2017-02-21,7.64,0.9982345,0.99170154,0.92012507,0.915546,0.98214024
2017-02-22,7.79,0.99764603,0.98980415,0.24491732,0.9242356,0.9694677
2017-02-23,7.86,0.99743026,0.99278957,0.107943356,0.96416104,0.97873414
2017-02-24,7.92,0.99760157,0.98944396,0.15790665,0.9500583,0.97560704
2017-02-27,8.01,0.9977405,0.9919452,0.12218433,0.93431175,0.9773681
2017-02-28,7.96,0.99667394,0.9931385,0.7908482,0.91700965,0.9755671
2017-03-01,7.79,0.99709594,0.97895426,0.8720759,0.9371065,0.97402066
2017-03-02,7.86,0.99867874,0.9719241,0.83948445,0.93628865,0.9416945
2017-03-03,7.79,0.99768543,0.9940387,0.908359,0.94349986,0.9677739
2017-03-06,7.95,0.9979336,0.9936604,0.8151856,0.93710625,0.97764826
2017-03-07,8.16,0.99751174,0.9971927,0.34410897,0.855857,0.9640581
2017-03-08,8.15,0.99729484,0.9971938,0.91896737,0.8200216,0.98112637
2017-03-09,8.26,0.99573475,0.9945886,0.89738935,0.12109671,0.9631312
2017-03-10,8.13,0.99707806,0.98769486,0.94525915,0.12939769,0.9797563
2017-03-13,8.32,0.9969242,0.9901198,0.8316668,0.06572152,0.9752696
2017-03-14,8.16,0.99737537,0.9847519,0.91204107,0.07473492,0.98365533
2017-03-15,8.29,0.99670094,0.9902733,0.82048476,0.031173158,0.9814182
2017-03-16,8.32,0.9953517,0.98431695,0.19679846,0.030857366,0.98840606
2017-03-17,8.38,0.99538136,0.9872028,0.13841967,0.051277205,0.98252976
2017-03-20,8.53,0.9909473,0.97544765,0.08802213,0.05521237,0.95498836
2017-03-21,8.47,0.9887583,0.98219633,0.10162703,0.04529879,0.97608757
2017-03-22,8.35,0.9935868,0.98502374,0.13225418,0.07955272,0.9773676
2017-03-23,8.24,0.99192154,0.9896862,0.17645432,0.7900653,0.98162824
2017-03-24,8.06,0.99030006,0.9747522,0.88122344,0.943726,0.98305315
2017-03-27,8.19,0.9931593,0.98815656,0.81912774,0.9312888,0.9837616
2017-03-28,8.03,0.99131244,0.9886203,0.8968793,0.94771206,0.98608136
2017-03-29,8.04,0.9939114,0.99470264,0.89129174,0.9636541,0.99284947
2017-03-30,8.07,0.99175584,0.9950606,0.8975495,0.9691817,0.99308974
2017-03-31,8.29,0.9939399,0.9849659,0.33695403,0.94706815,0.98828775
2017-04-03,8.26,0.99567753,0.9858372,0.8923584,0.9040031,0.9937313
2017-04-04,8.3,0.9951816,0.9935174,0.89280355,0.9708081,0.9928946
2017-04-05,8.32,0.9962992,0.9961182,0.9127045,0.97017235,0.99287546
2017-04-07,8.3,0.9972734,0.9965209,0.9033088,0.96168435,0.98708296
2017-04-10,8.23,0.9965951,0.9966252,0.9198804,0.9660303,0.98920524
2017-04-11,8.38,0.99499184,0.99563533,0.8925573,0.949771,0.9936697
2017-04-12,8.38,0.99524176,0.983267,0.84588075,0.9166545,0.9880796
2017-04-13,8.97,0.9921354,0.04009827,0.15466887,0.04174239,0.94045097
2017-04-14,8.97,0.98707575,0.036375962,0.17641976,0.021957144,0.9587721
2017-04-17,8.93,0.9851098,0.024359513,0.036714483,0.01943261,0.9630277
2017-04-18,8.78,0.988084,0.021306863,0.12010071,0.20926964,0.9699305
2017-04-19,9.06,0.97560185,0.01469967,0.11467495,0.09123854,0.8891287
2017-04-20,8.78,0.99319106,0.033392686,0.19652373,0.87755126,0.9400906
2017-04-21,8.84,0.98493433,0.0673329,0.19994827,0.77749586,0.90474916
2017-04-24,8.41,0.988596,0.84638524,0.82910717,0.91564435,0.96322125
2017-04-25,8.41,0.99147636,0.9038635,0.9502135,0.9479433,0.9689599
2017-04-26,8.6,0.9928886,0.8163646,0.8118819,0.946418,0.9627166
2017-04-27,8.67,0.982258,0.09904108,0.90503645,0.9233802,0.95536685
2017-04-28,8.6,0.97683823,0.07949247,0.88838017,0.936102,0.96281505
2017-05-03,8.6,0.9911793,0.045818564,0.85119027,0.88155293,0.965149
2017-05-04,8.49,0.9806137,0.04760911,0.88726443,0.8905434,0.91164875
2017-05-05,8.75,0.9764258,0.034789987,0.7644079,0.7808686,0.84912
2017-05-08,8.95,0.9738263,0.62543076,0.9267228,0.14662702,0.09839622
2017-05-09,9.18,0.8845451,0.025637204,0.78679943,0.07429582,0.027166745
2017-05-10,9.52,0.062370066,0.01043094,0.08759409,0.03757887,0.011366659
2017-05-11,9.6,0.046583973,0.008224137,0.10412142,0.018000023,0.007918424
2017-05-12,9.32,0.09193636,0.005138163,0.7573148,0.6273793,0.0035929778
2017-05-15,9.6,0.07294218,0.002807068,0.1364161,0.023079017,0.0030009786
2017-05-16,9.52,0.061095323,0.0014228304,0.14466916,0.04167985,0.002481133
2017-05-17,9.49,0.8560584,0.007318887,0.15260051,0.038245525,0.0037514714
2017-05-18,9.32,0.94706166,0.006657702,0.7593368,0.07688178,0.0036539412
2017-05-19,9.4,0.94394267,0.00490552,0.7244092,0.044568848,0.005412167
2017-05-22,8.93,0.95827425,0.037383173,0.8512086,0.17686513,0.0293446
2017-05-23,8.87,0.9328301,0.04505793,0.8399482,0.7806643,0.03456878
2017-05-24,9.18,0.18033193,0.02472631,0.11641981,0.12498911,0.011997907
