date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,11.5,0.9382652,0.003432576,0.033445776,0.006692857,0.005089696
2016-07-15,11.9,0.96839553,0.0027890336,0.1045905,0.022191092,0.0038357528
2016-07-18,12.1,0.93836325,0.0028831323,0.06866743,0.025614062,0.0055238446
2016-07-19,11.6,0.9908669,0.0043984856,0.09276809,0.012962941,0.0044084997
2016-07-20,11.2,0.98464835,0.0026790916,0.06474232,0.016684696,0.0056733256
2016-07-21,11.3,0.9878797,0.002547481,0.06867331,0.019587772,0.0040146266
2016-07-22,11.1,0.99185705,0.003708204,0.7163449,0.027255818,0.0044228504
2016-07-25,11.0,0.9825562,0.0069900393,0.72536385,0.03586983,0.0023795553
2016-07-26,11.2,0.965162,0.0034374145,0.06913112,0.03188455,0.0026970394
2016-07-27,11.2,0.1843182,0.0029236597,0.03801867,0.01845969,0.0034954406
2016-07-28,11.2,0.9261624,0.002660895,0.08967711,0.012359192,0.0028108053
2016-07-29,11.3,0.9369427,0.0023372553,0.01835846,0.017581511,0.0030484002
2016-08-01,11.2,0.9460214,0.0033628962,0.025028773,0.005938805,0.0022506649
2016-08-02,11.1,0.8031073,0.0029521005,0.039870195,0.009007867,0.0009923124
2016-08-03,11.0,0.18245651,0.005688253,0.018047275,0.011811801,0.0014248868
2016-08-04,10.5,0.9493024,0.02333612,0.68930143,0.7001801,0.0049209273
2016-08-05,11.0,0.98488915,0.0022230886,0.019526988,0.014225716,0.004627943
2016-08-08,10.9,0.98717993,0.0036535142,0.04260798,0.020203354,0.0073851096
2016-08-09,10.7,0.9969625,0.005791742,0.056298632,0.027994476,0.0049382336
2016-08-10,10.8,0.99139225,0.005068114,0.013335553,0.017233156,0.0030068178
2016-08-11,10.9,0.98432827,0.00248269,0.010578696,0.008678328,0.0047391886
2016-08-12,10.9,0.997074,0.002321249,0.017519206,0.010459927,0.010688931
2016-08-15,10.9,0.99424744,0.005983298,0.00782729,0.014524074,0.0075363196
2016-08-16,10.7,0.99813145,0.005886633,0.020308768,0.0143853305,0.011673772
2016-08-17,10.8,0.99667156,0.0019007953,0.019974507,0.012019394,0.0035006478
2016-08-18,10.6,0.998868,0.002426337,0.02459575,0.011254903,0.004685557
2016-08-19,10.6,0.99703693,0.0013344313,0.028916022,0.0069253077,0.003924296
2016-08-22,10.6,0.9970342,0.0032613443,0.013402486,0.007402941,0.004251889
2016-08-23,10.5,0.9936859,0.0036288146,0.015467263,0.006020382,0.0035386763
2016-08-24,10.5,0.9973629,0.0035862904,0.019368425,0.006428721,0.0037413302
2016-08-25,10.3,0.9968352,0.007258454,0.03736552,0.015342828,0.0063509983
2016-08-26,10.5,0.9991854,0.0021700314,0.014612553,0.013326321,0.0062425192
2016-08-29,10.5,0.9988079,0.003061341,0.014613452,0.0118479505,0.0045286273
2016-08-30,10.5,0.99897754,0.003133498,0.018411357,0.014087125,0.009752517
2016-08-31,10.4,0.99777067,0.0030831632,0.02370362,0.018682467,0.0052252687
2016-09-01,10.2,0.9982551,0.0044424706,0.05635711,0.029859332,0.009157427
2016-09-05,10.0,0.9974886,0.020002633,0.15060967,0.02226093,0.024676908
2016-09-06,10.2,0.9987,0.0027273821,0.04437235,0.012487494,0.004864023
2016-09-07,10.0,0.99766135,0.004590542,0.69777566,0.011071643,0.007549377
2016-09-08,9.9,0.9985317,0.010933583,0.6632957,0.00915285,0.018998569
2016-09-09,9.9,0.9991197,0.016513944,0.15780337,0.008944327,0.017214214
2016-09-12,10.0,0.9991239,0.005176053,0.064807646,0.012416708,0.014700718
2016-09-13,9.99,0.99950194,0.0072152577,0.14297694,0.011412,0.022905651
2016-09-14,10.1,0.9992643,0.0034505806,0.03225952,0.01038432,0.011293519
2016-09-15,10.1,0.9973864,0.003191412,0.039730143,0.017250286,0.0149273705
2016-09-16,9.4,0.9991033,0.02491259,0.90148646,0.08555038,0.04668944
2016-09-19,9.87,0.9987649,0.0049002436,0.036352042,0.044037335,0.008548953
2016-09-20,9.79,0.9991328,0.00204227,0.03422813,0.047713842,0.010677713
2016-09-21,9.52,0.99969196,0.0033240041,0.15595753,0.11081034,0.023342708
2016-09-22,9.6,0.9995382,0.0013890623,0.05785808,0.7280677,0.0137697235
2016-09-23,9.5,0.99902296,0.0019342914,0.025560195,0.8194044,0.015143858
