date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2019-11-04,10.51,0.9996543,0.015279714,0.14275733,0.050071895,0.015240196
2019-11-05,10.45,0.99943703,0.019471321,0.6835672,0.072765015,0.015092009
2019-11-06,10.48,0.9995709,0.01617632,0.066086866,0.77278954,0.009999461
2019-11-07,10.57,0.9994504,0.0056486106,0.07646853,0.7541053,0.012783008
2019-11-08,10.63,0.9995473,0.008296195,0.057206705,0.052415527,0.0123591805
2019-11-11,10.45,0.99967635,0.008652015,0.106943086,0.097593114,0.02183129
2019-11-12,10.51,0.9995478,0.007804932,0.065350294,0.11453067,0.013466274
2019-11-13,10.39,0.99956983,0.027770469,0.789136,0.6828358,0.011600778
2019-11-14,10.39,0.99970263,0.051511236,0.81147844,0.08902231,0.020699624
2019-11-15,10.24,0.99964523,0.8858025,0.91251314,0.6828642,0.018268948
2019-11-18,10.24,0.9997415,0.92909324,0.98286635,0.155063,0.06023993
2019-11-19,10.42,0.9996946,0.7832104,0.8354384,0.043398794,0.034127474
2019-11-20,10.9,0.99941003,0.046499316,0.046518143,0.03217584,0.020918394
2019-11-21,10.96,0.99923587,0.037408575,0.017784787,0.045443743,0.021565
2019-11-22,10.51,0.9996113,0.023192808,0.07108132,0.04207978,0.03797001
2019-11-25,10.42,0.9994199,0.03392808,0.06986037,0.09339554,0.052135658
2019-11-26,10.45,0.9996244,0.093913876,0.030570587,0.041277498,0.8948212
2019-11-27,10.45,0.99954814,0.7416557,0.040038686,0.026043488,0.9020222
2019-11-28,10.39,0.99973136,0.87302226,0.038991015,0.023033695,0.91547257
2019-11-29,10.27,0.9996717,0.91462904,0.09706162,0.12924744,0.86849713
2019-12-02,9.91,0.9997731,0.90944153,0.069415964,0.84642977,0.96612775
2019-12-03,9.85,0.99965155,0.9039839,0.07330534,0.9294385,0.9893217
2019-12-04,9.91,0.99953187,0.8793173,0.06251164,0.9604065,0.96250206
2019-12-05,9.88,0.9995197,0.8604958,0.89931124,0.98013973,0.96899015
2019-12-06,9.79,0.99973124,0.8902577,0.9000575,0.97702354,0.99286604
2019-12-09,9.82,0.9997421,0.07310706,0.90836126,0.97485244,0.9757961
2019-12-10,9.85,0.99961555,0.018231928,0.94355834,0.9883966,0.9669116
2019-12-11,9.85,0.9996517,0.03857147,0.93324137,0.9863685,0.9496845
2019-12-12,10.15,0.9996007,0.004395482,0.115384765,0.9484451,0.031738088
2019-12-13,10.21,0.9995152,0.003902176,0.06070135,0.95635766,0.03052326
2019-12-16,9.97,0.9994492,0.011562002,0.9316292,0.97011054,0.031371996
2019-12-17,9.97,0.99964297,0.0144048,0.91809297,0.9447587,0.02101695
2019-12-18,10.03,0.99925214,0.011334975,0.9647137,0.97827905,0.028140726
2019-12-19,10.06,0.9995394,0.008046734,0.96979004,0.9422923,0.015318468
2019-12-20,9.97,0.99911517,0.012546983,0.9774415,0.9579906,0.009971927
