date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2017-01-11,28.83,0.99714977,0.997166,0.001993887,0.9987338,0.99876344
2017-01-12,28.66,0.9984781,0.9967631,0.005048584,0.99812716,0.99908495
2017-01-13,28.83,0.9986279,0.01866562,0.0042046867,0.9945294,0.99914086
2017-01-16,28.83,0.99824715,0.9981273,0.0014624832,0.009346936,0.9995427
2017-01-17,28.86,0.9991485,0.9990338,0.010525942,0.008327962,0.99948645
2017-01-20,28.74,0.9991398,0.9992483,0.99446726,0.995468,0.9989512
2017-01-23,28.66,0.99818975,0.9994086,0.99711454,0.9982821,0.99927264
2017-01-24,28.6,0.9994691,0.99654084,0.99881375,0.9978137,0.9991091
2017-01-25,28.31,0.99964464,0.9983802,0.99609935,0.9938385,0.9994455
2017-02-02,28.22,0.9997589,0.9939044,0.9994068,0.9982799,0.9954631
2017-02-03,28.92,0.9994609,0.99799985,0.99805117,0.99868804,0.9998772
2017-02-06,28.86,0.99941206,0.9976782,0.9962858,0.9966292,0.99956554
2017-02-07,28.86,0.9997428,0.99897015,0.9983341,0.9974722,0.9998615
2017-02-08,28.37,0.9998381,0.99925965,0.9995634,0.99903846,0.9999193
2017-02-09,28.77,0.9992692,0.9985172,0.99861515,0.9990941,0.99684554
2017-02-10,29.24,0.99966323,0.024663627,0.9990983,0.0063048517,0.9995977
2017-02-13,29.67,0.9988686,0.99752885,0.9981839,0.0049827592,0.9995647
2017-02-14,28.95,0.9995321,0.9994444,0.9989386,0.0056782723,0.9999229
2017-02-15,29.52,0.99981314,0.99762255,0.9962728,0.004279003,0.99938893
2017-02-16,29.52,0.99995613,0.99929976,0.9972191,0.0053472337,0.99737084
2017-02-17,29.78,0.9999269,0.9978473,0.006639961,0.99018586,0.99979264
2017-02-20,29.96,0.99975985,0.9957938,0.0011568674,0.9855934,0.99916196
2017-02-21,30.16,0.99986804,0.99840564,0.00055408105,0.024375135,0.99983525
2017-02-22,30.02,0.99996996,0.9978933,0.0069596022,0.99314487,0.9984956
2017-02-23,29.67,0.9999267,0.9995741,0.0073187556,0.99927825,0.99986696
2017-02-24,29.24,0.9999062,0.99998415,0.9938215,0.99734616,0.9993199
2017-02-27,28.95,0.9990544,0.99994254,0.9991517,0.9997367,0.99082184
2017-02-28,28.95,0.99964654,0.99998677,0.9993297,0.9998903,0.023713393
2017-03-01,28.89,0.99955374,0.9999845,0.9998435,0.99994123,0.9979657
2017-03-02,28.95,0.9996848,0.99996173,0.9996356,0.99966645,0.9996182
2017-03-03,30.25,0.99878114,0.99865204,0.007420716,0.99779594,0.9957546
2017-03-06,30.19,0.9994241,0.99973005,0.005796022,0.997551,0.9950321
2017-03-07,30.1,0.99837625,0.9999536,0.9928126,0.998901,0.017255483
2017-03-08,30.08,0.9988772,0.9999856,0.99874014,0.99721503,0.9917223
2017-03-09,30.25,0.99966466,0.99942017,0.9986444,0.9919791,0.99323857
2017-03-10,30.1,0.9999093,0.9997588,0.9986951,0.0059272526,0.99874073
2017-03-13,29.81,0.99951375,0.99986947,0.998862,0.006754321,0.9984263
2017-03-14,30.39,0.9971391,0.99961627,0.9944179,0.0019608252,0.9988606
2017-03-15,30.39,0.99918145,0.99990547,0.9958134,0.0020057342,0.9971463
