date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2019-01-31,5.9,0.997593,0.999161,0.9184052,0.15167767,0.91311824
2019-02-01,5.94,0.99773693,0.99884003,0.8994305,0.77876407,0.06832172
2019-02-11,6.03,0.997813,0.99873024,0.12893924,0.05143478,0.025337316
2019-02-12,6.04,0.9982632,0.998963,0.05299486,0.057515234,0.019933265
2019-02-13,6.06,0.9974866,0.99908316,0.02779146,0.008650911,0.01248773
2019-02-14,6.04,0.99789596,0.9992041,0.018170044,0.02246903,0.017806023
2019-02-15,6.01,0.9979634,0.9989053,0.03014556,0.030883774,0.044113338
2019-02-18,6.03,0.9973124,0.99895966,0.044017754,0.022202088,0.060770612
2019-02-19,5.98,0.998072,0.9979091,0.029155971,0.039637886,0.92403
2019-02-20,5.98,0.99785256,0.9983631,0.034334026,0.055461884,0.92299604
2019-02-21,5.9,0.9980716,0.9987361,0.07776145,0.91376734,0.9764425
2019-02-22,5.96,0.99677986,0.9989027,0.040168833,0.12715763,0.8890977
2019-02-25,6.03,0.9970566,0.9978398,0.046883576,0.038943283,0.07282029
2019-02-26,5.96,0.997174,0.9992193,0.0325858,0.83492804,0.16292517
2019-02-27,5.94,0.9984452,0.9991196,0.1656388,0.97358227,0.98033696
2019-02-28,5.89,0.99818295,0.9992955,0.8871647,0.9763017,0.98396885
2019-03-01,5.94,0.99715555,0.99921584,0.21693052,0.98770267,0.9903482
2019-03-04,6.01,0.9977059,0.99824107,0.16411154,0.9181753,0.96396583
2019-03-05,5.93,0.9984084,0.99907434,0.9133134,0.97234046,0.97884506
2019-03-06,5.93,0.9976555,0.99874616,0.9562085,0.98953724,0.9911601
2019-03-07,5.96,0.99633056,0.9986885,0.9217638,0.9803678,0.9828598
2019-03-08,5.91,0.9967321,0.9988574,0.96752065,0.9898056,0.9904716
2019-03-11,5.9,0.995048,0.99762577,0.97419727,0.9824629,0.99426514
2019-03-12,6.01,0.99109507,0.99733967,0.8660832,0.20885085,0.9857061
2019-03-13,6.04,0.98114485,0.9962288,0.13932587,0.12114676,0.98453575
2019-03-14,6.04,0.97785807,0.9967579,0.05477626,0.1596349,0.96741784
2019-03-15,5.96,0.98985296,0.9979798,0.93657976,0.94251025,0.9806144
2019-03-18,6.03,0.9881683,0.99500054,0.09045238,0.89377,0.96789145
2019-03-19,6.03,0.98748034,0.99611723,0.10655606,0.9250695,0.97993535
2019-03-20,6.01,0.984822,0.99681985,0.14771233,0.96165323,0.97687256
2019-03-21,6.0,0.94052863,0.99575496,0.87577564,0.9508688,0.9874556
2019-03-22,6.01,0.9441019,0.9950805,0.8478934,0.9532809,0.98579246
2019-03-25,5.93,0.9719345,0.9958638,0.9116232,0.95237124,0.9859492
2019-03-26,5.93,0.8705223,0.9956722,0.92492914,0.9618505,0.99149233
2019-03-27,5.96,0.107686825,0.99729675,0.8984122,0.965956,0.98960847
2019-03-28,6.01,0.043341465,0.9921307,0.89686143,0.94846505,0.9642081
2019-03-29,6.03,0.042739145,0.9929825,0.8652179,0.90812415,0.97190607
2019-04-01,6.41,0.034148574,0.9833061,0.89028215,0.06149685,0.08514232
2019-04-02,6.31,0.0362447,0.98526174,0.84688735,0.0819494,0.07108798
2019-04-03,6.41,0.017234731,0.99110097,0.16705985,0.06278347,0.040851496
2019-04-04,6.45,0.011427628,0.9957048,0.06256127,0.029975148,0.03735241
2019-04-05,6.44,0.013729859,0.99739563,0.037800945,0.023364106,0.06516688
2019-04-08,6.47,0.009786159,0.9965448,0.019716294,0.024797566,0.078732155
2019-04-09,6.41,0.02292749,0.99795425,0.095056705,0.043714765,0.9147598
2019-04-10,6.28,0.009615391,0.99738234,0.01716611,0.024464035,0.96903026
2019-04-11,6.38,0.0064656185,0.9968845,0.026921902,0.01696319,0.9680005
2019-04-12,6.37,0.0065555666,0.9936878,0.025662461,0.012608322,0.9564502
2019-04-16,6.3,0.003972857,0.98598194,0.01763649,0.022725962,0.97005165
2019-04-17,6.27,0.0026446683,0.99079543,0.021504859,0.022958152,0.98093915
2019-04-18,6.2,0.0065657636,0.9939839,0.05454317,0.051409498,0.99217623
2019-04-19,6.27,0.0057033566,0.9936692,0.027616125,0.023203818,0.9794334
2019-04-22,6.17,0.0068790363,0.99636406,0.059511434,0.092217274,0.98893434
2019-04-23,6.16,0.012082888,0.9909334,0.08917233,0.97375554,0.9924361
2019-04-24,6.08,0.020437783,0.99279696,0.10245396,0.976441,0.9970431
2019-04-25,6.01,0.081295826,0.99323773,0.8677453,0.9880284,0.99818677
2019-04-26,6.06,0.8808717,0.98817074,0.9223876,0.99217284,0.997265
2019-05-02,6.06,0.96457666,0.9887765,0.9749741,0.9915241,0.99698955
2019-05-03,6.04,0.9752676,0.99465984,0.98423344,0.98890895,0.9940661
2019-05-06,6.04,0.9803315,0.9882697,0.9558856,0.9680704,0.9959059
2019-05-07,6.1,0.9545966,0.9759059,0.9533994,0.98677737,0.983906
2019-05-08,6.07,0.95537627,0.989253,0.9728258,0.9914642,0.9870662
2019-05-09,6.1,0.13106011,0.9738501,0.9814355,0.9842605,0.96575093
2019-05-10,6.38,0.043852825,0.03300617,0.9214822,0.9475317,0.96534747
2019-05-13,6.5,0.0051783565,0.010288651,0.9109254,0.9447025,0.9620859
2019-05-14,6.52,0.006586657,0.021936791,0.89505696,0.9462369,0.9401768
2019-05-15,6.57,0.0027271307,0.010356181,0.9107779,0.9482056,0.9772329
2019-05-16,6.61,0.0011199382,0.014873769,0.88135487,0.9433455,0.97424966
2019-05-17,6.75,0.0011193852,0.0075022504,0.11363589,0.798571,0.95169866
2019-05-20,6.76,0.0016354081,0.0046920995,0.096501596,0.06782914,0.7524877
2019-05-21,6.78,0.0018333016,0.009329436,0.12819707,0.073725656,0.0982831
2019-05-22,6.78,0.002212961,0.008779096,0.7136389,0.103282735,0.036443442
2019-05-23,6.69,0.0017601757,0.0049802535,0.92636454,0.93259376,0.03652951
2019-05-24,6.69,0.0017195876,0.0036466713,0.8722745,0.9611806,0.028796932
2019-05-27,6.75,0.002708651,0.0047410578,0.26958492,0.9791753,0.022632517
2019-05-28,6.74,0.0033828507,0.0054763,0.8544054,0.9805094,0.020444982
2019-05-29,6.82,0.0043027042,0.0073008183,0.15090635,0.96366715,0.016824922
2019-05-30,6.82,0.004742773,0.00884889,0.18632412,0.9402636,0.019278124
2019-05-31,6.78,0.0054778014,0.013836327,0.9004202,0.9454878,0.026649192
2019-06-03,6.75,0.0064311763,0.0046762596,0.95044947,0.8020581,0.010536784
2019-06-04,6.75,0.0036653276,0.004175109,0.95333606,0.09113083,0.009294031
2019-06-05,6.78,0.0063812057,0.0042878985,0.96993715,0.070190676,0.011595613
2019-06-06,6.78,0.0048577585,0.0029912286,0.9366769,0.024710275,0.008048877
2019-06-07,6.84,0.005599751,0.0072812187,0.8451642,0.0464922,0.0108847
2019-06-10,6.91,0.005997825,0.009531944,0.79674065,0.02769267,0.015065834
2019-06-11,7.23,0.0059947213,0.011275947,0.08089236,0.041180424,0.038669597
2019-06-12,7.15,0.007394074,0.010084392,0.08474182,0.047338188,0.014927945
2019-06-13,7.2,0.0066825654,0.014967488,0.039737977,0.036793735,0.010579214
2019-06-14,7.06,0.017916027,0.019850459,0.07485253,0.06396889,0.014182949
2019-06-17,6.95,0.019641342,0.008037639,0.08031423,0.028397039,0.015664553
2019-06-18,6.68,0.033068936,0.008214525,0.06670228,0.047288217,0.025361145
2019-06-19,6.64,0.021319523,0.013069936,0.078986675,0.09709073,0.07270067
2019-06-20,6.69,0.0131000355,0.011065239,0.08925792,0.10189109,0.05692417
2019-06-21,6.69,0.014034366,0.0061430074,0.084505074,0.100524694,0.050459515
2019-06-24,6.51,0.03273272,0.01819252,0.1984778,0.9189213,0.9312398
2019-06-25,6.5,0.02375795,0.01433637,0.8400128,0.9556723,0.9367024
2019-06-26,6.44,0.018350005,0.01799011,0.9386361,0.962999,0.9397476
2019-06-27,6.44,0.022492765,0.0129155535,0.966094,0.9716107,0.9342614
2019-06-28,6.48,0.0074017076,0.0042609386,0.91892254,0.966292,0.86886793
2019-07-01,6.5,0.008784317,0.009405772,0.9111949,0.94746,0.12592015
2019-07-02,6.52,0.00505161,0.008118897,0.28431657,0.89986837,0.038968246
2019-07-03,6.55,0.0045563215,0.009276143,0.105161466,0.84223765,0.043466322
2019-07-04,6.58,0.0064920424,0.008472343,0.20379238,0.23090635,0.03290295
2019-07-05,6.55,0.0038994167,0.0082364995,0.15070651,0.08612023,0.033223253
2019-07-08,6.52,0.0044824504,0.01115163,0.7449195,0.16546394,0.023226352
2019-07-09,6.52,0.0033434057,0.010142559,0.91259193,0.92877966,0.024809422
2019-07-10,6.52,0.0019704557,0.016204946,0.8855471,0.9235907,0.01788017
2019-07-11,6.51,0.0023465848,0.013364802,0.8156559,0.94380015,0.019257668
2019-07-12,6.5,0.0019945703,0.012809739,0.22909579,0.82437503,0.020136766
2019-07-15,6.54,0.0014175511,0.00809265,0.09316801,0.069526784,0.018851599
2019-07-16,6.61,0.0018275229,0.009869054,0.0644948,0.02854242,0.0163693
2019-07-17,6.64,0.0008546343,0.0052028582,0.038032677,0.006226961,0.015990108
2019-07-18,6.58,0.0009516417,0.0047897478,0.057709362,0.012968726,0.013682667
2019-07-19,6.47,0.0009803654,0.016077925,0.81237924,0.09724604,0.034458295
2019-07-22,6.52,0.001124126,0.0051530506,0.06931111,0.019136278,0.029358702
2019-07-23,6.55,0.0009116095,0.0022642692,0.049957983,0.011658877,0.019278971
2019-07-24,6.54,0.0009212353,0.002707917,0.022572046,0.025738176,0.022981396
2019-07-25,6.52,0.0011558579,0.0054844376,0.076742366,0.05764141,0.029622883
2019-07-26,6.51,0.001112611,0.0064338367,0.11717619,0.07108099,0.031713918
2019-07-29,6.5,0.0015264323,0.008644129,0.11757901,0.061627977,0.026031854
2019-07-30,6.47,0.0012246502,0.0050010933,0.17270549,0.044981413,0.028542075
2019-07-31,6.47,0.00094860815,0.0052144956,0.1665766,0.04325109,0.059688628
2019-08-01,6.38,0.0010722914,0.016656728,0.92642605,0.06400153,0.9006792
2019-08-02,6.28,0.0018830496,0.7821423,0.9578592,0.8363116,0.97872514
2019-08-05,6.38,0.0009212151,0.01288161,0.8142451,0.120921835,0.88038
2019-08-06,6.38,0.0009819261,0.017386593,0.7483683,0.04668429,0.80930126
2019-08-07,6.38,0.00085743814,0.025275216,0.1461037,0.042208534,0.09773802
2019-08-08,6.4,0.00081562635,0.02700549,0.14383669,0.04418834,0.026739966
2019-08-09,6.41,0.0011650366,0.015173586,0.08205315,0.056069147,0.009591728
2019-08-12,6.41,0.0009817773,0.013661583,0.1100291,0.13126186,0.013982541
2019-08-13,6.41,0.0013359288,0.04493458,0.12231261,0.7552622,0.024310587
2019-08-14,6.37,0.0010244362,0.89649254,0.29137525,0.8863932,0.13013285
2019-08-15,6.35,0.0010811414,0.93526816,0.8104151,0.9251312,0.9019994
2019-08-16,6.37,0.0010062179,0.8942402,0.7942047,0.80616313,0.8190764
2019-08-19,6.35,0.0013439748,0.91821104,0.9345924,0.8956978,0.91788924
2019-08-20,6.34,0.0014975665,0.95979947,0.92627037,0.8689377,0.927239
2019-08-21,6.35,0.0010626373,0.90860397,0.90674293,0.21537465,0.86904335
2019-08-22,6.37,0.00071899866,0.040764295,0.8783638,0.071498,0.04644239
2019-08-23,6.41,0.0007799025,0.0044343947,0.83431244,0.029285569,0.018546287
2019-08-26,6.4,0.0012056964,0.003587347,0.8631358,0.031060625,0.018067319
2019-08-27,6.42,0.0011181857,0.0035435488,0.8591584,0.020881925,0.01151656
2019-08-28,6.45,0.0009763197,0.0031994558,0.09837187,0.006676346,0.008619972
2019-08-29,6.52,0.0009584512,0.008106752,0.078318425,0.013190961,0.01236651
2019-08-30,6.59,0.0009559714,0.00925438,0.076179445,0.020581355,0.011281301
2019-09-03,6.44,0.00091141195,0.0074119405,0.059381038,0.01821942,0.013928479
2019-09-04,6.44,0.00062460033,0.0035490824,0.06685806,0.047060765,0.016889717
2019-09-05,6.35,0.00076244865,0.017340593,0.20418483,0.79861194,0.090745024
2019-09-06,6.35,0.0010455656,0.010597933,0.84297097,0.2608132,0.1169716
2019-09-09,6.28,0.002086819,0.019576466,0.9340264,0.9040332,0.94279945
2019-09-10,6.23,0.004908123,0.014518649,0.9346783,0.935238,0.96808136
2019-09-11,6.27,0.0027224335,0.0064135767,0.91807866,0.9037635,0.9488426
2019-09-12,6.3,0.0010114489,0.0047499468,0.85454166,0.9031545,0.86842495
2019-09-13,6.38,0.0018168775,0.0017736185,0.08356623,0.04182192,0.0537866
2019-09-16,6.38,0.00346162,0.0019160514,0.055011086,0.031865086,0.04292349
2019-09-17,6.38,0.0018791963,0.0024912723,0.04999741,0.041911796,0.026840534
2019-09-18,6.38,0.0015247313,0.0023246042,0.06372548,0.053838335,0.05835037
2019-09-19,6.44,0.0013194777,0.0035811157,0.07572578,0.05130597,0.0209234
2019-09-20,6.34,0.0012364992,0.0073559866,0.8194099,0.8767807,0.8567387
2019-09-23,6.3,0.0020653845,0.0050868667,0.89213085,0.8633896,0.9253872
2019-09-24,6.33,0.0019040087,0.0075722337,0.8687786,0.22438663,0.9289452
2019-09-25,6.33,0.00185313,0.0067732274,0.81956977,0.73098433,0.90384823
2019-09-26,6.38,0.0013567422,0.0037252891,0.10990466,0.061276086,0.041147638
2019-09-27,6.35,0.0013978952,0.005769517,0.16026668,0.12715302,0.099659696
2019-09-30,6.35,0.0017871446,0.0081289485,0.07605884,0.72177696,0.099214144
2019-10-01,6.38,0.0014593835,0.0033481582,0.08279625,0.0452639,0.069328964
2019-10-02,6.38,0.0012811865,0.0019896186,0.050057992,0.057251982,0.03593754
2019-10-03,6.35,0.0009151428,0.0026860994,0.060660686,0.88943875,0.91834766
2019-10-04,6.35,0.0010004925,0.003839588,0.10637135,0.9083893,0.94967484
2019-10-07,6.33,0.0012078587,0.0026905956,0.8863525,0.9542024,0.94917893
2019-10-08,6.33,0.0011629415,0.0026540374,0.8404473,0.9258526,0.9448609
2019-10-09,6.35,0.0007530941,0.0028767283,0.23321538,0.21513143,0.93190664
2019-10-10,6.35,0.0009928746,0.0028425,0.7955836,0.7852541,0.9522729
2019-10-11,6.35,0.00092108914,0.0023197797,0.82089037,0.15301459,0.96299887
2019-10-14,6.37,0.001545225,0.0030487971,0.7342494,0.041193567,0.88905585
2019-10-15,6.35,0.0014194552,0.0026940783,0.16370131,0.17171595,0.95650256
2019-10-16,6.35,0.0009981275,0.0031585703,0.107576445,0.7171567,0.96538395
2019-10-17,6.44,0.00080804166,0.0012677865,0.03841383,0.04132108,0.029246757
2019-10-18,6.44,0.0006843761,0.001714143,0.028874759,0.009838762,0.0065806503
2019-10-21,6.44,0.0007993981,0.0024267768,0.020509187,0.010537261,0.0069992403
2019-10-22,6.34,0.0016959801,0.002204123,0.1640881,0.94350857,0.022947373
2019-10-23,6.35,0.0010249985,0.0041351304,0.818306,0.89538974,0.009571954
2019-10-24,6.38,0.00069887313,0.003253908,0.12014486,0.12344417,0.011253657
2019-10-25,6.35,0.001542565,0.0021561924,0.8946356,0.9108799,0.009446671
2019-10-28,6.31,0.0033108408,0.0050991606,0.9302519,0.9422898,0.013304206
2019-10-29,6.34,0.0020995392,0.0038972504,0.9007609,0.914329,0.01517308
2019-10-30,6.38,0.0011317423,0.0024880737,0.16701649,0.5883271,0.005870796
2019-10-31,6.37,0.00131773,0.0025647592,0.8734449,0.06625488,0.0070686126
2019-11-01,6.37,0.001383458,0.003766725,0.8935216,0.02347803,0.010369679
2019-11-04,6.35,0.0019865213,0.0041810367,0.90724486,0.03623339,0.009534924
2019-11-05,6.4,0.0010310286,0.0028429774,0.77308303,0.025698707,0.0056594624
2019-11-06,6.38,0.0014766657,0.0026366175,0.8453947,0.016369862,0.006318707
2019-11-07,6.38,0.0016039984,0.003129921,0.22328123,0.026361348,0.006497073
2019-11-08,6.41,0.0010420235,0.0031312453,0.056423992,0.018881017,0.0062569384
2019-11-11,6.41,0.0012186471,0.0036634733,0.032034867,0.010945646,0.0034034743
2019-11-12,6.41,0.0013919371,0.0034624492,0.043604217,0.013307993,0.0044945697
2019-11-13,6.4,0.0021149355,0.0021075367,0.0538303,0.024472168,0.005986952
2019-11-14,6.37,0.0027079002,0.0045465413,0.121783145,0.035288114,0.006798697
2019-11-15,6.31,0.0056951665,0.009044227,0.10742362,0.04870626,0.012114445
2019-11-18,6.3,0.006744807,0.009591902,0.10038572,0.037813116,0.013573496
2019-11-19,6.34,0.005045558,0.0025571112,0.03630829,0.029027147,0.009697196
2019-11-20,6.33,0.0052845385,0.00357443,0.042547137,0.030945612,0.011775235
2019-11-21,6.33,0.0044957777,0.0051995176,0.08029825,0.023831813,0.00931417
2019-11-22,6.18,0.029737996,0.036006156,0.8701158,0.04465135,0.051404815
2019-11-25,6.18,0.018282354,0.00860065,0.82155097,0.021801023,0.03914996
2019-11-26,6.21,0.006947499,0.008426701,0.09700472,0.021773938,0.014366054
