date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-14,15.11,0.9927248,0.028945616,0.9260799,0.93733895,0.9282286
2016-09-15,14.9,0.99073046,0.028420307,0.96376294,0.96512926,0.9030973
2016-09-16,14.49,0.99818146,0.68161476,0.9890593,0.96984416,0.8856484
2016-09-19,15.17,0.9842041,0.015583751,0.9564172,0.9550065,0.058366537
2016-09-20,15.5,0.9846694,0.012264284,0.9595104,0.93831193,0.012195149
2016-09-21,15.5,0.986062,0.014616356,0.9429622,0.9397502,0.010667155
2016-09-22,15.52,0.9936411,0.007907108,0.9544974,0.895409,0.010843364
2016-09-23,15.46,0.99214524,0.012582527,0.9447189,0.8796001,0.009460505
2016-09-26,15.56,0.99453,0.010549597,0.863939,0.19442952,0.012277062
2016-09-27,15.98,0.94523937,0.009353455,0.17599098,0.06405587,0.009709366
2016-09-28,16.14,0.9436742,0.007410632,0.096181944,0.04711175,0.013971074
2016-09-29,15.85,0.9147431,0.007360358,0.6656879,0.039876103,0.0075509604
2016-09-30,15.85,0.14019439,0.0056131547,0.091162674,0.021965882,0.0069372808
2016-10-03,15.69,0.91199017,0.0040222355,0.082954474,0.04465573,0.010851534
2016-10-04,15.69,0.98007774,0.008653258,0.042687684,0.018879622,0.005100968
2016-10-05,15.81,0.8109491,0.012224174,0.057043474,0.017409623,0.006737981
2016-10-06,15.87,0.13089608,0.017668026,0.03442873,0.032340847,0.0034944688
2016-10-07,15.71,0.9761528,0.018306203,0.03734322,0.018188713,0.0062872055
2016-10-10,15.52,0.98672664,0.034376927,0.025842337,0.02836962,0.008372152
2016-10-11,15.65,0.98307747,0.03976874,0.05233206,0.01275926,0.012579363
2016-10-12,15.56,0.98886526,0.057517406,0.051783223,0.011461549,0.01076504
2016-10-13,15.44,0.9934621,0.82573515,0.033635035,0.01339244,0.017342756
2016-10-14,15.4,0.9928532,0.979807,0.05076882,0.03584838,0.013996663
2016-10-17,15.07,0.9974833,0.99148,0.05868956,0.07583166,0.1335827
2016-10-18,15.09,0.9978296,0.9925332,0.06360576,0.07196325,0.11051085
2016-10-19,15.19,0.9917618,0.991598,0.048542473,0.039526965,0.019696042
2016-10-20,15.19,0.9926835,0.99060297,0.057309337,0.047698483,0.018032607
2016-10-21,15.19,0.99512607,0.99040353,0.054762434,0.056696948,0.014375125
2016-10-24,14.94,0.9984634,0.99393904,0.118409015,0.8090315,0.055264376
2016-10-25,14.8,0.9991068,0.9884757,0.8611603,0.91091794,0.8574057
2016-10-26,14.61,0.9977101,0.9953967,0.9278245,0.91152555,0.88551825
2016-10-27,15.03,0.99481034,0.9780895,0.12992087,0.63671565,0.025976999
2016-10-28,15.03,0.9941782,0.9930472,0.1857791,0.13991936,0.0084798895
2016-10-31,14.9,0.99451387,0.98722935,0.7670519,0.14187758,0.018892096
2016-11-01,14.86,0.99558556,0.9891293,0.8592315,0.13976176,0.0145956855
2016-11-02,14.65,0.99602723,0.99133426,0.9647494,0.8343314,0.13614595
2016-11-03,14.49,0.99784184,0.99490815,0.9502831,0.9665409,0.91024333
2016-11-04,14.49,0.9978551,0.9941871,0.95439345,0.94938165,0.896494
2016-11-07,15.0,0.9991271,0.9881202,0.08765557,0.10770297,0.020663027
2016-11-08,15.07,0.9977715,0.9894685,0.08083889,0.10854631,0.011076526
2016-11-09,14.9,0.9980414,0.98957026,0.16236885,0.7135229,0.011830757
2016-11-10,15.07,0.9950126,0.99084854,0.076608345,0.034078114,0.010635132
2016-11-11,15.0,0.99690646,0.99245656,0.11266424,0.030127956,0.014424894
2016-11-14,14.82,0.9981831,0.99469453,0.19591545,0.057441186,0.017896917
2016-11-15,14.82,0.9978294,0.9961558,0.8034606,0.030084047,0.013394374
2016-11-16,14.82,0.99814105,0.9944279,0.7983914,0.022628589,0.02429338
2016-11-17,14.76,0.9985532,0.9938751,0.776081,0.026962986,0.032802816
2016-11-18,14.71,0.99777764,0.99397177,0.7964312,0.02583204,0.055928163
2016-11-21,14.78,0.9968821,0.9950982,0.10455971,0.018934049,0.025539782
2016-11-22,14.9,0.99412787,0.99250644,0.04720054,0.017399592,0.019014647
2016-11-23,15.03,0.98446286,0.9907279,0.04445155,0.0073468834,0.020366408
2016-11-24,14.9,0.99228036,0.9951138,0.062286697,0.017838042,0.024930144
2016-11-25,14.82,0.995025,0.9948784,0.057155598,0.031604733,0.08338942
2016-11-28,14.69,0.99820924,0.9941922,0.077903226,0.035406586,0.8602304
2016-11-29,14.49,0.9972101,0.99738437,0.0729114,0.05769898,0.97626275
2016-11-30,14.57,0.9962852,0.99648404,0.06345279,0.056134567,0.96961886
2016-12-01,14.59,0.9977653,0.99547845,0.06336712,0.056985524,0.9496323
2016-12-02,14.61,0.9961047,0.9961653,0.0893741,0.08829098,0.9704485
2016-12-05,14.45,0.99705255,0.9967019,0.20162496,0.8477299,0.9834168
2016-12-06,14.14,0.9979836,0.9968432,0.9439583,0.9604079,0.99241924
2016-12-07,14.24,0.997056,0.996745,0.82872254,0.9524955,0.99240935
2016-12-08,14.49,0.9983015,0.99450773,0.15673012,0.2849394,0.928278
2016-12-09,14.51,0.9970565,0.99398875,0.9027654,0.8977565,0.9809518
2016-12-12,14.45,0.9973176,0.9966537,0.91627556,0.9660863,0.98180985
2016-12-13,14.24,0.99776185,0.99738413,0.93113375,0.9827557,0.9849319
2016-12-14,14.4,0.99727625,0.9965203,0.85304374,0.9466084,0.98345447
2016-12-15,14.49,0.99523807,0.99731183,0.24528693,0.9124947,0.9751559
2016-12-16,14.53,0.9957398,0.996434,0.8288585,0.96580005,0.9680991
2016-12-19,14.55,0.9978802,0.9951191,0.83539003,0.93985415,0.9796966
2016-12-20,14.47,0.9978096,0.9963498,0.96233654,0.9839602,0.99060565
2016-12-21,14.47,0.99677855,0.99718565,0.96527326,0.97189575,0.97641104
2016-12-22,14.45,0.99605405,0.9977335,0.9667354,0.9822823,0.9920109
2016-12-23,14.74,0.9950063,0.9931016,0.30890155,0.96583307,0.98847383
2016-12-26,14.94,0.995171,0.9808849,0.8639576,0.9337053,0.988135
2016-12-27,14.9,0.995542,0.9846934,0.92234194,0.9544382,0.99022394
2016-12-28,14.74,0.9954194,0.98104066,0.88990307,0.98307574,0.9934794
2016-12-29,14.67,0.997726,0.986666,0.95517725,0.9726077,0.99378175
2016-12-30,14.67,0.9959928,0.98085624,0.93380195,0.97379994,0.99088204
