date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-07-14,8.27,0.02614248,0.047156684,0.012662369,0.008908954,0.048790094
2016-07-15,8.38,0.03346769,0.037258387,0.016001314,0.012825216,0.049430538
2016-07-18,8.89,0.024736289,0.023105145,0.014454386,0.013578126,0.03204802
2016-07-19,8.48,0.026764045,0.06898588,0.010915911,0.010415099,0.06352839
2016-07-20,7.71,0.9753524,0.8753335,0.048260663,0.040146925,0.8160428
2016-07-21,7.55,0.99287766,0.9779261,0.053595763,0.05878633,0.77697146
2016-07-22,8.17,0.06978126,0.91282314,0.033689108,0.026098283,0.06984725
2016-07-25,7.71,0.98459953,0.9760645,0.035885777,0.040942743,0.16400123
2016-07-26,7.55,0.9976301,0.99167085,0.049066737,0.09985997,0.13153584
2016-07-27,7.61,0.9637375,0.992599,0.06720125,0.22966148,0.18434636
2016-07-28,7.5,0.9956728,0.99319905,0.067327835,0.87465084,0.9040559
2016-07-29,7.66,0.9533019,0.9912265,0.053562865,0.8912583,0.8760631
2016-08-01,7.71,0.16415839,0.9758335,0.056470603,0.95050997,0.96083397
2016-08-02,7.3,0.99407744,0.9942984,0.14760813,0.98730904,0.985424
2016-08-03,7.14,0.99612325,0.9949421,0.8911514,0.98872876,0.98971796
2016-08-04,6.78,0.99638927,0.99366474,0.94094044,0.9892485,0.9893852
2016-08-05,6.83,0.99535817,0.99479276,0.96479255,0.9808687,0.9854565
2016-08-08,6.94,0.99128354,0.99037886,0.9373911,0.97532713,0.98686755
2016-08-09,6.99,0.99208015,0.9868629,0.9358155,0.97174317,0.9822307
2016-08-10,7.35,0.99319434,0.98393583,0.9244981,0.9372558,0.9621792
2016-08-11,7.66,0.98888934,0.97792304,0.78009415,0.23316857,0.9611529
2016-08-12,7.71,0.9857144,0.9597966,0.14866404,0.78078705,0.97240484
2016-08-15,8.17,0.1462328,0.09900389,0.07422754,0.097475655,0.94109654
2016-08-16,8.12,0.98967266,0.085692115,0.07632021,0.16422608,0.94858164
2016-08-17,7.91,0.9972287,0.9034352,0.12523408,0.9338306,0.9785113
2016-08-18,7.86,0.9788672,0.92234844,0.1627875,0.91403675,0.9721013
2016-08-19,7.5,0.9985226,0.9720625,0.94711673,0.98803747,0.97870094
2016-08-22,7.19,0.99888617,0.97973996,0.9797477,0.9928739,0.991824
2016-08-23,7.55,0.99747485,0.9715916,0.961992,0.98195595,0.98666084
2016-08-24,7.61,0.99713576,0.96867585,0.9710943,0.98294455,0.9872519
2016-08-25,7.55,0.99732435,0.9596919,0.97883725,0.9888692,0.98103565
2016-08-26,7.86,0.99844664,0.97306824,0.9579064,0.9738168,0.9710977
2016-08-29,7.76,0.9982192,0.97123253,0.9696442,0.9830452,0.95982426
2016-08-30,7.91,0.9983103,0.94998837,0.9370622,0.9813473,0.9413122
2016-08-31,8.38,0.98696506,0.045852378,0.091042124,0.8312674,0.06675039
2016-09-01,8.53,0.9884862,0.015113515,0.16294844,0.75008273,0.040525746
2016-09-05,8.63,0.9872978,0.011143525,0.7904579,0.10834352,0.021713017
2016-09-06,8.22,0.99611986,0.024666652,0.9245855,0.7584724,0.045588713
2016-09-07,8.43,0.9913054,0.01818312,0.90263754,0.074014276,0.045852005
2016-09-08,8.38,0.99737644,0.016772557,0.84763587,0.05855105,0.03815862
2016-09-09,8.22,0.99683124,0.02211383,0.87177,0.14867993,0.040937204
2016-09-12,8.84,0.99133587,0.014186603,0.04869595,0.041274846,0.014378037
2016-09-13,8.89,0.99010694,0.008163481,0.03265006,0.026490236,0.021578949
2016-09-14,8.84,0.99253863,0.010440873,0.04103654,0.02854818,0.023515211
2016-09-15,8.63,0.99242264,0.012970197,0.14541157,0.0779945,0.05681214
2016-09-16,8.58,0.99076325,0.01563812,0.07659993,0.07827472,0.07567191
2016-09-19,8.02,0.9982206,0.054753795,0.76539147,0.7874448,0.9702968
2016-09-20,8.43,0.9947391,0.010596203,0.09620592,0.05963443,0.8872637
2016-09-21,8.32,0.9956169,0.01279974,0.12055172,0.03946136,0.9207893
2016-09-22,8.32,0.99741507,0.017434536,0.15542337,0.090953454,0.8489241
2016-09-23,8.17,0.99885,0.072207876,0.16073741,0.15863754,0.8418818
2016-09-26,8.07,0.9984963,0.07607832,0.60699636,0.7097362,0.23855263
2016-09-27,8.27,0.99565446,0.0026660543,0.04606569,0.08532678,0.07145659
2016-09-28,8.27,0.9954129,0.002504715,0.07287112,0.15390305,0.040237833
2016-09-29,8.22,0.996761,0.0037676662,0.06781614,0.87404025,0.059893068
2016-09-30,8.07,0.9975349,0.0026742634,0.25293344,0.9430645,0.6886507
2016-10-03,8.17,0.9947077,0.0014706348,0.08898899,0.9563759,0.1351496
2016-10-04,8.17,0.9965293,0.0012590807,0.18441121,0.9620764,0.5403947
2016-10-05,8.17,0.9961302,0.0032164552,0.7585642,0.9515721,0.088834725
2016-10-06,8.02,0.99620205,0.0054626334,0.8340407,0.959021,0.10399517
2016-10-07,8.02,0.9974251,0.0062876046,0.9167572,0.9375869,0.0469479
2016-10-10,8.12,0.9964504,0.0026686697,0.85057145,0.2532734,0.033591826
2016-10-11,8.12,0.9975374,0.004095623,0.9089062,0.76236403,0.053416383
2016-10-12,8.22,0.99590164,0.0079006655,0.8754431,0.09842351,0.042091034
2016-10-13,8.58,0.99095637,0.004593085,0.73901135,0.018979963,0.0223364
2016-10-14,8.43,0.99596524,0.005784027,0.10261262,0.021502076,0.029022397
2016-10-17,8.53,0.99627656,0.004965017,0.043191362,0.013268368,0.015719887
2016-10-18,8.74,0.9924643,0.004781962,0.041825246,0.009284429,0.018720686
2016-10-19,8.74,0.9928449,0.0037533913,0.026743535,0.011013134,0.03985933
2016-10-20,8.68,0.99484813,0.0021098866,0.0808716,0.010790811,0.031970497
2016-10-21,8.32,0.99568766,0.004262657,0.14293078,0.07118228,0.084690705
2016-10-24,8.07,0.997175,0.00525292,0.7535018,0.768438,0.89316374
2016-10-25,8.17,0.9953999,0.0029434536,0.5635722,0.076907344,0.83493775
2016-10-26,8.12,0.9956468,0.004326372,0.20705864,0.0601356,0.92193145
2016-10-27,8.12,0.99742234,0.011507704,0.14659895,0.061027415,0.81762075
2016-10-28,8.27,0.995523,0.003544586,0.054126523,0.046258684,0.04520806
2016-10-31,8.17,0.9953999,0.005005556,0.0729273,0.06973889,0.03701837
2016-11-01,8.22,0.9963251,0.008533613,0.07966999,0.11709563,0.022105427
2016-11-02,8.02,0.99667704,0.010135314,0.22497422,0.89253944,0.04532349
2016-11-03,7.96,0.99797267,0.022744143,0.8643463,0.2950075,0.05089903
2016-11-04,7.86,0.9966588,0.1199453,0.8675852,0.9179962,0.7293409
2016-11-07,8.12,0.99563473,0.004311684,0.10760509,0.8657593,0.030749165
2016-11-08,8.12,0.99543685,0.005270483,0.1637348,0.92718047,0.030776722
2016-11-09,8.02,0.99733055,0.015984686,0.8350673,0.9378621,0.040284954
2016-11-10,8.07,0.9960377,0.01652121,0.28196913,0.8757641,0.010423502
2016-11-11,7.91,0.99740195,0.9056389,0.8985522,0.94630885,0.020815503
2016-11-14,7.86,0.9976368,0.97739846,0.92937577,0.9369453,0.035945933
2016-11-15,7.86,0.99802065,0.98495495,0.9311476,0.9193082,0.04430587
2016-11-16,8.07,0.9968021,0.11260629,0.8002303,0.10986189,0.014788839
2016-11-17,7.91,0.9965958,0.9629457,0.88550925,0.9185261,0.025684046
2016-11-18,8.27,0.9962859,0.7945683,0.09184172,0.022689158,0.04035783
2016-11-21,8.27,0.994747,0.0440494,0.08160316,0.04043356,0.011667177
2016-11-22,8.58,0.9946979,0.023160186,0.02478492,0.03347692,0.013000553
2016-11-23,8.27,0.996887,0.013038702,0.06534296,0.042993285,0.0153690055
2016-11-24,8.22,0.9973984,0.018799365,0.07395541,0.040590502,0.01832208
2016-11-25,8.07,0.9976659,0.018314552,0.11406424,0.0886012,0.020021556
2016-11-28,8.02,0.9974579,0.024703318,0.07982485,0.049519435,0.037530687
2016-11-29,7.91,0.9969798,0.045671858,0.10377944,0.04984781,0.04381413
2016-11-30,7.86,0.9974154,0.9386396,0.046998575,0.030475836,0.02748839
2016-12-01,7.96,0.99567896,0.078431465,0.033713244,0.026600668,0.012265804
2016-12-02,7.91,0.99656075,0.9038682,0.05648397,0.04745336,0.01798289
2016-12-05,7.86,0.9968548,0.98467153,0.048113856,0.03996216,0.016158823
2016-12-06,7.76,0.9965102,0.98950714,0.036499385,0.07156781,0.025047543
2016-12-07,7.66,0.9967925,0.9907672,0.04048307,0.08029105,0.050591204
2016-12-08,7.55,0.996141,0.9868124,0.09861035,0.10143592,0.05435005
2016-12-09,7.4,0.99685764,0.9916745,0.16699009,0.1891451,0.13641673
2016-12-12,6.78,0.9993229,0.9589155,0.8001108,0.9010088,0.9601907
2016-12-13,6.89,0.9990964,0.97828966,0.8185229,0.8562329,0.94986945
2016-12-14,7.09,0.9988225,0.97443515,0.1223065,0.27043456,0.9348224
2016-12-15,6.99,0.999025,0.99246794,0.122865595,0.8236843,0.93004066
2016-12-16,7.09,0.99912685,0.9943223,0.09475123,0.21958552,0.89178264
2016-12-19,7.3,0.9976388,0.9934829,0.13077527,0.17251305,0.17422788
2016-12-20,7.14,0.9989052,0.9925604,0.107896514,0.9246436,0.10135324
2016-12-21,7.09,0.998928,0.99685764,0.12519458,0.85805374,0.21388227
2016-12-22,6.94,0.99901676,0.9970145,0.7157287,0.96545345,0.924832
2016-12-23,6.94,0.9992817,0.997552,0.23429798,0.9535034,0.94587374
2016-12-26,6.99,0.9986712,0.99618477,0.3363115,0.9603052,0.9489879
2016-12-27,7.04,0.9988643,0.9923596,0.7812583,0.9490286,0.92773104
2016-12-28,6.99,0.9985611,0.9958865,0.87255555,0.97253597,0.9682101
2016-12-29,7.04,0.99880886,0.9938964,0.8568728,0.9087037,0.97668695
2016-12-30,6.94,0.9987903,0.996496,0.8980182,0.97820026,0.9806683
2017-01-03,6.99,0.99851245,0.9972071,0.88083947,0.95926464,0.97435975
2017-01-04,7.19,0.9986638,0.99385226,0.8195054,0.20389393,0.97292525
2017-01-05,7.35,0.9971866,0.99223185,0.12225665,0.045119196,0.98104686
2017-01-06,7.19,0.9979766,0.9918709,0.7398844,0.08680373,0.97894627
2017-01-09,7.25,0.99773407,0.98923266,0.10232511,0.03604247,0.9810388
2017-01-10,7.4,0.9975914,0.9937125,0.041541867,0.032613534,0.9793073
2017-01-11,7.5,0.99677026,0.98639154,0.03242246,0.038933013,0.9691293
2017-01-12,7.35,0.9975673,0.9932447,0.04863231,0.04333782,0.97726554
2017-01-13,7.25,0.9980261,0.9974293,0.090657964,0.21763116,0.97833246
2017-01-16,7.14,0.99812406,0.99789643,0.13775069,0.9155737,0.9663173
2017-01-17,7.09,0.997957,0.9982999,0.24326959,0.9751232,0.975066
2017-01-18,7.04,0.9981906,0.99858814,0.90345454,0.98197985,0.9855322
2017-01-19,6.99,0.9981945,0.99776804,0.90837866,0.9838201,0.98387736
2017-01-20,7.14,0.99803764,0.9975228,0.28398946,0.9489104,0.9690049
2017-01-23,7.09,0.99774384,0.9971584,0.90837884,0.9513306,0.9763351
2017-01-24,7.09,0.9983955,0.9962282,0.95983845,0.96799225,0.9854826
2017-01-25,7.19,0.99875116,0.9977639,0.95574313,0.9625348,0.9841249
2017-02-02,7.25,0.9987338,0.994333,0.97441894,0.9702535,0.99027187
2017-02-03,7.14,0.9985784,0.99711883,0.9698942,0.9789367,0.9928317
2017-02-06,7.3,0.99845195,0.99649847,0.97754914,0.95717436,0.98572713
