date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-10-05,11.08,0.9996014,0.0079943035,0.20061699,0.06776059,0.87142426
2016-10-06,10.89,0.99956745,0.0122060105,0.8056557,0.704432,0.1301895
2016-10-07,11.08,0.9995702,0.009443928,0.67621714,0.106199116,0.098351344
2016-10-10,11.02,0.99960536,0.007764833,0.26428142,0.09031121,0.8004743
2016-10-11,10.89,0.99955016,0.013911201,0.7171138,0.22114462,0.75778687
2016-10-12,11.02,0.9996171,0.010439612,0.0954599,0.098129116,0.020675903
2016-10-13,11.21,0.99952316,0.008258493,0.08004711,0.09399846,0.019492686
2016-10-14,11.15,0.99949217,0.006651146,0.07651052,0.7325085,0.014367061
2016-10-17,10.95,0.99932814,0.010245889,0.069276884,0.76612735,0.026374575
2016-10-18,11.02,0.9994105,0.010166183,0.047156915,0.7808545,0.00976027
2016-10-19,10.95,0.99948335,0.009939543,0.048222754,0.8943975,0.008755464
2016-10-20,11.02,0.99940383,0.0060545113,0.050607756,0.2787815,0.008146503
2016-10-21,10.89,0.9996214,0.010847753,0.8781741,0.9649999,0.02325577
2016-10-24,10.95,0.99959856,0.007184426,0.78044796,0.899564,0.01378185
2016-10-25,10.82,0.9995271,0.009430319,0.8489596,0.88590425,0.032410175
2016-10-26,10.89,0.99947315,0.0068209725,0.76562864,0.1392343,0.018204963
2016-10-27,10.95,0.9995326,0.008431403,0.19242136,0.72383875,0.019583143
2016-10-28,11.54,0.9992718,0.0060278457,0.10399937,0.06973189,0.018522047
2016-10-31,11.99,0.9993345,0.006166525,0.073049754,0.037786197,0.016785042
2016-11-01,11.86,0.99935323,0.003921568,0.064920925,0.06536232,0.024882214
2016-11-02,11.34,0.99965763,0.0082742935,0.1674583,0.09252044,0.03452114
2016-11-03,10.82,0.9996449,0.01295753,0.8156839,0.080027536,0.033148643
2016-11-04,11.02,0.9996252,0.008209049,0.12731998,0.044561263,0.027448546
2016-11-07,11.08,0.99946135,0.005372436,0.080811836,0.026282005,0.014761213
2016-11-08,11.02,0.9994949,0.0060900906,0.07733363,0.031455588,0.016227204
2016-11-09,10.82,0.9993636,0.005932011,0.6635848,0.07371889,0.021413896
2016-11-10,11.08,0.9994993,0.008633331,0.08834776,0.029766332,0.009361571
2016-11-11,11.02,0.9995733,0.0065101176,0.06879074,0.05082938,0.014004601
2016-11-14,10.76,0.9996044,0.006249128,0.085930094,0.04565612,0.015325763
2016-11-15,10.82,0.9994764,0.0056548463,0.06590927,0.05375285,0.01897467
2016-11-16,10.95,0.99933076,0.009904122,0.055001967,0.041640352,0.013947018
2016-11-17,10.82,0.9994894,0.0058561284,0.05501581,0.04235637,0.014975646
2016-11-18,10.82,0.9994885,0.0054136612,0.040225774,0.050294623,0.009561287
2016-11-21,10.76,0.99943453,0.0045323027,0.049147975,0.037581626,0.012493512
2016-11-22,10.69,0.99940455,0.008802996,0.031992976,0.060682803,0.014111332
2016-11-23,10.43,0.9993297,0.00859615,0.066106364,0.07007251,0.014499572
2016-11-24,10.36,0.99931955,0.0056987777,0.05278941,0.06985512,0.0140881315
2016-11-25,10.5,0.99945956,0.005165214,0.036887325,0.036241166,0.011921929
2016-11-28,10.36,0.99927086,0.0049334844,0.054299634,0.034745067,0.0121283885
2016-11-29,10.36,0.9993285,0.003911051,0.046237495,0.067127444,0.0090372
2016-11-30,10.3,0.99921286,0.006968981,0.09409514,0.80724895,0.01014345
2016-12-01,10.17,0.9989874,0.0093568275,0.79532766,0.9200749,0.008835342
2016-12-02,10.1,0.9992637,0.014012637,0.908906,0.93676126,0.016416533
2016-12-05,9.97,0.9989109,0.017546657,0.9390701,0.93241733,0.01672733
2016-12-06,9.91,0.99885,0.028473787,0.9793707,0.93312263,0.040635698
2016-12-07,10.04,0.99896944,0.012514573,0.91162586,0.78415847,0.02115551
2016-12-08,10.23,0.99869424,0.0082088895,0.91884404,0.10417893,0.008786165
2016-12-09,10.23,0.99838614,0.0070230924,0.936685,0.08285516,0.011834358
2016-12-12,10.23,0.9984896,0.008033146,0.9247854,0.1288769,0.012713164
2016-12-13,10.36,0.99817324,0.0066641313,0.8487663,0.06286747,0.010834207
2016-12-14,10.43,0.9980964,0.006644558,0.25321335,0.048260827,0.010970871
2016-12-15,10.43,0.9981744,0.004556185,0.14263195,0.06295425,0.012040873
2016-12-22,10.43,0.9989801,0.023350487,0.05608069,0.039709393,0.022112336
2016-12-23,10.43,0.9989115,0.0149883265,0.04217277,0.033541624,0.024595305
2016-12-26,10.56,0.9987035,0.013488521,0.03463804,0.0307119,0.011538435
2016-12-27,10.3,0.99887246,0.035972062,0.045135118,0.019618236,0.033128116
2016-12-28,10.1,0.99900997,0.108314045,0.06422095,0.030307038,0.74342203
2016-12-29,10.04,0.998949,0.8942855,0.021543529,0.023802323,0.18863519
2016-12-30,9.97,0.998801,0.9649322,0.020924758,0.045677334,0.9233501
2017-01-03,9.97,0.9987117,0.97555035,0.022028346,0.037082467,0.96834767
2017-01-04,9.97,0.9988564,0.9896741,0.030452406,0.05382812,0.97666943
2017-01-05,9.91,0.99842656,0.99178994,0.038968917,0.08378434,0.97557527
2017-01-06,9.97,0.99849796,0.98453146,0.036511432,0.051668406,0.95904005
2017-01-09,9.97,0.9989279,0.9852437,0.043072104,0.0650477,0.9628608
2017-01-10,9.78,0.9990388,0.99420255,0.042280506,0.9221235,0.9837833
2017-01-11,9.78,0.9988463,0.99542433,0.05726354,0.93726814,0.98219854
2017-01-12,9.71,0.99908805,0.9941771,0.14415406,0.97218543,0.9878187
2017-01-13,9.71,0.999138,0.99264455,0.82100004,0.9816118,0.9859298
2017-01-16,9.52,0.999005,0.9937973,0.8520822,0.9754312,0.9891951
