date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2017-10-27,2.71,0.998223,0.9997315,0.006247624,0.9912676,0.9952952
2017-10-30,2.76,0.9988996,0.99984,0.0037645285,0.008999507,0.99369335
2017-10-31,2.73,0.99703526,0.9999217,0.99247074,0.9959001,0.9969989
2017-11-01,2.77,0.9989281,0.9998323,0.0024337568,0.0140480185,0.99439913
2017-11-02,2.68,0.9970482,0.99965596,0.99781334,0.99852127,0.9997147
2017-11-03,2.68,0.99896705,0.9999156,0.9914248,0.9996817,0.9989636
2017-11-06,2.73,0.9991873,0.9997459,0.006347286,0.9948382,0.9993426
2017-11-07,2.78,0.9986712,0.99975127,0.002461247,0.98507375,0.99533266
2017-11-08,2.77,0.9986297,0.99976534,0.0041571357,0.998334,0.9977137
2017-11-09,2.73,0.99978775,0.9997398,0.9985297,0.9993755,0.9990544
2017-11-10,2.73,0.99983096,0.9997811,0.9991041,0.99836534,0.99910897
2017-11-13,2.73,0.9995956,0.99991894,0.99878806,0.9957476,0.9995567
2017-11-14,2.77,0.99909437,0.99990785,0.99857855,0.9977069,0.99948466
2017-11-15,2.77,0.9996966,0.9998105,0.99631953,0.99675304,0.99971205
2017-11-16,2.75,0.9989184,0.9997868,0.99937785,0.9950767,0.9990552
2017-11-17,2.81,0.99925286,0.99970156,0.98953575,0.99283445,0.9964982
2017-11-20,2.87,0.99918693,0.99961877,0.98703206,0.010445525,0.9817215
2017-11-21,2.93,0.99890316,0.9994147,0.01224639,0.008362012,0.011417542
2017-11-22,3.16,0.999059,0.9992618,0.004371255,0.0036431854,0.007400432
2017-11-23,3.16,0.9997547,0.9990662,0.0036512217,0.0030977658,0.00945013
2017-11-24,3.15,0.99977523,0.99913377,0.0012299031,0.0013464412,0.008141557
2017-11-27,2.98,0.9987437,0.99919504,0.0046619843,0.004237432,0.0113125965
2017-11-28,2.92,0.9989478,0.99922967,0.008237033,0.012712907,0.99390817
2017-11-29,2.92,0.99976057,0.99921715,0.01456823,0.9911505,0.99838054
2017-11-30,2.84,0.99915385,0.9992392,0.9955894,0.9975533,0.99910444
2017-12-01,2.91,0.9993438,0.99906117,0.98430413,0.9911548,0.9996352
2017-12-04,2.87,0.9997507,0.9993236,0.99826294,0.99617,0.9999232
2017-12-05,2.91,0.99978167,0.9995314,0.0077592363,0.013689452,0.99926347
2017-12-06,2.89,0.999681,0.99917066,0.99696296,0.9956383,0.9999231
2017-12-07,2.92,0.99972016,0.9976451,0.98893344,0.9885033,0.9999162
