date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2016-09-23,16.29,0.028638745,0.016270177,0.6544554,0.01680312,0.010837719
2016-09-26,16.42,0.019425677,0.026363144,0.16167021,0.029390924,0.014794294
2016-09-27,16.88,0.015731335,0.0129748555,0.105488084,0.026113167,0.018202974
2016-09-28,16.4,0.011117729,0.010883457,0.106647745,0.025398491,0.017055705
2016-09-29,16.51,0.008331006,0.007842157,0.12528251,0.032605805,0.012589708
2016-09-30,16.35,0.020566558,0.018941866,0.104896635,0.06298638,0.025922855
2016-10-03,15.8,0.020957509,0.018149529,0.14089331,0.10398739,0.05364869
2016-10-04,16.16,0.03006597,0.006229148,0.090551585,0.063623145,0.04202989
2016-10-05,16.09,0.014333608,0.008539291,0.12403965,0.10060541,0.020791277
2016-10-06,15.69,0.040587828,0.035463613,0.77726054,0.87599134,0.102822736
2016-10-07,15.72,0.039476514,0.038578987,0.8651583,0.88593376,0.14089236
2016-10-10,15.47,0.9146901,0.066043995,0.94648015,0.9450039,0.9190166
2016-10-11,15.47,0.8937578,0.14917369,0.9521128,0.9492716,0.9138136
2016-10-12,15.5,0.07661553,0.85653,0.91812027,0.8786266,0.8904346
2016-10-13,15.8,0.024509883,0.88447505,0.70767415,0.15037629,0.10618284
2016-10-14,15.8,0.00999528,0.87797487,0.10373674,0.0555034,0.68149465
2016-10-17,15.8,0.010755478,0.13657576,0.08953837,0.07346615,0.08446083
2016-10-18,15.76,0.009943551,0.8084277,0.11666405,0.11518674,0.079993874
2016-10-19,16.09,0.013070354,0.030228103,0.059437606,0.04046954,0.03134648
2016-10-20,15.91,0.015928298,0.04005262,0.070716865,0.056194186,0.04977542
2016-10-21,15.8,0.0086324625,0.028039029,0.11260326,0.118600585,0.04432364
2016-10-24,15.8,0.007934938,0.05524073,0.095377006,0.078830026,0.046036836
2016-10-25,15.69,0.013174126,0.05869689,0.65424234,0.79922974,0.07364056
2016-10-26,15.6,0.026452927,0.071042,0.2596911,0.86014175,0.77535176
2016-10-27,15.72,0.018946512,0.059855577,0.14377935,0.28504595,0.051715784
2016-10-28,15.74,0.019364405,0.056629006,0.13689587,0.6994502,0.016335063
2016-10-31,15.61,0.04294316,0.047562834,0.85973173,0.9059925,0.052879658
2016-11-01,15.7,0.049115207,0.08401164,0.86787444,0.1635026,0.019149138
2016-11-02,15.54,0.09918581,0.88107485,0.9322961,0.87925816,0.034241747
2016-11-03,15.58,0.85280293,0.11700642,0.8808498,0.8814403,0.033667233
2016-11-04,15.58,0.25126866,0.14309458,0.90562254,0.8917205,0.020157017
2016-11-07,15.7,0.9641689,0.7372611,0.7958911,0.11896077,0.008814416
2016-11-08,15.72,0.9795101,0.175973,0.2731186,0.13659722,0.015123248
2016-11-09,15.61,0.97416806,0.89471024,0.8026044,0.84962463,0.015882457
2016-11-10,15.72,0.9809558,0.116383955,0.112352744,0.046011712,0.021379162
2016-11-11,16.16,0.9443551,0.084011175,0.19404978,0.066962264,0.011092908
2016-11-14,15.76,0.976392,0.14352365,0.05107421,0.08317205,0.010805016
2016-11-15,15.7,0.9818139,0.87839276,0.08023922,0.043979477,0.011047913
2016-11-16,15.69,0.9641105,0.98443246,0.092268795,0.062247895,0.010940047
2016-11-17,15.69,0.971227,0.9908997,0.07455239,0.04302549,0.03082239
2016-11-18,15.65,0.96837485,0.9887229,0.04896323,0.032498263,0.06626293
2016-11-21,15.65,0.9546126,0.9909061,0.067684285,0.052219883,0.62027705
2016-11-22,15.65,0.9594652,0.9755518,0.027930548,0.023295684,0.043889705
