date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2018-06-08,10.43,0.0032369662,0.009084097,0.015654262,0.73018324,0.013396245
2018-06-11,10.72,0.0074836793,0.015391407,0.010315094,0.06284281,0.010584197
2018-06-12,10.57,0.0058269855,0.019264065,0.038828444,0.06533313,0.023552347
2018-06-13,10.55,0.0077690776,0.016245423,0.03901407,0.06567946,0.03526566
2018-06-14,10.07,0.010147396,0.014993113,0.8661667,0.034053057,0.040130123
2018-06-15,9.97,0.0074496735,0.0067909034,0.8613868,0.036217403,0.05260176
2018-06-18,9.87,0.005932498,0.0071050683,0.81509745,0.022406591,0.04050014
2018-06-19,9.48,0.0059657353,0.0076725995,0.93745,0.06453758,0.7313399
2018-06-20,10.13,0.0053546643,0.004381049,0.12166885,0.022986215,0.0256853
2018-06-21,10.1,0.006884361,0.0042236783,0.09427539,0.018959837,0.013608803
2018-06-22,10.72,0.0061697434,0.0043436503,0.09029186,0.04286053,0.014656484
2018-06-25,10.61,0.006189877,0.004528752,0.042745452,0.025526991,0.009366702
2018-06-26,10.43,0.006266784,0.0059546945,0.07302798,0.017399844,0.045352705
2018-06-27,9.97,0.011400714,0.02596088,0.15795007,0.037439108,0.049750425
2018-06-28,9.61,0.008292578,0.015508613,0.08742112,0.030666057,0.029038258
2018-06-29,9.35,0.0076271994,0.029027537,0.13746695,0.07484172,0.050088458
2018-07-02,9.03,0.01029515,0.06934809,0.20670207,0.14041714,0.1407475
2018-07-03,8.41,0.014618919,0.8685438,0.8606232,0.8923599,0.94867444
2018-07-04,8.6,0.011244699,0.09422891,0.31165248,0.92293614,0.918627
2018-07-05,8.21,0.015528375,0.92575246,0.9070274,0.95291317,0.95572126
2018-07-06,8.78,0.0040454525,0.0700759,0.88582045,0.8997732,0.08203853
2018-07-09,8.83,0.003683684,0.035312634,0.89524597,0.8881385,0.06308982
2018-07-10,9.06,0.008050119,0.01748218,0.85095465,0.095433995,0.029354198
2018-07-11,8.44,0.00552014,0.7727888,0.94404924,0.82218945,0.8839938
2018-07-12,8.59,0.0051525296,0.036849078,0.9406448,0.14576443,0.7743765
2018-07-13,8.93,0.005107954,0.009426499,0.88771194,0.075095996,0.029105205
2018-07-16,8.99,0.0059695933,0.008546015,0.21392283,0.053860564,0.029823307
2018-07-17,9.6,0.009236556,0.006445143,0.0759392,0.0559589,0.01880152
2018-07-18,9.79,0.010017646,0.0076623354,0.022080136,0.026130076,0.025852736
2018-07-19,9.68,0.019114494,0.00929396,0.035177525,0.037387095,0.02178014
2018-07-20,9.61,0.023604399,0.008996285,0.07001828,0.024667792,0.014934896
2018-07-23,8.96,0.0054513114,0.0072642188,0.13496657,0.054598626,0.019855369
2018-07-24,8.73,0.0033376983,0.0059211026,0.8175915,0.12062561,0.03142659
2018-07-25,8.57,0.0035224007,0.007259932,0.9266231,0.7463583,0.01787627
2018-07-26,8.54,0.003256544,0.0070232684,0.9511951,0.88859326,0.02725817
2018-07-27,8.6,0.0034558314,0.0035208894,0.8854371,0.84790444,0.024706466
2018-07-30,8.89,0.003440464,0.002321037,0.10361618,0.14204867,0.006429321
2018-07-31,8.83,0.0059457175,0.0024892655,0.07713758,0.6702003,0.01195734
2018-08-01,8.73,0.0053947773,0.0063091908,0.21132852,0.07535115,0.014700207
2018-08-02,8.65,0.005215302,0.0033428671,0.84848124,0.07787942,0.022685375
2018-08-03,8.67,0.003926343,0.006250858,0.79253805,0.06906139,0.015631715
2018-08-06,8.52,0.0026661898,0.008453845,0.86057067,0.08392893,0.043892518
2018-08-07,8.52,0.0032098377,0.0052158167,0.8439454,0.06259268,0.03189655
2018-08-08,8.67,0.0034170628,0.0040931767,0.2332682,0.032330696,0.013512183
2018-08-09,8.76,0.004552033,0.00629736,0.04915029,0.03946944,0.008405705
2018-08-10,8.73,0.003355309,0.010248907,0.08240574,0.027803743,0.01501862
2018-08-13,8.85,0.006833284,0.00524264,0.0501772,0.020824855,0.01116362
2018-08-14,8.86,0.0077431435,0.006801141,0.03435149,0.013909362,0.02096177
2018-08-15,8.63,0.0036957965,0.020147324,0.065002866,0.019481253,0.029592188
2018-08-16,8.63,0.0036810876,0.008620527,0.06819227,0.028223833,0.03550024
2018-08-17,8.47,0.0043484806,0.017068671,0.11697849,0.049829252,0.03224553
