date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2018-09-26,21.94,0.018113693,0.028011577,0.8692821,0.84956104,0.92412156
2018-09-27,22.09,0.010916935,0.008270201,0.85489714,0.0628436,0.097068325
2018-09-28,22.17,0.015303136,0.019627353,0.79210114,0.070326805,0.058971938
2018-10-01,22.12,0.012369813,0.011587811,0.11270997,0.09287413,0.055566702
2018-10-02,22.12,0.016762951,0.0109329745,0.13588415,0.08246929,0.0621507
2018-10-03,22.2,0.010195991,0.00815368,0.08408494,0.045525566,0.07530666
2018-10-04,22.14,0.010703862,0.014623021,0.06259964,0.7300204,0.8877962
2018-10-05,22.25,0.0068534715,0.00880377,0.08148024,0.022931278,0.8413102
2018-10-08,21.94,0.028377527,0.7307532,0.8937664,0.89901334,0.98676294
2018-10-09,21.99,0.039630372,0.029777674,0.90066874,0.8055885,0.97292536
2018-10-10,22.07,0.47572675,0.03069515,0.9054696,0.081569985,0.94554013
2018-10-11,21.99,0.031919375,0.03400652,0.8738529,0.10900353,0.98167324
2018-10-12,21.96,0.016235435,0.011381892,0.24908192,0.15334585,0.9780451
2018-10-15,22.01,0.008075131,0.0056638545,0.050491292,0.11977786,0.9877994
2018-10-16,22.12,0.01056821,0.0048399633,0.07735309,0.018578371,0.9651286
2018-10-17,22.12,0.007856915,0.011433253,0.086560085,0.039972704,0.9781285
2018-10-18,22.22,0.0070708185,0.0065311817,0.040405642,0.03373451,0.9492625
2018-10-19,21.94,0.012400235,0.024456145,0.124337904,0.9616389,0.9895303
2018-10-22,21.99,0.013124618,0.011782595,0.17768258,0.9623541,0.9865116
2018-10-23,22.04,0.016638055,0.006121766,0.123504914,0.92365295,0.9859342
2018-10-24,21.96,0.008207457,0.010550201,0.84926385,0.93674284,0.9825058
2018-10-25,21.96,0.00995929,0.0113063,0.85704,0.9409984,0.9723008
2018-10-26,21.83,0.051496517,0.010867207,0.9218757,0.9595421,0.9855219
2018-10-29,21.91,0.016543956,0.013528228,0.89407057,0.95527184,0.98212105
2018-10-30,22.04,0.006806158,0.0067803203,0.89291596,0.9320065,0.97637755
2018-10-31,22.04,0.0057735937,0.008009129,0.91272074,0.936054,0.9708028
2018-11-01,22.2,0.010391177,0.0052235983,0.868934,0.9060476,0.88172656
2018-11-02,22.4,0.0074099936,0.002316132,0.7429243,0.809901,0.020067943
2018-11-05,22.61,0.0062227044,0.0023057405,0.09175602,0.071429476,0.011109391
2018-11-06,22.46,0.004522067,0.0036594537,0.05734657,0.8177736,0.025647746
2018-11-07,22.56,0.0046285866,0.0024137294,0.7930049,0.119069986,0.023695532
2018-11-08,22.61,0.0061513972,0.004353293,0.0819247,0.04645274,0.008177005
2018-11-09,22.64,0.004933107,0.003218024,0.079159945,0.032280218,0.0037067474
2018-11-12,22.4,0.010728779,0.0044995993,0.8384615,0.89052534,0.014315739
2018-11-13,22.35,0.011740356,0.005546186,0.8795059,0.825255,0.012973866
2018-11-14,22.59,0.006338615,0.0018204256,0.19382088,0.037957966,0.0071987007
2018-11-15,22.4,0.0041349577,0.005206307,0.11298312,0.059003316,0.025527662
2018-11-16,22.51,0.0051556057,0.0022757482,0.15994254,0.014048541,0.011508458
2018-11-19,22.56,0.0044437954,0.0029959565,0.09591956,0.015586742,0.007405373
2018-11-20,22.51,0.010961742,0.0062709814,0.71334934,0.010465397,0.017693542
