date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2018-08-30,31.66,0.9977884,0.014351963,0.063246086,0.05389372,0.97187245
2018-08-31,31.19,0.9981963,0.048640814,0.13045044,0.04436098,0.9898733
2018-09-04,30.04,0.9968515,0.10400378,0.9071833,0.13927944,0.994873
2018-09-05,29.17,0.99867696,0.9158399,0.95990294,0.9243606,0.9907823
2018-09-06,28.97,0.99895096,0.95097864,0.9379125,0.9254295,0.98840535
2018-09-07,29.84,0.99853206,0.1399221,0.84061843,0.96386856,0.9633584
2018-09-10,29.92,0.9994035,0.9630801,0.115530595,0.981222,0.9686356
2018-09-11,30.35,0.99915755,0.96297777,0.056135267,0.9776625,0.96021247
2018-09-12,30.04,0.99956065,0.9839803,0.15816773,0.98115647,0.9442378
2018-09-13,29.88,0.99865013,0.9766585,0.061655656,0.97512335,0.24357297
2018-09-14,30.0,0.99848086,0.98596364,0.16608143,0.98428404,0.9165973
2018-09-17,29.48,0.9986584,0.97589463,0.8878443,0.96338516,0.18759349
2018-09-18,29.32,0.9985257,0.9754959,0.9293258,0.9610014,0.9366216
2018-09-19,29.32,0.99890864,0.96828806,0.9647526,0.97750574,0.8967444
2018-09-20,29.76,0.9984876,0.9552336,0.914988,0.9738559,0.037395213
2018-09-21,30.0,0.9986847,0.9470497,0.9414412,0.92729187,0.04229725
2018-09-24,31.31,0.9951761,0.032555953,0.9151461,0.054849472,0.0070441733
2018-09-25,31.58,0.9987739,0.03637574,0.8473071,0.028562538,0.04177554
2018-09-26,32.3,0.99729013,0.017334687,0.87060326,0.03294539,0.010304001
2018-09-27,32.49,0.9984906,0.011734466,0.7805538,0.009595598,0.0027046571
2018-09-28,33.21,0.9928536,0.0064454605,0.065860406,0.010656944,0.0021758843
2018-10-01,32.3,0.99686384,0.0051659225,0.07487447,0.011886364,0.006343287
2018-10-02,32.1,0.9964142,0.0066691083,0.070760846,0.023690768,0.008492571
2018-10-03,32.89,0.99022675,0.0068782116,0.029264247,0.0090876985,0.008974862
2018-10-04,33.05,0.9927449,0.0042936434,0.035907734,0.0056572924,0.010624411
2018-10-05,32.49,0.99161935,0.008457167,0.06677334,0.01192989,0.0155136585
2018-10-08,31.15,0.99547935,0.008978803,0.07523938,0.030511819,0.022228345
2018-10-09,31.15,0.9968201,0.007520067,0.07158019,0.03599362,0.0071738283
2018-10-10,31.7,0.99681395,0.015278558,0.079538666,0.033180185,0.01934993
2018-10-11,29.64,0.9993243,0.022754665,0.055884305,0.021099644,0.9032004
2018-10-12,30.16,0.9985404,0.0131533,0.065311275,0.010177701,0.045866378
2018-10-15,29.17,0.999383,0.045341227,0.8044199,0.02959275,0.93939686
2018-10-16,29.48,0.9967933,0.041485853,0.088509515,0.024827572,0.11913949
2018-10-17,29.8,0.998059,0.032981765,0.048138455,0.04181213,0.100892924
2018-10-18,29.44,0.99879396,0.9166963,0.09203537,0.02940357,0.83346146
2018-10-19,29.36,0.9981725,0.9632636,0.07508142,0.09035847,0.13068181
2018-10-22,29.72,0.9989071,0.9453122,0.05615562,0.8678459,0.093790144
2018-10-23,29.32,0.9992255,0.087291464,0.11984233,0.9328102,0.9600253
