date,close,proba_fwd_positive_t180,proba_fwd_positive_t60,proba_fwd_positive_t5,proba_fwd_positive_t10,proba_fwd_positive_t20
2019-09-16,42.68,0.9921433,0.0154839,0.007091283,0.01628166,0.001473
2019-09-17,42.39,0.99084353,0.021446262,0.019820577,0.8415597,0.002590399
2019-09-18,42.41,0.9898094,0.00963256,0.013660934,0.050161347,0.0023060609
2019-09-19,41.97,0.99538714,0.009103588,0.04202392,0.8774246,0.005193158
2019-09-20,41.88,0.9904103,0.0030401163,0.057357233,0.1116001,0.005257303
2019-09-23,41.84,0.9897988,0.002936508,0.71162003,0.09336769,0.0064941524
2019-09-24,41.55,0.9966853,0.0031772358,0.86842996,0.78076303,0.009321257
2019-09-25,41.88,0.9975299,0.0020494792,0.08767815,0.06147554,0.0064945766
2019-09-26,41.72,0.9959902,0.003594996,0.7576368,0.078375235,0.0046708495
2019-09-27,41.88,0.9966678,0.0036688645,0.053616803,0.007887491,0.0027950795
2019-09-30,42.04,0.9951244,0.0061989683,0.020047853,0.0045662005,0.006345939
2019-10-01,42.58,0.9904882,0.00649964,0.009509065,0.0061113415,0.0041403547
2019-10-02,41.88,0.9952792,0.0045779347,0.018797934,0.0047541684,0.008263845
2019-10-03,42.2,0.99602413,0.0022620857,0.008723833,0.0047308924,0.0033251243
2019-10-04,41.78,0.9916747,0.0033476506,0.01633799,0.012632858,0.0055204253
2019-10-07,41.84,0.9877715,0.0046000453,0.015458529,0.012058954,0.004641881
2019-10-08,41.72,0.9974427,0.0044537066,0.019040463,0.025020355,0.00573831
2019-10-09,41.72,0.9949426,0.0034814714,0.016911551,0.0075429846,0.0040756403
2019-10-10,41.72,0.99591464,0.0026594514,0.011218935,0.008142146,0.0126615865
2019-10-11,41.46,0.996252,0.006152178,0.018175831,0.027356803,0.064674415
2019-10-14,41.3,0.99697626,0.010263089,0.02929294,0.018678127,0.856373
2019-10-15,41.55,0.9963594,0.004635908,0.0282098,0.011992726,0.02612034
2019-10-16,41.72,0.996503,0.004825397,0.010360698,0.008890977,0.013424344
2019-10-17,41.07,0.99746037,0.007540244,0.018372081,0.022056319,0.15895428
2019-10-18,41.14,0.9971355,0.003726473,0.021662213,0.036887392,0.87854576
2019-10-21,40.75,0.9973423,0.00794234,0.034936134,0.9062406,0.9619526
2019-10-22,40.66,0.99446625,0.014925449,0.041259885,0.97273964,0.97864693
2019-10-23,40.75,0.9930767,0.0194795,0.05993433,0.9632448,0.9627534
2019-10-24,40.43,0.99216676,0.029550575,0.08714156,0.97880447,0.970486
2019-10-25,39.98,0.997382,0.030132623,0.07909387,0.9837781,0.98017335
2019-10-28,39.63,0.9973611,0.013737726,0.95021755,0.9813876,0.97314644
2019-10-29,39.15,0.9962436,0.025305154,0.9293919,0.96384984,0.9722763
2019-10-30,39.44,0.9954841,0.023061702,0.88783324,0.9314095,0.8967391
2019-10-31,39.95,0.9921949,0.0115051605,0.9334574,0.95282096,0.022281133
2019-11-01,39.79,0.9894651,0.012126303,0.9340144,0.9522903,0.013981811
2019-11-04,40.82,0.982799,0.012118674,0.93981844,0.956498,0.012371753
2019-11-05,41.23,0.10592948,0.009586001,0.8881486,0.9330948,0.008820868
2019-11-06,41.01,0.87346756,0.021049533,0.9197583,0.9038036,0.00916352
2019-11-07,41.2,0.04409253,0.038002647,0.13087833,0.043461643,0.0039524343
2019-11-08,40.94,0.057174552,0.03151895,0.76434326,0.017368445,0.004006094
2019-11-11,41.46,0.018762365,0.045792103,0.02004584,0.01667535,0.0027262892
2019-11-12,41.36,0.8005882,0.9132749,0.029862287,0.01864056,0.0029160867
2019-11-13,41.33,0.034315452,0.8061577,0.07266539,0.025342228,0.0060410826
2019-11-14,40.75,0.04599384,0.83565366,0.04951212,0.0112331575,0.009039984
2019-11-15,41.33,0.02158798,0.07001462,0.03938092,0.024698555,0.0043506217
2019-11-18,41.33,0.0196266,0.07254233,0.04136144,0.012254648,0.0066308593
2019-11-19,41.33,0.05136342,0.8560314,0.035520382,0.020087345,0.0068927677
2019-11-20,41.07,0.06566781,0.032523032,0.031374414,0.0067609013,0.006114757
2019-11-21,40.75,0.8757645,0.019999947,0.030260302,0.008808461,0.0079157045
2019-11-22,40.27,0.9789762,0.04215803,0.027057745,0.018307459,0.0063750353
2019-11-25,40.14,0.9637193,0.021567555,0.022192856,0.015608302,0.008209872
2019-11-26,40.08,0.9506278,0.020859173,0.058556728,0.044865966,0.0066025006
2019-11-27,39.89,0.9957195,0.014788305,0.040273804,0.022190673,0.013535918
2019-11-28,39.15,0.997512,0.017419104,0.026075514,0.010867238,0.017945684
2019-11-29,38.54,0.9948553,0.021952186,0.03252073,0.007619385,0.019221466
2019-12-02,38.18,0.9975303,0.0491662,0.031307094,0.021638399,0.021016533
2019-12-03,38.51,0.99677795,0.03505215,0.009956714,0.01405257,0.00983695
2019-12-04,38.02,0.99558014,0.7987165,0.018727826,0.00948222,0.015291112
2019-12-05,38.18,0.99872524,0.81439996,0.020270836,0.01160744,0.0078119263
2019-12-06,38.47,0.99809784,0.035007183,0.010019699,0.006541378,0.003905654
2019-12-09,37.83,0.9986498,0.053260554,0.021763902,0.01712448,0.009891225
2019-12-10,37.83,0.9981896,0.017535629,0.053526074,0.039864082,0.012541678
2019-12-11,37.54,0.99889815,0.011595334,0.073157944,0.049212996,0.011695804
2019-12-12,36.9,0.99870074,0.022563748,0.8090538,0.058007535,0.08921688
2019-12-13,36.61,0.99844223,0.012803507,0.9143077,0.10044639,0.90510577
