date,open,high,low,close,volume
2015-11-26,10.99,11.04,10.74,10.84,2465300
2015-11-27,10.89,10.89,10.64,10.69,1031890
2015-11-30,10.54,10.54,10.09,10.24,1245420
2015-12-01,10.19,10.44,10.14,10.39,798460
2015-12-02,10.44,10.89,10.44,10.64,1343120
2015-12-03,10.74,10.74,10.64,10.69,903160
2015-12-04,10.59,10.64,10.44,10.44,580460
2015-12-07,10.29,10.44,10.24,10.29,615120
2015-12-08,10.19,10.54,10.14,10.54,859320
2015-12-09,10.64,10.64,10.34,10.34,317220
2015-12-10,10.19,10.34,10.14,10.19,685510
2015-12-11,10.14,10.24,10.09,10.09,938690
2015-12-14,10.04,10.24,9.99,10.04,479600
2015-12-15,10.04,10.19,9.94,10.04,1710810
2015-12-16,10.04,10.44,10.04,10.34,6453910
2015-12-17,10.64,10.94,10.64,10.79,1962310
2015-12-18,10.59,10.79,10.59,10.69,1297640
2015-12-21,10.49,10.54,10.34,10.39,2292130
2015-12-22,10.39,10.69,10.34,10.49,1438220
2015-12-23,10.49,10.64,10.39,10.39,660920
2015-12-24,10.49,10.49,10.29,10.29,625710
2015-12-25,10.29,10.44,10.24,10.24,1179440
2015-12-28,10.24,10.29,10.04,10.14,1567150
2015-12-29,10.19,10.39,10.09,10.39,979430
2015-12-30,10.39,10.59,10.39,10.44,1242400
2015-12-31,10.39,10.49,10.29,10.34,1000490
2016-01-04,10.34,10.44,10.14,10.14,1019270
2016-01-05,10.09,10.24,10.04,10.09,1104280
2016-01-06,10.04,10.19,10.04,10.14,895200
2016-01-07,10.09,10.14,9.54,9.69,2583350
2016-01-08,9.69,9.69,9.19,9.44,1217770
2016-01-11,9.54,9.69,9.49,9.54,902550
2016-01-12,9.54,9.69,9.54,9.69,615630
2016-01-13,9.74,9.79,9.49,9.54,528540
2016-01-14,9.44,9.49,9.24,9.29,1115000
2016-01-15,9.29,9.44,8.93,8.93,1334000
2016-01-18,8.73,8.73,8.33,8.33,3664530
2016-01-19,8.33,8.63,8.33,8.58,1606710
2016-01-20,8.58,8.58,8.43,8.48,760120
2016-01-21,8.43,8.48,7.93,7.93,2699730
2016-01-22,7.93,7.98,7.38,7.53,5376560
2016-01-25,7.83,8.03,7.78,8.03,1964520
2016-01-26,8.08,8.43,7.78,8.28,2678070
2016-01-27,8.28,8.68,8.23,8.63,2314620
2016-01-28,8.73,8.78,8.28,8.28,1853090
2016-01-29,8.28,8.48,8.23,8.43,1764470
2016-02-01,8.28,8.48,8.18,8.18,1626710
2016-02-02,8.13,8.43,8.03,8.13,824540
2016-02-03,8.08,8.23,8.03,8.23,718690
2016-02-04,8.28,8.33,8.13,8.13,1099370
2016-02-05,8.13,8.23,8.08,8.23,490750
2016-02-15,8.18,8.28,8.08,8.23,452890
2016-02-16,8.28,8.28,8.13,8.18,781240
2016-02-17,8.18,8.18,8.03,8.03,1511740
2016-02-18,8.13,8.23,8.08,8.08,1277910
2016-02-19,8.13,8.38,8.08,8.28,1647780
2016-02-22,8.38,8.63,8.33,8.63,2247920
2016-02-23,8.73,8.73,8.48,8.53,1871900
2016-02-24,8.48,9.09,8.43,9.09,5780650
2016-02-25,9.34,9.54,9.09,9.19,3264500
2016-02-26,9.29,9.39,9.14,9.24,1813600
2016-02-29,9.14,9.19,8.88,8.88,2484180
2016-03-01,8.98,9.09,8.88,8.88,1866330
2016-03-02,9.03,9.19,8.98,9.19,1811300
2016-03-03,9.19,9.24,9.03,9.14,1274450
2016-03-04,9.14,9.19,9.09,9.09,1180200
2016-03-07,9.14,9.14,8.98,8.98,1713710
2016-03-08,8.98,9.03,8.88,8.93,1485440
2016-03-09,8.93,8.98,8.68,8.73,1236990
2016-03-10,8.83,8.88,8.73,8.88,951910
2016-03-11,8.98,9.03,8.88,8.88,1299460
2016-03-14,8.88,8.98,8.83,8.88,968310
2016-03-15,8.88,8.88,8.73,8.78,1208710
2016-03-16,8.78,8.93,8.73,8.88,1398670
2016-03-17,8.93,8.98,8.88,8.88,970590
2016-03-18,8.88,8.88,8.68,8.83,954300
2016-03-21,8.88,8.98,8.83,8.83,1464080
2016-03-22,8.83,8.83,8.68,8.68,1313850
2016-03-23,8.73,8.83,8.68,8.83,994300
2016-03-24,8.78,8.78,8.63,8.63,943010
2016-03-25,8.63,8.68,8.48,8.68,1473220
2016-03-28,8.73,8.73,8.58,8.63,580320
2016-03-29,8.53,8.63,8.48,8.48,697840
2016-03-30,8.48,8.53,8.38,8.48,824140
2016-03-31,8.58,8.63,8.38,8.38,769430
