date,open,high,low,close,volume
2015-11-26,32.91,32.91,31.91,31.91,59000
2015-11-27,31.91,32.41,31.41,31.66,100480
2015-11-30,31.41,31.41,30.41,30.66,92220
2015-12-01,31.16,31.16,30.91,30.91,42540
2015-12-02,30.91,31.66,30.91,31.66,56080
2015-12-03,31.41,31.91,31.41,31.91,52910
2015-12-04,31.66,31.91,31.41,31.66,34720
2015-12-07,31.66,32.41,31.66,31.66,41560
2015-12-08,31.66,32.66,31.41,32.66,125150
2015-12-09,32.66,33.9,32.66,32.66,141160
2015-12-10,32.91,32.91,32.16,32.16,59840
2015-12-11,32.16,32.91,32.16,32.66,78630
2015-12-14,32.66,32.66,32.41,32.41,32500
2015-12-15,32.66,33.41,32.66,33.41,185410
2015-12-16,33.41,33.66,33.16,33.41,63830
2015-12-17,33.41,33.9,33.41,33.9,103260
2015-12-18,33.9,34.4,33.9,33.9,98370
2015-12-21,33.9,33.9,33.16,33.41,142870
2015-12-22,33.66,33.66,32.91,32.91,153550
2015-12-23,32.91,33.16,32.15,32.41,168630
2015-12-24,32.41,32.66,32.15,32.15,52510
2015-12-25,32.15,32.41,31.9,32.41,49360
2015-12-28,32.41,33.16,32.15,33.16,59340
2015-12-29,33.16,33.41,32.66,33.41,35310
2015-12-30,33.16,33.16,32.66,32.91,42200
2015-12-31,32.66,32.91,32.41,32.91,21100
2016-01-04,32.66,32.66,32.15,32.15,72050
2016-01-05,31.9,32.15,31.65,31.65,88470
2016-01-06,31.65,32.15,31.65,32.15,39150
2016-01-07,31.9,31.9,31.4,31.4,130490
2016-01-08,31.15,31.65,30.65,31.4,82000
2016-01-11,31.4,31.4,30.65,30.65,41180
2016-01-12,30.14,31.15,30.14,31.15,77280
2016-01-13,31.15,32.15,31.15,31.9,265810
2016-01-14,31.9,31.9,31.15,31.4,116390
2016-01-15,31.4,31.4,30.9,30.9,92760
2016-01-18,30.4,30.4,29.39,30.14,221660
2016-01-19,30.14,30.4,29.89,30.4,60320
2016-01-20,30.4,30.4,29.89,30.14,57990
2016-01-21,29.89,29.89,29.64,29.64,49490
2016-01-22,29.89,29.89,28.13,29.64,149610
2016-01-25,29.64,30.4,29.64,30.14,144520
2016-01-26,29.64,29.64,29.14,29.14,55610
2016-01-27,29.39,29.64,28.89,29.39,80570
2016-01-28,29.39,29.89,29.39,29.64,74790
2016-01-29,29.64,30.4,29.64,30.4,82890
2016-02-01,29.89,30.65,29.64,29.89,55690
2016-02-02,29.64,29.89,29.64,29.64,65080
2016-02-03,29.14,30.65,29.14,30.65,122700
2016-02-04,30.65,30.65,30.4,30.65,23610
2016-02-05,30.4,30.65,30.4,30.65,34160
2016-02-15,30.65,30.9,30.14,30.4,56010
2016-02-16,30.4,31.4,30.4,31.4,141250
2016-02-17,32.15,32.41,31.65,32.15,164540
2016-02-18,32.41,32.41,32.15,32.41,61130
2016-02-19,32.15,32.15,31.9,32.15,57870
2016-02-22,32.15,32.91,32.15,32.91,123460
2016-02-23,33.41,33.41,32.66,32.66,96320
2016-02-24,32.66,32.66,32.41,32.41,23500
2016-02-25,32.66,32.91,32.41,32.66,80230
2016-02-26,32.66,32.66,32.41,32.66,15890
2016-02-29,32.66,32.66,32.41,32.66,30060
2016-03-01,32.41,33.91,32.41,33.91,208290
2016-03-02,33.91,34.92,33.91,34.67,119930
2016-03-03,34.67,34.67,34.16,34.67,43040
2016-03-04,34.67,35.17,34.16,34.92,89690
2016-03-07,34.92,34.92,33.91,33.91,94460
2016-03-08,33.66,34.16,33.66,33.91,51760
2016-03-09,33.91,33.91,33.66,33.66,36810
2016-03-10,33.41,34.16,33.16,33.91,39950
2016-03-11,34.16,34.67,33.91,33.91,192580
2016-03-14,34.16,34.41,33.91,34.16,29200
2016-03-15,34.16,34.41,33.91,33.91,59920
2016-03-16,33.91,34.16,33.91,34.16,25820
2016-03-17,34.41,34.41,34.16,34.41,58520
2016-03-18,34.67,35.92,34.41,35.92,317830
2016-03-21,36.17,36.68,36.17,36.17,385900
2016-03-22,35.92,35.92,34.67,35.42,106970
2016-03-23,34.92,35.92,34.92,35.67,64630
2016-03-24,35.67,37.93,35.67,37.68,362880
2016-03-25,37.68,37.93,36.68,37.93,65250
2016-03-28,37.43,38.69,37.43,38.43,181750
2016-03-29,38.94,38.94,37.68,38.18,95460
2016-03-30,38.18,38.43,37.68,38.18,52350
2016-03-31,38.18,38.18,36.42,36.42,147810
2016-04-01,35.92,36.42,35.67,36.42,112760
2016-04-04,36.42,37.18,36.17,36.17,55080
2016-04-05,36.17,37.18,36.17,37.18,59670
2016-04-06,37.43,38.43,37.43,37.68,159910
2016-04-07,38.18,38.18,37.68,37.93,73790
2016-04-08,37.68,37.93,36.93,37.68,145220
2016-04-11,37.68,37.93,37.68,37.93,137210
2016-04-12,37.93,37.93,37.43,37.68,45540
2016-04-13,37.68,37.68,36.68,36.93,149620
2016-04-14,36.93,36.93,36.17,36.17,74090
2016-04-15,36.17,36.68,35.92,36.68,95390
2016-04-19,36.68,36.68,34.41,34.41,150310
2016-04-20,34.41,34.92,32.91,33.41,156830
2016-04-21,33.91,34.41,33.66,33.91,105960
2016-04-22,34.41,35.17,33.91,35.17,50210
2016-04-25,35.17,35.92,34.92,35.17,24330
2016-04-26,35.17,35.17,34.67,34.92,38350
2016-04-27,35.17,35.17,34.16,34.67,36910
2016-04-28,34.92,34.92,34.41,34.67,59130
2016-04-29,34.67,35.67,34.67,35.42,89260
2016-05-04,34.92,35.42,34.92,35.42,52510
2016-05-05,35.92,36.93,35.67,36.68,281460
2016-05-06,36.93,36.93,35.92,35.92,42020
2016-05-09,36.17,36.68,35.67,36.17,78850
2016-05-10,36.17,36.17,35.67,36.17,85990
2016-05-11,36.17,36.68,35.67,36.42,149780
2016-05-12,36.42,36.68,36.17,36.17,31040
2016-05-13,36.17,36.17,35.67,35.92,60970
2016-05-16,35.92,36.42,35.67,36.17,86550
2016-05-17,36.42,36.68,36.17,36.42,61060
2016-05-18,36.68,36.93,36.42,36.42,83210
2016-05-19,36.55,36.81,36.29,36.55,71870
2016-05-20,36.29,36.29,36.04,36.29,8910
2016-05-23,36.29,36.29,36.04,36.29,16880
2016-05-24,36.29,37.07,36.29,36.81,78460
2016-05-25,37.07,37.07,36.55,36.55,11670
2016-05-26,36.55,36.55,35.52,35.52,73330
2016-05-27,35.26,35.78,35.26,35.78,30750
2016-05-30,35.26,35.78,35.26,35.78,41980
2016-05-31,35.52,36.04,35.52,36.04,43720
2016-06-01,35.78,35.78,35.26,35.26,63490
2016-06-02,35.0,35.52,35.0,35.52,18440
2016-06-03,35.52,35.52,34.74,34.74,85160
2016-06-06,35.0,35.26,34.22,34.48,60860
2016-06-07,34.48,35.0,34.22,35.0,36290
2016-06-08,35.0,35.52,34.74,35.0,58320
2016-06-09,35.0,35.0,34.74,35.0,24690
2016-06-10,35.0,35.26,35.0,35.0,19400
2016-06-13,35.26,35.26,34.74,35.0,33150
2016-06-14,35.0,35.26,34.74,35.0,53640
2016-06-15,35.0,36.81,35.0,36.55,281060
2016-06-16,37.07,37.07,36.04,36.29,66630
2016-06-17,36.29,36.29,36.04,36.29,38710
2016-06-20,36.81,37.33,36.29,37.33,156760
2016-06-21,37.85,38.11,37.59,37.59,142470
2016-06-22,37.85,38.11,37.33,37.85,114310
2016-06-23,37.85,38.11,37.59,37.85,106270
2016-06-24,38.11,38.11,35.52,37.33,326820
2016-06-27,36.55,37.07,36.55,36.55,115060
2016-06-28,36.81,37.85,36.29,37.85,38150
2016-06-29,37.85,38.11,37.59,37.59,97250
2016-06-30,38.11,38.63,37.59,37.85,112330
2016-07-01,38.37,38.63,38.11,38.63,88950
2016-07-04,38.89,41.22,38.89,41.22,235360
2016-07-05,42.0,42.52,41.22,42.0,172860
2016-07-06,42.0,42.26,41.48,41.74,82150
2016-07-07,42.78,42.78,42.0,42.26,75030
2016-07-08,42.26,43.04,41.74,42.26,57390
2016-07-11,42.26,42.26,40.44,40.44,62230
2016-07-12,40.7,40.96,39.41,40.96,64660
2016-07-13,41.48,42.0,41.22,41.22,34880
2016-07-14,41.48,42.78,40.96,41.74,154910
2016-07-15,42.0,43.04,41.22,43.04,123510
2016-07-18,43.55,43.55,42.78,43.29,51150
2016-07-19,43.04,43.29,42.26,42.26,105210
2016-07-20,42.26,42.78,42.0,42.26,72230
2016-07-21,42.52,43.55,42.26,43.29,90350
2016-07-22,43.29,43.55,41.22,42.26,73200
2016-07-25,42.0,42.0,40.96,41.22,63180
2016-07-26,40.96,41.22,40.7,40.96,46150
2016-07-27,41.74,41.74,40.7,41.48,29840
2016-07-28,41.48,43.04,41.22,42.52,76140
2016-07-29,42.52,42.52,42.0,42.26,43100
2016-08-01,41.22,41.22,40.18,40.18,213280
2016-08-02,39.66,39.66,38.11,38.11,172430
2016-08-03,38.37,38.37,37.33,37.85,128770
2016-08-04,37.85,38.11,37.59,37.59,89130
2016-08-05,37.07,38.37,36.81,38.11,71830
2016-08-08,37.59,37.85,37.33,37.33,57120
2016-08-09,37.33,38.37,37.33,38.37,49570
2016-08-10,38.37,38.63,38.37,38.63,76020
2016-08-11,38.89,39.92,38.89,39.92,85720
2016-08-12,39.92,39.92,39.15,39.15,96290
2016-08-15,38.89,39.15,38.11,38.37,85270
2016-08-16,38.89,39.15,38.11,38.63,80000
2016-08-17,38.63,41.22,38.37,41.22,236790
2016-08-18,41.48,42.26,41.22,41.48,96830
2016-08-19,40.96,41.22,40.44,40.7,73140
2016-08-22,40.18,40.44,39.92,40.18,59980
2016-08-23,40.18,41.22,40.18,40.96,68920
2016-08-24,40.96,40.96,40.18,40.7,78250
2016-08-25,40.44,41.48,40.44,40.96,88440
2016-08-26,40.96,41.74,40.96,41.48,80870
2016-08-29,41.48,41.74,40.7,40.96,90220
2016-08-30,41.22,41.48,40.96,40.96,30440
