date,open,high,low,close,volume
2015-12-24,66.47,66.92,66.47,66.47,16530
2015-12-25,66.47,67.36,66.03,66.03,17650
2015-12-28,66.03,66.47,65.15,66.47,16880
2015-12-29,66.47,66.92,66.03,66.47,8980
2015-12-30,66.92,67.8,66.47,67.36,19140
2015-12-31,66.92,67.36,66.47,67.36,18970
2016-01-04,66.92,67.8,66.47,66.92,14080
2016-01-05,66.92,66.92,66.03,66.47,52860
2016-01-06,66.47,68.68,66.47,68.24,50650
2016-01-07,68.68,68.68,66.92,67.8,54260
2016-01-08,66.92,67.8,66.03,67.8,26470
2016-01-11,67.36,67.8,65.59,65.59,38010
2016-01-12,66.03,66.47,65.15,66.47,89580
2016-01-13,66.03,66.47,66.03,66.47,126250
2016-01-14,65.59,65.59,64.71,65.15,125120
2016-01-15,65.15,65.15,63.83,63.83,55160
2016-01-18,63.39,63.39,61.19,62.51,85970
2016-01-19,62.07,63.83,62.07,62.51,54680
2016-01-20,62.51,62.51,62.07,62.51,20550
2016-01-21,62.95,62.95,62.51,62.51,33440
2016-01-22,62.95,63.39,61.19,62.51,88190
2016-01-25,62.51,64.27,62.51,62.95,31640
2016-01-26,61.63,62.07,61.19,61.63,38480
2016-01-27,61.63,62.07,61.19,61.19,66120
2016-01-28,61.19,61.19,60.31,60.31,37270
2016-01-29,60.31,60.31,59.43,60.31,53320
2016-02-01,61.63,61.63,60.31,60.31,49950
2016-02-02,60.31,60.31,59.87,59.87,24880
2016-02-03,59.43,59.87,58.55,59.43,73220
2016-02-04,59.43,62.07,59.43,61.63,54160
2016-02-05,61.63,62.51,61.19,62.07,54370
2016-02-15,64.71,65.15,63.83,64.27,24240
2016-02-16,63.83,64.71,63.83,64.27,43880
2016-02-17,64.71,65.15,63.83,64.27,44930
2016-02-18,64.71,64.71,63.83,64.71,31230
2016-02-19,64.27,64.71,64.27,64.71,19420
2016-02-22,64.71,66.92,64.27,66.92,32350
2016-02-23,66.92,69.56,66.92,68.68,36960
2016-02-24,67.8,69.12,66.47,67.8,32240
2016-02-25,67.8,68.24,67.36,67.36,30620
2016-02-26,67.36,68.24,67.36,67.8,17080
2016-02-29,67.8,67.8,66.92,67.36,26650
2016-03-01,68.24,71.76,67.36,71.76,206990
2016-03-02,72.64,74.4,72.2,74.4,69910
2016-03-03,74.4,74.4,73.08,73.52,24740
2016-03-04,73.96,73.96,73.08,73.52,46230
2016-03-07,73.52,77.04,73.52,73.96,84530
2016-03-08,73.96,76.6,73.96,76.6,87120
2016-03-09,76.6,76.6,73.96,75.28,115250
2016-03-10,75.72,76.16,75.28,76.16,41340
2016-03-11,76.16,76.6,74.4,76.6,56640
2016-03-14,76.6,76.6,74.84,74.84,42400
2016-03-15,74.84,74.84,73.52,73.52,29830
2016-03-16,73.52,75.72,73.52,74.84,40390
2016-03-17,74.84,77.92,74.84,77.04,116920
2016-03-18,77.04,77.04,76.6,76.6,26960
2016-03-21,77.04,77.48,75.72,76.6,23970
2016-03-22,75.72,76.6,74.84,75.28,37550
2016-03-23,75.28,77.92,75.28,77.04,98170
2016-03-24,77.04,81.88,76.6,80.56,66940
2016-03-25,81.0,82.32,79.68,81.44,8980
2016-03-28,84.08,85.4,84.08,84.96,71190
2016-03-29,87.6,87.6,82.76,82.76,73040
2016-03-30,82.76,84.08,82.32,84.08,19760
