date,open,high,low,close,volume
2015-12-17,7.94,8.11,7.9,7.99,744030
2015-12-18,7.94,7.99,7.86,7.86,535760
2015-12-21,7.86,7.86,7.77,7.86,440600
2015-12-22,7.82,7.94,7.77,7.77,426610
2015-12-23,7.77,7.82,7.69,7.69,556450
2015-12-24,7.77,7.77,7.69,7.69,194940
2015-12-25,7.73,7.77,7.65,7.69,286400
2015-12-28,7.69,7.82,7.65,7.69,395650
2015-12-29,7.69,7.86,7.6,7.86,604950
2015-12-30,7.9,7.94,7.82,7.9,638890
2015-12-31,7.94,7.94,7.82,7.9,407840
2016-01-04,7.86,7.9,7.69,7.77,404050
2016-01-05,7.69,7.77,7.65,7.69,319920
2016-01-06,7.69,7.82,7.69,7.77,544940
2016-01-07,7.69,7.82,7.56,7.69,1592360
2016-01-08,7.65,7.65,7.52,7.52,992590
2016-01-11,7.52,7.6,7.48,7.52,667790
2016-01-12,7.52,7.6,7.48,7.56,591100
2016-01-13,7.6,7.65,7.52,7.52,458080
2016-01-14,7.52,7.52,7.35,7.52,853540
2016-01-15,7.52,7.56,7.39,7.48,648830
2016-01-18,7.31,7.31,6.97,7.14,1397320
2016-01-19,7.09,7.39,7.09,7.39,1027250
2016-01-20,7.35,7.35,7.18,7.18,608350
2016-01-21,7.14,7.22,6.92,6.97,1144260
2016-01-22,6.97,7.01,6.71,6.84,874560
2016-01-25,7.01,7.31,7.01,7.31,879160
2016-01-26,7.22,7.39,7.14,7.39,974540
2016-01-27,7.39,7.56,7.39,7.43,390160
2016-01-28,7.43,7.48,7.31,7.31,168290
2016-01-29,7.31,7.35,7.22,7.31,220720
2016-02-01,7.48,7.48,7.26,7.26,325280
2016-02-02,7.26,7.39,7.22,7.26,163090
2016-02-03,7.18,7.26,7.09,7.22,182840
2016-02-04,7.31,7.31,7.22,7.31,242050
2016-02-05,7.31,7.35,7.31,7.31,223150
2016-02-15,7.18,7.35,7.18,7.31,153830
2016-02-16,7.31,7.35,7.26,7.26,168880
2016-02-17,7.26,7.31,7.22,7.26,264310
2016-02-18,7.26,7.39,7.22,7.39,462570
2016-02-19,7.35,7.39,7.31,7.31,464980
2016-02-22,7.35,7.39,7.22,7.31,798720
2016-02-23,7.35,7.39,7.26,7.26,547820
2016-02-24,7.22,7.73,7.22,7.73,3102090
2016-02-25,7.82,7.86,7.65,7.82,1745900
2016-02-26,7.77,7.82,7.73,7.77,391080
2016-02-29,7.73,7.73,7.56,7.56,927670
2016-03-01,7.56,7.65,7.48,7.48,795250
2016-03-02,7.52,7.65,7.52,7.6,600340
2016-03-03,7.65,7.69,7.56,7.65,908900
2016-03-04,7.65,7.69,7.56,7.56,988840
2016-03-07,7.65,7.65,7.52,7.56,738230
2016-03-08,7.52,7.6,7.43,7.52,1265670
2016-03-09,7.52,7.56,7.39,7.39,848880
2016-03-10,7.43,7.48,7.39,7.43,337750
2016-03-11,7.48,7.52,7.39,7.39,599880
2016-03-14,7.43,7.48,7.35,7.39,556200
2016-03-15,7.39,7.39,7.26,7.35,749470
2016-03-16,7.35,7.43,7.31,7.35,661310
2016-03-17,7.39,7.48,7.35,7.39,948590
2016-03-18,7.39,7.43,7.35,7.35,210600
2016-03-21,7.39,7.52,7.35,7.35,633320
2016-03-22,7.31,7.39,7.26,7.26,478150
2016-03-23,7.26,7.35,7.26,7.31,206120
2016-03-24,7.35,7.35,7.18,7.18,549240
2016-03-25,7.18,7.22,7.05,7.18,653890
2016-03-28,7.26,7.26,7.14,7.18,260810
2016-03-29,7.18,7.18,7.05,7.05,531710
2016-03-30,7.09,7.09,7.01,7.09,693910
2016-03-31,7.09,7.09,6.92,6.97,573010
2016-04-01,6.97,7.01,6.88,6.92,499970
2016-04-04,6.92,7.01,6.88,7.01,341700
2016-04-05,6.97,7.05,6.92,6.97,316480
2016-04-06,6.97,7.09,6.92,7.09,1125710
2016-04-07,7.14,7.14,7.01,7.09,1000690
2016-04-08,7.14,7.14,7.05,7.09,485640
2016-04-11,7.14,7.14,6.97,7.01,1579920
2016-04-12,7.01,7.05,6.84,6.88,1469180
2016-04-13,6.88,6.92,6.8,6.88,889370
2016-04-14,6.92,6.97,6.84,6.84,479910
2016-04-15,6.84,6.92,6.84,6.88,1575310
2016-04-19,6.92,6.92,6.75,6.8,593650
2016-04-20,6.8,6.84,6.71,6.8,809560
2016-04-21,6.84,6.84,6.75,6.8,436360
2016-04-22,6.8,7.26,6.75,7.14,2636290
2016-04-25,7.22,7.39,7.22,7.26,2999940
2016-04-26,7.31,7.31,7.14,7.18,644470
2016-04-27,7.22,7.22,7.01,7.01,1759290
2016-04-28,6.97,7.01,6.84,6.88,1137280
2016-04-29,6.84,7.18,6.84,7.05,1345320
2016-05-04,7.05,7.09,6.92,6.97,775300
