date,open,high,low,close,volume
2015-09-28,2.69,2.69,2.62,2.62,34800
2015-09-29,2.62,2.62,2.58,2.62,20300
2015-09-30,2.65,2.65,2.58,2.62,30800
2015-10-01,2.62,2.65,2.62,2.62,52100
2015-10-02,2.62,2.65,2.58,2.65,33600
2015-10-05,2.62,2.65,2.62,2.65,4850
2015-10-06,2.69,2.76,2.62,2.72,321000
2015-10-07,2.69,2.69,2.65,2.65,80500
2015-10-08,2.65,2.72,2.65,2.72,174700
2015-10-09,2.72,2.72,2.65,2.72,82300
2015-10-12,2.69,2.69,2.65,2.69,90500
2015-10-13,2.65,2.69,2.65,2.65,66415
2015-10-14,2.65,2.65,2.62,2.62,33000
2015-10-15,2.62,2.62,2.62,2.62,105854
2015-10-16,2.62,2.65,2.62,2.62,62200
2015-10-19,2.62,2.65,2.62,2.62,87500
2015-10-20,2.62,2.62,2.55,2.55,60554
2015-10-21,2.58,2.58,2.55,2.58,79600
2015-10-22,2.58,2.62,2.58,2.62,37600
2015-10-23,2.62,2.65,2.58,2.58,48100
2015-10-26,2.62,2.62,2.55,2.55,24100
2015-10-27,2.58,2.58,2.55,2.55,54301
2015-10-28,2.55,2.58,2.51,2.55,41500
2015-10-29,2.58,2.62,2.55,2.62,30100
2015-10-30,2.58,2.58,2.55,2.55,27101
2015-11-02,2.58,2.58,2.55,2.55,20400
2015-11-03,2.58,2.58,2.55,2.55,51915
2015-11-04,2.58,2.58,2.55,2.55,21300
2015-11-05,2.55,2.55,2.55,2.55,67900
2015-11-06,2.58,2.58,2.55,2.55,59100
2015-11-09,2.55,2.58,2.55,2.55,107300
2015-11-10,2.55,2.55,2.55,2.55,15510
2015-11-11,2.51,2.55,2.51,2.55,21400
2015-11-12,2.55,2.55,2.51,2.55,16336
2015-11-13,2.55,2.58,2.55,2.55,87500
2015-11-16,2.55,2.55,2.51,2.55,64900
2015-11-17,2.51,2.55,2.51,2.55,85000
2015-11-18,2.51,2.55,2.51,2.55,55270
2015-11-19,2.55,2.62,2.55,2.62,130330
2015-11-20,2.62,2.62,2.58,2.62,57110
2015-11-23,2.58,2.62,2.58,2.62,137665
2015-11-24,2.58,2.62,2.55,2.62,65822
2015-11-25,2.62,2.65,2.58,2.65,435500
2015-11-26,2.69,2.69,2.62,2.62,56700
2015-11-27,2.62,2.65,2.58,2.62,229471
2015-11-30,2.55,2.58,2.55,2.58,55618
2015-12-01,2.55,2.58,2.55,2.58,47340
2015-12-02,2.58,2.58,2.58,2.58,93776
2015-12-03,2.58,2.62,2.55,2.55,92139
2015-12-04,2.58,2.58,2.55,2.58,185110
2015-12-07,2.55,2.58,2.55,2.58,57892
2015-12-08,2.55,2.58,2.51,2.58,55900
2015-12-09,2.55,2.55,2.51,2.51,92620
2015-12-10,2.51,2.55,2.51,2.51,27008
2015-12-11,2.51,2.51,2.48,2.51,56020
2015-12-14,2.51,2.51,2.44,2.44,74004
2015-12-15,2.48,2.51,2.48,2.51,24378
2015-12-16,2.48,2.55,2.48,2.51,46110
2015-12-17,2.51,2.55,2.48,2.55,90004
2015-12-18,2.51,2.51,2.48,2.51,60810
2015-12-21,2.48,2.51,2.48,2.48,12832
2015-12-22,2.48,2.48,2.48,2.48,48200
2015-12-23,2.48,2.48,2.44,2.44,57730
2015-12-24,2.48,2.51,2.44,2.44,17320
2015-12-25,2.48,2.48,2.44,2.44,68620
2015-12-28,2.48,2.48,2.41,2.41,127700
2015-12-29,2.41,2.48,2.41,2.48,56900
2015-12-30,2.48,2.51,2.44,2.48,65518
2015-12-31,2.44,2.48,2.44,2.48,20648
2016-01-04,2.48,2.48,2.44,2.48,24000
2016-01-05,2.44,2.48,2.41,2.41,92700
2016-01-06,2.44,2.44,2.41,2.44,88500
2016-01-07,2.44,2.44,2.41,2.41,144876
2016-01-08,2.41,2.48,2.37,2.48,73500
2016-01-11,2.44,2.48,2.41,2.48,38000
2016-01-12,2.41,2.48,2.41,2.48,52900
2016-01-13,2.48,2.48,2.41,2.41,49430
2016-01-14,2.41,2.41,2.37,2.41,48310
2016-01-15,2.44,2.44,2.37,2.37,45956
2016-01-18,2.37,2.41,2.23,2.26,171060
2016-01-19,2.34,2.41,2.3,2.37,22700
2016-01-20,2.37,2.37,2.3,2.3,8700
2016-01-21,2.3,2.34,2.26,2.3,142800
2016-01-22,2.3,2.37,2.26,2.34,40956
2016-01-25,2.34,2.44,2.34,2.44,83390
2016-01-26,2.44,2.44,2.37,2.44,12100
2016-01-27,2.44,2.44,2.41,2.44,21820
2016-01-28,2.41,2.44,2.41,2.44,31800
2016-01-29,2.41,2.44,2.37,2.44,59260
2016-02-01,2.44,2.44,2.37,2.41,12550
2016-02-02,2.37,2.41,2.34,2.37,38400
2016-02-03,2.34,2.37,2.34,2.37,21000
2016-02-04,2.37,2.37,2.34,2.37,50220
2016-02-05,2.37,2.41,2.37,2.41,8700
2016-02-15,2.41,2.44,2.41,2.41,17100
2016-02-16,2.37,2.41,2.37,2.41,5400
2016-02-17,2.41,2.44,2.37,2.44,20644
2016-02-18,2.44,2.44,2.41,2.44,31810
2016-02-19,2.44,2.44,2.41,2.44,24340
2016-02-22,2.41,2.51,2.41,2.51,183128
2016-02-23,2.51,2.51,2.48,2.48,75530
2016-02-24,2.44,2.48,2.44,2.48,67224
2016-02-25,2.48,2.48,2.44,2.48,86900
2016-02-26,2.48,2.51,2.44,2.51,35279
2016-02-29,2.51,2.51,2.44,2.44,67200
2016-03-01,2.48,2.51,2.48,2.51,99500
2016-03-02,2.48,2.51,2.48,2.51,119600
2016-03-03,2.51,2.51,2.48,2.51,144542
2016-03-04,2.48,2.48,2.48,2.48,78800
2016-03-07,2.48,2.48,2.48,2.48,73880
2016-03-08,2.48,2.51,2.48,2.48,106500
2016-03-09,2.48,2.51,2.48,2.48,64100
2016-03-10,2.48,2.58,2.48,2.55,133352
2016-03-11,2.58,2.58,2.51,2.55,104424
2016-03-14,2.58,2.58,2.51,2.58,118707
2016-03-15,2.51,2.55,2.51,2.51,12361
2016-03-16,2.48,2.58,2.48,2.58,258800
2016-03-17,2.58,2.62,2.55,2.55,109860
2016-03-18,2.55,2.58,2.51,2.58,116225
2016-03-21,2.55,2.58,2.51,2.55,33340
2016-03-22,2.51,2.55,2.51,2.55,72340
2016-03-23,2.51,2.55,2.51,2.55,35850
2016-03-24,2.55,2.55,2.48,2.55,477952
2016-03-25,2.48,2.51,2.48,2.48,49983
2016-03-28,2.48,2.48,2.44,2.48,74450
2016-03-29,2.44,2.44,2.41,2.44,98712
2016-03-30,2.41,2.48,2.41,2.48,61100
2016-03-31,2.44,2.44,2.41,2.41,13724
2016-04-01,2.44,2.44,2.37,2.44,166225
2016-04-04,2.44,2.44,2.44,2.44,35000
2016-04-05,2.44,2.48,2.44,2.44,62530
2016-04-06,2.44,2.44,2.41,2.44,38100
2016-04-07,2.44,2.44,2.41,2.44,91630
2016-04-08,2.44,2.48,2.44,2.48,166850
2016-04-11,2.51,2.51,2.48,2.48,90200
2016-04-12,2.48,2.51,2.44,2.44,241600
2016-04-13,2.48,2.48,2.41,2.44,110534
2016-04-14,2.44,2.48,2.44,2.48,151710
2016-04-15,2.44,2.44,2.44,2.44,22000
2016-04-19,2.44,2.44,2.41,2.44,129896
2016-04-20,2.44,2.44,2.41,2.44,87340
2016-04-21,2.48,2.51,2.48,2.51,428800
2016-04-22,2.55,2.55,2.51,2.51,35510
2016-04-25,2.51,2.55,2.48,2.48,103200
2016-04-26,2.44,2.48,2.41,2.44,506910
2016-04-27,2.44,2.48,2.44,2.44,44100
2016-04-28,2.44,2.44,2.41,2.44,19250
2016-04-29,2.44,2.44,2.41,2.44,50100
2016-05-04,2.44,2.44,2.41,2.41,153200
2016-05-05,2.41,2.48,2.37,2.41,136328
2016-05-06,2.41,2.44,2.41,2.44,106657
2016-05-09,2.48,2.48,2.41,2.44,68660
2016-05-10,2.41,2.44,2.41,2.44,106775
2016-05-11,2.44,2.44,2.41,2.44,31676
2016-05-12,2.44,2.44,2.44,2.44,11200
2016-05-13,2.44,2.44,2.41,2.41,43300
2016-05-16,2.41,2.41,2.41,2.41,14728
2016-05-17,2.41,2.48,2.41,2.48,102518
2016-05-18,2.44,2.44,2.44,2.44,47615
2016-05-19,2.44,2.44,2.41,2.44,80302
2016-05-20,2.44,2.48,2.41,2.44,180510
2016-05-23,2.48,2.48,2.41,2.41,13820
2016-05-24,2.41,2.44,2.41,2.44,48170
2016-05-25,2.41,2.44,2.41,2.44,73500
2016-05-26,2.41,2.41,2.41,2.41,92310
2016-05-27,2.41,2.41,2.37,2.41,59007
2016-05-30,2.41,2.44,2.41,2.44,24554
2016-05-31,2.44,2.44,2.41,2.44,94297
2016-06-01,2.41,2.48,2.41,2.48,280754
2016-06-02,2.48,2.48,2.44,2.48,41494
2016-06-03,2.44,2.44,2.44,2.44,149661
2016-06-06,2.44,2.44,2.41,2.41,131220
2016-06-07,2.44,2.44,2.41,2.44,7524
2016-06-08,2.44,2.44,2.41,2.44,56452
2016-06-09,2.41,2.44,2.41,2.44,113390
2016-06-10,2.48,2.48,2.44,2.48,139490
2016-06-13,2.48,2.48,2.44,2.44,58492
2016-06-14,2.44,2.48,2.44,2.48,83800
2016-06-15,2.44,2.48,2.44,2.48,97700
