date,open,high,low,close,volume
2015-12-24,8.45,8.45,8.38,8.4,26900
2015-12-25,8.4,8.61,8.4,8.47,57500
2015-12-28,8.5,8.88,8.5,8.78,96330
2015-12-29,8.79,9.24,8.8,9.23,133610
2015-12-30,9.28,9.4,8.97,9.06,60500
2015-12-31,8.97,9.11,8.8,8.97,69306
2016-01-04,8.91,9.23,8.92,9.21,36510
2016-01-05,9.02,9.11,8.97,9.0,29800
2016-01-06,9.05,9.11,8.97,9.07,59500
2016-01-07,9.0,9.07,8.88,9.0,53730
2016-01-08,8.83,9.0,8.8,8.85,51606
2016-01-11,9.14,9.32,8.71,8.71,69500
2016-01-12,8.72,8.74,8.48,8.71,43900
2016-01-13,8.7,8.71,8.44,8.62,26600
2016-01-14,8.46,8.58,8.37,8.58,78200
2016-01-15,8.58,8.58,8.39,8.51,16100
2016-01-18,8.51,8.51,8.09,8.28,100700
2016-01-19,8.28,8.44,8.27,8.36,38500
2016-01-20,8.37,8.8,8.36,8.71,58100
2016-01-21,8.7,8.72,8.62,8.67,17000
2016-01-22,8.7,8.71,8.44,8.65,16152
2016-01-25,8.65,8.88,8.65,8.8,41850
2016-01-26,8.72,8.78,8.64,8.71,22700
2016-01-27,8.63,8.76,8.64,8.76,21350
2016-01-28,8.74,8.8,8.71,8.74,17700
2016-01-29,8.74,8.78,8.72,8.76,19200
2016-02-01,8.7,8.71,8.62,8.62,5400
2016-02-02,8.7,8.74,8.67,8.69,50300
2016-02-03,8.69,8.71,8.62,8.71,27700
2016-02-04,8.09,8.72,8.09,8.64,19200
2016-02-05,8.69,8.95,8.69,8.95,16400
2016-02-15,8.95,8.97,8.8,8.86,30200
2016-02-16,8.88,8.88,8.51,8.71,140032
2016-02-17,8.7,8.71,8.64,8.65,48390
2016-02-18,8.74,8.95,8.62,8.94,160200
2016-02-19,8.93,9.3,8.94,9.15,205131
2016-02-22,9.3,9.3,9.08,9.15,68332
2016-02-23,9.06,9.22,8.99,8.99,55400
2016-02-24,8.97,9.22,8.9,9.06,125250
2016-02-25,9.14,9.15,8.88,8.97,59800
2016-02-26,8.97,9.06,8.97,8.97,10204
2016-02-29,8.97,8.97,8.85,8.94,68600
2016-03-01,8.88,8.94,8.88,8.88,21912
2016-03-02,8.88,9.15,8.88,9.09,91700
2016-03-03,9.11,9.11,8.94,8.94,27200
2016-03-04,8.9,8.97,8.85,8.95,55700
2016-03-07,8.97,9.09,8.92,8.97,137012
2016-03-08,8.97,8.97,8.9,8.97,54900
2016-03-09,8.92,8.99,8.88,8.9,46076
2016-03-10,8.9,8.94,8.8,8.8,101715
2016-03-11,8.79,8.8,8.69,8.76,122600
2016-03-14,8.7,8.71,8.48,8.48,133800
2016-03-15,8.48,8.48,7.99,7.99,218735
2016-03-16,7.98,8.27,7.88,8.09,81200
2016-03-17,8.09,8.36,8.09,8.36,102274
2016-03-18,8.32,8.41,8.32,8.32,40800
2016-03-21,8.26,8.28,8.13,8.18,31232
2016-03-22,8.07,8.16,7.92,8.09,50904
2016-03-23,8.18,8.18,8.04,8.09,35500
2016-03-24,8.04,8.07,7.93,8.0,44300
2016-03-25,8.0,8.09,7.92,7.99,54400
2016-03-28,8.0,8.14,7.97,8.0,69600
2016-03-29,7.95,7.97,7.88,7.92,50600
2016-03-30,7.82,7.95,7.83,7.93,13220
2016-03-31,8.0,8.0,7.84,7.9,32940
2016-04-01,7.88,7.92,7.74,7.74,39600
2016-04-04,7.74,8.07,7.65,7.81,31420
2016-04-05,8.02,8.02,7.92,7.97,7110
2016-04-06,7.96,8.09,7.97,8.07,6800
2016-04-07,8.16,8.32,8.16,8.27,64500
2016-04-08,8.26,8.36,8.18,8.27,45600
2016-04-11,8.26,8.62,8.27,8.43,68510
2016-04-12,8.41,8.48,8.39,8.41,43400
2016-04-13,8.4,8.41,8.27,8.3,26400
2016-04-14,8.3,8.48,8.27,8.44,67200
2016-04-15,8.42,8.43,8.36,8.41,21400
2016-04-19,8.37,8.37,8.18,8.18,11500
2016-04-20,8.14,8.14,8.04,8.09,82416
2016-04-21,8.09,8.36,8.09,8.2,39120
2016-04-22,8.18,8.36,8.09,8.21,35500
2016-04-25,8.35,8.36,8.16,8.18,24670
2016-04-26,8.19,8.2,8.06,8.07,53906
2016-04-27,8.07,8.27,7.97,8.07,37300
2016-04-28,8.13,8.24,8.13,8.24,1000
2016-04-29,8.13,8.31,7.95,8.04,10200
2016-05-04,8.06,8.06,7.8,7.84,33700
2016-05-05,7.77,7.84,7.73,7.8,24600
2016-05-06,7.73,7.77,7.69,7.73,53100
2016-05-09,7.71,7.93,7.71,7.8,52100
2016-05-10,7.69,7.84,7.68,7.77,19200
2016-05-11,7.69,7.98,7.69,7.8,52600
2016-05-12,7.77,7.77,7.73,7.75,11000
2016-05-13,7.68,7.69,7.64,7.64,32270
2016-05-16,7.91,7.91,7.62,7.64,31300
2016-05-17,7.62,7.64,7.57,7.57,29190
2016-05-18,7.62,7.62,7.53,7.55,12750
2016-05-19,7.55,7.59,7.5,7.5,31000
2016-05-20,7.5,7.59,7.5,7.51,21600
2016-05-23,7.5,7.51,7.46,7.5,18400
2016-05-24,7.46,7.48,7.44,7.44,8500
2016-05-25,7.44,7.51,7.44,7.51,32700
2016-05-26,7.51,7.77,7.5,7.75,33200
2016-05-27,7.64,7.73,7.6,7.68,13700
2016-05-30,7.69,7.69,7.59,7.69,17800
2016-05-31,7.69,7.69,7.66,7.68,14800
2016-06-01,7.66,7.73,7.66,7.69,27400
2016-06-02,7.68,7.68,7.51,7.64,12100
2016-06-03,7.55,7.59,7.51,7.59,14300
2016-06-06,7.59,7.68,7.57,7.66,3100
2016-06-07,7.59,7.62,7.53,7.62,6600
2016-06-08,7.59,7.6,7.53,7.59,8100
2016-06-09,7.57,7.57,7.42,7.53,24600
2016-06-10,7.53,7.55,7.51,7.53,12160
2016-06-13,7.55,7.55,7.46,7.46,44600
2016-06-14,7.5,7.51,7.4,7.4,44900
2016-06-15,7.35,7.42,7.35,7.42,16600
2016-06-16,7.44,7.59,7.44,7.46,18500
2016-06-17,7.48,7.5,7.4,7.5,31800
2016-06-20,7.4,7.95,7.4,7.93,83890
2016-06-21,7.93,8.24,7.93,8.11,46200
2016-06-22,7.95,8.2,7.89,8.18,46800
2016-06-23,8.18,8.58,8.16,8.56,71260
2016-06-24,8.63,8.63,7.88,8.24,87600
2016-06-27,8.25,8.58,8.2,8.56,66200
2016-06-28,8.58,8.63,8.49,8.58,31100
2016-06-29,8.58,9.03,8.58,8.76,93150
2016-06-30,8.89,9.19,8.89,9.05,137000
2016-07-01,9.1,9.32,9.1,9.19,81180
2016-07-04,9.21,9.39,8.94,9.16,69820
2016-07-05,9.21,9.27,8.98,9.05,79980
2016-07-06,9.03,9.1,8.9,9.03,59950
2016-07-07,9.05,9.21,8.98,8.98,64130
2016-07-08,8.94,9.09,8.92,8.92,131100
2016-07-11,9.09,9.65,9.09,9.46,242244
2016-07-12,9.46,9.5,9.01,9.31,21000
2016-07-13,9.22,9.41,9.09,9.12,72600
2016-07-14,9.12,9.2,8.67,8.67,96940
2016-07-15,8.56,9.18,8.56,9.18,44810
2016-07-18,9.2,9.2,8.99,9.2,9900
2016-07-19,9.22,9.39,8.99,9.2,38300
2016-07-20,9.2,9.56,9.16,9.31,67100
2016-07-21,9.31,9.41,9.14,9.24,13900
2016-07-22,9.01,9.03,8.77,8.88,37200
2016-07-25,8.88,8.88,8.79,8.86,14300
2016-07-26,8.77,9.09,8.73,9.09,11400
2016-07-27,8.79,9.03,8.79,9.03,11400
2016-07-28,8.99,8.99,8.94,8.99,10400
2016-07-29,8.9,8.99,8.88,8.99,12700
2016-08-01,8.84,8.88,8.77,8.77,18100
2016-08-02,8.67,8.71,8.52,8.52,61000
2016-08-03,8.56,8.56,8.49,8.56,16608
2016-08-04,8.56,8.77,8.56,8.69,10400
2016-08-05,8.69,8.69,8.56,8.69,16000
2016-08-08,8.52,8.69,8.52,8.69,12900
2016-08-09,8.75,8.75,8.62,8.62,14308
2016-08-10,8.73,8.88,8.73,8.88,56103
2016-08-11,8.79,8.99,8.79,8.96,36700
2016-08-12,8.99,8.99,8.86,8.88,14100
2016-08-15,8.88,8.88,8.79,8.79,15500
2016-08-16,8.94,9.09,8.9,9.07,40200
2016-08-17,9.09,9.09,8.88,9.07,45750
2016-08-18,9.2,9.91,9.09,9.41,120563
2016-08-19,9.41,9.41,9.18,9.18,13200
2016-08-22,9.09,9.18,8.96,9.09,15000
2016-08-23,9.05,9.14,8.88,9.12,7400
2016-08-24,9.14,9.37,8.96,9.26,38228
2016-08-25,9.26,9.26,9.09,9.18,8750
2016-08-26,9.18,9.24,9.12,9.18,18600
2016-08-29,9.2,9.37,9.14,9.29,52900
2016-08-30,9.31,9.39,9.2,9.35,49047
2016-08-31,9.39,9.84,9.33,9.84,193259
2016-09-01,9.84,9.86,9.67,9.74,47800
2016-09-05,9.74,10.12,9.69,10.06,66400
2016-09-06,10.06,10.21,9.84,9.84,44729
2016-09-07,9.82,9.95,9.56,9.78,103379
2016-09-08,9.76,10.08,9.76,9.99,102022
2016-09-09,10.1,10.38,10.1,10.27,122205
2016-09-12,10.18,10.21,10.06,10.1,25522
2016-09-13,10.16,10.38,10.1,10.23,50251
2016-09-14,10.12,10.42,10.08,10.1,56811
2016-09-15,10.06,10.25,10.06,10.23,33062
2016-09-16,10.16,10.55,10.16,10.4,59216
2016-09-19,10.18,10.98,10.16,10.98,233312
2016-09-20,11.21,11.21,10.98,11.0,85145
2016-09-21,10.96,11.0,10.85,10.96,32663
2016-09-22,10.91,11.08,10.85,10.91,42794
2016-09-23,10.91,11.34,10.7,11.17,84483
2016-09-26,11.17,12.18,11.02,12.18,216367
2016-09-27,11.88,12.24,11.66,12.2,117221
2016-09-28,12.3,12.3,12.0,12.13,61007
2016-09-29,10.93,12.15,10.93,12.0,201287
2016-09-30,11.77,12.3,11.77,12.26,99816
2016-10-03,12.37,12.37,12.09,12.2,103934
2016-10-04,12.28,12.28,11.56,11.88,99866
2016-10-05,11.77,11.88,11.56,11.85,60741
2016-10-06,11.62,11.81,11.45,11.6,64478
2016-10-07,11.6,11.68,11.49,11.49,48726
2016-10-10,11.47,11.66,11.4,11.4,43730
2016-10-11,11.4,11.45,10.93,11.13,92551
2016-10-12,11.13,11.53,11.13,11.26,36615
2016-10-13,11.13,11.32,11.06,11.32,52654
2016-10-14,11.32,11.66,11.32,11.62,44297
2016-10-17,11.56,11.64,11.34,11.34,60714
2016-10-18,11.34,11.34,10.76,10.89,114214
2016-10-19,10.7,10.87,10.48,10.7,145870
2016-10-20,10.59,10.59,10.27,10.29,89068
2016-10-21,10.31,10.31,9.84,9.84,115508
2016-10-24,9.65,9.74,9.18,9.33,173752
2016-10-25,9.63,9.63,9.33,9.5,44690
2016-10-26,9.74,9.82,9.46,9.52,31472
2016-10-27,9.52,9.61,9.46,9.54,16694
2016-10-28,9.54,9.76,9.54,9.76,5195
2016-10-31,9.63,9.84,9.5,9.84,41752
2016-11-01,9.67,9.84,9.46,9.46,68530
2016-11-02,9.46,9.46,9.2,9.2,44985
2016-11-03,9.09,9.2,8.99,9.16,24587
2016-11-04,9.29,9.29,9.16,9.16,26443
2016-11-07,9.63,9.63,9.16,9.31,15269
2016-11-08,9.22,9.41,9.22,9.37,18510
2016-11-09,9.41,9.41,8.99,9.35,60036
2016-11-10,9.31,9.61,9.31,9.44,34854
2016-11-11,9.44,9.52,9.24,9.24,25382
2016-11-14,9.41,9.41,9.18,9.22,26109
2016-11-15,9.22,9.41,9.2,9.22,25400
2016-11-16,9.22,9.22,9.16,9.18,41882
2016-11-17,9.22,9.22,9.14,9.22,9528
2016-11-18,9.18,9.2,9.14,9.16,61884
2016-11-21,9.01,9.12,9.01,9.07,11281
2016-11-22,9.03,9.09,9.03,9.07,17764
2016-11-23,9.03,9.07,8.99,9.07,26000
2016-11-24,9.05,9.07,8.99,8.99,25600
2016-11-25,8.99,8.99,8.82,8.88,38994
2016-11-28,8.82,8.86,8.64,8.67,33133
2016-11-29,8.6,8.67,8.56,8.56,21754
2016-11-30,8.62,9.16,8.56,9.16,12880
2016-12-01,8.77,9.09,8.77,8.96,16180
2016-12-02,8.99,8.99,8.82,8.88,14646
2016-12-05,8.88,8.88,8.62,8.88,38821
2016-12-06,8.77,8.77,8.67,8.77,6400
2016-12-07,8.79,8.84,8.73,8.73,14200
2016-12-08,8.99,9.2,8.67,8.69,6325
2016-12-09,8.58,8.64,8.56,8.6,20800
2016-12-12,8.39,8.6,8.39,8.47,18802
2016-12-13,8.56,8.56,8.35,8.54,24600
2016-12-14,8.37,8.73,8.37,8.54,10900
2016-12-15,8.54,8.67,8.45,8.67,14299
2016-12-16,8.52,8.52,8.43,8.52,19524
2016-12-19,8.45,8.67,8.45,8.6,9920
2016-12-20,8.58,8.6,8.56,8.6,17100
2016-12-21,8.58,8.58,8.45,8.56,4600
2016-12-22,8.52,8.52,8.45,8.49,12700
2016-12-23,8.77,8.77,8.52,8.6,13754
2016-12-26,8.56,8.56,8.49,8.49,11633
2016-12-27,8.52,8.52,8.35,8.39,14744
2016-12-28,8.39,8.45,8.35,8.45,15362
2016-12-29,8.45,8.56,8.45,8.56,12100
2016-12-30,8.45,8.88,8.45,8.88,41200
2017-01-03,9.2,9.2,8.77,8.88,6000
2017-01-04,8.77,8.77,8.71,8.71,11679
2017-01-05,8.94,8.94,8.45,8.45,16654
2017-01-06,8.37,8.37,8.24,8.24,9700
2017-01-09,8.43,8.43,8.35,8.39,1900
2017-01-10,8.35,8.39,8.35,8.39,3600
2017-01-11,8.39,8.39,8.32,8.32,11250
2017-01-12,8.35,8.56,8.35,8.45,34249
2017-01-13,8.43,8.94,8.43,8.79,56436
2017-01-16,8.82,8.9,8.67,8.79,30000
2017-01-17,8.56,8.77,8.56,8.58,9200
2017-01-18,8.73,8.73,8.41,8.41,17700
2017-01-19,8.39,8.39,8.24,8.35,30030
2017-01-20,8.3,8.35,8.26,8.3,24000
2017-01-23,8.24,8.24,7.85,7.87,69687
2017-01-24,7.87,7.9,7.7,7.87,50010
2017-01-25,7.87,8.13,7.81,8.13,37602
2017-02-02,7.83,8.02,7.81,8.02,20550
2017-02-03,7.81,7.85,7.7,7.7,64522
2017-02-06,7.66,7.66,7.55,7.55,47200
2017-02-07,7.49,7.49,7.38,7.45,44238
2017-02-08,7.49,7.49,7.34,7.45,38400
2017-02-09,7.4,7.47,7.23,7.3,118250
2017-02-10,7.23,7.6,7.23,7.6,44098
2017-02-13,7.6,7.83,7.6,7.81,82202
2017-02-14,7.81,7.81,7.49,7.7,31117
2017-02-15,7.66,8.3,7.64,8.15,122045
2017-02-16,8.2,8.3,8.07,8.13,48745
2017-02-17,8.04,8.13,8.0,8.0,18590
2017-02-20,7.92,7.98,7.75,7.87,49639
2017-02-21,7.9,8.09,7.87,7.98,81236
2017-02-22,7.98,8.0,7.87,7.96,29651
2017-02-23,7.96,7.96,7.81,7.85,31599
2017-02-24,7.51,7.85,7.51,7.7,34101
2017-02-27,7.83,7.83,7.7,7.7,60512
2017-02-28,7.7,7.72,7.68,7.68,34041
2017-03-01,7.62,7.62,7.55,7.62,56469
2017-03-02,7.51,7.75,7.51,7.75,25330
2017-03-03,7.75,7.75,7.62,7.72,10780
2017-03-06,7.62,7.75,7.62,7.66,27853
2017-03-07,7.62,7.75,7.62,7.62,63079
2017-03-08,7.62,7.87,7.62,7.77,24755
2017-03-09,7.79,8.11,7.66,8.04,127360
2017-03-10,8.13,8.15,7.81,7.92,83169
2017-03-13,7.81,7.87,7.72,7.87,57040
2017-03-14,7.92,7.96,7.81,7.81,54360
2017-03-15,7.79,7.81,7.7,7.7,82523
2017-03-16,7.7,7.79,7.68,7.77,84500
2017-03-17,7.79,8.0,7.79,7.94,199400
2017-03-20,7.94,8.58,7.94,8.56,499495
2017-03-21,8.67,8.79,8.49,8.52,110119
2017-03-22,8.45,8.45,8.17,8.17,167185
2017-03-23,8.09,8.43,8.09,8.35,140254
2017-03-24,8.28,8.37,8.22,8.28,131130
2017-03-27,8.24,8.28,8.13,8.13,124581
2017-03-28,8.13,8.17,8.02,8.02,103360
2017-03-29,8.0,8.41,8.0,8.09,106514
2017-03-30,8.15,8.24,8.07,8.13,64547
2017-03-31,8.11,8.15,8.04,8.13,41000
2017-04-03,8.04,8.13,7.81,7.83,145343
2017-04-04,7.77,7.92,7.75,7.9,120734
2017-04-05,7.9,7.9,7.79,7.83,97550
2017-04-07,7.83,8.07,7.81,8.02,76589
2017-04-10,7.96,7.98,7.83,7.83,39220
2017-04-11,7.83,7.92,7.79,7.92,23630
2017-04-12,7.81,7.85,7.79,7.85,42912
2017-04-13,7.72,7.92,7.72,7.83,44980
2017-04-14,7.75,7.87,7.51,7.85,39829
2017-04-17,7.85,7.85,7.55,7.6,51630
2017-04-18,7.58,7.6,7.42,7.6,58800
2017-04-19,7.49,7.7,7.49,7.6,18600
2017-04-20,7.53,7.6,7.49,7.58,44370
2017-04-21,7.49,7.66,7.42,7.47,31900
2017-04-24,7.45,7.45,7.17,7.28,109430
2017-04-25,7.28,7.28,6.55,6.55,314380
2017-04-26,6.42,6.85,6.29,6.72,107974
2017-04-27,6.74,6.74,6.61,6.66,67810
2017-04-28,6.57,6.63,6.5,6.53,50430
2017-05-03,6.44,6.5,6.38,6.42,61650
2017-05-04,6.42,6.63,6.38,6.57,53900
2017-05-05,6.57,6.98,6.57,6.93,123711
2017-05-08,7.21,7.21,6.8,6.8,31010
2017-05-09,6.8,6.85,6.76,6.78,26929
2017-05-10,6.78,6.78,6.66,6.74,57362
2017-05-11,6.72,6.72,6.66,6.68,18200
2017-05-12,6.68,6.74,6.68,6.74,15007
2017-05-15,6.74,6.78,6.7,6.74,19514
2017-05-16,6.68,6.76,6.68,6.74,27663
2017-05-17,6.74,6.74,6.7,6.7,31300
2017-05-18,6.7,6.74,6.63,6.63,64169
2017-05-19,6.72,6.72,6.63,6.72,32500
2017-05-22,6.7,6.72,6.63,6.63,28910
2017-05-23,6.63,6.63,6.63,6.63,14600
2017-05-24,6.66,6.66,6.61,6.61,8090
2017-05-25,6.63,6.72,6.63,6.72,20000
2017-05-26,6.7,6.74,6.66,6.74,25240
2017-05-29,6.74,6.8,6.74,6.76,13595
2017-05-30,6.8,6.8,6.63,6.63,14800
2017-05-31,6.66,6.74,6.66,6.72,24400
2017-06-01,6.7,6.74,6.68,6.72,16500
2017-06-02,6.72,6.74,6.68,6.72,11201
2017-06-05,6.72,6.74,6.7,6.74,27450
