date,open,high,low,close,volume
2015-09-28,4.57,4.57,4.55,4.56,50280
2015-09-29,4.56,4.56,4.48,4.56,47480
2015-09-30,4.64,4.64,4.56,4.63,25130
2015-10-01,4.64,4.71,4.62,4.67,34670
2015-10-02,4.71,4.96,4.71,4.92,168090
2015-10-05,5.11,5.11,4.91,5.01,77660
2015-10-06,5.01,5.2,4.96,5.01,102720
2015-10-07,4.96,5.11,4.88,4.9,49580
2015-10-08,4.95,5.01,4.93,4.96,92140
2015-10-09,5.06,5.26,5.0,5.1,80930
2015-10-12,5.25,5.25,4.84,4.84,89850
2015-10-13,4.82,5.06,4.77,5.06,100500
2015-10-14,5.11,5.11,5.0,5.04,84390
2015-10-15,4.84,5.06,4.73,4.85,61910
2015-10-16,4.63,4.93,4.63,4.85,94770
2015-10-19,4.85,4.85,4.6,4.72,75400
2015-10-20,4.6,4.79,4.6,4.76,78030
2015-10-21,4.67,4.69,4.47,4.65,41820
2015-10-22,4.65,4.65,4.47,4.51,80090
2015-10-23,4.51,4.51,4.22,4.51,112570
2015-10-26,4.51,4.77,4.51,4.72,107010
2015-10-27,4.73,4.76,4.64,4.76,86810
2015-10-28,4.73,4.76,4.54,4.76,75340
2015-10-29,4.79,4.89,4.76,4.89,43620
2015-10-30,4.98,5.22,4.94,5.05,103510
2015-11-02,5.13,5.13,4.93,4.93,31060
2015-11-03,4.96,5.05,4.86,5.04,102100
2015-11-04,5.0,5.0,4.89,4.93,57600
2015-11-05,4.9,4.92,4.8,4.9,24620
2015-11-06,4.8,4.9,4.8,4.9,4510
2015-11-09,4.93,4.93,4.79,4.9,12130
2015-11-10,4.92,4.92,4.79,4.89,8620
2015-11-11,4.75,4.8,4.6,4.6,24670
2015-11-12,4.77,4.79,4.6,4.72,39100
2015-11-13,4.67,4.71,4.6,4.71,55140
2015-11-16,4.72,4.72,4.69,4.71,20400
2015-11-17,4.54,4.68,4.54,4.6,62420
2015-11-18,4.69,4.69,4.6,4.67,83390
2015-11-19,4.6,4.6,4.54,4.54,60970
2015-11-20,4.54,4.54,4.34,4.34,59710
2015-11-23,4.46,4.46,4.34,4.39,53810
2015-11-24,4.59,4.59,4.29,4.38,16280
2015-11-25,4.38,4.4,4.22,4.27,8900
2015-11-26,4.36,4.36,4.08,4.31,7030
2015-11-27,4.29,4.34,4.14,4.29,29260
2015-11-30,4.23,4.47,4.23,4.46,71600
2015-12-01,4.4,4.4,4.36,4.36,4980
2015-12-02,4.34,4.35,4.31,4.33,32520
2015-12-03,4.29,4.29,4.27,4.27,40900
2015-12-04,4.25,4.26,4.25,4.26,5300
2015-12-07,4.46,4.51,4.38,4.38,5890
2015-12-08,4.38,4.38,4.34,4.36,170
2015-12-09,4.36,4.4,4.31,4.34,60510
2015-12-10,4.47,4.47,4.29,4.3,95800
2015-12-11,4.29,4.34,4.21,4.3,79560
2015-12-14,4.27,4.27,4.08,4.21,20020
2015-12-15,4.21,4.27,4.21,4.26,5590
2015-12-16,4.26,4.34,4.1,4.34,33930
2015-12-17,4.34,4.46,4.34,4.34,39010
2015-12-18,4.18,4.34,4.18,4.34,20
2015-12-21,4.26,4.27,4.26,4.27,8330
2015-12-22,4.15,4.27,4.15,4.27,930
2015-12-23,4.23,4.23,4.15,4.15,5000
2015-12-24,4.19,4.33,4.18,4.27,35230
2015-12-25,4.27,4.56,4.21,4.27,47810
2015-12-28,4.21,4.21,4.17,4.17,270
2015-12-29,4.18,4.19,4.18,4.19,19930
2015-12-30,4.21,4.48,4.19,4.48,110410
2015-12-31,4.58,4.58,4.36,4.36,34990
2016-01-04,4.4,4.4,4.22,4.4,1520
2016-01-06,4.31,4.33,4.29,4.3,12610
2016-01-07,4.01,4.29,4.01,4.27,7930
2016-01-08,4.26,4.26,4.08,4.18,5210
2016-01-11,3.89,4.4,3.89,4.21,18240
2016-01-12,4.08,4.27,4.08,4.27,11280
2016-01-13,4.08,4.27,4.08,4.27,950
2016-01-14,4.27,4.27,4.14,4.14,2630
2016-01-15,3.98,4.21,3.98,4.18,600
2016-01-18,3.94,4.18,3.94,4.18,4630
2016-01-19,3.98,4.14,3.94,4.14,3310
2016-01-20,3.87,4.14,3.87,4.14,820
2016-01-21,3.94,4.12,3.94,4.12,11740
2016-01-22,4.08,4.08,4.06,4.06,2820
2016-01-25,3.94,4.34,3.94,4.34,21430
2016-01-26,4.34,4.34,4.21,4.31,19590
2016-01-27,4.3,4.3,4.21,4.29,15600
2016-01-28,4.29,4.3,4.1,4.1,27110
2016-01-29,4.08,4.21,4.08,4.14,15040
2016-02-01,4.15,4.21,4.14,4.21,2740
2016-02-02,4.08,4.21,4.08,4.21,1050
2016-02-03,4.21,4.21,4.21,4.21,10
2016-02-04,4.08,4.26,4.08,4.26,1320
2016-02-05,4.21,4.26,4.08,4.26,3320
2016-02-15,4.38,4.38,4.38,4.38,10
2016-02-16,4.14,4.26,4.14,4.21,1180
2016-02-17,4.21,4.21,4.18,4.18,6440
2016-02-18,4.18,4.25,4.09,4.25,9140
2016-02-19,4.26,4.26,4.14,4.21,11270
2016-02-22,4.22,4.27,4.21,4.27,9000
2016-02-23,4.33,4.33,4.15,4.33,21820
2016-02-24,4.21,4.31,4.18,4.31,32260
2016-02-25,4.24,4.24,4.23,4.24,1370
2016-02-26,4.24,4.33,4.12,4.12,2100
2016-02-29,4.12,4.26,4.06,4.12,14160
2016-03-01,4.19,4.19,4.01,4.12,15310
2016-03-02,4.12,4.13,4.02,4.12,15640
2016-03-03,4.12,4.12,4.02,4.11,15790
2016-03-04,4.01,4.01,3.94,3.94,32870
2016-03-07,4.01,4.13,4.0,4.12,79170
2016-03-08,4.12,4.39,4.12,4.39,107790
2016-03-09,4.39,4.41,4.11,4.39,38260
2016-03-10,4.15,4.41,4.15,4.41,21450
2016-03-11,4.38,4.38,4.13,4.16,26210
2016-03-14,4.13,4.34,3.97,4.13,7690
2016-03-15,4.26,4.26,3.93,4.0,11980
2016-03-16,4.24,4.24,3.86,3.93,37290
2016-03-17,4.0,4.11,4.0,4.06,22830
2016-03-18,4.09,4.09,4.0,4.06,25090
2016-03-21,4.06,4.06,4.02,4.06,16080
2016-03-22,4.06,4.06,4.0,4.0,19470
2016-03-23,4.02,4.02,3.93,4.02,30880
2016-03-24,4.05,4.05,4.02,4.02,14390
2016-03-25,4.05,4.06,4.02,4.02,15650
2016-03-28,4.02,4.02,4.0,4.02,44950
2016-03-29,4.06,4.06,3.94,3.98,40130
2016-03-30,4.04,4.04,3.93,4.0,20930
2016-03-31,3.98,3.98,3.97,3.97,16230
2016-04-01,3.93,3.98,3.86,3.98,11100
2016-04-04,3.98,3.98,3.95,3.97,23720
2016-04-05,3.97,3.97,3.95,3.97,23270
2016-04-06,3.97,3.97,3.97,3.97,24070
2016-04-07,3.97,3.97,3.71,3.97,42540
2016-04-08,3.93,3.93,3.9,3.9,29310
2016-04-11,3.93,3.93,3.87,3.9,24600
2016-04-12,3.98,3.98,3.71,3.89,1730
2016-04-13,3.86,3.86,3.73,3.84,460
2016-04-14,3.71,3.71,3.62,3.65,11460
2016-04-15,3.53,3.73,3.53,3.73,11170
2016-04-19,3.65,3.72,3.65,3.72,40
2016-04-20,3.72,3.73,3.61,3.61,5060
2016-04-21,3.71,3.71,3.66,3.66,22850
2016-04-22,3.62,3.68,3.58,3.66,23680
2016-04-25,3.64,3.65,3.64,3.65,3970
2016-04-26,3.64,3.64,3.58,3.6,1270
2016-04-27,3.6,3.6,3.53,3.58,2910
2016-04-28,3.53,3.57,3.49,3.5,11340
2016-04-29,3.31,3.71,3.31,3.71,12160
2016-05-04,3.69,3.69,3.62,3.65,4650
2016-05-05,3.65,3.65,3.6,3.6,4320
2016-05-06,3.6,3.64,3.58,3.61,11960
2016-05-09,3.46,3.6,3.46,3.6,3680
2016-05-11,3.58,3.58,3.46,3.58,140
2016-05-12,3.58,3.58,3.44,3.57,2320
2016-05-13,3.55,3.55,3.46,3.54,1400
2016-05-16,3.54,3.54,3.44,3.46,3840
2016-05-17,3.44,3.44,3.31,3.32,8390
2016-05-18,3.31,3.31,3.1,3.1,5040
2016-05-19,3.31,3.31,3.2,3.24,1910
2016-05-23,3.17,3.33,3.17,3.24,1380
2016-05-24,3.17,3.17,3.17,3.17,1690
2016-05-25,3.24,3.24,3.15,3.17,120
2016-05-27,3.17,3.17,2.98,3.17,6360
2016-05-30,2.96,3.02,2.96,2.96,5460
2016-05-31,3.03,3.17,2.77,3.17,33190
2016-06-01,3.31,3.33,3.2,3.24,1530
2016-06-02,3.22,3.22,3.15,3.18,1000
2016-06-03,3.17,3.25,3.17,3.24,3890
2016-06-06,3.24,3.24,3.1,3.11,5280
2016-06-07,3.22,3.32,3.11,3.31,6160
2016-06-08,3.31,3.31,3.17,3.31,12510
2016-06-09,3.21,3.24,3.15,3.21,16950
2016-06-10,3.21,3.22,3.09,3.21,4760
2016-06-13,3.21,3.33,3.17,3.33,1460
2016-06-14,3.33,3.36,3.33,3.33,6830
2016-06-15,3.24,3.33,3.13,3.31,12840
2016-06-16,3.31,3.32,3.24,3.32,1120
2016-06-17,3.31,3.31,3.24,3.31,3220
2016-06-20,3.2,3.28,3.11,3.27,10950
2016-06-21,3.27,3.27,3.14,3.27,10750
2016-06-22,3.14,3.25,3.13,3.25,7510
2016-06-23,3.14,3.17,3.11,3.17,7450
2016-06-24,3.11,3.2,3.03,3.15,15710
2016-06-27,2.96,3.17,2.96,3.17,1650
2016-06-28,3.1,3.17,2.96,3.17,7830
2016-06-29,3.14,3.14,3.14,3.14,610
2016-06-30,3.14,3.14,2.99,3.11,7230
2016-07-01,3.11,3.11,3.09,3.09,2080
2016-07-04,2.98,3.09,2.98,3.09,1350
2016-07-05,3.0,3.09,3.0,3.09,1070
2016-07-06,3.09,3.17,2.99,3.1,3290
2016-07-07,3.13,3.13,2.96,2.98,23270
2016-07-08,2.98,2.98,2.95,2.98,3000
2016-07-11,2.98,2.98,2.89,2.98,4400
2016-07-12,2.91,2.98,2.91,2.98,810
2016-07-13,2.98,2.98,2.98,2.98,2110
2016-07-14,2.98,3.1,2.98,2.98,7350
2016-07-15,2.98,3.0,2.93,3.0,980
2016-07-18,3.0,3.0,2.91,2.93,1050
2016-07-19,2.91,2.98,2.89,2.98,640
2016-07-20,2.96,2.98,2.89,2.95,21530
2016-07-21,2.91,2.91,2.89,2.89,5480
2016-07-22,2.89,2.89,2.76,2.85,1680
2016-07-25,2.85,2.85,2.66,2.66,7280
2016-07-26,2.56,2.7,2.48,2.7,3170
2016-07-27,2.7,2.7,2.65,2.69,19410
2016-07-28,2.69,2.69,2.63,2.65,21750
2016-07-29,2.63,2.69,2.62,2.66,20030
2016-08-01,2.65,2.67,2.52,2.52,21760
2016-08-02,2.55,2.63,2.55,2.59,20360
2016-08-03,2.62,2.76,2.52,2.7,136070
2016-08-04,2.73,2.74,2.56,2.65,29540
2016-08-05,2.66,2.66,2.52,2.56,23290
2016-08-08,2.56,2.56,2.41,2.45,40170
2016-08-09,2.42,2.44,2.33,2.33,36220
2016-08-10,2.34,2.4,2.34,2.38,36680
2016-08-11,2.27,2.4,2.27,2.34,42390
2016-08-12,2.34,2.36,2.31,2.33,14500
2016-08-15,2.33,2.37,2.31,2.37,13480
2016-08-16,2.37,2.37,2.33,2.33,22200
2016-08-17,2.36,2.36,2.31,2.36,19460
2016-08-18,2.34,2.36,2.27,2.3,21100
2016-08-19,2.33,2.33,2.25,2.25,35220
2016-08-22,2.25,2.25,2.14,2.15,25730
2016-08-23,2.14,2.18,2.09,2.09,28910
2016-08-24,2.11,2.12,2.03,2.04,59490
2016-08-25,2.05,2.08,2.04,2.08,21350
2016-08-26,2.07,2.11,2.07,2.11,25870
2016-08-29,2.09,2.22,2.09,2.2,58370
2016-08-30,2.2,2.31,2.2,2.29,60900
2016-08-31,2.3,2.33,2.22,2.22,53580
2016-09-01,2.22,2.22,2.14,2.15,33530
