date,open,high,low,close,volume
2015-11-26,3.1,3.16,3.08,3.12,253170
2015-11-27,3.12,3.22,3.1,3.1,147430
2015-11-30,3.1,3.12,2.97,3.08,196930
2015-12-01,3.08,3.12,2.99,3.08,123240
2015-12-02,3.03,3.05,2.99,3.05,151960
2015-12-03,3.03,3.03,2.97,2.97,152130
2015-12-04,2.97,2.99,2.88,2.93,148130
2015-12-07,2.88,2.95,2.86,2.93,91690
2015-12-08,2.93,3.01,2.86,2.97,207880
2015-12-09,2.97,3.01,2.95,2.97,115530
2015-12-10,2.97,2.97,2.86,2.93,171030
2015-12-11,2.93,2.93,2.88,2.93,177130
2015-12-14,2.91,2.91,2.86,2.91,117050
2015-12-15,2.91,2.93,2.88,2.91,131930
2015-12-16,2.91,2.99,2.91,2.93,174650
2015-12-17,2.93,2.97,2.88,2.97,157250
2015-12-18,2.97,2.97,2.91,2.97,121260
2015-12-21,2.97,2.97,2.93,2.97,122860
2015-12-22,2.97,2.99,2.91,2.95,125840
2015-12-23,2.95,2.97,2.93,2.95,208000
2015-12-24,2.95,2.95,2.91,2.95,145770
2015-12-25,2.95,2.95,2.91,2.95,155400
2015-12-28,2.95,2.97,2.91,2.91,155820
2015-12-29,2.91,2.95,2.88,2.95,177980
2015-12-30,2.95,2.95,2.93,2.95,186900
2015-12-31,2.95,2.95,2.91,2.95,205710
2016-01-04,2.93,2.95,2.93,2.93,113050
2016-01-05,2.93,2.95,2.91,2.95,206010
2016-01-06,2.95,3.12,2.91,3.05,359800
2016-01-07,3.05,3.05,2.95,3.03,205740
2016-01-08,2.99,3.05,2.97,3.05,213380
2016-01-11,3.05,3.05,2.99,3.03,226290
2016-01-12,3.03,3.03,3.01,3.01,175680
2016-01-13,3.01,3.05,2.97,3.01,181590
2016-01-14,2.99,3.01,2.95,2.99,186330
2016-01-15,2.99,3.01,2.93,2.95,216730
2016-01-18,2.95,2.95,2.8,2.84,79170
2016-01-19,2.84,2.84,2.8,2.82,88870
2016-01-20,2.8,2.86,2.76,2.86,123920
2016-01-21,2.84,2.84,2.78,2.84,151040
2016-01-22,2.84,2.84,2.76,2.76,152420
2016-01-25,2.76,2.93,2.76,2.88,145500
2016-01-26,2.84,2.88,2.78,2.84,138290
2016-01-27,2.82,2.93,2.82,2.93,142040
2016-01-28,2.93,2.93,2.8,2.8,218430
2016-01-29,2.8,2.93,2.8,2.91,159230
2016-02-01,2.91,2.95,2.86,2.88,148670
2016-02-02,2.88,2.93,2.82,2.84,131760
2016-02-03,2.84,2.88,2.82,2.88,124840
2016-02-04,2.88,2.88,2.82,2.86,123930
2016-02-05,2.86,2.88,2.84,2.88,131230
2016-02-15,2.88,2.88,2.82,2.88,105910
2016-02-16,2.88,2.93,2.86,2.91,139870
2016-02-17,2.91,2.91,2.86,2.88,99130
2016-02-18,2.88,2.91,2.84,2.88,132480
2016-02-19,2.88,2.91,2.84,2.91,138670
2016-02-22,2.91,2.91,2.78,2.88,133200
2016-02-23,2.88,2.91,2.86,2.88,127380
2016-02-24,2.88,2.88,2.84,2.88,140530
2016-02-25,2.88,2.88,2.82,2.86,120790
2016-02-26,2.84,2.86,2.82,2.86,119760
2016-02-29,2.86,2.86,2.82,2.84,119300
2016-03-01,2.82,2.84,2.8,2.82,124190
2016-03-02,2.82,2.86,2.78,2.82,108530
2016-03-03,2.82,2.86,2.78,2.86,106090
2016-03-04,2.84,2.86,2.82,2.86,84070
2016-03-07,2.86,2.88,2.82,2.86,105330
2016-03-08,2.86,2.88,2.84,2.88,102030
2016-03-09,2.88,2.91,2.86,2.91,107000
2016-03-10,2.91,2.91,2.86,2.88,107530
2016-03-11,2.88,2.88,2.84,2.88,103340
2016-03-14,2.86,2.88,2.84,2.88,103010
2016-03-15,2.86,2.86,2.78,2.86,113250
2016-03-16,2.86,2.88,2.82,2.88,102280
2016-03-17,2.88,2.88,2.82,2.88,102680
2016-03-18,2.86,2.88,2.8,2.86,101360
2016-03-21,2.86,2.88,2.84,2.86,116850
2016-03-22,2.86,2.86,2.8,2.84,114470
2016-03-23,2.84,2.86,2.78,2.84,118230
2016-03-24,2.84,2.86,2.8,2.82,95500
2016-03-25,2.82,2.84,2.76,2.82,130730
2016-03-28,2.82,2.82,2.76,2.82,148020
2016-03-29,2.82,2.82,2.76,2.8,128340
2016-03-30,2.8,2.82,2.76,2.76,141850
2016-03-31,2.78,2.8,2.74,2.8,121950
2016-04-01,2.8,2.82,2.76,2.8,100080
2016-04-04,2.8,2.8,2.76,2.78,51150
2016-04-05,2.78,2.8,2.74,2.78,63060
2016-04-06,2.76,2.8,2.74,2.8,83840
2016-04-07,2.8,2.8,2.74,2.8,58180
2016-04-08,2.8,2.8,2.74,2.78,69980
2016-04-11,2.78,2.8,2.74,2.76,60630
2016-04-12,2.76,2.86,2.76,2.86,120090
2016-04-13,2.84,2.88,2.82,2.86,45120
2016-04-14,2.86,2.86,2.84,2.86,53980
