date,open,high,low,close,volume
2015-09-28,3.1,3.12,3.02,3.02,1005260
2015-09-29,3.0,3.01,2.97,3.01,1006020
2015-09-30,3.02,3.07,3.02,3.04,554080
2015-10-01,3.04,3.07,3.04,3.07,304040
2015-10-02,3.07,3.13,3.07,3.09,903700
2015-10-05,3.08,3.14,3.08,3.14,1300420
2015-10-06,3.17,3.21,3.15,3.2,3208050
2015-10-07,3.21,3.21,3.14,3.15,1510940
2015-10-08,3.16,3.23,3.14,3.22,1920520
2015-10-09,3.24,3.28,3.21,3.24,1589230
2015-10-12,3.25,3.3,3.24,3.28,2015180
2015-10-13,3.26,3.27,3.24,3.24,903340
2015-10-14,3.24,3.26,3.23,3.23,1203260
2015-10-15,3.24,3.33,3.23,3.23,2543820
2015-10-16,3.25,3.28,3.19,3.2,2343410
2015-10-19,3.22,3.22,3.18,3.2,1717090
2015-10-20,3.2,3.2,3.13,3.14,1727880
2015-10-21,3.14,3.18,3.11,3.12,1133870
2015-10-22,3.11,3.15,3.11,3.14,881840
2015-10-23,3.2,3.2,3.16,3.18,1050300
2015-10-26,3.19,3.24,3.19,3.19,1371800
2015-10-27,3.19,3.2,3.16,3.17,837210
2015-10-28,3.17,3.18,3.14,3.14,986700
2015-10-29,3.15,3.18,3.14,3.15,1479150
2015-10-30,3.15,3.17,3.14,3.15,1046520
2015-11-02,3.15,3.15,3.1,3.12,1201140
2015-11-03,3.12,3.15,3.09,3.15,934900
2015-11-04,3.16,3.16,3.09,3.11,1137210
2015-11-05,3.11,3.13,3.1,3.1,651500
2015-11-06,3.1,3.13,3.08,3.1,925860
2015-11-09,3.08,3.11,3.07,3.07,555820
2015-11-10,3.07,3.08,3.04,3.05,674010
2015-11-11,3.05,3.06,3.03,3.03,730200
2015-11-12,3.03,3.04,2.98,3.01,1406120
2015-11-13,3.01,3.02,2.99,3.01,1306930
2015-11-16,3.02,3.02,2.96,2.96,1217400
2015-11-17,2.96,3.05,2.96,3.02,2014180
2015-11-18,3.03,3.04,3.0,3.01,596730
2015-11-19,3.01,3.01,2.98,2.98,436500
2015-11-20,2.97,3.01,2.96,2.99,812890
2015-11-23,3.0,3.03,3.0,3.02,966110
2015-11-24,3.02,3.04,3.01,3.01,1097160
2015-11-25,3.01,3.11,2.99,3.11,2194230
2015-11-26,3.14,3.2,3.12,3.17,2819750
2015-11-27,3.18,3.21,3.13,3.13,3387410
2015-11-30,3.1,3.1,3.04,3.05,1147460
2015-12-01,3.06,3.07,3.03,3.03,1041490
2015-12-02,3.03,3.07,3.03,3.06,1342220
2015-12-03,3.06,3.09,3.05,3.06,658700
2015-12-04,3.06,3.06,3.01,3.03,817290
2015-12-07,3.01,3.03,2.98,2.99,691540
2015-12-08,2.97,3.04,2.96,3.03,776960
2015-12-09,3.03,3.04,2.98,2.98,530540
2015-12-10,2.97,3.0,2.94,2.94,1068970
2015-12-11,2.95,2.99,2.94,2.98,849510
2015-12-14,3.09,3.1,3.06,3.06,1578990
2015-12-15,3.05,3.08,3.05,3.06,1399890
2015-12-16,3.07,3.07,3.05,3.05,754300
2015-12-17,3.05,3.06,3.03,3.04,644820
2015-12-18,3.04,3.07,3.02,3.04,9525010
2015-12-21,3.02,3.02,2.98,3.0,881460
2015-12-22,2.99,2.99,2.96,2.97,435510
2015-12-23,2.98,2.98,2.94,2.95,664920
2015-12-24,2.95,2.98,2.95,2.95,230640
2015-12-25,2.95,2.97,2.94,2.95,403760
2015-12-28,2.95,2.96,2.89,2.89,1002190
2015-12-29,2.9,2.91,2.87,2.89,466130
2015-12-30,2.92,2.95,2.9,2.93,652720
2015-12-31,2.93,2.93,2.89,2.92,390410
2016-01-04,2.93,2.93,2.88,2.88,404530
2016-01-05,2.87,2.89,2.85,2.85,628760
2016-01-06,2.85,2.9,2.85,2.9,658730
2016-01-07,2.86,2.87,2.81,2.82,1030130
2016-01-08,2.77,2.81,2.75,2.77,864290
2016-01-11,2.79,2.79,2.76,2.77,488320
2016-01-12,2.76,2.81,2.76,2.8,343540
2016-01-13,2.81,2.81,2.75,2.75,685150
2016-01-14,2.74,2.74,2.64,2.65,1479820
2016-01-15,2.65,2.66,2.53,2.55,2199370
2016-01-18,2.41,2.49,2.39,2.48,2898070
2016-01-19,2.49,2.55,2.48,2.52,2466700
2016-01-20,2.5,2.55,2.47,2.52,1989300
2016-01-21,2.48,2.55,2.48,2.55,2017340
2016-01-22,2.56,2.59,2.53,2.56,2755250
2016-01-25,2.6,2.73,2.6,2.72,1238860
2016-01-26,2.65,2.71,2.63,2.64,1299900
2016-01-27,2.69,2.7,2.66,2.68,1218350
2016-01-28,2.69,2.72,2.65,2.65,778140
2016-01-29,2.67,2.75,2.65,2.75,860030
2016-02-01,2.75,2.8,2.67,2.67,855840
2016-02-02,2.65,2.69,2.64,2.68,289590
2016-02-03,2.64,2.69,2.63,2.68,1232420
2016-02-04,2.69,2.71,2.69,2.7,177320
2016-02-05,2.7,2.72,2.68,2.7,155980
2016-02-15,2.7,2.7,2.6,2.64,1033620
2016-02-16,2.64,2.68,2.64,2.67,489920
2016-02-17,2.65,2.68,2.65,2.67,605330
2016-02-18,2.68,2.71,2.68,2.68,502930
2016-02-19,2.68,2.71,2.68,2.7,704540
2016-02-22,2.69,2.77,2.69,2.72,1091060
2016-02-23,2.79,2.79,2.72,2.72,807300
2016-02-24,2.72,2.73,2.68,2.72,669660
2016-02-25,2.73,2.79,2.72,2.73,941770
2016-02-26,2.74,2.84,2.73,2.84,1862030
2016-02-29,2.88,2.88,2.79,2.79,941320
2016-03-01,2.79,2.79,2.73,2.74,964040
2016-03-02,2.75,2.76,2.68,2.72,1616220
2016-03-03,2.74,2.75,2.7,2.7,737360
2016-03-04,2.71,2.77,2.69,2.75,758830
2016-03-07,2.76,2.81,2.75,2.78,2201530
2016-03-08,2.82,2.93,2.82,2.89,6767430
2016-03-09,2.9,2.95,2.85,2.85,2672170
2016-03-10,2.87,2.87,2.84,2.86,1245540
2016-03-11,2.87,2.91,2.85,2.88,2144310
2016-03-14,2.91,3.02,2.9,3.0,3870560
2016-03-15,3.02,3.05,2.97,3.0,2696450
2016-03-16,3.02,3.02,2.98,2.99,1634300
2016-03-17,3.02,3.04,2.99,3.0,2100490
2016-03-18,3.01,3.01,2.97,2.97,2584200
2016-03-21,2.99,3.03,2.98,2.98,1512420
2016-03-22,2.99,2.99,2.95,2.95,1602960
2016-03-23,2.93,2.97,2.91,2.93,1576220
2016-03-24,2.92,2.96,2.88,2.88,1758820
2016-03-25,2.88,2.92,2.87,2.9,1704310
2016-03-28,2.91,2.99,2.91,2.99,1174990
2016-03-29,3.0,3.04,2.98,2.98,2044410
2016-03-30,2.97,2.99,2.95,2.95,1579390
2016-03-31,2.95,3.02,2.94,2.95,2460570
2016-04-01,2.95,2.96,2.88,2.9,1523320
2016-04-04,2.9,2.95,2.89,2.92,986480
2016-04-05,2.92,2.94,2.91,2.93,536800
2016-04-06,2.93,3.02,2.93,3.02,1954970
2016-04-07,3.04,3.07,3.01,3.01,2701300
2016-04-08,3.01,3.11,3.0,3.08,7079970
2016-04-11,3.11,3.17,3.11,3.15,5057970
2016-04-12,3.15,3.18,3.14,3.17,2850420
2016-04-13,3.17,3.17,3.09,3.11,3106110
2016-04-14,3.13,3.18,3.11,3.14,2142460
2016-04-15,3.16,3.19,3.13,3.13,2734540
2016-04-19,3.14,3.14,3.09,3.09,3047720
2016-04-20,3.11,3.15,3.08,3.12,2813360
2016-04-21,3.14,3.2,3.14,3.15,3670790
2016-04-22,3.16,3.28,3.15,3.27,4327260
2016-04-25,3.3,3.35,3.29,3.3,3046090
2016-04-26,3.28,3.34,3.25,3.3,3019430
2016-04-27,3.3,3.3,3.24,3.27,2321780
2016-04-28,3.26,3.28,3.22,3.25,1669040
2016-04-29,3.24,3.35,3.24,3.35,3455190
2016-05-04,3.4,3.55,3.39,3.51,6404100
2016-05-05,3.52,3.69,3.46,3.51,7908200
2016-05-06,3.47,3.5,3.4,3.41,4098640
2016-05-09,3.45,3.48,3.4,3.4,3455700
2016-05-10,3.35,3.41,3.33,3.35,4939730
2016-05-11,3.41,3.46,3.4,3.46,2497620
2016-05-12,3.48,3.48,3.41,3.41,1742800
2016-05-13,3.39,3.4,3.31,3.33,3860220
2016-05-16,3.32,3.33,3.29,3.32,2259110
2016-05-17,3.33,3.39,3.33,3.36,1339920
2016-05-18,3.37,3.37,3.31,3.31,1773380
2016-05-19,3.31,3.36,3.3,3.32,1726020
2016-05-20,3.32,3.33,3.3,3.32,1426750
2016-05-23,3.32,3.4,3.31,3.37,1149830
