date,open,high,low,close,volume
2015-09-28,5.67,5.71,5.64,5.68,155380
2015-09-29,5.65,5.7,5.63,5.7,206310
2015-09-30,5.67,5.72,5.65,5.71,65540
2015-10-01,5.71,5.72,5.7,5.72,178460
2015-10-02,5.74,5.92,5.71,5.92,342420
2015-10-05,5.91,5.93,5.75,5.88,219360
2015-10-06,5.95,6.0,5.89,5.98,380430
2015-10-07,6.02,6.02,5.91,5.92,183080
2015-10-08,5.92,6.06,5.89,6.02,320520
2015-10-09,6.02,6.06,5.99,6.02,387670
2015-10-12,6.03,6.2,6.03,6.12,583260
2015-10-13,6.09,6.12,6.05,6.07,259940
2015-10-14,6.07,6.14,6.07,6.09,264550
2015-10-15,6.05,6.17,6.05,6.13,219160
2015-10-16,6.13,6.2,6.13,6.2,383230
2015-10-19,6.27,6.3,6.2,6.2,892590
2015-10-20,6.16,6.23,6.03,6.09,269390
2015-10-21,6.14,6.16,6.05,6.07,195000
2015-10-22,6.09,6.14,6.05,6.07,276170
2015-10-23,6.12,6.3,6.09,6.3,1231900
2015-10-26,6.31,6.44,6.31,6.35,1124800
2015-10-27,6.35,6.62,6.31,6.56,1413330
2015-10-28,6.54,6.65,6.44,6.45,717240
2015-10-29,6.45,6.58,6.41,6.47,1072940
2015-10-30,6.51,6.54,6.44,6.51,352320
2015-11-02,6.49,6.49,6.23,6.23,1212800
2015-11-03,6.2,6.41,6.1,6.41,509700
2015-11-04,6.41,6.41,6.27,6.27,187760
2015-11-05,6.24,6.33,6.24,6.24,173860
2015-11-06,6.23,6.3,6.17,6.2,281240
2015-11-09,6.23,6.3,6.12,6.26,167800
2015-11-10,6.23,6.28,6.2,6.2,127560
2015-11-11,6.23,6.26,6.2,6.21,191930
2015-11-12,6.24,6.24,6.16,6.16,317630
2015-11-13,6.19,6.19,6.13,6.14,422580
2015-11-16,6.14,6.16,6.12,6.16,249430
2015-11-17,6.16,6.28,6.14,6.23,737360
2015-11-18,6.27,6.27,6.16,6.16,197460
2015-11-19,6.16,6.2,6.14,6.16,407400
2015-11-20,6.2,6.21,6.16,6.16,897730
2015-11-23,6.16,6.17,6.09,6.16,468010
2015-11-24,6.16,6.16,6.09,6.13,475620
2015-11-25,6.13,6.13,6.02,6.02,530400
2015-11-26,6.2,6.27,6.09,6.09,324600
2015-11-27,6.09,6.09,5.76,5.78,398520
2015-11-30,5.78,5.91,5.75,5.76,130290
2015-12-01,5.76,6.0,5.76,5.82,234250
2015-12-02,5.87,5.93,5.85,5.87,114870
2015-12-03,5.91,6.02,5.87,5.96,382430
2015-12-04,5.98,5.98,5.85,5.87,227510
2015-12-07,5.91,5.95,5.87,5.93,258300
2015-12-08,5.93,5.96,5.85,5.93,304270
2015-12-09,5.96,6.18,5.96,6.07,976090
2015-12-10,6.16,6.16,5.93,5.93,267500
2015-12-11,6.0,6.09,5.96,6.07,317060
2015-12-14,6.04,6.11,6.0,6.04,233590
2015-12-15,6.04,6.04,5.95,5.96,114310
2015-12-16,5.96,6.07,5.93,5.96,273220
2015-12-17,6.05,6.05,5.93,5.96,363010
2015-12-18,5.96,6.04,5.96,5.98,305420
2015-12-21,6.0,6.05,5.93,5.95,170570
2015-12-22,5.96,5.96,5.85,5.85,198590
2015-12-23,5.85,5.93,5.8,5.85,149970
2015-12-24,5.82,5.91,5.76,5.78,206350
2015-12-25,5.73,5.85,5.73,5.78,211370
2015-12-28,5.78,5.82,5.67,5.71,175720
2015-12-29,5.69,5.73,5.67,5.73,218460
2015-12-30,5.76,5.84,5.76,5.82,165190
2015-12-31,5.8,5.85,5.73,5.73,147170
2016-01-04,5.82,5.91,5.78,5.85,363400
2016-01-05,5.91,5.91,5.76,5.78,179530
2016-01-06,5.84,5.85,5.8,5.82,327170
2016-01-07,5.8,5.82,5.69,5.75,467270
2016-01-08,5.69,5.75,5.64,5.71,322800
2016-01-11,5.75,5.75,5.65,5.67,148180
2016-01-12,5.67,5.75,5.65,5.75,226480
2016-01-13,5.73,5.8,5.67,5.71,101730
2016-01-14,5.64,5.71,5.38,5.47,417550
2016-01-15,5.47,5.56,5.35,5.35,431460
2016-01-18,5.18,5.18,4.98,5.05,802670
2016-01-19,5.13,5.2,5.09,5.11,414050
2016-01-20,5.0,5.18,5.0,5.02,747080
2016-01-21,4.98,5.02,4.67,4.69,1060710
2016-01-22,4.75,4.82,4.51,4.58,1120390
2016-01-25,4.64,4.89,4.64,4.89,720440
2016-01-26,4.82,4.96,4.75,4.87,359220
2016-01-27,4.91,5.15,4.91,5.11,667610
2016-01-28,5.11,5.24,5.04,5.16,575090
2016-01-29,5.22,5.22,5.11,5.2,286810
2016-02-01,5.16,5.24,5.05,5.05,328720
2016-02-02,5.04,5.09,5.0,5.02,95420
2016-02-03,5.05,5.05,4.91,5.04,104560
2016-02-04,5.09,5.13,5.04,5.11,126400
2016-02-05,5.18,5.18,5.09,5.11,191710
2016-02-15,5.11,5.15,5.07,5.15,186380
2016-02-16,5.11,5.2,5.09,5.15,271950
2016-02-17,5.15,5.27,5.15,5.2,494430
2016-02-18,5.24,5.25,5.18,5.2,323530
2016-02-19,5.2,5.24,5.16,5.18,280030
2016-02-22,5.18,5.4,5.16,5.31,701110
2016-02-23,5.35,5.36,5.24,5.27,448060
2016-02-24,5.24,5.29,5.22,5.27,317570
2016-02-25,5.27,5.42,5.27,5.31,607720
2016-02-26,5.35,5.49,5.35,5.49,871590
2016-02-29,5.49,5.8,5.49,5.65,867770
2016-03-01,5.69,5.71,5.55,5.56,696980
2016-03-02,5.6,5.64,5.56,5.6,519050
2016-03-03,5.62,5.75,5.62,5.67,316350
2016-03-04,5.67,5.8,5.64,5.69,527130
2016-03-07,6.07,6.07,6.04,6.07,1392630
2016-03-08,6.36,6.4,6.15,6.25,2592460
2016-03-09,6.27,6.27,6.05,6.16,972940
2016-03-10,6.24,6.24,6.13,6.2,568570
2016-03-11,6.2,6.45,6.18,6.31,1316380
2016-03-14,6.36,6.44,6.33,6.38,1057590
2016-03-15,6.38,6.4,6.27,6.29,859010
2016-03-16,6.29,6.35,6.25,6.33,885210
2016-03-17,6.38,6.56,6.36,6.42,1253010
2016-03-18,6.51,6.56,6.49,6.49,895880
2016-03-21,6.55,6.56,6.35,6.42,586930
2016-03-22,6.42,6.53,6.42,6.45,815660
2016-03-23,6.51,6.51,6.38,6.44,696480
2016-03-24,6.42,6.44,6.29,6.33,812620
2016-03-25,6.33,6.33,6.15,6.27,942480
2016-03-28,6.29,6.51,6.27,6.51,449540
2016-03-29,6.55,6.64,6.36,6.44,632030
2016-03-30,6.36,6.49,6.36,6.45,603450
2016-03-31,6.45,6.45,6.27,6.27,899240
2016-04-01,6.27,6.29,6.09,6.24,1169740
2016-04-04,6.27,6.45,6.25,6.33,916260
2016-04-05,6.33,6.55,6.33,6.55,1335130
2016-04-06,6.6,6.76,6.51,6.76,1953280
2016-04-07,6.91,7.0,6.85,6.89,2004260
2016-04-08,6.96,7.33,6.96,7.2,1974640
2016-04-11,7.29,7.4,7.13,7.29,1825780
2016-04-12,7.25,7.31,7.2,7.2,1904700
2016-04-13,7.22,7.33,7.15,7.27,1350750
2016-04-14,7.35,7.45,7.27,7.27,987000
2016-04-15,7.29,7.39,7.27,7.27,1554490
2016-04-19,7.27,7.29,7.16,7.18,1467790
2016-04-20,7.54,7.66,7.47,7.66,2859230
2016-04-21,7.89,8.18,7.84,8.18,1940040
2016-04-22,8.18,8.32,8.09,8.22,1449330
2016-04-25,8.18,8.22,8.11,8.11,1274840
2016-04-26,8.11,8.46,8.03,8.46,1197870
2016-04-27,8.49,8.73,8.49,8.65,835620
2016-04-28,8.63,8.69,8.59,8.65,867810
2016-04-29,8.75,9.15,8.75,9.12,1978580
2016-05-04,9.31,9.7,9.21,9.7,1930890
2016-05-05,10.09,10.28,9.54,9.54,2336100
2016-05-06,9.43,9.89,9.43,9.7,1427620
2016-05-09,9.79,9.89,9.31,9.31,1734930
2016-05-10,9.19,9.48,8.98,9.31,1798200
2016-05-11,9.43,9.48,9.25,9.37,748260
2016-05-12,9.45,9.45,9.21,9.23,855160
2016-05-13,9.15,9.21,8.82,8.96,2142480
2016-05-16,8.98,9.04,8.69,8.82,1694120
2016-05-17,8.92,9.29,8.84,9.13,1325550
2016-05-18,9.25,9.25,9.04,9.04,1038790
2016-05-19,8.94,9.19,8.92,9.12,817380
2016-05-20,9.17,9.17,9.02,9.02,1050970
2016-05-23,9.02,9.1,8.88,8.88,858820
2016-05-24,8.88,9.41,8.81,9.35,2259060
2016-05-25,9.41,9.5,9.21,9.21,1045950
2016-05-26,9.21,9.39,9.21,9.33,1604020
2016-05-27,9.29,9.68,9.29,9.62,1515650
2016-05-30,9.7,9.79,9.54,9.6,1951270
2016-05-31,10.27,10.27,10.18,10.27,2565840
2016-06-01,10.53,10.85,10.47,10.79,2670450
2016-06-02,10.68,10.91,10.59,10.85,1684160
2016-06-03,10.88,10.88,10.71,10.82,1391650
2016-06-06,10.76,10.79,10.3,10.5,3276040
2016-06-07,10.5,10.71,10.5,10.71,1106350
2016-06-08,10.85,11.43,10.85,11.32,1757970
2016-06-09,11.4,11.46,11.23,11.35,1432100
2016-06-10,11.35,11.78,11.35,11.64,1615050
2016-06-13,11.72,11.84,11.35,11.69,1269680
2016-06-14,11.69,12.51,11.61,12.48,1858950
2016-06-15,12.51,12.8,12.13,12.39,2685530
2016-06-16,12.39,12.63,12.1,12.1,1759290
2016-06-17,11.93,12.07,11.29,11.4,4254340
2016-06-20,11.64,11.81,11.52,11.69,1215530
2016-06-21,11.9,12.39,11.81,11.93,1665350
2016-06-22,11.78,11.99,11.69,11.81,1217250
2016-06-23,11.75,12.04,11.75,11.81,1015080
2016-06-24,11.81,11.81,11.0,11.29,4198820
2016-06-27,11.23,11.52,10.97,11.46,931830
2016-06-28,11.43,11.84,11.35,11.84,1645130
2016-06-29,11.87,12.28,11.84,12.22,2424060
2016-06-30,12.31,12.51,11.99,12.01,1971230
2016-07-01,11.9,12.42,11.84,12.22,3159740
2016-07-04,12.36,12.8,12.33,12.8,3423820
2016-07-05,13.15,13.21,12.65,12.83,2735670
2016-07-06,12.54,13.03,12.54,13.03,2509320
2016-07-07,13.27,13.32,13.09,13.29,2295330
2016-07-08,13.56,13.61,13.12,13.61,3342590
2016-07-11,13.67,13.91,13.03,13.03,2976620
2016-07-12,13.24,13.27,12.51,13.09,3490350
2016-07-13,13.24,13.5,13.18,13.27,3527000
2016-07-14,13.27,13.29,12.36,12.36,4120260
2016-07-15,12.22,12.39,11.69,12.19,3036000
2016-07-18,12.22,13.0,12.19,13.0,1962060
2016-07-19,13.09,13.24,12.36,12.74,2679720
2016-07-20,12.71,12.8,12.07,12.07,3273660
2016-07-21,12.22,12.33,11.23,11.23,2945910
2016-07-22,11.2,11.23,10.56,11.08,5805860
2016-07-25,11.11,11.35,10.56,10.79,2814230
