date,open,high,low,close,volume
2015-09-28,2.88,2.9,2.82,2.84,1307150
2015-09-29,2.8,2.84,2.78,2.84,2167970
2015-09-30,2.86,2.88,2.84,2.84,1035490
2015-10-01,2.9,2.92,2.86,2.88,2619760
2015-10-02,2.9,2.9,2.86,2.86,1032200
2015-10-05,2.88,2.92,2.86,2.88,2541890
2015-10-06,2.9,2.95,2.9,2.93,3536140
2015-10-07,2.95,2.95,2.92,2.92,1786280
2015-10-08,2.88,2.9,2.84,2.86,9337620
2015-10-09,2.86,2.88,2.82,2.82,2824500
2015-10-12,2.8,2.84,2.78,2.8,2679050
2015-10-13,2.78,2.82,2.78,2.8,1590810
2015-10-14,2.8,2.82,2.78,2.78,1437730
2015-10-15,2.78,2.8,2.74,2.78,2858560
2015-10-16,2.76,2.8,2.76,2.78,2432880
2015-10-19,2.76,2.78,2.76,2.76,1423060
2015-10-20,2.76,2.76,2.73,2.73,1762510
2015-10-21,2.73,2.73,2.67,2.69,2075190
2015-10-22,2.69,2.73,2.69,2.71,1411620
2015-10-23,2.71,2.74,2.71,2.73,736810
2015-10-26,2.71,2.73,2.69,2.69,1303210
2015-10-27,2.69,2.71,2.65,2.67,1501170
2015-10-28,2.67,2.69,2.65,2.65,784850
2015-10-29,2.65,2.67,2.63,2.65,1213650
2015-10-30,2.67,2.74,2.67,2.73,2162260
2015-11-02,2.74,2.76,2.71,2.73,1288050
2015-11-03,2.73,2.74,2.69,2.73,1352090
2015-11-04,2.73,2.76,2.69,2.69,1370210
2015-11-05,2.69,2.73,2.69,2.69,675030
2015-11-06,2.69,2.71,2.67,2.69,669700
2015-11-09,2.69,2.74,2.69,2.74,1673120
2015-11-10,2.73,2.74,2.71,2.71,1140750
2015-11-11,2.71,2.74,2.71,2.73,1822830
2015-11-12,2.73,2.76,2.73,2.76,3101940
2015-11-13,2.76,2.84,2.76,2.82,4236680
2015-11-16,2.8,2.82,2.78,2.8,1992040
2015-11-17,2.78,2.8,2.76,2.76,1190090
2015-11-18,2.74,2.8,2.74,2.8,1379800
2015-11-19,2.8,2.8,2.76,2.78,1132620
2015-11-20,2.76,2.8,2.76,2.76,1155950
2015-11-23,2.76,2.78,2.74,2.76,1210690
2015-11-24,2.76,2.76,2.71,2.73,708920
2015-11-25,2.73,2.74,2.71,2.73,766440
2015-11-26,2.73,2.74,2.71,2.73,624860
2015-11-27,2.73,2.74,2.71,2.71,1400280
2015-11-30,2.71,2.71,2.67,2.67,1122050
2015-12-01,2.69,2.71,2.67,2.69,691030
2015-12-02,2.69,2.71,2.69,2.71,301570
2015-12-03,2.71,2.71,2.69,2.71,105650
2015-12-04,2.69,2.71,2.67,2.69,663540
2015-12-07,2.67,2.69,2.65,2.67,377080
2015-12-08,2.67,2.67,2.63,2.67,1294930
2015-12-09,2.67,2.69,2.65,2.65,864210
