date,open,high,low,close,volume
2020-10-09,6.7,6.7,4.78,5.67,2932700
2020-10-12,5.95,5.95,5.56,5.6,536634
2020-10-13,5.56,5.67,5.53,5.67,545206
2020-10-14,4.75,5.35,4.75,5.32,811941
2020-10-15,4.86,5.32,4.61,5.32,561213
2020-10-16,5.25,5.42,5.14,5.39,304401
2020-10-19,5.28,5.35,5.25,5.32,421911
2020-10-20,5.32,5.32,5.25,5.25,196333
2020-10-21,5.25,5.67,5.25,5.67,1279124
2020-10-22,5.49,5.64,5.42,5.53,118158
2020-10-23,5.53,5.53,5.39,5.39,175080
2020-10-26,5.39,5.39,5.32,5.39,205157
2020-10-27,5.35,5.53,5.32,5.32,142071
2020-10-28,5.28,5.35,5.14,5.21,293391
2020-10-29,5.28,5.28,5.21,5.25,106987
2020-10-30,5.28,5.28,4.64,5.28,75375
2020-11-02,5.28,5.46,5.28,5.32,128684
2020-11-03,5.32,5.32,5.07,5.32,51017
2020-11-04,5.28,5.32,5.25,5.28,44315
2020-11-05,5.28,5.28,5.25,5.25,52581
2020-11-06,5.28,5.28,5.14,5.25,201969
2020-11-09,5.14,5.21,5.14,5.17,826927
2020-11-10,5.25,5.25,5.17,5.17,71501
2020-11-11,5.14,5.21,5.14,5.17,61003
2020-11-12,5.14,5.21,5.0,5.1,84144
2020-11-13,5.14,5.21,5.03,5.07,142426
2020-11-16,5.07,5.07,4.93,4.96,192333
2020-11-17,4.96,5.0,4.93,4.96,173905
2020-11-18,4.96,5.21,4.96,4.96,163769
2020-11-19,5.03,5.03,4.93,4.96,77782
2020-11-20,4.93,5.0,4.86,4.96,115384
2020-11-23,4.96,4.96,4.93,4.93,75771
2020-11-24,4.96,4.96,4.93,4.96,49150
2020-11-25,4.93,4.93,4.89,4.93,140901
2020-11-26,4.93,4.93,4.89,4.93,59267
2020-11-27,4.82,4.93,4.61,4.93,238032
2020-11-30,4.61,4.93,4.61,4.89,61801
2020-12-01,4.89,4.89,4.75,4.86,102253
2020-12-02,4.86,4.89,4.75,4.82,77370
2020-12-03,4.86,4.86,4.82,4.82,151385
2020-12-04,4.82,4.86,4.78,4.82,95631
2020-12-07,4.78,4.93,4.71,4.93,358468
2020-12-08,4.89,5.07,4.82,5.03,212823
2020-12-09,5.14,5.46,5.14,5.42,416812
2020-12-10,5.42,5.46,5.32,5.32,179078
2020-12-11,5.28,5.28,5.1,5.21,171801
2020-12-14,5.25,5.28,5.17,5.21,119127
2020-12-15,5.25,5.25,5.17,5.21,71472
2020-12-16,5.21,5.28,5.17,5.21,149416
2020-12-17,5.17,5.25,5.14,5.14,78852
2020-12-18,5.14,5.21,5.14,5.17,4232193
2020-12-21,5.17,5.21,5.14,5.21,188770
2020-12-22,5.17,5.39,5.03,5.35,335049
2020-12-23,5.39,5.49,5.39,5.46,283487
2020-12-24,5.46,5.56,5.17,5.32,113100
2020-12-25,5.39,5.39,5.25,5.35,109301
2020-12-28,5.32,5.42,5.25,5.28,152396
2020-12-29,5.28,5.28,5.21,5.25,89312
2020-12-30,5.25,5.32,5.21,5.25,717358
2020-12-31,5.25,5.28,5.25,5.25,127545
2021-01-04,5.25,5.28,5.21,5.25,167617
2021-01-05,5.25,5.39,5.25,5.35,317362
2021-01-06,5.35,5.53,5.32,5.46,356886
2021-01-07,5.42,5.56,5.39,5.56,321423
2021-01-08,5.56,5.74,5.39,5.71,473821
2021-01-11,5.67,5.88,5.64,5.85,363500
2021-01-12,5.85,5.85,5.67,5.78,189610
2021-01-13,5.74,5.78,5.6,5.71,340096
2021-01-14,5.67,5.67,5.6,5.64,114203
2021-01-15,5.64,5.71,5.56,5.71,150850
2021-01-18,5.71,5.71,5.6,5.67,226161
2021-01-19,5.67,5.81,5.14,5.46,268558
2021-01-20,5.49,5.49,5.03,5.39,126395
2021-01-21,5.39,5.49,5.32,5.42,74660
2021-01-22,5.49,5.49,5.35,5.35,95639
2021-01-25,5.39,5.39,5.25,5.25,148981
2021-01-26,5.21,5.28,5.1,5.17,124603
2021-01-27,5.14,5.14,4.89,4.96,83507
2021-01-28,4.89,4.89,4.25,4.25,401053
2021-01-29,4.25,4.93,4.11,4.5,127872
2021-02-01,4.68,4.71,4.54,4.57,27910
2021-02-02,4.57,4.68,4.32,4.57,98316
2021-02-03,4.78,4.93,4.68,4.93,38057
2021-02-04,5.0,5.03,4.86,4.89,21099
2021-02-05,4.89,5.14,4.89,4.93,14845
2021-02-08,4.93,4.93,4.61,4.78,55802
2021-02-09,4.61,4.93,4.61,4.93,12650
2021-02-17,4.93,5.03,4.93,4.93,38347
2021-02-18,4.96,5.14,4.96,5.0,79930
2021-02-19,5.14,5.25,5.1,5.14,61324
2021-02-22,5.17,5.21,5.07,5.17,38835
2021-02-23,5.17,5.21,5.07,5.1,37358
2021-02-24,5.14,5.14,5.03,5.03,35051
2021-02-25,5.07,5.07,4.89,5.07,71916
2021-02-26,4.89,4.96,4.89,4.96,11809
2021-03-01,4.96,5.07,4.96,5.03,79560
2021-03-02,5.07,5.07,4.96,5.03,46155
2021-03-03,5.03,5.07,4.96,5.0,82375
2021-03-04,5.03,5.1,4.96,5.0,118056
2021-03-05,5.03,5.07,5.0,5.07,63400
2021-03-08,5.1,5.14,5.07,5.14,104654
2021-03-09,5.14,5.32,5.07,5.25,295769
2021-03-10,5.25,5.39,5.21,5.39,131758
2021-03-11,5.42,5.46,5.28,5.32,120357
2021-03-12,5.32,5.35,5.21,5.28,91346
2021-03-15,5.32,5.42,5.32,5.35,172040
2021-03-16,5.35,5.49,5.35,5.46,256173
2021-03-17,5.56,5.56,5.49,5.53,199017
2021-03-18,5.53,5.56,5.46,5.49,167430
2021-03-19,5.49,5.49,5.42,5.46,149692
2021-03-22,5.42,5.49,5.32,5.35,180364
2021-03-23,5.39,5.39,5.32,5.32,100142
2021-03-24,5.32,5.32,5.07,5.21,152560
2021-03-25,5.21,5.25,5.14,5.17,59351
2021-03-26,5.14,5.17,5.0,5.14,82289
2021-03-29,5.1,5.25,5.1,5.25,51137
2021-03-30,5.25,5.25,5.14,5.21,175351
2021-03-31,5.25,5.32,5.25,5.28,67810
2021-04-01,5.28,5.35,5.25,5.35,172772
2021-04-02,5.35,5.67,5.35,5.56,741012
2021-04-05,5.6,5.85,5.6,5.78,721070
2021-04-06,5.78,5.81,5.71,5.74,246873
2021-04-07,5.74,6.13,5.64,5.95,775199
2021-04-08,5.95,6.38,5.95,6.1,391403
2021-04-09,6.2,6.2,5.95,5.99,158613
2021-04-12,6.1,6.56,6.02,6.41,959679
2021-04-13,6.38,6.63,6.2,6.41,601581
2021-04-14,6.38,6.41,6.2,6.41,278442
2021-04-15,6.34,6.38,6.17,6.27,296400
2021-04-16,6.31,6.31,5.85,6.02,401908
2021-04-19,6.06,6.13,5.81,6.1,193834
2021-04-20,6.1,6.1,5.92,5.95,172148
2021-04-22,6.24,6.24,5.67,5.74,439618
2021-04-23,5.74,5.92,5.56,5.88,229476
2021-04-26,5.88,5.88,5.74,5.81,185410
2021-04-27,5.85,5.88,5.74,5.85,125139
2021-04-28,5.85,5.92,5.81,5.92,124615
2021-04-29,5.88,5.99,5.88,5.99,267643
2021-05-04,5.95,5.95,5.67,5.85,201625
2021-05-05,5.85,5.99,5.85,5.92,384224
2021-05-06,6.02,6.02,5.92,5.95,260901
2021-05-07,5.95,5.95,5.85,5.92,172440
2021-05-10,5.88,6.06,5.78,6.02,524031
2021-05-11,6.1,6.27,6.1,6.24,397281
2021-05-12,6.24,6.24,6.1,6.2,180138
2021-05-13,6.17,6.24,6.13,6.2,242000
2021-05-14,6.2,6.34,6.2,6.31,376067
2021-05-17,6.31,7.02,6.31,6.73,1482638
2021-05-18,6.73,6.91,6.66,6.73,514328
2021-05-19,6.73,6.73,6.59,6.63,291718
2021-05-20,6.63,6.84,6.56,6.8,617358
2021-05-21,6.84,6.91,6.73,6.77,521281
2021-05-24,6.8,6.84,6.73,6.8,456632
2021-05-25,6.8,6.84,6.7,6.77,486492
2021-05-26,6.77,6.95,6.73,6.88,675365
2021-05-27,6.88,7.55,6.88,7.44,1497558
2021-05-28,7.44,8.26,7.37,8.15,1459265
2021-05-31,8.15,9.07,8.08,9.07,1326723
2021-06-01,9.11,9.57,8.65,8.68,1140599
2021-06-02,8.68,9.21,7.83,8.58,926812
2021-06-03,8.51,8.97,8.51,8.93,806077
2021-06-04,8.93,8.93,8.47,8.65,670866
2021-06-07,8.65,8.68,7.94,8.01,681061
2021-06-08,8.01,8.01,7.02,7.3,672258
2021-06-09,7.09,7.83,6.91,7.55,615225
2021-06-10,7.55,7.62,7.37,7.37,221643
2021-06-11,7.37,7.94,7.37,7.73,327154
2021-06-14,7.73,7.8,7.58,7.66,274848
2021-06-15,7.66,7.76,7.44,7.48,299627
2021-06-16,7.48,7.51,7.23,7.27,472020
2021-06-17,7.27,7.41,7.09,7.37,261989
2021-06-18,7.41,7.58,7.3,7.55,441728
2021-06-21,7.58,7.62,7.44,7.48,217120
2021-06-22,7.51,7.66,7.37,7.58,421432
2021-06-23,7.51,7.69,7.44,7.55,314155
2021-06-24,7.76,7.76,7.55,7.58,285405
2021-06-25,7.58,7.62,7.51,7.55,345324
2021-06-28,7.55,7.87,7.55,7.87,884586
2021-06-29,7.87,8.33,7.83,8.01,655209
2021-06-30,8.12,8.15,7.83,7.87,281641
2021-07-01,7.87,8.08,7.66,7.9,292786
2021-07-02,7.94,7.97,7.8,7.94,342347
2021-07-05,7.97,8.19,7.94,8.19,947402
